	"813.MHY1 (dun1) + heat 20 min"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"1661.1 mM Menadione (50 min)redo"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"7537.25C -- 45 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"
"YBL077W"	-1.636	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	0.049	-0.043	-0.27	-0.424	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	-1.087	-0.207	0.238	0.226	0.342	0.394	-0.095	0.795	-1.547	-2.488	-2.2065	-2.3345
"YBR121C"	-1.9015	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	0.171	-0.156	0.041	-0.078	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	-1.406	-0.197	0.157	0.25	0.324	0.381	0.03	0.944	-2.249	-2.5385	-2.551	-2.637
"YBR162C"	-1.7715	-0.126	-2.459	-0.9	-3.095	-2.678	-1.015	-1.228	-2.766	-0.956	-0.123	-0.86	0.26	0.182	-0.3655	-1.986	-3.0025	-3.2055	-3.1195	-3.068	0.3335	-1.147	NaN	0.297	0.142	0.505	0.492	0.305	0.721	-2.557	-2.6965	-3.1235	-2.8795
"YBR288C"	-0.55	-1.173	-0.889	-1.298	-2.229	-3.524	-0.693	-0.833	-0.751	-1.088	0.112	-0.059	-0.097	-0.097	-1.0805	-0.9095	-1.1005	-1.2605	-1.978	-1.688	0.057	-0.107	-0.04	-0.221	0.078	0.008	0.027	-0.02	0.377	-0.958	-0.665	-0.609	-0.8595
"YCL045C"	-0.67	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.516	-1.986	-0.081	0.0375	-0.1005	0.0195	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.1685	-0.044	-0.023	0.0345	-0.102	0.0785	0.0655	0.0425	0.2235	-0.7035	-1.706	-1.77266666666667	-1.794
"YCR053W"	-0.963	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-0.04	-0.04	-0.163	-0.233	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.253	-1.321	-0.154	0.318	0.43	0.651	0.623	0.175	0.399	-1.451	-1.6735	-1.907	-1.727
"YCR090C"	-0.3935	-1.291	-1.099	-1.417	-2.154	-3.547	-0.463	-0.449	-0.587	-1.152	0.089	0.199	-0.044	0.046	-0.919	-0.809	-0.8085	-1.35	-1.5355	-1.325	0.469	-0.062	0.16	-0.265	-0.031	-0.157	-0.061	0.219	-0.336	-0.871	-0.6795	-0.3555	-0.318
"YDL185W"	-0.501	-0.571	-0.915	-1.477	-2.522	-4.417	-0.841	-0.619	-1.308	-2.012	-0.188	-0.36	-0.676	-0.369	-0.21	-0.395	-0.701	-1.557	-2.084	-3.0	-0.133	0.257	-0.265	0.227	-0.014	0.172	-0.001	0.27	-0.3	-0.976	-1.032	-1.111	-1.225
"YDR023W"	-1.423	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	0.077	0.069	0.006	-0.214	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.047	-1.135	-0.104	0.201	0.386	0.428	0.481	0.024	0.868	-2.091	-1.396	-1.983	-2.106
"YDR064W"	-1.51	-2.577	-2.639	-2.597	-3.761	-5.03	-3.208	-3.138	-2.511	-2.495	-0.619	-0.269	-0.581	-0.49	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.351	-2.096	-0.467	0.124	0.194	0.329	0.396	0.137	0.928	-1.996	-2.002	-1.235	-1.554
