	"107.heat shock 10 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YAL007C"	0.336	-3.056	-3.632	-0.058	-1.826	-1.304	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	-0.318
"YAR073W"	-0.97	-3.191	-3.447	-0.903	-2.377	-2.568	-2.069	-2.598	-1.876	-2.5165	-2.5015	-1.799
"YBL027W"	-1.201	-2.671	-5.577	-1.089	-2.507	-2.33	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-1.803
"YBL057C"	0.023	-2.031	-2.661	-0.434	-1.034	-1.105	-0.8965	-0.5975	-1.502	-1.552	-2.088	-0.185
"YBL072C"	-0.666	-3.192	-6.241	-1.39	-3.188	-3.091	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-2.142
"YBL087C"	-0.881	-2.104	-2.516	-1.184	-2.618	-2.621	-2.2155	-2.156	-1.5975	-2.161	-2.357	-1.68
"YBR011C"	0.73	-4.081	-5.344	0.137	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.22
"YBR031W"	-0.385	-2.879	-6.063	-1.46	-2.831	-2.633	-1.7175	-2.312	-1.803	-1.9345	-2.5745	-1.621
"YBR106W"	-0.796	-3.354	-5.052	-0.303	-2.595	-2.731	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.875
"YBR118W"	0.189	-2.846	-5.272	-1.099	-2.128	-1.73	-1.4355	-1.294	-1.7525	-2.167	-3.221	-1.071
"YBR121C"	-0.522	-4.037	-5.791	-0.738	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-1.272
"YBR143C"	-1.434	-3.195	-4.642	-0.561	-2.012	-2.112	-2.126	-2.659	-2.698	-2.699	-3.572	-0.972
"YBR164C"	0.028	-2.78	-3.277	-0.273	-1.258	-1.624	-1.114	-1.4825	-1.3225	-2.355	-1.882	-0.452
"YBR166C"	0.172	-2.2345	-3.0285	0.149	-0.887	-1.552	-0.636333333333333	-1.099	-0.965333333333333	-1.83066666666667	-1.03266666666667	-0.0605
"YBR288C"	-0.114	-2.229	-3.524	0.193	-0.751	-1.088	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.228
"YCR002C"	0.702	-3.669	-5.182	-0.206	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.222
"YDL055C"	-0.26	-3.734	-4.252	-0.118	-3.202	-4.273	-1.082	-2.236	-2.058	-2.079	-2.985	-1.405
"YDL084W"	-0.884	-2.134	-4.827	-0.148	-1.38	-1.906	-1.559	-1.782	-1.626	-2.01	-2.373	-1.455
"YDL143W"	0.033	-1.678	-3.716	-0.446	-1.388	-1.582	-1.56	-1.794	-2.612	-3.143	-2.716	-0.05
"YDL145C"	-0.224	-1.274	-2.9335	0.3885	-0.552	-0.7575	-0.659	-0.7075	-1.115	-1.5045	-1.4735	-0.3055
"YDL191W"	-0.333	-2.737	-5.192	-0.956	-2.518	-2.408	-1.999	-2.077	-1.362	-1.942	-2.86	-1.251
"YDL225W"	0.484	-2.271	-3.558	0.153	-0.621	-0.882	-0.981	-1.021	-0.994	-1.953	-1.522	-0.016
"YDR002W"	0.495	-2.756	-4.542	-0.375	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	-0.573
"YDR012W"	-0.338	-3.045	-5.83	-1.177	-2.676	-2.765	-1.886	-1.901	-1.122	-1.902	-2.058	-1.729
"YDR025W"	-0.331	-3.393	-6.697	-1.301	-3.471	-3.326	-1.915	-2.886	-2.503	-2.895	-3.518	-1.781
"YDR033W"	0.049	-4.249	-4.128	-1.021	-0.823	-1.162	-0.195	-0.803	-2.882	-2.514	-3.186	-0.168
"YDR064W"	-0.812	-3.761	-5.03	-1.244	-2.511	-2.495	-2.718	-2.943	-2.527	-2.531	-3.199	-1.409
"YDR071C"	0.529	-2.459	-4.374	-0.033	-0.581	-0.861	-0.696	-0.953	-1.937	-3.125	-2.557	-0.116
"YDR098C"	0.123	-1.722	-3.797	0.104	-0.94	-1.178	-1.53	-1.498	-1.355	-2.09	-2.226	-0.51
"YDR117C"	-0.053	-1.737	-2.494	-0.184	-0.634	-1.141	-0.967	-1.278	-1.618	-1.45	-1.497	-0.194
"YDR233C"	0.062	-2.587	-3.48	-0.211	-1.566	-1.509	-0.467	-0.606	-2.047	-2.27	-2.451	-0.444
"YDR382W"	-0.513	-2.459	-5.686	-1.284	-2.776	-2.394	-2.897	-2.877	-2.565	-3.137	-3.471	-1.803
"YDR418W"	-0.848	-3.074	-5.866	-1.059	-2.797	-2.605	-2.792	-2.82	-2.866	-3.091	-4.066	-1.816
"YDR447C"	-0.62	-3.659	-5.332	-1.447	-2.813	-3.129	-2.432	-2.817	-2.53	-2.625	-3.552	-1.533
"YDR451C"	0.187	-1.683	-2.638	0.526	-0.454	-1.357	-0.817	-1.105	-0.963	-1.513	-1.205	-0.644
"YDR454C"	-0.568	-2.876	-4.275	-0.808	-2.414	-2.283	-1.608	-1.534	-1.835	-2.466	-2.28	-1.726
"YEL054C"	-1.125	-2.98	-7.056	-0.985	-3.003	-2.232	-2.777	-2.579	-2.504	-3.005	-3.554	-1.753
"YER023W"	0.645	-4.379	-4.606	0.202	-1.289	-1.281	-1.09	-0.659	-1.477	-2.502	-2.506	-0.738
"YER043C"	-0.647	-4.78	-6.476	-0.529	-3.096	-3.18	-3.174	-3.716	-3.31	-4.857	-4.918	-1.272
"YER102W"	-0.616	-3.64	-6.434	-1.581	-3.37	-3.204	-2.613	-2.593	-2.579	-3.326	-3.859	-2.051
"YER117W"	-0.855	-2.832	-5.642	-1.15	-2.843	-2.483	-2.534	-2.571	-2.312	-2.562	-2.976	-1.753
"YER124C"	0.083	-2.097	-3.343	0.36	-0.861	-0.576	-0.562	-2.555	-2.012	-2.968	-2.77	0.279
"YFL039C"	0.743	-2.57	-3.733	0.288	-1.117	-1.321	-0.479	-0.492	-1.583	-2.201	-2.764	0.117
"YFR031BC"	-0.673	-4.702	-7.029	-1.452	-3.594	-3.523	-2.521	-2.912	-3.164	-3.863	-4.146	-2.031
"YGL001C"	0.498	-2.878	-4.137	0.039	0.039	-0.673	-0.843	-1.195	-1.719	-2.358	-2.176	-0.345
"YGL021W"	0.099	-2.714	-5.572	-0.252	-1.086	-2.056	-1.254	-2.515	-2.192	-3.105	-2.246	-0.764
"YGL026C"	-0.002	-3.132	-4.669	0.335	-1.626	-1.543	-0.678	-0.839	-1.868	-2.181	-2.636	-0.755
"YGL027C"	-0.109	-2.354	-4.731	0.491	-1.122	-1.538	-0.404	-0.674	-2.105	-2.719	-3.083	-0.463
"YGL030W"	-0.562	-3.668	-5.484	-1.44	-2.6	-2.361	-2.592	-2.534	-1.668	-2.044	-3.011	-1.742
"YGL031C"	-0.564	-3.683	-5.763	-1.287	-3.063	-2.704	-2.475	-2.899	-2.92	-3.061	-3.473	-2.077
"YGL049C"	-0.055	-2.05	-4.12	-0.005	-1.033	-1.097	-0.621	-0.562	-1.692	-1.763	-2.23	-0.072
"YGL067W"	0.039	-3.029	-2.893	-0.252	-1.274	-1.53	-1.044	-1.214	-1.327	-1.617	-2.053	-0.32
"YGL070C"	-0.724	-2.467	-2.68	0.066	-0.634	-1.046	-1.464	-1.279	-1.49	-1.492	-1.918	-0.283
"YGL076C"	-1.07	-3.976	-5.667	-1.338	-2.857	-1.957	-2.568	-2.648	-2.836	-2.79	-3.782	-1.755
"YGL077C"	-0.104	-3.716	-3.533	0.102	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	0.061
"YGL107C"	0.046	-2.708	-3.138	-0.19	-0.231	-0.847	-0.57	-0.373	-1.618	-1.576	-1.936	-0.095
"YGL135W"	-0.599	-3.418	-5.687	-1.432	-3.119	-2.071	-2.512	-2.692	-2.267	-2.874	-3.825	-2.11
"YGL148W"	-1.023	-2.826	-3.915	0.188	-2.64	-1.768	-2.049	-2.327	-1.666	-1.996	2.781	-1.561
"YGL151W"	-0.043	-1.887	-3.485	0.026	-0.154	-0.424	-0.403	-0.498	-1.6	-1.691	-1.632	0.174
"YGL202W"	-0.176	-3.334	-4.405	0.689	-2.233	-1.883	-1.963	-2.379	-2.119	-2.237	-2.614	-1.197
"YGL213C"	0.376	-3.409	-3.301	-0.323	-0.589	-1.865	-1.003	-1.224	-1.708	-2.07	-2.079	-0.408
"YGL231C"	0.177	-1.893	-3.788	-0.179	-0.85	-1.026	-0.361	-0.357	-1.455	-1.7	-1.822	-0.331
"YGL241W"	0.083	-2.02	-4.045	0.365	-0.265	-0.512	-0.399	-0.53	-1.964	-1.948	-1.553	-0.234
"YGL245W"	-0.132	-4.799	-6.655	-0.266	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.768
"YGR027C"	-0.236	-2.797	-5.39	-0.567	-2.612	-2.307	-1.779	-1.889	-1.187	-1.867	-2.368	-1.786
"YGR034W"	-0.775	-3.052	-6.281	-1.028	-2.282	-2.579	-2.022	-2.01	-1.301	-1.401	-2.48	-1.567
"YGR037C"	0.223	-3.63	-4.976	0.162	-1.298	-1.04	-1.612	-1.441	-1.964	-2.717	-2.416	-0.59
"YGR085C"	-1.283	-3.406	-6.059	-1.043	-3.013	-2.215	-2.625	-2.77	-3.306	-3.54	-4.179	-1.815
"YGR117C"	-0.127	-1.454	-2.599	-0.294	-0.672	-0.827	-0.239	-0.201	-0.7	-1.404	-1.409	-0.188
"YGR118W"	-0.2395	-2.204	-5.471	-0.865	-2.183	-2.326	-1.997	-2.117	-1.76	-2.214	-3.141	-1.724
"YGR148C"	-0.632	-3.884	-5.757	-1.051	-2.956	-2.722	-2.508	-2.896	-3.022	-3.649	-4.092	-2.072
"YGR175C"	-1.01	-3.074	-4.5	0.347	-1.563	-1.196	0.085	-0.251	-2.53	-2.628	-3.285	-1.0145
"YGR185C"	-0.9545	-5.306	-6.361	-0.344	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	-0.9955
"YGR261C"	-0.712	-2.682	-3.233	1.295	-1.189	-1.363	-1.125	-0.876	-1.657	-2.505	-2.45	-0.168
"YHL003C"	-5.0E-4	-2.186	-3.084	-0.141	-1.135	-1.164	-0.886	-0.883	-1.585	-1.707	-1.741	-0.527
"YHR019C"	-0.8745	-4.051	-5.077	-0.619	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	-1.678
"YHR049W"	1.421	-3.623	-4.702	-1.195	-1.668	-1.451	-1.17	-1.96	-1.968	-2.952	-2.443	0.1145
"YHR098C"	-0.881333333333333	-2.065	-3.065	-0.172	-1.159	-1.2865	-1.2075	-1.218	-1.917	-1.925	-2.553	-0.255666666666667
"YHR121W"	-0.2065	-1.976	-4.718	-0.259	-0.94	-0.899	-0.644	-0.886	-1.573	-1.881	-1.852	-0.4005
"YHR123W"	0.48	-3.763	-4.132	-0.094	-1.439	-2.046	-1.965	-2.024	-2.917	-2.775	-2.647	0.177
"YHR128W"	-0.853	-4.967	-6.006	-0.07	-3.361	-3.012	-3.051	-3.482	-3.191	-3.494	-3.516	-1.107
"YHR143W"	-0.502	-2.25	-3.833	0.075	-2.339	-2.759	-1.031	-2.632	-1.926	-3.001	-2.506	-0.175
"YHR203C"	-0.5815	-3.782	-5.944	-1.473	-3.412	-3.049	-2.437	-2.591	-2.575	-3.081	-3.941	-1.9665
"YIL018W"	-0.903	-3.492	-5.749	-1.014	-3.056	-3.151	-2.218	-2.606	-2.661	-3.27	-3.914	-2.158
"YIL052C"	-0.4415	-2.895	-6.278	-1.311	-2.559	-2.622	-2.271	-2.546	-2.162	-2.5	-3.158	-1.7635
"YIL078W"	-0.596	-5.192	-6.059	-0.565	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	-1.422
