	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"
"YBL028C"	0.962	-4.867
"YBL072C"	2.378	-6.241
"YBR057C"	0.24	NaN
"YBR086C"	0.7	-3.741
"YBR121C"	1.631	-5.791
"YBR191W"	1.992	-5.241
"YBR246W"	0.989	-3.138
"YCR034W"	1.683	-4.331
"YCR036W"	-0.062	-3.501
"YCR052W"	0.667	-2.66
"YDL015C"	1.007	-4.309
"YDL081C"	2.025	-4.594
"YDL150W"	0.641	-3.715
"YDL185W"	0.816	-4.417
"YDL191W"	1.943	-5.192
"YDR025W"	2.153	-6.697
"YDR081C"	0.434	-2.376
"YDR146C"	1.209	-2.89
"YDR154C"	-0.784	-3.55
"YDR161W"	1.01	-4.816
"YDR201W"	-0.017	-1.229
"YDR212W"	0.872	-4.59
"YDR233C"	0.9	-3.48
"YDR325W"	0.662	-2.245
"YDR341C"	1.444	-5.262
"YDR375C"	0.441	-2.01
"YDR385W"	1.278	-5.463
"YDR418W"	2.098	-5.866
"YDR439W"	0.379	-2.043
"YDR440W"	0.833	-2.77
"YDR497C"	2.198	-2.267
"YDR502C"	2.779	-5.303
"YEL054C"	2.108	-7.056
"YEL068C"	-0.381	-2.934
"YER016W"	1.316	-9.725
"YER031C"	0.682	-4.144
"YER052C"	0.962	-5.276
"YER122C"	0.098	-4.276
"YER131W"	2.084	-6.55
"YER145C"	1.919	-5.091
"YER190W"	0.873	-1.168
"YFL047W"	0.886	-2.605
"YFR009W"	1.258	-4.932
"YFR031BC"	2.878	-7.029
"YFR044C"	0.55	-5.917
"YGL021W"	1.267	-5.572
"YGL031C"	2.221	-5.763
"YGL035C"	-0.57	-1.569
"YGL050W"	-0.409	-2.381
"YGL076C"	2.346	-5.667
"YGL097W"	1.403	-5.124
"YGL115W"	0.603	-3.416
"YGL123W"	2.601	-5.982
"YGL135W"	1.922	-5.687
"YGL145W"	0.39	-2.91
"YGL241W"	0.156	-4.045
"YGR034W"	1.368	-6.281
"YGR054W"	1.523	-4.535
"YGR072W"	0.078	-1.245
"YGR085C"	1.922	-6.059
"YGR119C"	0.81	-3.791
"YGR173W"	1.097	-3.699
"YGR204W"	0.711	-5.27
"YGR255C"	-0.947	-3.604
"YGR285C"	1.704	-6.1
"YHL033C"	2.169	-6.65
"YHR005C"	0.816	-4.17
"YHR018C"	1.234	-2.976
"YHR038W"	0.55	-2.799
"YHR043C"	-0.792	-3.778
"YHR069C"	0.586	-4.482
"YHR086W"	0.572	-0.5
"YHR118C"	0.008	-2.376
"YHR121W"	0.392	-4.718
"YHR203C"	2.714	-5.944
"YIL038C"	0.846	-2.368
"YIL052C"	1.842	-6.278
"YIL062C"	0.493	-3.897
"YIL095W"	0.543	-2.7495
"YIL126W"	-0.601	-2.074
"YIR008C"	0.893	-4.516
"YJL006C"	0.35	-3.043
"YJL014W"	1.137	-3.962
"YJL124C"	0.621	-5.188
"YJL157C"	1.441	-7.731
"YJL183W"	0.649	-4.986
"YJL187C"	0.829	-2.78
"YJL190C"	2.636	-6.079
"YJL200C"	1.956	-4.345
"YJL204C"	0.166	-2.749
"YJR072C"	0.882	-3.523
"YJR123W"	2.779	-9.147
"YJR139C"	0.971	-4.462
"YJR145C"	2.605	-6.528
"YKL006W"	2.36	-5.113
"YKL017C"	-0.102	-3.434
"YKL048C"	-1.007	-3.599
"YKL068W"	0.947	-3.325
"YKL074C"	-1.039	-4.328
"YKL125W"	0.782	-3.218
"YKL180W"	2.375	-5.237
"YKL191W"	0.996	-4.342
"YKL209C"	-1.282	-3.7
"YKL212W"	0.721	-4.806
"YKR090W"	1.706	-2.317
"YKR094C"	1.626	-4.383
"YLL044W"	2.306	-6.48
"YLL045C"	2.311	-6.618
"YLR029C"	2.166	-6.877
"YLR033W"	0.398	-3.207
"YLR045C"	0.996	-2.728
"YLR050C"	-0.5	-2.822
"YLR063W"	0.824	-4.23
"YLR145W"	-0.451	-2.672
"YLR185W"	1.932	-5.928
"YLR268W"	0.748	-3.316
"YLR291C"	0.754	-4.762
"YLR313C"	0.742	-2.959
"YLR321C"	0.59	-3.485
"YLR325C"	2.065	-5.498
"YLR333C"	1.643	-5.863
"YLR367W"	2.175	-6.716
"YLR386W"	0.412	-3.703
"YLR388W"	1.261	-5.506
"YLR441C"	2.479	-12.655
"YLR443W"	0.677	-3.763
"YLR448W"	2.319	-5.971
"YML026C"	1.729	-5.271
"YML055W"	-0.67	-2.858
"YML058W"	0.614	-2.779
"YML063W"	2.152	-13.273
"YML073C"	2.428	-6.033
