	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YBL009W"	-1.273	-1.15	-1.544	-1.154	-0.749	-1.115	0.5875	0.705	0.328	0.665	-1.039	-1.209	-2.238	-1.159	-1.642	-3.733	-1.73	-1.618	-1.134	-0.1355	0.0875	-0.374	-1.7305	-2.1165	-1.3125	-2.116	-1.787	0.0845	-0.305	-0.513	0.132	-0.3955	0.03	-0.882	-0.025	0.21	0.053	-1.86	-1.284	-2.291	-2.516	0.584	-1.615	-2.117	-1.474	-0.7025	-1.612	0.107	-2.005	-1.878
"YBR230C"	3.52	3.472	3.132	2.275	3.534	3.545	-1.7635	-2.044	-1.673	-0.895	2.196	1.9365	3.909	4.829	1.894	1.911	0.46	2.09	2.594	-0.997	0.453	1.591	3.9215	3.5615	3.945	3.418	2.673	-0.057	-0.015	1.638	0.119	0.385	0.258	1.947	-0.024	0.491	-0.128	3.751	2.82	2.634	1.545	-0.568	2.836	2.656	3.568	2.988	3.622	0.018	3.455	4.138
"YCL059C"	-3.484	-4.56	-4.242	-2.249	-4.218	-3.675	0.974	0.955	0.848	0.031	-1.813	-2.7855	-4.786	-2.115	-1.769	-2.558	-5.277	-2.27	-1.67	0.364	-0.4365	-1.655	-3.4015	-1.846	-2.0685	-3.0265	-2.4555	0.019	-0.192	-0.437	0.0035	-0.753	-0.175	-1.38	-0.454	-0.641	0.082	-4.664	-0.941	-2.169	-1.916	0.708	-1.068	-2.235	-2.48	-1.8365	-2.7715	-0.102	-3.887	-4.436
"YCR055C"	-4.1	NaN	-3.895	-1.25	-3.998	-3.454	0.8355	0.77	0.841	0.433	-0.915	-1.724	-6.518	-3.193	-1.97	-3.878	-6.433	-3.796	-3.655	0.23	-0.1875	-1.2905	-2.6155	-1.6	-2.2405	-3.105	-2.4225	0.2	0.471	-1.524	0.0415	0.4085	-0.187	-0.939	-0.104	-0.067	-0.166	-4.055	-2.286	-2.63	-1.487	0.383	-2.18	-1.914	-1.844	-2.0705	-2.7325	0.096	NaN	NaN
"YDR087C"	-3.126	-4.331	-4.143	-1.477	-3.643	-3.468	0.873	1.227	0.989	-0.02	-1.501	-2.122	-4.139	-2.976	-3.312	-3.817	-4.944	-2.528	-2.208	0.595	-0.519	-1.987	-1.886	-2.022	-1.73	-3.407	-2.893	0.061	0.277	-1.038	0.311	0.053	-0.299	-1.236	-0.232	-0.539	0.017	-4.13	-0.894	-1.552	-1.271	0.337	-0.9	-1.728	-2.177	-2.326	-1.631	-0.476	-2.338	-3.396
"YDR101C"	-3.513	-3.593	-3.404	-1.887	-3.74	-3.659	1.358	1.377	1.43	0.193	-1.384	-2.357	-4.306	-3.203	-2.948	-4.145	-4.667	-3.385	-2.743	0.349	-0.008	-1.232	-2.52	-2.252	-2.862	-3.177	-3.516	0.113	0.024	-1.736	0.107	-0.748	-0.233	-1.252	-0.402	-0.402	-0.194	-3.253	-2.313	-2.638	-1.784	0.715	-2.302	-2.703	-2.283	-2.391	-2.526	-0.103	-2.088	-3.048
"YEL042W"	-1.38	-1.459	-1.661	-1.25	-1.884	-1.862	0.745	-0.631	0.856	1.041	-0.816	-1.366	-1.578	-0.84	-1.261	-3.201	-4.334	-1.707	-1.439	-0.405	0.361	0.434	-1.851	-1.658	-1.896	-2.665	-3.071	0.134	-0.379	-0.185	-0.007	-0.299	-0.001	-1.072	0.323	0.145	-0.114	-1.763	-1.756	-2.4765	-1.8235	0.355	-1.89	-2.589	-2.039	-1.693	-0.998	0.386	-1.793	-1.842
"YER165W"	-2.069	-2.288	-2.164	-1.485	-2.197	-2.742	1.281	1.127	0.795	0.258	-1.253	-1.345	-1.493	-1.285	-0.845	-1.518	-4.713	-2.088	-1.651	-0.129	-0.01	-0.455	-1.788	-1.214	-0.603	-1.075	-2.004	0.13	-0.52	-0.188	0.037	-0.008	0.033	-1.536	0.521	0.25	-0.333	-2.773	-1.044	-1.9705	-1.4125	1.066	-1.3585	-1.9	-1.862	-1.271	-1.629	0.239	-2.394	-2.173
"YGL008C"	-0.807	-1.784	-1.029	-0.082	-0.901	-1.305	0.694	0.579	0.265	0.809	-1.072	-1.495	-2.727	-1.377	-2.092	-4.675	-3.936	-2.24	-1.603	-0.579	0.87	0.933	-3.268	-2.348	-4.203	-4.969	-4.679	-0.262	-1.251	-0.374	0.025	0.08	0.121	-0.883	-0.247	-0.028	0.063	-1.565	-1.73	-3.284	-3.025	0.476	-1.993	-3.539	-2.231	-1.861	-1.474	0.31	-4.061	-2.554
"YGL099W"	-2.253	-2.322	-2.456	-1.048	-3.122	-3.311	0.834	0.843	0.803	-0.158	-1.174	-1.655	-3.43	-2.011	-2.335	-2.895	-5.764	-2.454	-1.59	0.296	-0.307	-1.694	-2.755	-1.984	-2.516	-3.273	-3.42	0.124	0.149	-0.504	0.157	-0.386	-0.013	-1.162	0.037	-0.012	-0.325	-3.381	-1.519	-1.749	-1.219	0.623	-1.51	-1.726	-2.246	-1.85	-1.597	0.164	-2.608	-3.506
