	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"13496.G0 mRNP vs. Poly"
"YAL007C"	-3.632	-1.496	-1.8635	-1.6745	0.916	0.951
"YAL038W"	-6.086	-1.42	-1.859	-3.2025	1.01	2.537
"YAR071W"	-5.43	-2.6735	-3.725	-3.467	4.279	0.026
"YBL072C"	-6.241	-2.5245	-3.2065	-4.2	NaN	0.756
"YBL077W"	-5.081	-2.816	-3.3595	-3.1945	0.576	1.222
"YBR011C"	-5.344	-2.3835	-3.0585	-3.4585	0.569	2.398
"YBR017C"	-2.961	-1.7435	-1.8555	-1.7945	0.63	1.015
"YBR025C"	-5.106	-2.141	-2.9345	-3.783	NaN	1.064
"YBR028C"	-3.596	-1.494	-2.3575	-2.334	1.104	0.13
"YBR048W"	-5.0065	-2.849	-3.15166666666667	-3.929	1.739	0.2945
"YBR093C"	-4.597	-2.5345	-3.057	-3.191	3.551	-0.178
"YBR095C"	-1.396	-0.4215	-0.571	-0.851	0.62	0.251
"YBR106W"	-5.052	-2.3225	-3.147	-3.2985	1.216	1.178
"YBR142W"	-4.241	-2.2985	-2.5785	-2.8165	0.666	0.818
"YBR143C"	-4.642	-2.698	-2.699	-3.572	0.679	0.927
"YBR171W"	-3.399	-1.2865	-1.677	-1.5245	0.42	1.001
"YBR247C"	-3.969	-2.2255	-2.389	-2.378	0.148	0.365
"YBR249C"	-6.025	-2.9975	-3.288	-3.9875	0.703	1.052
"YBR281C"	-2.406	-1.703	-2.053	-1.3895	1.41	1.622
"YBR288C"	-3.524	-1.2605	-1.978	-1.688	0.382	0.364
"YCR002C"	-5.182	-2.564	-2.9535	-2.7005	0.226	0.499
"YCR013C"	-5.566	-1.827	-2.591	-3.6275	1.752	1.697
"YCR044C"	-2.699	-1.0725	-1.5355	-1.758	0.983	0.074
"YCR090C"	-3.547	-1.35	-1.5355	-1.325	0.584	-0.394
"YDL055C"	-4.252	-2.058	-2.079	-2.985	1.289	1.297
"YDL084W"	-4.827	-1.626	-2.01	-2.373	1.072	1.02
"YDL225W"	-3.558	-0.994	-1.953	-1.522	0.603	-0.027
"YDR002W"	-4.542	-1.672	-2.746	-2.987	0.925	1.311
"YDR023W"	-5.745	-3.056	-3.357	-3.85	1.091	0.849
"YDR033W"	-4.128	-2.882	-2.514	-3.186	1.695	1.153
"YDR050C"	-5.94	-2.206	-2.643	-3.307	1.607	2.135
"YDR097C"	-2.765	-1.371	-1.795	-1.685	0.468	1.258
"YDR098C"	-3.797	-1.355	-2.09	-2.226	0.696	1.208
"YDR158W"	-5.115	-3.109	-3.802	-4.509	0.939	2.058
"YDR189W"	-2.842	-1.597	-1.904	-2.063	0.597	0.427
"YDR212W"	-4.59	-1.535	-1.828	-1.707	0.8	0.928
"YDR221W"	-1.067	-0.696	-1.27	-2.0	1.012	0.38
"YDR233C"	-3.48	-2.047	-2.27	-2.451	0.862	0.594
"YDR279W"	-2.943	-1.473	-2.195	-2.117	-0.106	0.024
"YDR312W"	-3.564	-2.214	-2.451	-2.68	0.666	-0.354
"YDR341C"	-5.262	-3.262	-3.294	-3.559	0.661	1.254
"YDR418W"	-5.866	-2.866	-3.091	-4.066	0.559	0.606
"YDR452W"	-3.315	-0.631	-0.335	-1.164	3.026	0.739
"YEL027W"	-3.096	-0.347	-0.522	-0.827	1.098	0.871
"YER003C"	-3.453	-2.241	-2.079	-1.818	0.888	1.979
"YER006W"	-4.571	-2.195	-2.03	-3.232	0.474	0.467
"YER043C"	-6.476	-3.31	-4.857	-4.918	1.559	1.751
"YER072W"	-2.716	-1.111	-1.238	-1.726	3.778	-0.183
"YER0871C"	-2.794	-0.894	-1.329	-1.317	0.439	-0.28
"YER090W"	-5.004	-2.327	-2.585	-3.495	0.82	1.509
"YER105C"	-3.477	-1.462	-2.363	-2.555	0.434	0.793
"YER145C"	-5.091	-1.536	-2.549	-2.941	1.08	0.512
"YER176W"	-1.3	-0.55	-0.839	-0.942	0.182	-0.226
"YFL004W"	-3.639	-1.927	-2.26	-2.284	1.572	1.027
"YFL026W"	-4.221	-1.838	-2.007	-2.33	0.678	0.556
"YFL039C"	-3.733	-1.583	-2.201	-2.764	1.336	1.87
"YFL045C"	-4.897	-1.923	-2.307	-2.378	1.02	1.54
"YFL048C"	-2.659	-0.342	-0.772	-0.87	0.554	0.665
"YFR001W"	-3.337	-1.731	-2.216	-2.13	0.527	-0.152
"YFR044C"	-5.917	-0.889	-1.826	-2.142	1.186	2.278
"YGL001C"	-4.137	-1.719	-2.358	-2.176	0.813	0.823
"YGL012W"	-3.869	-2.691	-2.742	-2.333	2.102	2.041
"YGL026C"	-4.669	-1.868	-2.181	-2.636	1.043	1.906
"YGL027C"	-4.731	-2.105	-2.719	-3.083	0.539	1.611
"YGL060W"	-3.155	-1.433	-1.322	-1.742	0.379	0.479
"YGL065C"	-2.778	-1.365	-1.862	-2.045	0.476	0.295
"YGL137W"	-3.389	-2.696	-3.038	-3.308	1.009	1.692
"YGL200C"	-3.963	-1.049	-1.435	-1.681	0.816	1.097
"YGL202W"	-4.405	-2.119	-2.237	-2.614	1.073	1.866
"YGL238W"	-4.337	-1.654	-1.937	-2.674	0.099	0.739
"YGL245W"	-6.655	-3.552	-4.345	-4.779	0.24	2.142
"YGR037C"	-4.976	-1.964	-2.717	-2.416	0.29	-0.06
"YGR085C"	-6.059	-3.306	-3.54	-4.179	0.406	0.911
"YGR092W"	-3.742	-2.104	-2.593	-2.52	0.815	0.05
"YGR117C"	-2.599	-0.7	-1.404	-1.409	0.554	0.713
"YGR128C"	-4.271	-2.017	-3.037	-2.679	-0.175	0.241
"YGR148C"	-5.757	-3.022	-3.649	-4.092	0.482	0.016
"YGR171C"	-1.682	-0.812	-0.987	-0.99	-0.336	-0.112
"YGR175C"	-4.5	-2.53	-2.628	-3.285	1.223	1.1
"YGR179C"	-2.711	-0.76	-1.589	-1.5	1.018	-0.119
"YGR229C"	-4.256	-2.401	-2.58	-3.391	0.662	0.104
"YGR285C"	-6.1	-3.452	-4.07	-4.065	0.145	1.206
