	"56.Elutriation2:Sample2:Time3.5hrs"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"598.29 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"975.1 mM Menadione (105 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1173.PHO4c vs. wild type"	"1312.diauxic shift timecourse: 13.5 hr"	"1673.alpha factor release sample021"	"6824.Sporulation t0"	"7764.Na+FK 45min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"18429.2mM MD 210min"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"
"YBL027W"	0.819	-1.98	-0.675	-0.094	0.242	-2.851	-2.474	-2.081	-2.0	-2.671	-5.577	-2.494	-2.654	-2.507	-0.326	-0.739	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.218	0.04	0.159	0.25	-1.419	-0.126	-2.091	0.779	-2.031	-1.819	-1.16833333333333	-1.535	-3.528	-3.012	-2.469	-3.351	-2.291	0.139	0.917	-0.988	0.813
"YBL077W"	0.236	-1.027	-0.376	-0.262	0.034	-3.41	-2.161	-1.694	-2.021	-3.136	-5.081	-2.763	-2.285	-2.607	-0.424	-0.376	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.023	0.072	0.1535	0.038	-1.153	-0.359	-0.818	0.559	-2.306	-0.207	-0.9025	-0.484	-2.847	-2.93	-1.236	-2.854	-1.678	-0.164	0.107	0.541	-0.311
"YBR084W"	0.202	-1.216	-0.573	-0.531	-0.198	-4.143	-3.145	-3.201	-2.908	-4.365	-5.362	-2.317	-2.197	-1.44	-0.321	-0.803	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	0.214	-0.117	0.107	-0.442	-1.632	-0.229	-1.583	0.56	-2.208	-0.59	-1.446	-1.082	-3.705	-2.757	-2.544	-4.104	-2.592	-0.173	-0.219	0.37	2.149
"YBR189W"	0.833	-1.593	-0.908	-0.467	0.48	-3.784	-3.224	-3.356	-2.154	-2.065	-4.702	-3.071	-3.483	-2.334	-0.051	-0.955	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	-0.506	-0.072	0.0415	0.296	-1.625	0.096	-2.405	0.26	-2.7915	-1.6545	-2.0405	-0.9805	-4.874	-3.763	-4.477	-4.739	-3.569	-0.074	0.235	-0.626	1.484
"YBR191W"	0.736	-1.586	-0.798	-0.572	0.485	-3.54	-3.222	-3.049	-1.912	-3.167	-5.241	-3.152	-3.411	-2.563	-0.276	-0.941	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	-0.707	-0.051	0.0465	0.405	-1.611	-0.094	-2.088	0.247	-3.3605	-1.287	-2.15	-1.16	-3.687	-3.657	-2.538	-2.427	-2.872	0.005	0.326	-0.866	1.255
"YDL136W"	0.1675	-1.131	-0.536	-0.058	0.306	-2.487	-2.162	-1.881	-1.505	-1.969	-3.398	-2.561	-2.366	-2.176	-0.067	-1.074	-3.134	-1.775	-1.594	-1.555	-1.233	-1.094	-1.756	-1.025	-0.17	-0.0935	0.033	-1.371	0.127	-1.647	0.429	-1.573	-1.29766666666667	-1.751	-1.0865	-3.888	-2.995	-2.084	-3.628	-2.594	-0.006	0.117	-0.346	0.884
"YDR025W"	0.514	-1.495	-1.062	-1.124	0.028	-3.904	-3.548	-3.252	-2.592	-3.393	-6.697	-3.357	-3.356	-3.471	-0.145	-0.747	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.141	-0.597	0.648	0.144	-1.45	-0.201	-2.304	0.059	-3.299	-1.08166666666667	-1.1035	-1.355	-4.772	-3.127	-2.93	-3.906	-2.535	0.352	0.624	-0.861	0.873
"YDR064W"	0.396	-1.678	-0.997	-0.743	0.244	-3.874	-3.241	-2.585	-2.639	-3.761	-5.03	-3.208	-3.138	-2.511	-0.49	-0.608	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	-0.482	-0.335	0.045	-0.088	-2.324	-0.127	-1.723	0.415	-2.588	-1.39633333333333	-1.4985	-2.354	-2.292	-2.803	-2.319	-2.891	-2.842	0.305	0.564	-0.718	0.606
"YDR400W"	0.27	NaN	0.498	0.303	0.011	-1.143	-0.978	-0.436	-1.071	-1.379	-2.679	-1.527	-1.506	-0.483	0.563	0.198	-1.082	-1.034	-1.131	-1.185	-0.865	-1.544	-1.405	0.156	-0.105	-0.202	0.132	-0.122	-0.118	1.015	0.076	-1.477	-0.046	0.317	0.5	-0.731	-0.692	-0.229	-1.129	-1.042	0.168	0.033	0.052	NaN
"YDR417C"	0.639	-1.309	-0.693	-0.813	0.211	-3.705	-2.778	-2.992	-2.511	-4.279	-5.062	-3.58	-3.209	-2.864	-0.471	-1.075	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	-0.109	-0.144	0.406	-0.289	-2.082	-0.119	-1.587	0.551	0.189	-0.846	-2.037	-1.939	-3.553	-2.61	-1.768	-3.585	-2.404	0.371	0.671	0.303	-1.277
