	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR009C"	-1.329	-0.2825
"YAR015W"	-5.339	-0.305
"YAR019C"	-0.8555	1.226
"YBL047C"	-1.9045	1.199
"YBR176W"	-1.295	2.923
"YBR229C"	-2.906	0.291
"YBR249C"	-6.025	1.282
"YBR276C"	-2.991	-0.378
"YCL030C"	-5.337	1.295
"YCR002C"	-5.182	2.551
"YCR004C"	-2.456	0.691
"YCRX17W"	-5.7	0.363
"YDL019C"	-1.673	3.314
"YDL165W"	-1.854	0.56
"YDR023W"	-5.745	3.446
"YDR035W"	-2.135	0.036
"YDR048C"	-5.119	1.079
"YDR173C"	-1.262	0.266
"YDR211W"	-4.77	0.4075
"YDR245W"	-3.6715	2.53966666666667
"YDR367W"	-3.913	1.58
"YDR385W"	-5.463	-3.708
"YDR445C"	-2.873	1.157
"YDR449C"	-4.747	1.531
"YDR502C"	-5.303	4.051
"YDR509W"	-2.6845	0.6745
"YDR539W"	-4.1	1.4125
"YEL002C"	-4.407	1.4625
"YER043C"	-6.476	1.664
"YER050C"	-0.809	3.116
"YER105C"	-3.477	0.976
"YER113C"	-2.572	1.6275
"YER124C"	-3.343	0.5555
"YER138C"	-1.7495	-0.1
"YER160C"	-1.239	0.416
"YFL022C"	-4.867	1.491
"YFL038C"	-2.628	0.6775
"YFR028C"	-4.271	1.292
"YGL021W"	-5.572	1.83
"YGL077C"	-3.533	0.633
"YGL106W"	-4.7	-0.17
"YGL161C"	-2.325	0.731
"YGL241W"	-4.045	1.548
"YGR014W"	-3.299	1.208
"YGR030C"	-2.548	0.678
"YGR083C"	-4.599	0.676
"YGR119C"	-3.791	0.255
"YGR173W"	-3.699	-0.184
"YGR185C"	-6.361	-0.426
"YGR189C"	-4.894	0.552
"YGR191W"	-3.588	1.03
"YGR254W"	-5.012	0.716
"YGR266W"	-4.267	3.194
"YHL034C"	-3.26	1.784
"YHR019C"	-5.077	0.405
"YHR042W"	-4.647	0.546
"YHR056C"	-2.044	2.699
"YHR068W"	-6.532	2.683
"YHR121W"	-4.718	0.49
"YHR190W"	-3.849	1.293
"YHR204W"	-2.025	NaN
"YHR216W"	-4.943	0.627
"YIL039W"	-4.517	-1.524
"YIL051C"	-4.988	-0.693
"YIL094C"	-5.071	0.645
"YIL096C"	-3.119	1.135
"YIL130W"	-2.3	0.695
"YIR034C"	-1.625	0.072
"YJL002C"	-4.487	0.182
"YJL046W"	-2.627	0.968
"YJL052W"	-3.767	-0.416
"YJL097W"	-4.683	1.055
"YJL111W"	-6.57	0.563
"YJL138C"	-5.625	0.594
"YJR009C"	-4.161	0.687
"YJR026W"	-1.254	1.704
"YJR028W"	-1.583	5.498
"YJR029W"	-1.273	0.745
"YJR064W"	-4.297	-0.376
"YJR085C"	-1.548	0.851
"YJR101W"	-2.4895	1.406
"YKL024C"	-5.4	1.24
"YKL079W"	-2.322	0.63
"YKL080W"	-5.94	5.981
"YKL128C"	-3.6	0.35
"YKL192C"	-3.443	0.597
"YKL212W"	-4.806	0.61
"YKR001C"	-5.109	0.486
"YKR042W"	-3.497	0.309
"YKR098C"	-2.091	1.218
"YLL004W"	-3.568	0.615
"YLL018C"	-5.451	2.07
"YLR050C"	-2.822	2.19
"YLR057W"	-4.294	-0.389
"YLR060W"	-5.967	-1.577
"YLR083C"	-5.137	1.34
"YLR088W"	-4.686	1.46
"YLR104W"	-3.172	0.437
"YLR147C"	-2.798	2.097
"YLR180W"	-5.707	1.09
"YLR276C"	-5.399	0.735
"YLR351C"	-3.461	1.737
"YLR420W"	-3.849	1.244
"YLR439W"	-4.311	0.264
"YLR447C"	-3.159	1.31
"YML045W"	-1.218	0.302
"YML049C"	-1.472	2.562
"YML052W"	-4.119	0.981
"YML056C"	-5.251	0.909
"YMR014W"	-4.826	-0.413
"YMR046C"	-1.652	1.144
"YMR047C"	-3.61	0.3705
"YMR051C"	-1.605	-0.081
"YMR278W"	-1.61	2.6295
"YMR289W"	-2.452	1.9735
"YNL030W"	-4.092	2.0025
"YNL085W"	-5.369	0.741
"YNL118C"	-5.007	2.4655
"YNL154C"	-3.909	1.5795
"YNL256W"	-3.668	1.969
"YNL261W"	-4.047	1.076
"YNL280C"	-3.802	0.224
"YNR077C"	-2.164	-2.037
"YOR175C"	-3.7925	2.739
"YOR207C"	-9.516	2.32
"YOR231W"	-2.2775	2.347
"YPL094C"	-5.3055	0.646
"YPL104W"	-4.469	-0.565
"YPL106C"	-4.546	0.03
"YPL128C"	-3.3175	2.132
"YPL145C"	-4.3865	1.524
"YPL204W"	-3.119	-0.695
"YPL211W"	-5.029	3.725
"YPR009W"	-4.371	2.427
"YPR010C"	-3.425	0.932
"YPR055W"	-2.368	2.212
