	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1018.YPD 13 d (25C)"	"1103.alpha factor release sample028"	"1172.pho80 mutant vs wild type"	"1674.Elutriation2:Sample2:Time5.5hrs"	"2560.29C to 33C - 15 min"	"4784.29C to 33C - 90 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"18428.2mM MD 030min"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34349.wt_hypo_osmotic_shock_16min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YDR165W"	-3.154	-2.85	-2.419	-2.874	-2.762	-0.962	-1.001	-1.702	-1.335	-1.84	-4.096	-5.309	-2.69	-3.015	-2.243	-3.057	-1.816	-1.396	-1.582	-2.23	0.217	0.327	-0.445	-0.999	-0.599	-0.929	-0.784	-0.604	-2.129	-0.442	-1.795	-1.047	-2.787	-0.8805	-3.068	-2.479	-2.722	-3.205	-2.632	-2.085	-0.03	-0.569	-2.22
"YDR450W"	-1.91	-1.979	-1.959	-2.844	-3.077	-0.729	-1.559	-2.423	-1.837	-0.78	-3.254	NaN	-2.564	-3.208	-3.201	-4.313	-2.118	-2.576	-2.784	-3.465	0.549	0.087	0.077	0.018	0.501	0.198	-1.894	0.514	-2.182	0.127	-0.894	-1.939	-3.008	-0.273666666666667	-1.894	-3.787	-3.762	-3.594	-3.453	-2.352	0.215	-0.007	-1.515
"YDR471W"	-2.267	-2.818	-1.805	-3.206	-3.84	-0.639	-1.159	-2.42	-1.52	-1.504	-3.952	-4.747	-2.627	-3.144	-2.929	-4.253	-2.034	-2.122	-2.633	-2.908	0.167	0.124	-0.109	-0.264	0.064	-0.169	-1.273	-0.132	-2.14	0.024	-1.18	-1.29	-3.29	0.436333333333333	-2.211	-3.645	-2.464	-3.608	-3.311	-2.499	0.009	-0.014	-1.986
"YGR085C"	-2.061	-1.952	-2.023	-2.966	-3.664	0.379	-1.501	-2.388	-1.715	-0.828	-3.713	-6.059	-2.19	-3.071	-3.255	-4.359	-2.106	-2.625	-2.77	-4.179	0.573	-0.182	0.266	-0.3	0.028	-0.212	-1.815	0.144	-2.111	0.759	-1.073	-1.712	-2.908	-0.7035	-2.338	-4.004	-2.792	-3.45	-3.003	-2.048	0.539	0.406	-1.674
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-1.145	-1.124	-2.061	-1.298	-0.929	-4.447	-4.328	-2.958	-2.878	-2.97	-2.118	-1.549	-1.989	-1.536	-2.243	-0.103	-0.181	-0.321	-0.946	0.119	-0.745	-1.365	-0.479	-1.73	0.631	-1.872	-0.628	-4.594	0.0215	-2.795	-2.403	-3.664	-3.836	-3.389	-2.052	0.033	-0.42	-2.106
"YHR010W"	-2.471	-2.255	-2.0245	-3.406	-3.8525	-0.82	-1.276	-2.214	-1.581	-0.983	-3.693	-4.514	-2.294	-3.343	-3.288	-4.159	-2.399	-2.244	-2.541	-2.684	0.445	0.177	-0.201	-0.171	0.139	-0.107	-1.4115	-0.145	-1.972	0.548	-0.975	-1.53	-3.0485	-0.1495	-2.868	-3.363	-2.267	-3.56	-2.961	-1.715	0.076	0.326	-1.208
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-1.474	-0.859	-2.235	-1.527	-2.342	-4.675	-5.388	-2.78	-2.737	-2.637	-3.455	-2.226	-1.984	-2.757	-2.799	0.253	0.236	-0.633	-1.042	-0.232	-0.705	-1.069	-0.525	-2.802	0.731	-1.059	-1.589	-4.344	0.133	-3.436	-2.229	-1.452	-3.361	-1.953	-1.228	0.145	-0.536	-2.082
"YLR129W"	-4.096	-3.022	-2.347	-3.676	-3.658	-1.525	-0.998	-1.722	-0.985	-1.651	-4.83	-4.914	-3.214	-3.12	-2.647	-3.861	-2.137	-1.99	-2.481	-3.068	-0.04	-0.11	-0.598	-0.739	0.064	-0.621	-0.967	-0.531	-2.343	0.335	-2.144	-1.903	-4.108	0.237	-4.374	-3.422	-2.781	-4.119	-2.843	-2.213	-0.445	-1.045	-1.943
"YLR197W"	-4.98	-4.044	-3.638	-4.76	-5.179	-2.02	-1.737	-2.844	-2.358	-1.615	-5.817	-5.242	-3.387	-3.899	-3.238	-5.671	-2.611	-3.067	-3.716	-5.033	0.1	-0.163	-0.614	-1.497	-0.121	-1.383	-1.878	-0.682	-2.28	-0.069	-3.026	-2.075	-5.072	0.476	-4.496	-4.983	-3.17	-4.545	-3.045	-2.593	0.549	-0.032	-3.498
"YLR198C"	-4.57	-4.694	-3.371	-4.643	-4.805	-2.013	-1.561	-2.6	-2.306	-1.379	-5.143	-3.401	-3.057	-3.471	-3.106	-5.282	-2.521	-3.21	-3.479	-4.589	0.062	-0.046	-0.75	-1.379	-0.174	-1.177	-1.735	-0.329	-2.026	0.534	-3.099	-2.332	-4.143	0.104	-3.4	-2.271	-2.674	-3.761	-2.805	-1.946	0.595	-0.392	-2.745
