	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1016.YPD 5 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL003W"	-3.377	-3.392	-0.332	-1.314	-1.8	2.942
"YAL036C"	-2.145	-3.743	-0.153	-1.4315	-2.0465	-1.41
"YBL010C"	-1.998	-2.501	-0.093	-0.937	-0.933	0.382
"YBR166C"	-2.2345	-3.0285	0.155	-0.965333333333333	-1.03266666666667	2.1015
"YBR246W"	-2.137	-3.138	-0.22	-1.3615	-1.287	2.359
"YCL045C"	-3.044	-3.911	-0.1255	-2.25533333333333	-2.69566666666667	0.505
"YCR002C"	-3.669	-5.182	-0.008	-2.564	-2.7005	2.551
"YCR043C"	-3.689	-4.19	-0.431	-1.7505	-1.6275	2.376
"YCR044C"	-1.836	-2.699	-0.013	-1.0725	-1.758	1.505
"YDL095W"	-2.026	-3.518	0.475	-1.633	-2.037	0.906
"YDL136W"	-1.969	-3.398	-0.445	-1.233	-1.756	1.249
"YDL164C"	-2.07	-2.932	-0.206	-1.104	-1.585	2.65
"YDL185W"	-2.522	-4.417	0.386	-1.557	-3.0	-1.024
"YDL225W"	-2.271	-3.558	-0.172	-0.994	-1.522	2.369
"YDR002W"	-2.756	-4.542	0.013	-1.672	-2.987	1.06
"YDR071C"	-2.459	-4.374	-0.145	-1.937	-2.557	-0.41
"YDR091C"	-3.384	-4.4	-0.425	-2.636	-3.423	NaN
"YDR098C"	-1.722	-3.797	-0.106	-1.355	-2.226	1.678
"YDR212W"	-1.862	-4.59	0.306	-1.535	-1.707	0.559
"YDR225W"	-1.961	-3.079	-0.097	-0.806	-1.186	2.2165
"YDR301W"	-2.097	-2.537	0.0935	-1.174	-1.911	1.903
"YDR312W"	-2.612	-3.564	0.489	-2.214	-2.68	1.728
"YDR321W"	-3.093	-4.43	0.202	-2.704	-2.75	2.467
"YDR348C"	-1.848	-2.174	-0.069	-0.755	-1.835	0.872
"YDR454C"	-2.876	-4.275	-0.093	-1.835	-2.28	1.93
"YER006W"	-2.345	-4.571	-0.103	-2.195	-3.232	1.126
"YER023W"	-4.379	-4.606	-0.04	-1.477	-2.506	0.712
"YER032W"	-1.819	-2.478	0.145	-1.235	-1.341	1.745
"YER049W"	-3.769	-4.541	-0.266	-2.64	-2.735	2.356
"YER086W"	-3.61	-5.173	0.589	-2.624	-3.77	1.445
"YFL026W"	-3.285	-4.221	-0.152	-1.838	-2.33	0.908
"YGL001C"	-2.878	-4.137	0.027	-1.719	-2.176	1.276
"YGL019W"	-1.608	-3.102	-0.17	-0.106	-1.365	1.3
"YGL020C"	-2.94	-3.361	-0.192	-1.253	-1.338	1.558
"YGL021W"	-2.714	-5.572	0.037	-2.192	-2.246	1.83
"YGL026C"	-3.132	-4.669	-0.016	-1.868	-2.636	0.911
"YGL050W"	-1.73	-2.381	0.574	-0.824	-1.231	1.877
"YGL065C"	-1.909	-2.778	-0.192	-1.365	-2.045	0.759
"YGL241W"	-2.02	-4.045	0.303	-1.964	-1.553	1.548
"YGR061C"	-2.8345	-3.447	0.728	-1.7885	-2.528	2.762
"YGR108W"	-2.816	-3.123	-0.149	-1.657	-1.962	1.5485
"YGR148C"	-3.884	-5.757	-0.128	-3.022	-4.092	3.556
"YGR175C"	-3.074	-4.5	-0.099	-2.53	-3.285	1.1195
"YHL003C"	-2.186	-3.084	-0.044	-1.585	-1.741	1.985
"YHL034C"	-1.801	-3.26	0.302	-1.2	-1.822	1.784
"YHR031C"	-2.163	-3.341	0.026	-1.508	-1.254	1.035
"YHR049W"	-3.623	-4.702	-0.611	-1.968	-2.443	2.079
"YHR061C"	-1.898	-2.912	-0.282	-0.624	-1.308	2.346
"YHR064C"	-3.329	-5.238	-0.009	-2.957	-3.675	1.714
"YHR066W"	-3.164	-5.203	-0.128	-1.879	-1.923	1.918
"YHR068W"	-4.28	-6.532	-0.138	-2.724	-3.425	2.683
"YHR141C"	-2.472	-3.64	-0.528	-1.819	-2.014	1.863
"YHR143W"	-2.25	-3.833	-0.527	-1.926	-2.506	1.661
"YHR190W"	-1.807	-3.849	0.553	-1.054	-1.725	1.293
"YHR207C"	-1.164	-2.162	0.086	-0.761	-0.987	0.708
"YIL148W"	-1.931	-3.41	-0.1735	-0.901	-2.118	1.21
"YJL008C"	-1.423	-4.824	0.05	-0.839	-1.722	1.125
"YJL091C"	-1.543	-2.378	-0.143	-1.062	-1.731	0.833
"YJL147C"	-3.132	NaN	0.262	-0.741	-0.475	0.748
"YJL176C"	-1.496	-3.318	0.067	-1.533	-1.645	1.052
"YJL189W"	-2.901	-4.28	-0.273	-1.577	-2.837	1.659
"YJL198W"	-2.531	-2.784	-0.449	-0.665	-1.415	1.856
"YJR003C"	-2.48	-3.457	-0.137	-2.176	-2.42	1.921
"YJR040W"	-2.558	-3.366	-0.093	-0.619	-1.121	0.936
"YJR072C"	-1.773	-3.523	0.059	-1.21	-1.455	1.796
"YJR076C"	-2.55	-4.614	-0.085	-1.815	-3.117	1.167
"YJR088C"	-1.838	-3.175	-0.19	-0.879	-1.086	1.335
"YJR131W"	-1.373	-2.067	-0.282	0.201	-1.02	1.056
"YJR139C"	-2.333	-4.462	-0.299	-1.914	-2.051	1.581
"YKL056C"	-3.426	-5.119	0.011	-2.754	-3.483	NaN
"YKL152C"	-3.152	-4.943	0.303	-1.713	-2.83	0.935
"YKL153W"	-3.54	-5.051	0.408	-1.986	-2.818	2.825
"YKL154W"	-2.701	-3.89	0.147	-1.765	-2.222	2.992
