	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL004W"	-3.449	2.13
"YBL026W"	-2.412	1.6805
"YBL034C"	-2.417	0.536
"YBL106C"	-2.032	1.593
"YBR109C"	-3.894	3.004
"YBR143C"	-4.642	3.037
"YBR158W"	-3.358	1.696
"YCR002C"	-5.182	2.551
"YCR016W"	-2.969	0.89
"YCR031C"	-5.91	1.6825
"YDL202W"	-2.446	1.887
"YDR023W"	-5.745	3.446
"YDR100W"	-2.076	1.633
"YDR177W"	-3.711	-0.14
"YDR225W"	-3.079	2.2165
"YDR399W"	-4.784	1.212
"YDR420W"	-1.7945	1.9825
"YDR472W"	-3.325	1.617
"YDR502C"	-5.303	4.051
"YER032W"	-2.478	1.745
"YER043C"	-6.476	1.664
"YER052C"	-5.276	-1.346
"YER122C"	-4.276	2.7185
"YFL045C"	-4.897	0.697
"YFL048C"	-2.659	1.6765
"YFR003C"	-1.641	1.4835
"YGL105W"	-6.011	1.031
"YGL197W"	-3.262	-0.171
"YGL253W"	-4.666	1.441
"YGR003W"	-2.25	-0.345
"YGR073C"	-2.024	1.288
"YGR084C"	-3.069	1.265
"YGR163W"	-1.562	1.357
"YHL023C"	-3.097	3.9435
"YHR025W"	-5.429	0.826
"YHR026W"	-4.804	3.175
"YHR040W"	-1.9475	2.1815
"YHR056C"	-2.044	2.699
"YHR068W"	-6.532	2.683
"YHR119W"	-2.884	3.116
"YIL026C"	-2.623	2.053
"YIL078W"	-6.059	1.047
"YIL116W"	-3.327	1.846
"YIL127C"	-4.521	2.53
"YIL141W"	-2.961	0.72
"YJL084C"	-2.449	1.213
"YJL096W"	-2.711	1.806
"YJL176C"	-3.318	1.052
"YJR030C"	-1.328	3.736
"YJR068W"	-3.298	0.593
"YJR101W"	-2.4895	1.406
"YJR141W"	-3.005	1.682
"YKL043W"	-0.919	3.641
"YKL068W"	-3.325	1.897
"YKL069W"	-3.349	0.921
"YKL080W"	-5.94	5.981
"YKL153W"	-5.051	2.825
"YKL181W"	-4.28	1.632
"YKR008W"	-2.347	2.153
"YKR019C"	-1.875	0.861
"YKR059W"	-4.998	1.172
"YLR096W"	-3.848	1.246
"YLR141W"	-1.2945	0.079
"YLR150W"	-6.397	0.028
"YLR179C"	-4.695	NaN
"YLR188W"	-2.848	1.487
"YLR243W"	-3.657	1.966
"YLR339C"	-6.865	1.052
"YLR372W"	-4.512	-2.661
"YLR412W"	-4.156	0.358
"YLR442C"	-1.5515	2.459
"YLR451W"	-3.26	1.5185
"YMR025W"	-3.791	3.485
"YMR063W"	-1.837	0.62
"YMR109W"	-2.609	2.877
"YMR112C"	-2.998	1.383
"YMR166C"	-3.442	1.561
"YMR215W"	-4.406	1.1335
"YMR267W"	-2.278	1.1365
"YNL003C"	-2.318	0.976
"YNL061W"	-4.27	1.348
"YNL064C"	-3.31	2.5835
"YNL084C"	-3.396	1.399
"YNL120C"	-4.984	7.172
"YNL168C"	-3.351	1.939
"YNL178W"	-6.62	1.3645
"YNL212W"	-1.773	1.672
"YNL320W"	-4.0	4.934
"YOL076W"	-2.1335	1.88
"YOR007C"	-3.123	-0.259
"YOR016C"	-3.3715	1.8595
"YOR018W"	-1.6005	0.747
"YOR026W"	-3.005	1.747
"YOR117W"	-4.538	1.322
"YOR163W"	-3.0605	1.501
"YOR272W"	-4.712	-1.121
"YOR290C"	-2.189	8.47
"YOR294W"	-5.2465	1.112
"YOR323C"	-6.434	1.176
"YOR326W"	-4.9875	0.486
"YPL046C"	-1.63666666666667	0.8435
"YPL151C"	-1.322	0.909
"YPL241C"	-3.6825	2.079
"YPR009W"	-4.371	2.427
"YPR033C"	-7.94	-1.078
"YPR041W"	-4.07266666666667	3.789
"YPR115W"	-2.17233333333333	0.754
"YPR164W"	-1.652	0.5575
"YPR173C"	-3.6935	1.008
"YPR174C"	-1.608	1.544
"YPR177C"	-2.837	1.377
