	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBR088C"	-4.084	-4.124	-2.4385	2.227
"YBR166C"	-2.2345	-3.0285	-0.965333333333333	2.1015
"YBR172C"	-1.605	-3.593	-1.176	2.589
"YBR249C"	-3.39	-6.025	-2.9975	1.282
"YCR002C"	-3.669	-5.182	-2.564	2.551
"YCR013C"	-3.099	-5.566	-1.827	-1.117
"YDL015C"	-2.047	-4.309	-1.2485	0.991
"YDL167C"	-3.033	-4.001	-2.176	1.106
"YDL185W"	-2.522	-4.417	-1.557	-1.024
"YDL191W"	-2.737	-5.192	-1.362	0.7195
"YDL193W"	-1.364	-6.324	-0.834	1.78
"YDR025W"	-3.393	-6.697	-2.503	0.604
"YDR056C"	-0.659	-2.783	-0.176	0.731
"YDR065W"	-0.981	-2.714	-0.457	0.216
"YDR087C"	-3.817	-4.944	-1.73	1.533
"YDR113C"	-1.395	-2.572	-0.326	1.238
"YDR138W"	-1.872	-3.15	0.193	1.023
"YDR235W"	-1.036	-3.0085	-0.8995	1.045
"YDR321W"	-3.093	-4.43	-2.704	2.467
"YDR341C"	-3.212	-5.262	-3.262	0.769
"YDR449C"	-3.482	-4.747	-2.119	1.531
"YEL002C"	-2.448	-4.407	-0.691	1.4625
"YEL054C"	-2.98	-7.056	-2.504	-0.047
"YER031C"	-1.835	-4.144	-0.886	0.218
"YER055C"	-2.242	-5.075	-1.279	0.617
"YER117W"	-2.832	-5.642	-2.312	0.475
"YER126C"	-2.608	-5.367	-1.575	-0.194
"YER131W"	-3.664	-6.55	-2.105	1.2385
"YFL022C"	-2.926	-4.867	-0.494	1.491
"YFL031W"	-0.929	-3.488	-0.787	2.384
"YFL037W"	-3.125	-5.562	-1.322	1.0565
"YGL021W"	-2.714	-5.572	-2.192	1.83
"YGL064C"	-1.919	-3.783	-1.114	0.509
"YGL147C"	-3.921	-7.507	-3.018	0.936
"YGL221C"	-2.49	-4.397	-0.541	0.82
"YGR027C"	-2.797	-5.39	-1.187	-0.707
"YGR119C"	-1.721	-3.791	-0.707	0.255
"YGR120C"	-2.13	-4.938	-0.651	-0.0315
"YGR128C"	-2.66	-4.271	-2.017	1.2775
"YGR148C"	-3.884	-5.757	-3.022	3.556
"YGR189C"	-2.638	-4.894	-2.106	0.552
"YGR254W"	-3.348	-5.012	-1.0355	0.716
"YGR266W"	-1.917	-4.267	-1.709	3.194
"YHL011C"	-2.023	-3.592	-1.25	0.431
"YHR024C"	-2.8215	-3.2155	-1.418	0.769
"YHR025W"	-2.666	-5.429	-1.471	0.826
"YHR064C"	-3.329	-5.238	-2.957	1.714
"YHR068W"	-4.28	-6.532	-2.724	2.683
"YHR127W"	-1.518	-2.837	-1.135	0.564
"YHR170W"	-2.573	-4.858	-2.036	1.704
"YIL018W"	-3.492	-5.749	-2.661	1.224
"YIL052C"	-2.895	-6.278	-2.162	0.441
"YIL096C"	-1.96	-3.119	-1.288	1.135
"YJL075C"	-2.151	-3.941	-1.434	0.614
"YJL097W"	-2.596	-4.683	-1.461	1.055
"YJL111W"	-3.38	-6.57	-1.573	0.563
"YJL125C"	-2.343	-4.009	-1.983	0.89
"YJL179W"	-2.457	-4.843	-1.17	0.772
"YJR070C"	-3.511	-7.226	-1.463	0.073
"YJR088C"	-1.838	-3.175	-0.879	1.335
"YJR123W"	-4.381	-9.147	-2.639	-0.776
"YJR139C"	-2.333	-4.462	-1.914	1.581
"YKL180W"	-2.561	-5.237	-2.059	-0.223
"YKR094C"	-2.464	-4.383	-1.792	0.596
"YLL044W"	-3.79	-6.48	-2.724	2.188
"YLR153C"	-4.481	-5.598	-3.578	2.225
"YLR192C"	-2.456	-4.349	-1.566	-0.933
"YLR262C"	-1.526	-3.035	-0.815	-0.146
"YLR333C"	-3.011	-5.863	-1.584	-0.497
"YLR359W"	-2.567	-5.36	-1.039	1.218
"YML019W"	-1.914	-3.311	-1.333	1.723
"YML052W"	-2.3895	-4.119	-0.348	0.981
"YML056C"	-2.698	-5.251	-1.337	0.909
"YML064C"	-2.421	-3.73	-1.338	0.882
"YML074C"	-2.837	-5.319	-2.826	0.793
"YML078W"	-1.133	-3.857	-0.3	2.766
"YML080W"	-2.489	-5.947	-1.274	0.594
"YMR092C"	-1.311	-3.503	-1.246	1.0
"YMR149W"	-1.442	-3.396	-0.825	0.168
"YMR205C"	-1.015	-4.53	-1.0	0.9525
"YMR212C"	-2.04	-6.75	-2.693	1.4335
"YMR260C"	-2.549	-5.138	-1.338	-0.0305
"YNL032W"	-1.24	-2.495	-0.438	1.6735
"YNL049C"	-2.162	-4.607	-1.564	0.413
