	"681.YP galactose vs reference pool"	"801.Heat Shock 030inutes"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2560.29C to 33C - 15 min"	"4872.1M sorbitol - 60 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13067.Na/Na+FK 45min (1)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YBL024W"	-0.176	-0.956	-2.175	-2.483	-4.671	-4.879	-2.114	-2.409	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.417	0.185	0.111	-0.568	0.065	1.659	1.568	-2.18	-1.534	-1.6095	-1.726	-1.397	-0.234	-0.624	0.363	0.447
"YBL040C"	-0.217	0.395	-0.948	-1.067	-1.585	-3.288	-1.261	-1.415	-0.5885	-0.8485	-0.773	-1.5345	-1.6035	-2.3045	-0.218	-0.252	0.044	0.333	-0.1795	-0.387	-0.163	-0.5955	-1.2315	-1.033	-1.229	-0.82	0.2405	0.233666666666667	0.249666666666667	0.373
"YBR017C"	-0.4405	0.149	-1.02	-1.154	-1.621	-2.961	-1.018	-2.046	-1.269	-0.9435	-1.582	-1.7435	-1.8555	-1.7945	0.434	0.63	0.79	0.789	-0.004	0.467	0.474	-0.901	-1.396	-1.428	-1.622	-1.4205	-0.749	-0.75	-0.5595	-0.408
"YBR080C"	0.5525	0.707	-0.18	-0.58	-3.265	-2.0	-0.659	-2.1	-0.577	-0.6275	-0.7075	-1.4815	-2.0505	-1.407	0.263	0.425	0.249	0.684	0.0595	-0.409	0.676	-0.677	-0.591	-0.6935	-0.909	-0.7795	-0.212	0.3025	0.573	-0.396
"YBR121C"	-0.3915	-1.323	-2.186	-2.714	-4.037	-5.791	-2.366	-2.465	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.25	0.324	0.381	-0.332	-0.1215	0.927	0.944	-2.249	-2.5385	-2.551	-2.637	-2.6705	0.003	-0.099	0.046	0.348
"YBR143C"	0.2415	-0.672	-1.932	-2.537	-3.195	-4.642	-2.012	-2.112	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.216	0.258	0.212	-0.514	0.029	1.42	1.55	-1.699	-1.91	-1.8905	-1.8585	-1.737	0.714	0.0135	0.277	0.156
"YBR171W"	0.1135	0.151	-0.876	-0.918	-2.189	-3.399	-1.477	0.216	-0.787	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.139	0.27	0.117	0.116	0.077	0.503	0.434	-0.909	-1.108	-1.1475	-1.3505	-0.79	-0.203	-0.049	-0.331	0.354
"YBR181C"	0.0145	-1.048	-1.94	-2.747	-3.798	-4.564	-3.159	1.639	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.258	0.39	0.317	-0.471	0.2295	1.084	0.567	-2.337	-1.8415	-1.1755	-1.2625	-0.737	0.5505	-0.394666666666667	-0.301666666666667	0.741
"YBR191W"	-0.0195	-0.743	-1.912	-2.071	-3.167	-5.241	-2.563	-2.467	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.327	0.537	0.453	-0.149	0.1555	0.954	0.73	-1.3105	-2.3065	-1.482	-1.676	-0.8885	0.331	-0.774666666666667	-0.532666666666667	0.595
"YBR205W"	-0.1105	-0.074	-0.574	-0.55	-2.047	-3.842	-1.164	-1.251	-0.458	-1.74	-0.5585	-0.8785	-1.5345	-2.119	0.187	0.274	0.213	-0.084	-0.256	0.33	-0.007	-0.513	-1.088	-0.8885	-1.406	-1.376	0.008	0.0175	0.234	0.16
"YBR206W"	-0.1255	-0.413	-0.71	-1.335	-2.307	-3.253	-1.171	-1.615	-0.7775	-0.9025	-0.8285	-1.0975	-1.694	-1.6555	-0.405	0.35	0.422	0.028	-0.391	-0.137	-0.018	-0.149	-0.9	-0.757	-1.012	-0.8485	-0.384	-0.312	0.036	0.521
"YBR243C"	-0.1055	0.317	-1.455	-0.344	-1.288	-2.794	-1.637	-2.291	-0.185	-1.0965	-1.2575	-1.1165	-1.7145	-1.8775	-0.33	0.018	0.183	-0.023	0.235	-0.455	-0.628	-1.018	-1.8755	-1.3785	-1.664	-1.5255	-0.146	-0.0775	-0.212	-0.028
"YBR246W"	0.1655	0.085	-0.766	-0.796	-2.137	-3.138	-1.077	-1.419	-0.9535	-0.9095	-0.74	-1.3615	-1.8565	-1.287	0.024	0.064	0.164	-0.205	-0.1025	0.229	0.157	-0.088	-1.132	-0.8205	-0.6985	-0.362	0.285	-0.015	0.063	0.039
"YCL045C"	-0.129666666666667	0.086	-1.0965	-0.733	-3.044	-3.911	-1.516	-1.986	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.102	0.0785	0.0655	0.1975	0.0683333333333333	0.1335	0.2235	-0.7035	-1.706	-1.77266666666667	-1.794	-1.7	0.0055	0.448666666666667	0.410333333333333	-0.264
