	"59.alpha factor release sample013"	"409.heat shock 25 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1109.alpha factor release sample014"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"42045.L1CompR 05 hr 15 min Leucine Batch vs Chemostat Comparison"	"42046.L1CompR 07 hr 05 min Leucine Batch vs Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42390.CC LS 1B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YAR010C"	1.5275	0.37	-0.199	-0.085	-0.65	-0.568	-0.725	-0.872	-0.144	-1.585	1.267	0.89	-0.244	0.358	-0.133	-0.057	0.644	0.1625	0.396	-0.08	1.2365	1.4265	0.702	1.3185	1.364	0.05	0.342	0.8335	1.0465	1.428	1.55	0.886	1.058	1.403	0.974	0.02	1.019	0.236	0.637	2.684	1.664	3.002	1.906	2.445	2.271	2.311	2.546	2.665
"YBL005W"	1.465	1.117	0.448	0.418	0.457	0.072	0.123	-0.187	-0.501	-1.461	1.686	0.986	0.784	1.255	0.582	0.1	1.345	1.164	1.4485	1.0755	1.9095	2.122	1.6775	1.2775	3.352	0.034	1.4385	1.516	1.962	0.813	1.138	0.488	0.815	1.008	0.908	0.509	1.16	2.399	2.414	2.598	1.801	3.632	3.36	2.455	2.502	2.416	2.598	2.685
"YBR143C"	-0.032	-2.238	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-0.561	-1.29	-2.033	-2.231	-2.012	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.3925	-0.106	-1.699	-1.91	-0.68	-0.2665	-2.722	-2.02	-1.579	-2.223	-2.453	-1.217	-1.336	0.468	-1.585	-1.964	0.381	0.228	0.194	-0.186	-0.418	-0.404	-0.505	-0.566	-0.868
"YCL019W"	1.758	0.651	0.348	-0.073	-0.15	-0.306	0.256	-0.169	-0.361	-1.476	1.753	0.576	0.118	0.564	0.291	-0.027	0.721	0.196	0.3245	-0.276	0.502	0.1335	-0.4045	1.37	0.745	0.152	0.3175	1.4575	1.537	0.7355	1.5265	0.9925	0.793	0.992	0.8045	0.1535	1.165	1.064	1.4425	1.5275	1.2085	1.965	1.877	1.2675	1.7075	1.4325	1.7605	1.198
"YDL061C"	0.171	-2.928	-3.45	-2.443	-2.323	-2.345	-2.173	-2.665	-3.265	-4.279	-1.186	-1.571	-2.985	-2.81	-1.687	-3.127	-3.44	-1.91	-2.031	-2.139	-1.095	-0.613	-1.256	0.187	-0.406	-1.147	-1.84	-1.548	-1.406	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	-1.842	0.721	-1.568	-1.643	0.087	0.74	-0.128	0.518	-0.474	-0.287	-0.328	-0.537	-0.815
"YDR025W"	0.038	-3.031	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-1.301	-1.997	-3.357	-3.356	-3.471	-3.326	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.085	-0.508	-1.7675	-2.193	-2.25	-1.485	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	0.273	-2.611	-0.318	0.394	0.31	0.092	-0.896	-0.895	-0.808	-0.596	-0.792	-0.861
"YEL040W"	-0.017	-0.854	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-4.551	-0.613	-2.998	-2.739	-2.682	-3.347	-3.816	-3.017	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	0.151	0.011	-3.1215	-3.956	-0.508	-0.817	-2.646	-2.15	-2.796	-2.439	-2.048	-2.685	-3.28	-0.121	-0.941	-0.346	0.714	-0.525	1.444	0.308	-1.015	-0.701	-0.591	-0.759	-0.736
"YER043C"	0.319	-1.417	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-0.529	-1.223	-2.364	-1.977	-3.096	-3.18	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.115	-0.005	-1.415	-2.015	-0.837	-0.494	-3.094	-2.542	-2.539	-2.164	-2.202	-1.71	-1.767	1.387	-1.229	-0.634	0.439	0.538	1.28	0.292	-0.112	-0.404	-0.494	-0.324	-0.734
"YER138C"	1.402	0.761	-0.4865	-0.042	-0.2335	-0.29	-0.258	-0.7255	-0.6225	-1.7495	1.783	0.6335	0.324	0.889	0.361	0.025	1.1295	0.715	0.8325	0.3425	1.324	1.2865	0.565	1.074	1.644	0.0546666666666667	0.9365	1.2415	1.664	0.6245	1.056	0.5305	0.647	0.5385	0.8185	0.3285	1.4125	-0.2335	2.194	2.471	1.774	3.017	2.678	1.9145	2.047	2.1075	2.2175	2.175
"YER160C"	1.655	0.6655	0.2625	-0.637	-0.425	-0.3775	-0.5595	-0.6015	-0.934	-1.239	1.4445	0.5935	0.341	0.7335	0.1335	-0.5035	1.074	0.5515	0.8385	0.3245	1.4705	1.3445	0.643	1.375	1.872	0.1	0.775	1.2875	1.559	0.4905	1.1535	0.709	0.73	0.57	0.5925	0.49	1.639	0.7555	1.818	2.6175	1.8635	3.422	2.0765	1.9545	1.9625	2.0495	2.339	2.2935
