	"59.alpha factor release sample013"	"104.alpha factor release sample024"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1105.alpha factor release sample023"	"1109.alpha factor release sample014"	"1250.mec1_plus_gamma_10_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"14761.Ca 30min (1)"	"17473.Ca+FK 30min (5)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YAL038W"	0.2835	0.173	0.166	0.595	0.2925	0.686	-0.086	-1.646	-2.233	-1.38	-0.311	-0.403	-0.02	-2.4	-6.086	-1.723	-2.007	-2.874	-3.1525	-0.7405	-0.4115	-1.1525	-1.42	-1.859	-3.2025	0.1475	-0.123	-0.243	-0.311	-0.122	0.473	-0.106	0.421	-0.282	0.294	-0.81	-1.209	-1.134	0.048	-0.159	-0.387	0.116	-0.127	-2.741	-2.734	-1.219	-2.874	-3.088
"YAR074C"	-0.652	0.237	-2.546	0.5465	-0.1715	0.513	-0.161	-1.997	-2.524	-2.203	-1.916	-2.289	1.547	-3.038	-2.968	-2.027	-2.048	-1.315	-1.803	-1.3125	-1.862	-2.226	-1.293	-1.8415	-2.013	0.3815	-0.4185	-0.7955	-0.3015	-0.4275	-0.4885	-0.331	-0.338	-0.161	0.071	-1.513	-1.695	-1.441	-1.087	-0.303	-1.176	-0.846	-0.9615	-1.309	-2.068	-2.165	-2.493	-1.653
"YBL028C"	0.2615	0.024	-3.261	1.0695	0.0705	1.018	-0.227	-4.609	-3.234	-2.754	-2.652	-2.015	-2.162	-2.828	-4.867	-3.002	-2.268	-1.944	-2.6315	-2.1695	-1.5655	-2.036	-1.7715	-2.0555	-1.6605	-0.1755	-0.7585	-1.079	0.374	0.112	-0.2275	0.265	0.182	0.0295	-0.626	-2.667	-2.532	-2.658	-1.82	0.019	-0.937	-1.477	-1.4835	-2.225	-1.545	-2.529	-1.888	-1.463
"YBL077W"	0.5	0.153	-1.735	0.6685	0.1545	0.519	0.221	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.1025	0.001	-0.1325	0.12	-0.0375	-0.168	-0.155	-0.071	0.0635	0.095	-1.42	-1.153	-0.997	-0.818	-0.077	-1.547	-0.675	-1.4615	-2.847	-2.93	-2.854	-2.752	-2.048
"YBR118W"	0.5025	0.241	-0.196	0.486	0.105	1.118	0.477	-1.301	-1.154	-0.869	-0.643	-1.283	-1.247	-2.846	-5.272	-1.697	-1.781	-2.128	-2.0895	-0.8535	-1.4355	-1.294	-1.7525	-2.167	-3.221	0.2515	0.276	-0.4805	-0.393	-0.275	0.582	-0.293	0.194	-0.0625	-0.003	-0.901	-0.885	-0.941	-0.353	0.45	-1.681	-0.712	0.1125	-1.886	-2.658	-1.975	-1.748	-1.691
"YCR016W"	-0.045	0.149	-2.734	1.084	-0.61	1.101	-0.343	-2.836	-1.258	-1.77	-1.495	-2.335	-2.204	-1.226	-2.969	-2.199	-1.692	-1.762	-2.648	-1.736	-2.093	-2.5995	-2.6395	-2.9255	-2.8665	0.246	-0.94	-0.741	0.418	-0.076	0.176	0.135	0.043	-0.206	-0.771	-0.979	-1.134	-1.568	-0.86	-0.092	-1.448	-1.266	-0.943	-2.712	-2.45	-3.082	-2.031	-1.588
"YCR053W"	0.302	0.116	-0.915	0.3425	0.319	0.371	0.388	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.033	-0.055	-0.34	0.0	-0.434	-0.333	0.074	0.041	-0.025	-0.099	-0.642	-0.451	-0.562	-0.771	0.11	-1.451	-0.713	-0.7405	-2.722	-2.601	-2.7365	-2.51	-2.2205
"YCR097W"	0.552	-0.384	0.61	-0.2735	0.054	-0.137	-0.427	2.156	1.914	1.524	0.67	1.47	1.285	2.584	1.527	1.706	1.875	1.419	1.4345	0.8755	0.9425	0.957	1.578	1.738	1.1225	0.143	0.454	0.098	-0.15	0.154	0.206	0.229	0.141	0.0995	0.004	-0.064	-0.335	-0.354	-0.322	-0.316	0.313	0.3955	-0.0466666666666667	1.542	2.20466666666667	0.986666666666667	1.68266666666667	1.64233333333333
"YDL031W"	0.003	0.345	-2.451	0.0995	-0.237	0.7675	0.2335	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-2.9525	-3.3365	-2.234	-1.5645	-1.2865	-2.49	-1.401	-1.0975	-1.1425	-1.8345	-1.8005	-1.127	0.846	-0.266	-0.419	0.636	0.16	0.228	0.4095	-0.2165	0.1475	-0.3065	-1.3565	-0.546	-1.206	0.1085	0.273	-0.955	-0.589	-0.429	-0.845	-1.181	-2.16	-0.888	-0.525
"YDL111C"	0.5265	0.094	-1.226	0.1465	0.18	0.579	0.291	-1.557	-1.7725	-1.675	-1.628	-1.9145	-1.3295	-4.07	-4.505	-1.0795	-2.186	-1.6645	-1.435	-1.6255	-1.548	-1.4565	-1.8915	-2.1955	-1.9395	0.31	-0.4095	-0.9755	-0.265	-0.235	-0.8035	0.0415	0.049	-0.086	-0.652	-0.886	-0.528	-0.747	-0.471	0.235	-0.9335	-0.37	-0.5565	-1.057	-0.73	-1.309	-1.542	-0.971
