	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"8227.dtt 000 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"21655..24 mM H2O2- 014 minutes"
"YBR011C"	0.4465	-0.042	0.353	-0.977	-4.081	-5.344	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.258	0.327	0.484	0.062	1.634	0.434
"YBR028C"	0.509	-0.097	0.549	-0.272	-2.27	-3.596	-0.571	-1.294	-0.6465	-0.575	-1.494	-2.3575	-2.334	-0.3005	0.0095	0.206	0.255	-0.993	-0.417
"YBR082C"	-0.605	-0.067	-0.324	-1.412	-2.746	-3.456	-0.797	0.564	-1.1805	-0.7415	-1.767	-2.379	-2.5995	0.2625	0.091	0.435	0.101	-0.9745	0.0805
"YBR118W"	0.486	0.259	1.118	-1.283	-2.846	-5.272	-2.128	-1.73	-1.4355	-1.294	-1.7525	-2.167	-3.221	-0.0625	0.1195	1.004	0.425	-1.514	0.305
"YBR156C"	0.177333333333333	0.214	0.073	-0.31	-0.3815	-3.3335	-1.051	-1.092	-0.816	-0.96	-1.25133333333333	-1.533	-1.692	0.0663333333333333	-0.198333333333333	0.249	0.022	1.066	-0.016
"YBR164C"	0.465	0.15	0.574	-1.248	-2.78	-3.277	-1.258	-1.624	-1.114	-1.4825	-1.3225	-2.355	-1.882	0.0025	0.442	0.357	0.167	-0.792	0.676
"YBR205W"	0.5585	0.017	0.48	-0.574	-2.047	-3.842	-1.164	-1.251	-1.74	-0.5585	-0.8785	-1.5345	-2.119	-0.256	-0.036	0.532	0.427	-0.67	-0.486
"YBR206W"	0.213	-0.126	0.02	-0.71	-2.307	-3.253	-1.171	-1.615	-0.9025	-0.8285	-1.0975	-1.694	-1.6555	-0.391	-0.2915	0.264	0.268	-0.353	0.449
"YBR283C"	0.641	0.232	0.75	-0.816	-1.689	-3.351	-1.617	-1.52	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.0665	0.0	0.917	0.241	-1.314	-0.799
"YBR288C"	0.5175	0.025	0.491	-0.889	-2.229	-3.524	-0.751	-1.088	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.2105	-0.276	0.12	0.174	-1.01	-0.233
"YCL045C"	0.269333333333333	-0.2115	0.178	-1.0965	-3.044	-3.911	-1.516	-1.986	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.0683333333333333	-0.051	0.351	-0.171	-1.638	-0.1765
"YCR002C"	0.424	0.225	0.208	-1.572	-3.669	-5.182	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.0355	0.3885	0.252	-0.177	-0.993	-0.525
"YCR044C"	0.371	0.077	0.266	-1.079	-1.836	-2.699	-0.595	-1.147	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.177	0.097	0.389	-0.092	-1.213	-1.087
"YCR057C"	0.732	-0.215	0.76	-1.732	-3.423	-5.109	-1.301	-1.536	-1.7665	-1.5195	-1.962	-2.812	-2.1505	0.0055	0.323	0.322	0.004	-1.083	-0.048
"YCR090C"	0.354	0.211	0.466	-1.099	-2.154	-3.547	-0.587	-1.152	-0.809	-0.8085	-1.35	-1.5355	-1.325	-0.158	-0.2025	0.521	0.068	0.228	0.515
"YDL016C"	-0.297	0.007	-0.123	-0.214	-1.47	-2.752	-0.406	-1.083	-0.6505	-0.464	-1.2285	-1.5145	-1.4645	-0.339	0.0125	0.186	-0.234	-0.96	0.268
"YDL164C"	0.38	-0.148	0.221	-0.252	-2.07	-2.932	-0.654	-1.221	-0.848	-0.591	-1.104	-1.04	-1.585	0.208	-0.093	0.377	0.18	-0.547	0.226
"YDL236W"	0.509	-0.107	0.38	-1.658	-2.833	-3.958	-1.861	-1.42	-1.037	-0.512	-1.408	-1.935	-0.875	-0.072	-0.032	0.117	0.16	-0.565	-0.469
"YDR002W"	0.515	0.183	0.346	-1.992	-2.756	-4.542	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	0.03	0.157	0.794	0.344	0.378	0.078
"YDR044W"	0.684	-0.004	0.699	-0.424	-2.007	-2.624	-0.777	-0.743	-1.124	-0.855	-1.644	-2.341	-2.111	0.085	0.049	0.562	-0.112	NaN	-0.185
"YDR087C"	0.873	0.474	1.227	-2.277	-3.817	-4.944	-1.204	-1.594	-1.373	-2.022	-1.73	-3.407	-2.893	0.311	0.053	0.332	0.588	-1.379	0.318
"YDR091C"	0.962	0.007	0.996	-1.547	-3.384	-4.4	-2.03	-2.498	-1.728	-2.044	-2.636	-3.222	-3.423	0.11	-0.572	0.866	0.317	-1.872	-1.478
"YDR117C"	0.17	-0.03	0.267	-0.837	-1.737	-2.494	-0.634	-1.141	-0.967	-1.278	-1.618	-1.45	-1.497	0.349	-0.162	-0.532	0.081	-0.39	0.587
"YDR189W"	0.271	-0.19	0.259	-0.735	-1.871	-2.842	-0.824	-1.156	-0.693	-0.704	-1.597	-1.904	-2.063	-0.041	-0.062	-0.243	0.261	-1.128	-0.0825
"YDR211W"	0.628	-0.308	0.538	-0.984	-1.706	-4.77	-1.476	-2.096	-1.28	-1.43	-2.119	-2.043	-3.034	0.515	-0.261	0.018	0.166	-1.521	0.017
"YDR245W"	0.6025	-0.0125	0.504	-1.947	-1.932	-3.6715	-1.5755	-2.319	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.0415	-0.642	0.7345	0.358	-0.575333333333333	-0.607666666666667
"YDR531W"	0.604	0.132	0.459	-0.981	-1.84	-3.125	-0.902	-1.052	-0.922	-1.171	-1.187	-2.081	-1.441	0.111	0.047	0.12	-0.183	0.553	0.19
"YEL042W"	0.745	-0.184	-0.631	-1.264	-3.201	-4.334	-1.329	-1.924	-1.705	-1.658	-1.896	-2.665	-3.071	-0.007	-0.299	1.117	0.069	-0.9735	-0.0265
"YEL051W"	0.656	-0.063	0.469	-1.113	-1.395	-3.143	-1.269	-1.334	-0.911	-0.985	-1.877	-1.866	-2.73	-0.169	0.071	0.181	-0.093	-1.3925	0.104
"YER003C"	0.064	0.155	0.298	-0.405	-2.213	-3.453	-2.174	-1.49	-1.14	-1.544	-2.241	-2.079	-1.818	0.183	0.373	0.263	0.076	-1.2575	-0.226
"YER009W"	0.3	-0.108	0.372	-1.398	-2.671	-4.765	-2.143	-1.906	-1.407	-1.465	-2.034	-2.393	-2.025	-0.029	0.313	0.913	0.157	0.2035	0.429
"YER086W"	0.938	0.102	0.899	-1.236	-3.61	-5.173	-2.311	-2.028	-1.847	-1.837	-2.624	-2.882	-3.77	0.09	-0.321	0.761	0.051	-2.197	0.117
"YER090W"	0.672	0.1	0.427	-1.569	-3.804	-5.004	-1.889	-1.861	-1.078	-1.311	-2.327	-2.585	-3.495	-0.122	0.322	0.477	0.057	-1.612	-0.273
"YER118C"	0.606	0.012	0.622	-0.913	-2.598	-3.457	-0.87	-1.557	-1.116	-1.35	-1.371	-2.206	-1.965	0.143	-0.359	0.369	0.457	-1.5705	0.535
"YER122C"	0.291	-0.06	0.363	-0.789	-1.428	-4.276	-1.046	-1.526	-0.585	-0.838	-1.324	-1.945	-2.168	0.17	0.121	0.09	0.149	-1.616	-0.168
"YER126C"	0.995	0.244	1.185	-1.167	-2.608	-5.367	-1.58	-0.345	-1.206	-1.723	-1.575	-2.584	-2.842	0.385	-0.298	0.807	0.644	-1.4415	0.0445
"YFL004W"	0.46	-0.033	0.425	-0.988	-1.866	-3.639	-0.677	-0.945	-0.901	-1.486	-1.927	-2.26	-2.284	0.083	-0.049	0.397	0.071	-0.736	0.2505
"YFL008W"	0.0	-0.346	-0.2	-0.114	-1.807	-2.884	-0.526	-0.748	-0.705	-1.313	-0.945	-1.86	-1.354	0.084	-0.04	-0.152	-0.185	-0.5575	0.0745
"YGL001C"	0.376	0.207	0.287	-1.369	-2.878	-4.137	0.039	-0.673	-0.843	-1.195	-1.719	-2.358	-2.176	0.317	0.099	0.052	-0.041	NaN	-0.306
"YGL012W"	0.48	0.176	0.604	-2.128	-3.06	-3.869	-2.25	-2.267	-2.143	-2.209	-2.691	-2.742	-2.333	0.083	0.126	0.861	-0.247	-1.27	-0.834
"YGL022W"	0.548	-0.014	0.491	-1.034	-3.396	-4.268	-1.595	-1.742	-0.687	-0.699	-1.211	-1.242	-2.176	0.414	0.047	0.467	0.31	-0.941	-0.151
"YGL026C"	0.429	-0.118	0.336	-0.768	-3.132	-4.669	-1.626	-1.543	-0.678	-0.839	-1.868	-2.181	-2.636	0.306	0.201	0.315	0.204	-0.225	0.14
"YGL049C"	-0.045	-0.241	-0.05	-0.946	-2.05	-4.12	-1.033	-1.097	-0.621	-0.562	-1.692	-1.763	-2.23	-0.035	-0.034	-0.202	0.15	NaN	0.104
"YGL065C"	0.114	-0.2	-0.239	-0.483	-1.909	-2.778	-0.555	-0.818	-0.548	-0.647	-1.365	-1.862	-2.045	-0.143	0.085	0.0	-0.131	-1.233	0.782
"YGL200C"	0.509	0.209	0.46	-0.187	-2.687	-3.963	-1.374	-0.999	-0.813	-0.668	-1.049	-1.435	-1.681	0.318	-0.097	0.318	0.079	-0.788	-0.268
