	"86.cdc15 250 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"978.wt_plus_gamma_20_min"	"1009.YPD 2 h (25C)"	"1099.alpha factor release sample030"	"6824.Sporulation t0"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"8247.steady state 36 dec C: y14n095"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"21650..24 mM H2O2- 040 minutes"	"32253.DBY8778_heat_shock2_15min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"38155.03II01 batch p11"
"YDR087C"	NaN	-3.126	-4.331	-4.143	-1.477	-2.758	-3.643	-3.468	0.873	1.227	0.989	-2.122	-4.139	-3.817	-4.944	-2.758	-2.528	-2.208	-0.73	-0.12	-0.077	-0.3	0.198	0.613	-0.358	0.588	-4.13	-0.894	-1.552	-0.9	-1.728	-2.326	-1.631	-0.326	-3.928	-1.399	-2.338	-2.16	-3.396	-3.436	-2.083	-0.446	-0.262	-0.137	-0.216	-1.386
"YDR165W"	-0.233	-3.154	-3.024	-2.85	-1.603	-2.419	-2.874	-2.762	0.933	1.095	0.852	-1.702	-4.096	-3.111	-5.309	-2.69	-3.015	-2.243	-0.791	0.127	0.317	-0.097	0.773	0.902	0.086	-0.442	-2.787	-0.6505	-0.754	-0.5935	-1.0895	-1.116	-1.7495	-0.428	-3.068	-1.222	-2.479	-2.722	-3.205	-2.632	-2.085	-0.501	-0.179	-0.187	-0.234	-2.152
"YEL046C"	-0.472	-1.601	-1.865	-1.851	-0.88	-1.0	-1.714	-2.186	1.02	1.023	0.875	-1.414	-2.11	-2.038	-4.746	-1.316	-1.962	-1.751	-0.524	0.311	0.004	0.302	1.169	1.515	-0.242	0.424	-2.512	-1.5915	-2.053	-1.639	-2.319	-1.889	-1.7365	0.4735	-0.987	0.469	-1.557	-1.283	-1.85	-1.559	-0.353	0.091	0.093	0.004	0.107	-0.75
"YER127W"	-0.154	-2.809	-2.346	-2.38	-1.464	-1.952	-3.051	-2.807	1.253	1.264	0.934	-1.222	-3.292	-2.611	-4.439	-2.177	-2.835	-2.486	-0.156	-0.123	-0.017	-0.025	0.694	0.587	-0.204	0.541	-3.328	-1.443	-1.1305	-1.7105	-1.191	-1.208	-1.702	-0.8925	-4.459	-1.676	-2.692	-2.59	-3.601	-3.002	-2.038	-0.511	-0.21	-0.232	-0.188	-1.594
"YER165W"	NaN	-2.069	-2.288	-2.164	-1.485	-1.981	-2.197	-2.742	1.281	1.127	0.795	-1.345	-1.493	-1.518	-4.713	-1.656	-2.088	-1.651	-0.566	0.262	0.369	0.014	1.215	1.162	-0.368	0.554	-2.773	-1.044	-1.9705	-1.3585	-1.9	-1.271	-1.629	-0.7085	-1.472	0.037	-2.394	-2.391	-2.173	-1.701	-1.589	0.553	0.876	0.626	0.62	-1.292
"YGR123C"	-0.221	-3.5875	-2.638	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	-2.061	-4.447	-3.794	-4.328	-2.958	-2.878	-2.97	-1.094	0.022	-0.244	-0.129	0.959	1.047	-0.328	0.631	-4.594	-1.332	-1.682	-1.448	-1.8045	-1.606	-2.099	-0.125	-2.795	-0.279	-2.403	-3.664	-3.836	-3.389	-2.052	-0.18	0.358	0.044	-0.342	-1.032
"YIL127C"	-0.456	-2.724	-2.4155	-3.181	-1.5835	-1.7815	-2.8895	-2.6295	0.921	0.899	0.804	-1.677	-3.825	-1.8	-4.521	-2.293	-3.072	-1.756	-0.685	-0.092	-0.484	-0.251	0.687	0.79	-0.404	0.84	-2.6085	-1.723	-2.289	-2.22	-2.493	-2.063	-2.27	-0.361	-2.784	-1.009	-2.676	-1.774	-3.693	-1.968	-1.42	-0.194	-0.035	-0.022	-0.225	-1.387
"YLR083C"	0.103	-1.886	-1.656	-2.035	0.028	-1.6	-1.568	-2.248	0.768	0.765	0.758	-1.335	-3.703	-3.767	-5.137	-2.111	-2.718	-2.103	-0.655	0.006	-0.37	0.128	0.693	0.538	-0.299	0.152	-2.311	-1.034	-1.619	-0.894	-1.966	-1.126	-1.961	-0.567	-2.0	-0.949	-3.186	-2.942	-3.492	-2.869	-2.182	-0.184	-0.088	0.007	0.218	-1.899
"YLR172C"	0.006	-1.266	NaN	-1.945	-1.237	-1.658	-1.522	-1.652	0.863	1.018	0.678	-1.078	-1.435	-1.228	-4.325	-1.548	-1.627	-1.604	-0.652	0.142	-0.22	0.234	1.019	1.142	0.179	-0.681	-1.368	-0.914	-1.764	-1.576	-1.621	-2.047	-1.703	-0.645	-2.194	-0.977	-2.742	-1.671	-2.202	-1.545	-1.227	0.324	0.314	0.36	0.399	-0.777
"YLR186W"	0.036	-2.522	NaN	-2.221	-1.684	-2.011	-2.976	-2.122	1.199	1.306	0.805	-1.655	-4.787	-4.298	-5.516	-2.004	-3.036	-2.821	-0.874	-0.004	-0.251	0.054	1.307	1.718	-0.194	-0.307	-3.083	-1.947	-2.164	-2.139	-1.941	-1.927	-1.987	-1.068	-2.466	-0.992	-3.381	-2.552	-4.173	-2.896	-1.936	-0.616	-0.286	-0.395	-0.346	-1.515
