	"11828.Pomona College Bio164: WT/rad27 mRNA"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL014C"	-3.053	0.992
"YAL041W"	-3.951	-0.059
"YBL067C"	-2.763	1.023
"YBR022W"	-2.895	-0.56
"YBR049C"	-4.891	1.673
"YBR058C"	-3.055	0.532
"YBR153W"	-5.257	1.103
"YBR157C"	-4.595	0.96
"YBR197C"	-2.527	0.358
"YBR200W"	-4.343	NaN
"YBR257W"	-3.559	0.703
"YBR274W"	-3.687	1.483
"YBR301W"	-5.066	1.136
"YCL033C"	NaN	1.752
"YCL034W"	-2.607	0.17
"YCL060C"	-2.954	0.777
"YCR038C"	-3.353	1.23
"YCR047C"	-2.779	0.684
"YCR067C"	-2.467	-0.4265
"YCR071C"	-3.95	1.401
"YCR099C"	-5.714	1.204
"YDL018C"	-2.874	2.966
"YDL034W"	-5.304	2.087
"YDR041W"	-5.147	0.808
"YDR046C"	-2.572	-0.723
"YDR061W"	-4.17	0.987
"YDR102C"	-2.819	0.935
"YDR188W"	-1.9835	-0.24
"YDR196C"	-1.161	1.602
"YDR197W"	-3.159	0.0369999999999999
"YDR198C"	-3.113	0.0175
"YDR199W"	-2.097	0.9195
"YDR203W"	-3.6445	1.0995
"YDR214W"	-1.9145	1.475
"YDR237W"	-1.85433333333333	0.735
"YDR316W"	-6.257	0.469
"YDR339C"	-2.363	1.75
"YDR356W"	-4.441	1.891
"YDR400W"	-4.576	0.758
"YDR451C"	-3.226	2.527
"YDR524C"	-1.737	0.302
"YEL004W"	-2.911	1.4945
"YEL043W"	-2.479	2.527
"YER017C"	-2.8095	1.26266666666667
"YER025W"	-3.741	3.19
"YER101C"	-7.022	0.901
"YER139C"	-3.841	1.55
"YFL038C"	-3.817	0.6775
"YFR022W"	-2.585	0.5315
"YGL013C"	-3.17	0.467
"YGL060W"	-3.915	0.917
"YGL070C"	-2.678	0.467
"YGL154C"	-4.594	1.127
"YGL238W"	-3.37	2.167
"YGL241W"	-5.0	1.548
"YGL243W"	-3.133	2.474
"YGL244W"	-3.17	0.82
"YGR038W"	-4.0	1.549
"YGR047C"	-3.108	1.662
"YGR062C"	-5.331	1.3535
"YGR179C"	-3.764	1.33
"YGR219W"	-1.915	0.066
"YGR222W"	-3.927	2.31
"YGR241C"	-2.308	2.82
"YHL018W"	-5.375	-0.344
"YHR026W"	-5.915	3.175
"YHR187W"	-5.248	2.066
"YHR219W"	-6.129	0.788
"YIL039W"	-4.036	-1.524
"YIL043C"	-3.519	0.243
"YIL047C"	-2.714	1.06
"YIL050W"	-5.802	0.832
"YIL103W"	-1.937	2.873
"YIL138C"	-6.443	1.142
"YIL145C"	-4.342	1.135
"YJL064W"	-5.603	1.55
"YJL152W"	-5.202	NaN
"YJR100C"	-5.548	4.654
"YKL076C"	-4.118	7.018
"YKL108W"	-5.088	1.422
"YKR085C"	-4.687	1.187
"YLR099C"	-3.446	0.585
"YLR144C"	-4.672	0.562
"YLR153C"	-6.022	2.225
"YLR192C"	-2.585	-0.933
"YLR199C"	-3.163	1.536
"YLR290C"	-1.375	1.513
"YLR298C"	-4.248	0.769
"YLR323C"	NaN	1.542
"YLR334C"	-4.687	0.734
"YLR368W"	-3.263	-0.249
"YMR046C"	-3.129	1.144
"YMR094W"	-2.308	0.633
"YMR138W"	-3.775	0.354
"YMR284W"	-2.49166666666667	0.376333333333333
"YNL011C"	-3.539	0.4185
"YNL079C"	-4.203	-1.0045
"YNL146W"	-4.7215	1.8685
"YNL298W"	-7.267	1.606
"YNR011C"	-4.248	0.045
"YNR026C"	-3.036	2.961
"YNR071C"	-7.57	2.141
"YNR076W"	-3.781	-0.51
"YOL033W"	-2.284	0.588
"YOL049W"	-2.824	0.01
"YOL080C"	-4.907	-0.813
"YOL090W"	-2.739	0.642
"YOR035C"	-7.911	2.382
"YOR072W"	-1.913	1.136
"YOR193W"	-4.152	0.489
"YOR262W"	-1.42	1.106
"YOR288C"	-4.406	2.063
"YOR342C"	-5.267	1.924
"YOR368W"	-2.767	0.281
"YPL048W"	-3.7	-0.8
"YPL108W"	-1.512	0.965
"YPL123C"	-4.592	0.476
"YPL191C"	-4.177	0.97
"YPL204W"	-4.07	-0.695
"YPL206C"	-5.547	1.022
"YPR004C"	-3.421	-0.019
"YPR040W"	-4.202	1.511
"YPR091C"	-3.766	0.989
"YPR131C"	-3.064	1.772
"YPR139C"	-2.974	0.987
"YPR172W"	-0.612	1.771
