	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"979.wt_plus_gamma_30_min"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1255.mec1_plus_gamma_90_min"	"2144.heat shock 37 to 37, 30 minutes"	"5358.1M sorbitol - 5 min"	"8234.dtt 240 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13066.Na/Na+FK 30min (2)"	"21632..24 mM H2O2- 250 minutes"	"21641..24 mM H2O2- 112 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28852.P2Comp 12 hr 22 min Phosphate Batch vs Chemostat Comparison2"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"40953.H2O2_II_63_min"	"40974.MD_II_120_min"
"YDR447C"	-2.299	-2.149	-3.242	-2.917	0.057	-4.882	-3.934	-3.531	-3.26	-2.465	-3.659	-3.574	-3.565	-2.813	-3.129	-0.676	NaN	-2.138	-4.249	-2.432	-2.817	0.545	0.198	0.098	-2.288	-0.0485	-1.194	-0.897	-2.593	0.881	0.4815	-0.5675	-0.5155	-0.9675	-0.8515	-3.366	-4.358	-3.223	-3.648	-0.928	-2.8305	-2.652
"YGL030W"	-2.291	-1.943	-2.592	-2.277	-0.941	-3.613	-2.888	-2.582	-1.861	-2.008	-3.668	-2.388	-2.751	-2.6	-2.361	-1.007	-0.823	-0.932	-3.284	-2.592	-2.534	-0.019	0.448	0.06	-1.925	-0.1705	-1.343	-1.038	-2.603	0.91	0.843	-0.1265	-0.5665	-1.42733333333333	-0.962	-3.412	-3.575	-3.156	-3.588	-0.432	-1.3475	-1.561
"YGL076C"	-2.09	-1.99	-2.744	-2.349	-0.891	-3.969	-3.136	-2.73	-2.564	-2.401	-3.976	-3.32	-2.996	-2.857	-1.957	-1.012	-0.913	-1.352	-4.142	-2.568	-2.648	0.108	0.069	-0.078	-2.239	-0.303	-1.742	-1.207	-2.656	0.761	0.494	0.046	-0.6005	-1.71533333333333	-1.527	-2.982	-3.347	-2.894	-2.783	-1.023	-0.909	-1.2905
"YGL135W"	-2.285	-2.468	-3.231	-2.804	-0.724	-3.221	-2.573	-2.455	-2.548	-2.942	-3.418	-3.217	-3.23	-3.119	-2.071	-0.585	-0.99	-1.15	-3.581	-2.512	-2.692	0.278	0.52	0.295	-1.561	-0.168	-2.219	-1.731	-3.406	0.72	0.54	-0.6	-0.945	-2.193	-1.911	-2.5545	-3.617	-2.509	-3.261	-1.759	-2.507	-2.729
"YHR010W"	-2.255	-2.0245	-3.406	-2.214	-0.983	-3.693	-3.281	-3.149	-2.926	-3.025	-3.508	-3.343	-3.288	-3.007	-2.769	-0.623	-1.219	-1.646	-4.159	-2.244	-2.541	0.344	0.333	-0.216	-2.034	-0.632	-1.256	-0.746	-3.0485	0.888	0.53	-0.526	-0.491	-2.896	-2.153	-3.716	-3.56	-2.978	-3.266	-0.557	-2.584	-2.466
"YHR203C"	-2.0645	-1.915	-2.8785	-2.585	-1.054	-3.926	-2.827	-3.148	-2.671	-2.895	-3.782	-3.917	-3.774	-3.412	-3.049	-0.981	-0.973	-1.0105	-4.669	-2.437	-2.591	-0.266	0.441	-0.2	-1.982	-0.635	-1.605	-1.254	-2.809	0.706	0.668	-0.717	-0.91	-2.147	-1.577	-3.661	-3.717	-3.424	-4.293	-1.145	-3.459	-2.351
"YIL052C"	-2.1565	-1.989	-2.7275	-2.49	-0.885	-3.856	-3.261	-2.954	-2.61	-3.178	-2.895	-2.82	-2.793	-2.559	-2.622	-0.819	-1.1215	-1.014	-4.174	-2.271	-2.546	0.063	0.403	-0.094	-2.17	-0.369	-1.026	-0.689	-2.531	0.99	0.603	-0.248	-0.17	-2.243	-1.378	-3.334	-2.821	-3.315	-3.128	-0.675	-2.316	-1.838
"YJR123W"	-2.5565	-1.912	-3.5655	-2.317	-1.147	-3.844	-3.276	-3.279	-3.375	-3.124	-4.381	-3.809	-3.529	-3.442	-3.646	-0.948	-1.149	-1.229	-4.282	-2.391	-2.635	0.072	0.319	-0.339	-2.04	-0.4	-1.493	-1.363	-3.445	0.801	0.569	-0.647	-1.071	-2.099	-1.327	-3.893	-3.711	-3.587	-3.755	-1.159	-2.577	-1.979
"YJR145C"	-2.2535	-1.8995	-2.8575	-2.537	0.917	-4.507	-3.488	-3.177	-2.731	-2.413	-3.54	-3.551	-3.547	-3.597	-3.707	-0.706	-1.243	-1.203	-4.857	-2.396	-2.336	-0.252	0.764	0.247	-1.921	-0.45	-1.347	-1.308	-2.7805	0.866	0.43	-0.468	-0.535	-2.054	-1.774	-3.956	-4.108	-2.94	-3.905	-0.845	-2.718	-2.67
"YLR264W"	-1.77	-1.722	-2.019	-1.987	-0.438	-3.105	-2.523	-2.018	-1.862	-1.693	-2.597	-2.945	-2.94	-2.616	-2.15	-0.635	-0.51	-0.726	-3.525	-2.241	-2.158	0.601	0.533	0.279	-1.688	-0.45	-1.912	-1.491	-1.005	0.736	-0.147	-1.104	-0.5	-1.535	-1.315	-2.255	-3.145	-2.667	-3.353	-1.375	-2.481	-2.3
"YML063W"	-1.871	-2.086	-3.191	-2.716	-1.162	-4.408	-3.73	-3.027	-2.778	-2.904	-4.048	-3.657	-3.146	-3.415	-2.83	-1.031	-0.852	-0.909	-5.57	-2.658	-2.875	0.524	0.507	0.116	-2.152	-0.561	-1.286	-0.884	-3.158	0.713	-0.14	-0.444	-0.346	-1.646	-1.594	-3.697	-4.008	-3.392	-3.41	-0.713	-2.163	-1.245
"YMR242C"	-2.539	-1.639	-3.309	-2.703	-1.255	-4.702	-3.631	-3.819	-3.001	-3.032	-3.971	-3.832	-4.338	-3.636	-3.62	-0.91	-0.972	-1.16	-4.84	-2.59	-3.004	0.006	0.499	-0.063	-2.26	-0.41	-1.596	-1.135	-3.054	0.919	0.211	-0.511	-0.535	-2.524	-1.321	-3.481	-4.607	-3.856	-3.582	-1.361	-1.514	-0.925
"YNL178W"	-2.425	-2.285	-3.467	-2.761	-1.559	-4.244	-3.755	-3.785	-3.505	-3.159	-4.338	-3.239	-3.307	-3.272	-3.183	-1.14	-1.635	-1.944	-4.97	-2.899	-2.981	0.125	0.342	-0.352	-2.233	-0.225	-2.071	-1.449	-3.459	1.295	0.721	-0.815	-0.867	-1.848	-1.965	-3.405	-2.548	-2.764	-3.881	-1.032	-3.094	-2.92
"YOR312C"	-2.612	-1.995	-2.723	-2.417	-1.31	-3.8645	-3.381	-2.919	-2.263	-2.2895	-3.3005	-2.99	-3.177	-3.0	-2.5975	-0.674	-0.843	-1.219	-4.638	-2.511	-2.402	0.435	0.075	-0.056	-2.1775	-0.523	-1.292	-0.892	-2.873	0.456	0.207	-0.407	-0.319	-2.063	-0.991	-2.96	-4.531	-2.886	-2.74	-1.056	-1.725	-1.319
"YPR044C"	-1.9475	-1.783	-2.4	-2.0885	-0.8535	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.388	-2.87	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-0.696	-0.7695	-0.687	-3.0915	-2.14	-2.1115	0.1415	0.5	-0.5735	-1.79966666666667	-0.233	-1.438	-1.182	-2.5325	0.881	0.708	-0.22	-0.255	-1.617	-1.167	-3.43	-2.862	-2.877	-2.315	-0.645	-1.4	-1.454
"YPR102C"	-2.298	-2.206	-3.37	-2.43	-0.995	-3.521	-3.2315	-3.2945	-3.3515	-2.6455	-4.045	-3.5055	-4.118	-3.673	-3.277	-0.672	-1.177	-1.349	-4.644	-2.723	-3.232	0.074	0.288	0.033	-2.162	-0.547	-1.678	-1.328	-3.007	1.18	0.812	-0.552	-0.328	-1.8	-1.553	-2.701	-4.015	-3.247	-3.663	-0.913	-2.791	-2.407
