	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"2560.29C to 33C - 15 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"7761.Na 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42061.U3Comp 09 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"
"YBL024W"	-2.084	-2.122	-2.184	-2.218	-1.409	-1.562	-2.598	-2.9	-1.945	-0.956	-1.037	-1.6915	-1.2715	-1.1915	-1.1625	-1.229	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-4.879	-2.493	-2.238	-2.114	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.322	-0.568	-0.204	-0.43	-1.0	-1.016	-0.47	-0.525	-2.18	-2.0985	-2.821	-1.631	-1.559	-1.23	-1.78	0.378	0.01	-1.978	0.374	0.043	-2.148	-1.167	-0.131	0.367	-0.029	-0.112	0.099	0.183	-0.076	0.005	-1.051	-0.49
"YBL028C"	-2.119	-2.979	-4.029	-4.375	-2.151	-2.877	-3.969	-3.261	-2.701	-2.264	-1.278	-2.4775	-1.646	-0.4725	-2.215	-1.487	-4.609	-3.234	-2.754	-2.652	-2.015	-2.162	-2.828	-4.867	-3.002	-2.268	-1.944	-1.967	-2.6315	-2.1695	-1.5655	-2.036	-1.7715	-2.0555	-1.6605	0.485	-1.375	-0.157	-0.916	-1.211	-1.192	-0.696	-2.101	-0.937	-0.4485	-4.011	-1.486	-2.074	-1.658	-1.038	-0.174	0.124	-1.545	0.323	0.444	-2.529	-1.034	-0.67	-0.149	-0.454	-0.532	-0.265	-0.077	-0.21	-1.13	-1.789	0.891
"YBL032W"	0.453	0.294	-0.215	-0.601	0.052	-0.472	-0.756	-0.755	-0.478	-0.495	-0.633	-0.5945	-0.5005	-0.29	-0.3085	0.156	-0.437	-1.23	-0.896	-1.219	-1.583	-1.98	-2.391	-3.206	-1.184	-0.896	-0.64	-1.426	-1.043	-0.879	-0.859	-1.1135	-0.4375	-0.7795	-1.0005	0.615	-0.192	0.115	-0.159	0.192	-0.449	-0.861	-0.284	-0.593	-1.008	-0.633	0.05	-0.642	-0.196	-0.425	0.628	0.629	-0.867	1.334	0.867	0.032	-1.946	-0.142	-0.128	0.245	0.558	-0.194	-0.142	0.392	-0.236	0.188	0.016
"YBL039C"	-4.41	-4.793	-5.089	-4.124	-2.316	-4.307	-4.486	-3.781	-2.783	-1.264	-2.236	-3.047	-1.325	-2.1165	-3.161	-1.618	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-2.736	-2.628	-2.386	-2.176	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	1.279	-1.647	-0.362	-1.366	-2.265	-1.76	-1.532	-2.334	-2.958	-3.456	-4.956	-2.952	-4.509	-3.644	-4.264	-0.474	-0.15	-2.769	-0.083	-0.137	-3.951	-2.162	-0.76	-0.187	-0.533	-0.76	-0.319	-0.262	-0.364	-0.672	-2.792	-1.152
"YBL054W"	-3.133	-3.129	-2.127	-4.283	-1.275	-2.807	-3.35	-2.6	-3.15	-2.447	-0.404	-0.8965	-0.556	-0.5265	-0.5	-2.376	-3.427	-2.602	-2.264	-2.213	-0.926	-1.778	0.06	-2.331	-2.433	-2.356	-1.402	-1.231	-0.806	-0.577	-0.307	-0.3605	0.1505	-0.13	-0.479	0.072	-0.865	-0.692	-0.3	0.009	-0.858	-1.135	-1.814	-1.057	-0.6495	-3.299	-2.823	-3.046	-2.156	-2.111	-0.376	-0.27	-1.114	0.062	0.828	-2.298	-0.399	-0.5	-0.355	-0.657	-0.978	0.151	-0.376	-0.684	-0.297	-1.799	-0.204
"YBR088C"	-1.111	-2.069	-2.259	-2.975	-0.645	-1.772	-1.936	-2.199	-0.789	-0.891	-1.552	-0.889	-1.6675	-1.2345	-1.1385	-0.27	-4.244	-1.545	-1.519	-1.064	-1.712	-2.177	-4.084	-4.124	-1.282	-1.484	-1.744	-1.332	-2.613	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	0.248	-0.472	0.052	-0.856	-0.283	-1.319	-0.734	-1.185	-1.412	-0.667	-2.522	-1.586	-1.89	-1.247	-0.682	0.447	0.38	-0.96	0.426	0.077	-2.591	-2.675	-0.518	0.121	0.882	0.111	-0.944	0.165	0.622	-0.74	0.196	0.387
"YBR089W"	-1.787	-2.238	-2.218	-2.052	-1.087	-1.938	-1.703	-1.744	-1.081	-0.286	-0.727	-2.412	-1.209	-1.2615	-0.758	-0.438	-2.938	-1.454	-0.488	-0.175	-0.788	-0.532	-3.547	-2.47	-2.078	-1.621	-1.638	-1.997	-2.9465	-1.089	-1.348	-1.751	-2.8165	-3.093	-1.8535	0.905	-0.664	-0.488	-1.141	-0.392	-1.507	-0.841	-0.876	-0.822	-0.529	-1.902	-1.14	-1.407	-1.013	-0.676	-0.007	-1.024	-2.327	-0.425	-0.272	-1.855	-1.045	-0.573	0.665	0.736	0.097	-0.674	0.146	0.627	-0.519	0.749	-0.317
"YBR166C"	0.172	-0.0665	0.0965	-0.3595	0.0405	-0.104	-0.33	-0.358	-0.196	-0.019	0.1325	0.00133333333333333	-0.136333333333333	0.373666666666667	0.280333333333333	0.0465	-1.467	-1.3	-1.0035	-1.251	-1.0985	-1.407	-2.2345	-3.0285	-0.7975	-0.6195	-0.887	-1.552	-1.33633333333333	-0.705	-0.636333333333333	-1.099	-0.965333333333333	-1.83066666666667	-1.03266666666667	0.833	0.1005	-0.314666666666667	0.2865	-0.2795	-0.0605	0.3245	0.169	-0.643	-0.217666666666667	-0.4265	-0.107	0.172	0.48	0.283	0.456	0.26	-1.018	0.205	0.263	-0.664	0.081	-0.235	0.293	0.027	-0.07	-0.094	-0.011	-0.037	-0.524	0.162	0.279
"YBR202W"	-0.662	-0.955	-1.478	-1.748	-0.606	-0.572	-1.274	-1.286	-0.386	-0.487	-0.576	-0.965	-0.435	-0.3725	-0.294	-0.373	-0.182	-0.381	-0.299	-0.038	-0.165	0.429	-0.801	-1.786	-0.812	-0.365	-0.473	-0.606	-0.6615	-0.125	0.0205	-0.287	-0.311	-1.209	-1.3025	0.248	0.038	-0.3825	0.12	0.337	-0.589	0.022	-0.883	0.149	0.8815	-1.597	-0.546	-0.521	-0.195	-0.162	0.072	0.394	-1.152	0.422	0.904	-0.152	0.077	-0.486	-0.503	0.119	0.243	-0.199	0.512	-0.039	-0.394	-0.075	0.308
"YCL053C"	-2.18	-2.892	-2.257	-2.571	-1.523	-2.61	-3.477	-3.061	-2.015	-1.285	-1.06	-1.365	-1.326	-1.0015	-1.64	-1.478	-4.013	-2.459	-1.834	-1.096	-0.828	-1.563	-2.481	-4.22	-2.694	-1.782	-1.345	-1.024	-2.553	-1.7995	-1.597	-1.8505	-1.7235	-2.7635	-2.2165	0.428	-1.017	-0.274	-0.829	-0.37	-1.104	-0.362	-1.193	-0.903	-1.6855	-3.2	-1.991	-1.143	-1.625	-2.365	-0.479	-0.099	-1.782	0.094	0.231	-1.866	-1.115	-0.324	-0.252	-0.369	-0.358	-0.104	-0.049	-0.286	-0.611	-2.067	-0.889
