	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"681.YP galactose vs reference pool"	"684.YP fructose vs reference pool"	"854.YPD_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YBR034C"	-0.3185	0.0125	-0.1095	-3.771	-3.193	-3.203	-2.964	-2.426	-3.138	-3.33	0.345	-0.084	0.425	-3.091	0.246	-2.6345	0.054	-0.961	-0.918	-2.667	-1.178	-2.105	-2.768	-2.709	-1.833	-2.216	-2.785	-2.665	0.488	0.172	-3.638	0.433	0.172	-0.166	-0.13	0.078	0.148	-0.55	-0.485	0.431	0.315	0.995	-1.993	-2.148	-2.179	-2.016	-1.577	-1.548	-1.537	-2.498	-1.36	-4.117	-3.01	-2.306	-2.298	-1.596
"YBR053C"	-1.165	-0.7785	-0.426	2.641	2.944	8.904	2.786	2.642	3.221	3.327	-0.143	0.477	-0.3565	2.807	0.4475	3.252	0.123	0.215	0.676	1.816	0.948	1.375	1.322	1.828	1.767	1.625	1.582	1.799	0.115	0.531	4.137	0.033	-0.259	-0.157	-0.064	0.004	-0.417	-0.344	-0.083	0.022	0.054	-0.513	1.77	2.517	1.899	2.416	1.369	2.475	2.489	1.4295	1.923	2.66	2.189	1.865	3.16	3.009
"YBR126C"	-0.379	0.408	-0.6185	3.914	3.891	3.737	3.477	3.311	3.665	3.498	0.0145	0.247	-0.5605	3.073	0.175	0.896	0.0555	0.929	0.763	2.831	2.698	0.878	2.524	3.036	2.125	1.773	2.434	2.681	-0.147	0.741	3.472	-0.309	-0.74	-0.152	-0.342	0.58	0.085	0.647	0.34	0.2	0.592	-0.244	3.18	3.189	3.298	3.52	3.146	3.741	4.1745	3.8665	4.5685	3.506	3.735	3.694	3.501	2.021
"YBR168W"	-0.419	-0.3225	-0.3615	0.859	0.901	0.674	0.508	0.515	0.656	0.608	-0.589	0.55	-0.108	1.315	0.0785	1.1225	0.046	-0.595	0.159	1.037	0.241	0.492	0.825	1.028	0.797	0.953	0.915	0.946	0.061	-0.454	0.403	0.098	-0.029	0.168	0.106	0.188	0.174	0.195	0.216	0.217	0.102	-0.08	1.161	1.159	0.997	1.277	1.47	1.494	1.9075	1.088	1.27	0.815	0.877	0.245	1.616	0.91
"YBR214W"	-0.5395	-0.322	-0.4955	2.3125	2.351	2.405	1.9155	1.0875	1.61	1.77	-0.5765	0.185	-0.203333333333333	0.634	0.008	0.899333333333333	-0.219	0.484	0.709	1.6195	0.949	2.139	2.1455	2.278	2.059	1.3005	1.9325	1.7595	-0.351	0.033	1.9665	-0.318	-0.782	-0.272	-0.18	0.453	0.495	0.517	0.354	0.217	0.081	-0.445	2.881	2.831	2.848	2.993	3.175	3.089	3.2195	2.5865	3.4265	3.535	4.093	2.948	4.29	2.874
"YCLX02C"	0.018	-0.008	-0.173	-3.711	-4.024	-3.848	-3.119	-2.69	-3.872	-3.655	-0.098	-0.4785	-0.1415	-4.118	-0.4635	-3.098	-0.097	-1.104	-0.955	-2.243	-1.585	-2.794	-1.95	-2.282	-1.57	-1.301	-1.974	-1.943	0.097	-0.6575	-4.225	0.599	0.491	-0.329	-0.011	0.117	-0.787	-0.289	-0.98	-0.281	-0.065	0.237	-3.151	-2.96	-3.451	-2.752	-3.562	-2.752	-2.5195	-2.286	-2.3655	-1.517	-2.679	-2.894	-3.541	-2.722
"YCR055C"	0.096	-0.266	-0.063	-1.508	-4.1	NaN	-3.895	-3.121	-3.998	-3.454	-0.222	-0.252	0.119	-6.518	0.066	-2.6155	0.2	-1.099	-0.685	-2.259	-1.524	-1.299	-1.936	-2.904	-2.096	-1.54	-1.969	-2.123	0.145	0.077	-4.055	0.337	0.616	-0.098	0.213	-0.273	0.32	-0.266	-0.166	-0.037	-0.231	0.228	-2.286	-2.63	-2.18	-1.914	-1.166	-1.844	-2.0705	-2.7325	-1.755	NaN	NaN	NaN	NaN	NaN
"YCR057C"	0.136	-0.22	-0.217	-2.11	-3.139	NaN	-3.435	-2.848	-2.984	-2.951	0.069	-0.276	0.042	-5.726	-0.035	-1.667	0.055	-1.595	-0.741	-2.039	-1.493	-1.0	-1.682	-2.77	-2.311	-1.528	-1.274	-1.82	0.111	-0.0765	-3.831	0.357	0.371	0.078	-0.107	-0.509	0.006	-0.679	-0.204	0.334	-0.114	0.119	-2.054	-2.099	-1.993	-2.62	-1.272	-2.242	-2.339	-2.298	-2.713	-2.57733333333333	-2.66966666666667	-2.12666666666667	-2.95133333333333	-2.48433333333333
"YDL022W"	-0.769	-0.112	-0.102	3.649	3.267	2.868	2.778	2.972	3.381	3.629	-0.353	0.5675	-0.026	1.983	0.676	1.977	-0.078	1.269	1.19	4.507	1.699	2.366	4.412	4.574	4.425	3.87	4.229	4.471	0.194	0.815	3.577	0.044	-0.231	0.241	0.234	0.659	0.935	0.014	0.728	0.211	0.463	-0.29	4.64	4.362	4.724	4.466	4.678	4.418	4.396	4.5565	4.493	3.806	3.704	3.824	2.49	1.039
"YDL023C"	-0.505	-0.446	-0.45	3.334	3.318	NaN	2.598	3.003	3.335	3.546	-0.682	0.904	-0.257	1.67	0.5405	1.353	-0.152	1.231	1.095	4.129	1.594	1.758	3.553	3.813	3.556	3.398	3.409	3.475	0.296	0.388	3.64	0.074	-0.266	0.475	0.296	0.93	0.476	0.616	0.555	0.615	0.458	-0.474	4.005	4.23	4.258	3.859	2.696	2.997	4.5155	2.4205	4.2245	3.565	3.112	3.048	2.639	0.903
