	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"1015.YPD 3 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL045C"	1.426	1.85	1.673	1.638	1.234	1.75	1.679	3.101	1.924	0.688	0.521	0.55	0.415	0.863	0.619	0.881	1.37	0.652	-0.146	0.294	0.845	-0.214	0.687	1.072	1.5795	0.7475	1.677	-0.367	-0.1485	-0.6525	-1.504	-1.7755	-2.3855	-1.679	-0.011	-0.526	-0.4985	-0.7785	0.708	-0.389	-1.866	2.683	3.265	2.973	2.474	3.277	2.891	-0.94	-2.333	-3.647	-1.893	-1.801	-1.371	-2.689
"YBL099W"	0.684	0.83	0.697	0.507	0.391	0.695	0.534	2.411	1.516	0.478	0.69	0.619	0.532	0.25	0.111	0.495	-0.253	-0.349	-0.739	-0.283	-0.14	-0.124	0.213	0.435	0.444	0.446	1.1455	-0.5035	-0.176	-0.1805	-0.561	-1.549	-0.789	-1.809	-0.4765	0.7495	-0.172	-0.052	0.445	-0.578	-1.345	1.932	2.498	2.042	1.397	2.574	2.75	-1.201	-1.824	-2.373	-1.605	-1.914	-1.469	-2.088
"YBL100C"	0.881	1.119	0.589	0.082	0.519	0.503	0.347	2.251	1.0975	0.314	0.53	0.281	0.397	-0.131	-0.086	0.331	-0.402	-0.32	-0.816	-0.888	-0.62	-0.176	-0.027	0.31	0.467	-0.311	1.231	-0.386	-0.3765	-0.5745	-1.805	-1.602	-1.912	-1.422	-0.4025	-0.385	-1.7785	-1.1985	0.58	-1.356	-2.003	1.997	2.585	2.447	1.342	2.587	1.667	-0.947	-1.842	-2.847	-2.244	-2.378	-1.939	-3.704
"YBR116C"	3.412	5.014	4.694	4.622	2.439	4.069	3.738	5.024	4.18	3.826	4.426	2.492	2.357	1.034	2.642	1.633	5.472	3.185	2.523	2.303	3.196	2.391	4.433	5.404	4.8175	5.5625	5.8495	0.003	3.354	3.4745	4.3585	1.0825	-0.063	0.9515	2.2095	2.123	2.3035	3.0115	1.678	1.122	2.932	3.992	3.895	3.864	6.117	5.234	4.859	-0.78	1.835	3.245	4.609	4.966	4.819	5.276
"YBR117C"	2.502	4.35	4.041	3.304	2.831	4.099	4.009	4.408	2.124	4.272	3.485	4.041	4.3	2.755	3.658	3.99	5.417	2.9	1.536	2.526	3.263	1.214	2.667	4.613	4.5995	3.859	4.643	-0.32	2.4285	2.362	0.5095	-1.2025	-1.257	1.0615	2.298	2.18	3.581	2.6485	2.569	-0.533	3.163	3.905	3.054	3.967	6.703	5.115	4.443	0.276	0.015	1.438	3.597	4.026	1.854	2.513
"YBR230C"	3.818	3.52	3.472	3.132	3.122	3.534	3.545	3.909	3.5615	2.493	2.063	2.993	3.214	1.482	2.31	2.487	3.751	2.634	1.545	2.836	2.656	1.546	3.172	3.568	2.988	3.622	3.622	-0.268	1.47	2.028	1.802	-1.248	-1.332	-1.466	0.844	0.618	1.35	1.264	2.284	1.154	1.608	3.455	4.448	3.661	4.138	4.11	4.233	-0.134	-1.169	0.564	1.683	2.03	1.535	1.867
"YCR011C"	1.262	2.034	1.516	1.592	1.293	1.681	1.811	1.365	1.4075	0.518	0.384	0.448	0.272	0.408	0.763	0.536	1.475	0.19	0.002	-0.577	-0.308	-0.82	0.864	1.44	0.9165	-1.0995	1.477	0.16	0.555	0.453	0.144	-0.892	-1.043	0.038	0.374	0.27	0.468	-0.121	1.226	-1.706	-0.564	2.587	1.898	1.452	1.453	1.405	0.77	-0.082	0.128	0.077	0.121	0.323	0.913	-0.181
"YDL110C"	3.292	3.1445	4.5095	3.069	2.459	2.9395	2.6665	3.383	1.585	3.4035	2.402	2.8415	2.8635	2.115	2.5575	2.407	2.954	2.542	1.8025	1.735	2.6615	1.5405	2.026	2.957	3.3115	4.5765	3.6725	-0.0955	1.215	0.9625	0.9265	-1.668	0.1315	-0.969	0.7055	-0.0545	0.766	1.762	2.969	0.385	1.575	3.715	2.305	2.342	4.078	3.05	2.55	-0.516	1.09	1.118	1.624	1.544	1.636	1.239
"YDL204W"	3.317	5.01	0.311	5.128	3.877	4.936	4.887	5.851	5.34	4.511	3.455	4.067	4.561	3.189	3.761	4.115	5.38	3.647	2.744	2.333	3.582	2.208	3.467	5.29	4.309	3.58	4.036	-0.587	1.521	1.237	-0.036	-0.471	-0.519	0.379	2.329	2.107	2.109	1.142	3.876	0.203	2.683	5.526	4.943	4.367	5.864	4.642	4.76	-0.374	1.585	1.059	2.209	2.646	2.214	1.812
"YDL222C"	4.852	5.532	5.359	5.486	4.452	4.933	5.493	2.058	1.213	2.326	3.739	3.922	3.845	1.796	2.785	2.677	5.7	5.24	3.131	4.374	4.923	2.978	NaN	7.619	4.601	4.364	4.427	0.368	1.864	1.99	0.981	0.738	-1.902	0.005	2.717	3.059	1.539	1.131	5.632	-0.652	2.424	5.702	4.814	3.717	6.788	5.657	4.017	1.298	1.68	1.296	2.899	3.455	2.45	1.497
"YDR105C"	0.841	1.145	0.537	0.358	0.93	0.908	0.896	1.476	1.096	0.096	0.012	0.6	0.495	-0.277	0.168	0.574	1.515	0.557	0.476	0.474	0.443	1.225	0.859	-0.455	1.12	0.562	1.05	-0.425	0.136	0.238	-0.394	-1.497	-1.045	-0.064	-0.167	0.078	0.667	0.031	0.931	-0.311	0.371	1.49	1.08	0.834	1.497	0.961	0.587	-0.283	0.017	-0.905	-0.568	-0.271	-0.092	-0.465
"YDR148C"	0.886	1.266	0.18	1.391	1.308	1.634	1.746	2.92	3.127	0.575	0.652	0.827	0.967	0.206	0.621	0.99	1.71	1.036	0.893	0.393	0.664	1.019	0.618	1.003	1.408	0.663	1.443	-0.616	1.165	0.842	0.112	-1.869	-2.624	-1.948	1.137	1.457	1.262	1.536	0.654	-0.287	-1.561	2.437	3.376	2.708	2.528	3.96	2.598	-1.701	-1.217	-1.56	0.337	0.473	0.325	-0.647
"YDR171W"	6.617	6.083	5.884	5.56	5.126	6.153	6.24	5.287	3.724	4.979	4.183	4.385	4.392	4.176	4.034	4.162	5.398	4.059	3.183	3.831	4.1315	3.0855	3.636	3.7045	4.2405	4.457	3.991	-0.2245	1.8065	1.6945	0.9365	-0.694	-0.958	-0.3315	1.677	1.2085	1.24	1.5005	5.035	-2.006	1.997	4.747	4.074	4.252	4.639	4.566	4.385	-0.676	1.951	1.587	2.353	2.407	2.341	2.243
