	"39.alpha factor release sample027"	"53.Elutriation2:Sample2:Time2.0hrs"	"597.25 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1674.Elutriation2:Sample2:Time5.5hrs"	"2144.heat shock 37 to 37, 30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YAR002W"	0.235	-0.0603333333333333	0.064	0.267	-0.2025	-0.628	-0.802	-0.672	-1.058	-0.771	-1.515	-2.289	-0.948	-0.658	-0.884	-1.164	-0.213	0.1315	-1.3745	-1.1705	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	-0.0566666666666667	0.0796666666666667	0.018	0.331	0.454	0.03	0.058	0.003	-0.08	-0.268	0.372	-0.798	-0.207	-1.462	-1.666	-0.964	-1.189	-0.868	-1.279
"YBL009W"	0.194	0.1005	-0.121	0.705	-0.2555	-2.238	-1.159	-0.718	-1.461	-1.642	-3.733	-1.73	-1.618	-1.134	-0.51	1.093	-0.332	-0.078	-1.7305	-0.8325	-1.469	-2.1165	-1.3125	-2.116	-1.787	0.0845	-0.24	0.065	0.662	0.499	0.041	0.03	-0.466	-0.336	-0.51	0.294	-0.808	0.192	-2.005	-1.212	-1.878	-1.673	-0.958	-1.305
"YBL057C"	-0.0705	-0.088	0.044	0.506	-0.129	-0.644	-0.62	-0.443	-0.869	-1.672	-2.031	-2.661	-0.509	-0.87	-1.034	-1.105	-0.037	0.1435	-0.162	-0.7475	-0.8965	-0.5975	-1.502	-1.552	-2.088	-0.069	-0.052	0.114	0.086	0.061	0.073	-0.023	-0.041	0.09	0.071	0.148	-0.27	0.45	-0.613	-0.072	-0.422	0.003	-0.271	-0.545
"YBR011C"	0.4055	0.0265	-0.309	0.353	0.542	-1.337	-1.18	-1.081	-0.977	-1.747	-4.081	-5.344	-0.969	-0.352	-0.95	-1.407	0.046	0.401	-1.005	-0.2825	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.1445	0.2905	0.314	0.247	0.326	0.101	0.327	0.148	0.402	-0.07	0.062	-1.084	0.313	-1.321	-0.923	-0.753	-0.962	-0.771	-1.509
"YBR106W"	0.353	0.3315	0.216	0.904	-1.0405	-2.949	-2.026	-1.83	-2.108	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	0.156	0.206	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.4195	0.275	0.256	0.209	-0.152	0.166	-1.87	-1.521	-2.007	0.484	-1.924	-0.075	-3.114	-2.846	-2.825	-2.779	-2.225	-1.35
"YBR121C"	0.4785	0.1855	0.101	0.701	-1.129	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	NaN	0.2285	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	0.0935	0.101	0.324	0.381	0.121	0.03	-1.237	-1.084	-1.385	0.38	-2.249	-0.124	-2.549	-2.264	-2.22	-1.806	-1.543	-2.181
"YCR034W"	0.341	0.457	0.208	1.011	-1.028	-2.623	-1.309	-0.877	-1.912	-1.771	-3.204	-4.331	-2.664	-2.639	-1.895	-2.489	-0.111	0.4235	-2.5505	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	0.263	0.075	-0.32	0.359	0.4	-0.05	-0.224	-1.629	-0.923	-1.303	0.028	-1.8	0.124	-3.552	-2.544	-3.478	-3.226	-1.806	-1.743
"YCR044C"	-0.197	-0.157	-0.02	0.266	0.42	0.734	0.315	-0.084	-1.079	-0.32	-1.836	-2.699	-0.423	-0.808	-0.595	-1.147	0.046	0.1835	0.1315	-0.3045	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.037	0.123	-0.122	-0.199	-0.159	-0.0085	-0.076	0.023	0.194	0.168	-0.092	-0.741	-0.147	-0.221	-1.165	0.224	-0.513	-0.699	-1.467
"YCR053W"	0.272	0.289	-0.222	0.371	-1.23	-2.562	-1.828	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-0.586	-5.0E-4	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.253	0.365	0.101	0.651	0.623	-0.272	0.175	-0.642	-0.863	-0.451	0.054	-1.451	0.123	-2.722	-2.601	-2.7365	-2.51	-2.2205	-2.352
"YDL185W"	0.344	-0.088	-0.305	-0.166	-0.198	-0.209	-0.232	-0.571	-0.915	-1.477	-2.522	-4.417	-0.841	-0.619	-1.308	-2.012	-0.18	0.197	-1.075	-0.21	-0.395	-0.701	-1.557	-2.084	-3.0	-0.133	-0.006	0.13	0.172	-0.001	0.0325	0.27	-0.084	-0.187	-0.154	0.331	-0.976	-0.304	-0.4305	-0.7525	0.2265	-0.768	-1.3015	-1.035
