	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"3022.WT vs lpz8 null cells in low Cu"
"YLR208W"	-0.743	-0.814	-1.266	-1.968	-4.432	-2.018	-1.003	-1.248	-1.898	-2.183	-2.499	0.112
"YLR301W"	-1.622	-1.91	-1.953	-3.676	-5.415	-2.439	-1.36	-1.325	-2.581	-2.218	-2.268	-0.534
"YLR314C"	-0.356	-0.859	-1.783	-2.218	-5.585	-1.023	-1.702	-2.761	-2.906	-3.447	-3.937	-0.061
"YMR079W"	-0.685	-0.978	-1.001	-2.074	-3.648	-1.777	-1.053	-1.294	-1.666	-1.971	-2.855	0.334
"YMR235C"	-1.143	-1.493	-1.783	-3.534	-5.187	-2.052	-1.439	-2.046	-2.838	-3.21	-3.756	-0.479
"YNL189W"	-0.397	-0.902	-1.084	-2.367	-4.06	-1.19	-1.0	-1.294	-2.058	-2.641	-3.084	-0.046
"YNL247W"	-1.024	-1.064	-1.822	-3.191	-4.64	-2.019	-1.062	-2.277	-2.658	-3.388	-2.515	-0.202
"YNL261W"	-0.719	-0.95	-0.733	-1.862	-4.047	-0.489	-0.554	-0.227	-1.285	-1.715	-1.269	-0.062
"YNR043W"	-1.672	-1.574	-1.86	-2.934	-5.1565	-1.8335	-1.59	-2.382	-2.655	-3.803	-3.856	-0.139
"YOR198C"	-0.782	-1.3675	-1.6725	-4.452	-5.562	-0.9675	-1.543	-2.828	-4.384	-4.657	-4.415	0.037
"YOR239W"	-0.5165	-1.1765	-1.31	-3.232	-5.0985	-1.8425	-1.273	-2.15	-3.149	-3.934	-3.704	-0.63
"YOR253W"	-1.429	-1.46	-1.575	-2.7935	-5.157	-2.16	-1.318	-1.299	-1.872	-2.672	-2.633	-0.004
"YOR323C"	-1.401	-1.757	-1.941	-4.2845	-6.434	-2.053	-0.904	-1.382	-2.742	-3.497	-3.428	-0.023
"YOR326W"	-0.945	-1.475	-1.329	-3.4635	-4.9875	-1.9335	-1.343	-2.099	-3.585	-3.591	-2.795	-0.345
"YPL037C"	-2.0885	-1.9235	-1.975	-3.9955	-5.417	-1.96	-1.255	-1.872	-2.115	-3.222	-3.654	0.342
"YPL094C"	0.0745	-0.4525	-1.14	-3.0415	-5.3055	-1.6385	-0.976	-1.061	-2.024	-2.284	-2.741	0.161
"YPL243W"	-1.106	-1.109	-1.456	-4.1455	-5.276	-1.5105	-1.042	-1.873	-2.602	-3.541	-3.544	-0.188
"YPR033C"	-1.291	-1.908	-2.534	-4.8805	-7.94	-2.6225	-1.226	-2.55	-3.951	-4.382	-4.54	-0.302
"YPR108W"	-0.8275	-0.878	-1.293	-2.0125	-4.645	-1.6305	-0.783	-1.136	-2.383	-3.07	-2.669	-0.379
