	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1250.mec1_plus_gamma_10_min"	"1251.mec1_plus_gamma_20_min"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"4783.29C to 33C -30 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"7763.Na+FK 30min"	"11466.yO1 test hyb"	"11827.Pomona College Bio164: WT/dna2-1"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YAR073W"	-1.475	-1.516	-1.811	-1.998	-1.561	-1.593	-2.506	-3.191	-3.447	-1.549	-2.433	-2.377	-2.568	-2.3595	-2.069	-2.598	-1.876	-2.5165	-2.5015	-0.2425	-0.2275	-0.098	0.217	0.253	0.489	-0.116	-0.759	-1.88	-0.603	-2.7385	-2.6685	-2.892	-3.238	-0.582	-0.125	-0.197	-0.1015	-0.575	-0.6935	-0.3645	-0.6455	-1.765	-2.457	-3.27	-3.131	-3.183	-2.273	-2.879	-3.063	-3.511	-3.149	-1.518	-2.508	-1.539	-1.618	-1.38	-1.799
"YBR079C"	-0.7725	-2.406	-1.379	-2.01	-1.128	-0.936	-1.845	-1.806	-4.79	-1.533	-1.664	-1.68	-2.308	-2.741	-1.661	-2.5405	-1.965	-2.9905	-2.7575	-0.582	-0.4675	-0.301	-0.0165	0.245	-0.251	0.248	-1.015	-1.519	0.035	-1.325	-1.8995	-1.632	-1.8935	-0.947	-0.505	-0.019	-0.648	-0.325	-0.2095	-0.6225	-0.9045	-0.925	-1.842	-2.317	-2.215	-2.556	-2.08	-1.476	-1.764	-2.206	-1.794	-1.424	-3.168	-1.779	-1.658	-1.33	-3.324
"YBR118W"	-0.6765	-1.301	-1.154	-0.869	-0.643	-1.283	-1.247	-2.846	-5.272	-1.697	-1.781	-2.128	-1.73	-2.0895	-1.4355	-1.294	-1.7525	-2.167	-3.221	-0.4805	-0.2435	-0.275	-0.1035	0.053	0.084	-0.114	-0.103	-1.681	0.115	-1.358	-0.3695	-0.637	-0.4935	-0.194	-0.317	-0.2675	-0.3205	-0.051	-0.1355	-0.216	-0.221	-0.7225	-1.886	-2.658	-1.975	-1.748	-1.691	-1.032	-1.063	-1.311	-1.165	-1.104	-1.94	-0.571	-0.53	-0.389	-0.691
"YBR121C"	-1.014	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.6715	-0.596	-0.5445	-0.067	-0.204	0.328	-0.155	-1.084	-2.249	-0.324	-2.5385	-2.551	-2.637	-2.6705	-0.9585	-0.498	-0.93	-1.491	-0.825	-1.0015	-0.9375	-1.0775	-1.0075	-2.549	-2.264	-2.22	-1.806	-1.543	-0.861	-0.947	-2.361	-1.351	-1.588	-1.799	-1.562	-1.674	-1.587	-1.532
"YBR171W"	-0.389	-1.442	-1.08	-0.315	-0.651	-0.876	-0.918	-2.189	-3.399	-0.458	-0.816	-1.477	0.216	-1.6565	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.237	0.261	0.257	0.321	0.309	0.067	0.33	-0.163	-0.909	-0.156	-1.108	-1.1475	-1.3505	-0.79	-0.573	-0.194	-0.066	0.321	-0.518	-0.123	-0.568	-0.78	-0.583	-1.503	-1.041	-0.774	-1.355	-0.943	-0.433	-0.902	-0.874	-1.032	-0.583	-0.615	-0.776	0.08	-0.757	0.026
"YCR034W"	-0.4645	-2.623	-1.309	-1.032	-0.877	-1.912	-1.771	-3.204	-4.331	-2.664	-2.639	-1.895	-2.489	-2.5505	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.896	-0.653	0.018	0.181	-0.235	-0.179	-0.166	-0.923	-1.8	0.053	-2.646	-2.198	-2.761	-2.5975	-1.138	-0.394	-0.857	-0.222	-2.003	-0.286	0.42	-1.616	-1.206	-3.552	-2.544	-3.478	-3.226	-1.806	-1.722	-1.656	-2.082	-1.989	-1.819	-2.872	-2.486	-2.179	-2.013	-2.607
"YDR119W"	-0.737	-1.325	-1.357	-1.391	-1.3	-1.475	-0.886	-2.546	-1.953	-1.477	-1.287	-1.282	-1.391	-1.416	-1.434	-1.86	-1.93	-1.863	-2.202	-0.863	-0.881	-0.324	0.158	0.106	-0.013	-0.3	-0.791	-1.305	-0.322	-1.191	-0.894	-1.185	-0.928	-0.813	-0.124	0.067	-0.298	-0.942	-0.626	-0.635	-0.505	-0.243	-1.1755	-1.2495	-1.503	-1.798	-1.16	-1.209	-0.7585	-1.2975	-0.8575	-1.2535	-1.2875	-0.699	-1.032	-1.1315	-1.066
"YDR211W"	-0.215	-2.225	-1.565	-1.024	-1.573	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-1.476	-2.096	-2.022	-1.28	-1.43	-2.119	-2.043	-3.034	-0.4	0.222	0.131	0.713	0.08	0.61	0.29	-0.601	-1.1775	0.926	-1.037	-0.82	-0.853	-0.655	0.481	0.95	0.945	0.805	0.8365	0.46	0.501	0.0925	-0.3515	-1.084	-1.222	-1.631	-1.241	-0.588	-0.777	-0.967	-0.273	-0.496	-0.65	-1.159	-0.925	-0.946	-0.6	-1.142
"YDR245W"	-0.965	0.179	-1.6455	-1.349	-1.899	-1.947	-1.19	-1.932	-3.6715	-1.483	-1.5815	-1.5755	-2.319	-1.5075	-1.4085	-1.39	-1.7115	-2.2845	-2.201	-0.1915	0.0305	0.088	0.221	-0.0525	NaN	0.0435	-0.611	-1.29866666666667	-0.128666666666667	-0.7005	-0.5895	-0.621	-0.3395	-0.564333333333333	-0.254666666666667	-0.349666666666667	-0.213666666666667	-0.486666666666667	-0.945333333333333	-0.583666666666667	-0.466666666666667	-0.841333333333333	-1.844	-2.011	-1.8525	-1.6895	-1.6385	-0.5935	-0.6385	-0.701	-0.636	-0.32	-1.6555	-0.971	-1.4545	-2.049	-1.782
"YDR385W"	-1.503	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-2.682	-2.3	-1.065	-2.811	-2.538	-1.431	-1.529	-1.848	-2.214	-3.65	-1.385	-1.133	-0.703	-0.082	-0.438	-0.104	-0.738	-0.717	-1.86	0.186	-2.077	-1.398	-1.463	-1.493	-0.229	-0.256	-0.308	-0.395	-0.195	-0.308	-0.385	-0.718	-1.309	-2.699	-3.05	-1.626	-2.518	-1.929	-1.928	-1.758	-2.622	-2.076	-2.449	-4.86	-2.743	-2.252	-2.203	-3.026
