	"49.Elutriation2:Sample2:Time0.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"8210.steady state 33 dec C"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"18434.2mM MD 100min"
"YDR418W"	-0.416	1.21	1.134	-0.801	-1.558	0.005	-1.178	-1.012	-0.736	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-3.181	-2.797	-2.605	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.066	-0.293	0.065	-0.382	-0.006	0.927	0.287	0.634	-1.527
"YEL011W"	1.59	-2.279	-3.165	2.057	1.499	2.062	3.68	3.075	1.614	4.662	3.869	4.663	4.646	4.72	4.761	5.15	3.465	3.74	3.022	2.308	3.795	3.906	3.266	3.642	5.213	4.068	1.521	2.517	2.63	2.301	0.0	-0.156	0.203	0.381	1.78575
"YER015W"	0.267	-2.585	-0.718	0.629	-0.084	-0.067	0.292	0.008	-0.421	2.172	2.385	3.584	3.301	3.005	2.769	3.101	0.363	1.623	1.816	0.843	2.401	1.979	2.609	2.833	1.972	1.943	0.551	0.349	-1.4	1.115	-0.401	-0.2315	-0.3	0.08	1.25825
"YER043C"	-1.913	0.891	0.879	-0.623	-0.957	-0.337	-0.657	-0.39	-0.209	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-1.977	-3.096	-3.18	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.136	-0.419	-0.031	-0.535	-0.005	-0.439	-0.222	0.0	0.368
"YER102W"	-0.099	1.084	1.107	-0.754	-1.667	-0.058	-1.302	-1.36	-1.134	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.625	-3.37	-3.204	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.339	-0.393	0.167	-0.424	0.266	0.789	0.399	0.529	-2.0335
"YER116C"	0.583	-0.246	0.042	0.247	0.144	-0.094	-0.293	0.068	0.016	1.235	1.172	1.249	0.994	1.572	1.644	2.613	1.018	1.004	1.09	0.923	0.474	1.115	1.236	1.784	2.637	1.75	0.048	-0.057	0.072	0.204	-0.023	0.2895	0.1145	0.1055	0.79
"YFR009W"	0.104	0.407	0.394	-0.01	-0.25	-0.042	-0.698	-0.607	-0.901	-0.973	-1.89	-1.318	-1.513	-2.017	-1.914	-3.004	-4.932	-1.105	-1.586	-1.585	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.111	-0.037	-0.052	-0.015	0.436	-0.036	-0.092	-0.0845	0.11275
"YFR031BC"	-0.623	1.306	0.846	-1.335	-1.592	-0.473	-1.486	-1.45	-1.145	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-3.949	-3.594	-3.523	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	0.234	-0.331	0.022	-0.638	0.241	0.669	0.501	0.098	-1.889
"YGL012W"	-0.728	0.604	0.106	-0.425	-0.412	-0.279	0.161	0.186	0.17	-0.785	-0.204	-0.453	-0.901	-2.128	-1.968	-3.06	-3.869	-2.067	-2.25	-2.267	-1.151	-2.143	-2.209	-2.691	-2.742	-2.333	-0.096	0.144	-0.122	-0.361	0.079	0.095	0.073	0.137	-0.848
"YGL030W"	-0.383	1.167	1.037	-0.813	-1.531	-0.296	-1.042	-1.103	-0.964	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-5.484	-2.751	-2.6	-2.361	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	0.056	-0.2	-0.009	-0.389	-0.186	0.6475	0.269	0.2045	-1.665
"YGL076C"	-0.443	1.147	1.006	-1.065	-1.533	-0.206	-1.355	-1.333	-1.087	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-2.996	-2.857	-1.957	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.185	-0.122	0.348	0.027	-0.013	0.903	0.3355	0.3835	-2.27433333333333
