	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL010C"	-1.998	-2.501	-0.937	-1.3195	-0.13	0.382
"YBL092W"	-2.896	-5.158	-1.726	-2.74	0.76	0.484
"YBR011C"	-4.081	-5.344	-2.3835	-3.0585	0.569	-0.332
"YBR082C"	-2.746	-3.456	-1.767	-2.379	0.769	1.226
"YBR206W"	-2.307	-3.253	-1.0975	-1.694	0.279	0.493
"YBR246W"	-2.137	-3.138	-1.3615	-1.8565	0.045	2.359
"YCL055W"	-2.339	-3.011	-1.1365	-1.924	0.376	0.766
"YCR002C"	-3.669	-5.182	-2.564	-2.9535	0.226	2.551
"YDL051W"	-2.856	-3.563	-1.557	-2.325	0.417	0.771
"YDL191W"	-2.737	-5.192	-1.362	-1.942	0.343	0.7195
"YDL202W"	-1.649	-2.446	-1.045	-1.634	0.653	1.887
"YDR084C"	-1.565	-2.084	-0.825	-0.826	0.468	-1.349
"YDR087C"	-3.817	-4.944	-1.73	-3.407	0.125	1.533
"YDR117C"	-1.737	-2.494	-1.618	-1.45	0.671	0.445
"YDR165W"	-3.111	-5.309	-1.767	-2.409	0.398	1.0225
"YDR399W"	-3.073	-4.784	-2.115	-2.216	1.394	1.212
"YDR427W"	-1.953	-4.214	-1.642	-1.996	0.828	2.924
"YDR447C"	-3.659	-5.332	-2.53	-2.625	0.21	1.643
"YEL014C"	-2.411	-3.255	-0.607	-1.246	0.093	1.412
"YER126C"	-2.608	-5.367	-1.575	-2.584	0.221	-0.194
"YFL008W"	-1.807	-2.884	-0.945	-1.86	-0.019	0.3295
"YFL026W"	-3.285	-4.221	-1.838	-2.007	0.678	0.908
"YFR013W"	-1.774	-3.723	-1.523	-1.998	0.424	-0.2185
"YGL001C"	-2.878	-4.137	-1.719	-2.358	0.813	1.276
"YGL049C"	-2.05	-4.12	-1.692	-1.763	0.393	1.858
"YGL065C"	-1.909	-2.778	-1.365	-1.862	0.476	0.759
"YGL202W"	-3.334	-4.405	-2.119	-2.237	1.073	1.705
"YGL231C"	-1.893	-3.788	-1.455	-1.7	0.513	1.803
"YGL243W"	-1.814	-3.012	-0.769	-0.623	-0.097	2.474
"YGL245W"	-4.799	-6.655	-3.552	-4.345	0.24	0.573
"YGR037C"	-3.63	-4.976	-1.964	-2.717	0.29	NaN
"YGR125W"	-0.765	-1.464	-0.53	-1.142	0.287	0.9205
"YGR128C"	-2.66	-4.271	-2.017	-3.037	-0.175	1.2775
"YGR148C"	-3.884	-5.757	-3.022	-3.649	0.482	3.556
"YGR266W"	-1.917	-4.267	-1.709	-1.795	-0.299	3.194
"YGR285C"	-4.078	-6.1	-3.452	-4.07	0.145	0.187
"YHR024C"	-2.8215	-3.2155	-1.418	-1.672	0.718	0.769
"YHR049W"	-3.623	-4.702	-1.968	-2.952	0.881	2.079
"YHR064C"	-3.329	-5.238	-2.957	-3.678	0.674	1.714
"YHR068W"	-4.28	-6.532	-2.724	-3.669	0.518	2.683
"YHR088W"	-2.052	-3.112	-0.937	-1.914	0.059	-0.089
"YHR181W"	-1.135	-3.0	-1.106	-2.04	0.435	0.283
"YIL020C"	-2.251	-3.447	-1.853	-1.943	0.554	0.026
"YIL039W"	-3.668	-4.517	-1.646	-2.122	0.41	-1.524
"YIL096C"	-1.96	-3.119	-1.288	-1.637	0.613	1.135
"YIL138C"	-2.433	-3.747	-1.524	-2.298	0.617	1.142
"YJL002C"	-2.469	-4.487	-1.748	-2.556	0.707	0.182
"YJL029C"	-1.612	-2.23	-0.609	-1.063	0.223	1.045
"YJL073W"	-1.884	-3.2645	-1.2855	-1.7505	0.348	2.327
"YJL104W"	-0.77	-2.716	-1.266	-0.951	0.103	1.775
"YJL125C"	-2.343	-4.009	-1.983	-1.697	-0.115	0.89
"YJL154C"	-1.175	-2.331	-0.476	-0.502	0.14	-0.53
"YJR145C"	-3.54	-6.528	-2.519	-3.105	0.552	0.249
"YKL080W"	-4.229	-5.94	-2.874	-2.944	0.623	5.981
"YKL104C"	-2.463	-3.649	-2.53	-2.85	0.299	NaN
"YKL127W"	-3.89	-5.619	-1.956	-2.206	0.474	-0.161
"YKL135C"	-1.794	-3.285	-1.053	-1.318	0.51	-0.819
"YKL152C"	-3.152	-4.943	-1.713	-1.83	0.752	0.935
"YKL172W"	-2.813	-5.305	-2.271	-2.723	0.287	1.372
"YKL210W"	-2.409	-4.432	-1.627	-1.844	0.767	0.102
"YKR026C"	-2.863	-3.755	-1.858	-2.363	0.292	1.624
"YKR028W"	-2.477	-4.381	-1.296	-1.963	0.081	2.77
"YKR094C"	-2.464	-4.383	-1.792	-2.197	0.191	0.596
"YLR145W"	-1.432	-2.672	-1.389	-1.959	0.471	1.115
"YLR153C"	-4.481	-5.598	-3.578	-3.672	0.807	2.225
"YLR182W"	-2.064	-3.638	-0.93	-2.368	0.505	3.322
"YLR192C"	-2.456	-4.349	-1.566	-2.165	-0.284	-0.933
"YLR208W"	-1.968	-4.432	-1.898	-2.183	0.729	0.501
"YLR226W"	-1.197	-2.826	-1.153	-1.102	0.29	0.18
"YLR291C"	-3.037	-4.762	-1.783	-2.216	0.677	0.093
"YLR293C"	-3.488	-6.281	-2.379	-3.03	0.76	0.85
"YLR301W"	-3.676	-5.415	-2.581	-2.218	0.253	0.445
"YLR340W"	-4.11	-6.819	-2.702	-3.206	0.971	-0.04
"YLR353W"	-2.869	-4.835	-0.514	-1.477	0.049	-0.081
"YLR373C"	-1.399	-2.4195	-0.7405	-1.063	0.299	1.69
"YLR432W"	-3.532	-5.65	-1.934	-2.482	0.718	0.544
"YML023C"	-2.403	-3.4	-0.343	-0.263	0.3	-0.6
"YML031W"	-3.731	-3.953	-1.68	-1.828	0.364	2.763
"YML064C"	-2.421	-3.73	-1.338	-1.457	-0.018	0.882
"YML085C"	-3.379	-4.526	-1.907	-2.298	0.509	1.571
"YML105C"	-3.491	-5.249	-1.556	-2.731	0.197	0.841
"YMR033W"	-3.063	-4.454	-1.745	-1.826	0.033	-0.113
"YMR209C"	-0.902	-2.274	-0.952	-1.537	0.019	0.1145
"YMR237W"	-2.955	-4.233	-1.452	-1.947	0.741	2.0155
"YMR267W"	-1.371	-2.278	-0.787	-1.065	-0.068	1.1365
"YMR300C"	-3.133	-4.702	-1.803	-2.016	-0.019	1.1515
"YMR308C"	-3.091	-4.033	-2.239	-2.796	0.492	1.9
"YNL084C"	-1.945	-3.396	-1.386	-1.735	0.525	1.399
"YNL096C"	-4.038	-6.106	-3.644	-4.096	0.51	0.3735
"YNL130C"	-1.94	-2.872	-0.934	-1.411	0.768	1.451
"YNL152W"	-1.893	-3.141	-0.848	-1.514	-0.011	2.956
"YNL153C"	-2.968	-3.338	-1.523	-2.302	0.351	1.0815
"YNL163C"	-3.636	-4.2975	-2.331	-2.9335	0.09	1.05833333333333
"YNL178W"	-4.338	-6.62	-2.958	-3.483	0.607	1.3645
"YNL189W"	-2.367	-4.06	-2.058	-2.641	0.634	0.814
"YNL257C"	-3.196	-3.918	-1.286	-1.451	0.168	0.356
"YOL090W"	-1.354	-4.777	-3.071	-3.492	0.114	0.642
"YOR164C"	-2.555	-4.0095	-1.603	-1.956	0.32	3.248
"YOR201C"	-1.782	-2.872	-1.202	-0.099	0.134	0.446
"YOR210W"	-2.4525	-3.257	-1.349	-1.263	0.207	0.8
"YOR236W"	-2.4345	-3.971	-1.568	-2.695	0.11	2.392
"YOR260W"	-2.507	-4.639	-2.257	-2.577	0.123	0.632
"YOR277C"	-3.25	-4.571	-1.978	-2.103	-0.078	1.519
"YOR286W"	-1.168	-3.0285	-0.74	-1.296	0.153	1.284
"YOR321W"	-2.096	-3.7905	-1.374	-1.619	0.635	1.386
"YPL037C"	-3.9955	-5.417	-2.115	-3.222	0.53	1.862
"YPL048W"	-3.2175	-4.579	-1.535	-1.925	0.656	-0.8
