	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YBL015W"	1.7975	5.024	5.917	6.238	5.529	5.067	5.683	3.23	3.054	2.42	3.555	3.823	4.083	4.465	4.511	3.428	2.5535	2.011	3.164	2.507	-0.135	-0.6445	-0.683	-0.5045	-0.4545	4.433	-0.153	-0.627	-0.252	-0.149	0.185	0.249	0.234	0.169	0.159	0.446	0.281	-0.659	-0.19	0.588	0.448	3.333	4.665
"YBL024W"	-1.0245	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-1.661	-2.493	-2.238	-2.114	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.065	0.151	0.135	0.045	-0.1405	-2.18	0.363	0.261	-0.008	0.125	-0.606	-0.558	-1.4445	-0.537	-0.8545	-0.886	-0.5385	-0.712	-0.376	-1.207	-1.047	-2.148	-1.714
"YBL028C"	-0.5095	-4.609	-3.234	-2.754	-2.652	-2.015	-2.162	-2.828	-1.874	-3.002	-2.268	-1.944	-1.967	-2.6315	-2.1695	-1.5655	-2.036	-1.7715	-2.0555	-1.6605	0.0295	-0.0835	0.121	0.1295	-0.1155	-0.937	0.988	1.211	0.27	0.338	-0.596	-0.08	-0.0815	-0.529	0.1255	-0.5615	-0.602	-0.0765	-0.184	0.336	1.467	-2.529	-1.888
"YBR072W"	2.741	6.093	5.199	5.621	6.166	6.58	6.039	6.376	4.833	5.101	5.494	3.184	5.003	4.395	4.745	5.1185	5.612	5.8345	5.538	4.627	0.175	0.492	0.4055	0.866	0.72	4.963	-0.963	-0.771	-1.132	-1.054	0.833	2.807	2.6275	2.829	2.9835	2.693	3.0185	3.211	0.408	3.406	2.722	4.368	5.026
"YBR106W"	-0.828	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-1.944	-2.258	-2.173	-2.595	-2.731	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.066	0.425	0.067	0.096	0.073	-1.924	0.472	0.37	-0.075	-0.085	-0.056	-0.2355	-0.545	-0.903	0.023	-0.6395	-0.743	-0.6085	0.51	-1.141	-0.563	-2.825	-2.779
"YBR147W"	0.7155	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.431	2.055	2.504	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	-0.033	0.3265	0.253	0.072	0.288	3.883	-0.149	-0.233	-0.134	0.024	-1.437	-1.444	-0.9205	-0.557	-1.731	-1.46	-0.648	-1.207	-0.048	0.76	1.634	4.312	4.452
"YBR212W"	0.313	2.545	2.038	1.873	1.802	2.283	1.936	3.329	2.244	1.824	1.89	1.746	1.422	2.072	1.504	2.075	1.8265	4.222	4.5675	3.4615	-0.1455	-0.096	-0.0215	-0.1585	-0.231	2.252	-0.179	-0.253	-0.229	-0.09	-0.585	0.83	-0.137	0.406	0.014	0.025	0.037	-0.648	0.459	0.256	0.953	2.491	1.768
"YCL053C"	-0.651	-4.013	-2.459	-1.834	-1.096	-0.828	-1.563	-2.481	-2.327	-2.694	-1.782	-1.345	-1.024	-2.553	-1.7995	-1.597	-1.8505	-1.7235	-2.7635	-2.2165	-0.1325	0.0145	0.1195	0.006	0.0265	-0.903	0.325	0.8	0.055	-0.034	-0.377	-0.756	-1.007	-0.544	-0.756	-0.671	-0.553	-0.15	-0.46	-0.196	-0.059	-1.866	-1.397
"YCL059C"	-0.7355	-4.786	-2.115	-1.94	-1.722	-1.081	-1.769	-2.558	-1.244	-2.27	-1.67	-1.283	-1.197	-3.4015	-1.887	-1.4885	-1.846	-2.0685	-3.0265	-2.4555	0.0035	0.5575	0.4215	0.493	0.39	-0.73	0.821	0.691	0.607	0.795	-0.614	-0.331	-0.585	-0.367	-0.493	-0.446	-0.476	-0.519	-0.443	-0.542	-0.228	-4.436	-2.396
"YCLX02C"	-0.879	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	-2.283	-1.644	-2.734	-1.938	-0.892	-1.514	-3.098	-2.1245	-1.9175	-2.411	-1.8265	-2.441	-2.4035	0.0195	-0.082	0.0165	0.0255	-0.2285	-0.606	0.599	0.491	-0.329	-0.011	-0.467	-0.749	-0.564	-0.869	-0.601	-0.545	-0.227	-0.522	0.114	-1.235	-0.528	-3.541	-2.722
