	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"7537.25C -- 45 min"	"7539.25C -- 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"21632..24 mM H2O2- 250 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"
"YBL054W"	-3.133	-3.129	-2.127	-4.283	-1.275	-1.61	-1.479	-2.807	-3.35	-2.6	-3.15	-2.447	-1.038	-3.402	-3.427	-1.348	-2.433	0.219	0.152	-1.58	0.714	-3.299	-2.37	-3.158	-1.643	-1.159	-2.02	-2.823	-3.046	-2.156	-1.29	-2.111	-1.434	-2.298	0.898	-2.924
"YBR052C"	1.956	2.383	2.308	2.693	1.773	1.248	1.25	2.458	2.644	2.777	1.371	0.531	2.481	2.397	3.367	1.654	2.09	0.2225	-0.0485	-1.61	-0.806	2.858	0.602	0.717	0.662	0.88	-0.066	2.397	2.366	1.303	1.298	2.975	1.913	3.177	-0.068	-0.142
"YBR169C"	3.773	4.417	4.276	3.912	3.042	2.428	1.873	3.511	4.74	4.912	1.617	0.694	2.361	2.224	4.752	2.744	3.01	0.0745	0.299	-0.573	-1.449	4.295	-0.29	-0.149	-0.176	-0.001	1.819	4.798	5.386	4.062	2.945	4.19	3.293	5.374	-0.489	-1.725
"YBR266C"	-2.822	-3.764	-4.351	-3.869	-1.732	-1.154	-0.773	-2.532	-1.817	-3.376	-2.405	-1.202	-2.443	-1.853	-3.053	-1.681	-2.698	0.098	0.008	0.886	0.201	-4.774	-0.704	-0.753	-0.214	-0.267	-1.609	-3.626	-3.097	-1.986	-1.526	-2.716	-2.18	-3.048	0.075	-0.756
"YBR267W"	-2.82	-3.032	-2.733	-3.366	-2.397	-1.097	-0.736	-2.585	-2.932	-3.102	-1.915	-0.736	-2.116	-1.528	-2.923	-0.648	-2.854	0.123	-0.099	0.641	0.388	-4.409	-1.11	-0.3	-0.278	-0.096	-0.37	-1.837	-2.571	-2.002	-1.729	-2.562	-0.956	-3.123	0.044	-0.962
"YCL059C"	-1.314	-3.484	-4.56	-4.242	-2.249	-0.511	0.06	-3.611	-4.218	-3.675	-1.901	-2.662	-2.587	-2.904	-4.786	-1.244	-2.27	0.019	0.0035	1.23	0.758	-4.664	-0.324	-0.2	-0.797	-0.592	0.018	-2.026	-2.908	-2.614	-1.156	-4.103	-3.191	-4.436	0.187	-0.057
"YCLX02C"	-3.711	-4.024	-3.848	-3.119	-1.437	-0.691	-0.551	-2.69	-3.872	-3.655	-0.105	-1.179	-2.8	-2.263	-4.118	-1.644	-2.734	-0.097	0.0195	1.221	0.091	-4.225	-2.534	-0.897	-0.979	-0.698	1.55	-1.517	-2.679	-2.039	-1.187	-2.894	-1.963	-3.541	0.269	0.35
"YCR016W"	-1.772	-2.622	-2.305	-2.118	-1.458	-0.833	0.002	-2.019	-2.87	-2.734	-2.017	-1.327	-2.021	-1.836	-2.836	-1.147	-2.199	-0.056	-0.206	1.009	0.494	-2.836	-0.939	-0.656	-0.686	-0.223	NaN	-3.011	-2.302	-1.598	-1.082	-2.722	-1.756	-3.082	0.365	-0.666
"YDL031W"	-2.218	-2.88	-2.123	-2.3335	-1.2555	-0.545	-0.395	-2.1535	-2.805	-2.451	-1.2305	-0.459	-1.7075	-1.604	-2.5295	-1.2675	-2.234	0.019	0.1475	1.34	0.4315	-2.6385	-0.119	-0.387	-0.02	-0.187	-0.3	-2.448	-2.583	-1.757	-0.802	-1.283	-1.024	-2.16	0.596	0.108
"YDL051W"	-0.847	-2.35	-2.652	-2.784	-2.026	-0.534	-0.249	-2.447	-3.059	-3.066	-1.544	-1.316	-1.127	-1.688	-3.639	-1.571	-2.198	0.05	0.163	0.975	0.753	-3.388	0.047	-0.107	-0.148	-0.235	-0.578	-1.953	-2.805	-1.933	-0.581	-2.491	-1.644	-3.192	0.971	0.058
"YDL072C"	1.925	1.895	1.571	1.51	1.069	0.341	0.038	1.618	1.813	2.009	0.857	0.943	1.508	1.389	2.88	1.023	0.849	-0.134	-0.131	-0.935	0.06	1.938	0.156	0.277	0.09	-0.053	0.077	1.595	1.98	1.99	1.37	2.229	1.542	2.416	-0.029	0.185
"YDL151C"	-1.635	-2.551	-2.514	-2.268	-0.899	-0.666	-0.452	-1.124	-2.315	-2.527	-0.072	-0.485	-1.729	-1.549	-2.901	-1.479	-1.829	0.21	-0.237	-0.75	-0.251	-2.934	-0.451	-0.311	-0.375	-0.225	0.047	-0.758	-3.143	-0.5625	-0.378	-1.782	-0.7075	-0.8635	0.634	0.6905
"YDL153C"	-2.245	-4.549	-4.406	-4.333	-1.678	-0.517	-0.119	-3.047	-4.369	-3.668	-2.643	-2.224	-2.992	-2.998	-3.698	-1.052	-2.307	0.237	0.179	0.773	0.188	-4.079	-1.198	-1.624	-1.04	-1.003	-0.703	-1.446	-2.5	-2.189	-1.476	-1.85	-1.551	-5.47	0.203	0.177
"YDR060W"	-1.1235	-2.954	1.5995	-1.678	-1.29	-0.7195	-0.5135	-1.598	-1.5655	-1.223	-1.708	-0.7025	-1.552	-1.3885	-3.4175	-1.1555	-0.5845	-0.0235	-0.1345	-0.5385	0.5215	-2.5035	-0.8525	-0.7685	-0.6035	-0.641	-0.0995	-1.0675	-1.805	-1.373	-0.857	-1.9385	-0.875	-2.2405	0.1935	1.508
"YDR087C"	-2.034	-3.126	-4.331	-4.143	-1.477	-0.456	-0.35	-2.758	-3.643	-3.468	-1.886	-1.366	-2.287	-2.337	-4.139	-1.846	-2.528	0.061	0.311	0.193	0.132	-4.13	-0.029	0.193	-0.323	-0.154	0.176	-2.803	-3.928	-2.942	-1.399	-2.55	-1.348	-3.396	0.355	-1.21
"YDR096W"	2.159	2.715	2.302	2.372	0.979	0.015	0.18	2.281	2.565	2.549	1.175	0.349	1.717	1.407	3.784	2.071	2.127	-0.166	-0.062	-0.687	0.2	2.518	0.085	0.071	-0.342	-0.095	0.883	1.2685	1.2895	0.839	0.3495	0.7145	-0.019	1.286	-0.5835	0.884
"YDR120C"	-2.644	-3.186	-2.704	-2.84	-1.943	-0.626	-0.452	-2.699	-2.817	-2.359	-2.104	-1.036	-2.287	-2.025	-2.742	-1.864	-2.891	0.134	0.056	0.997	0.466	-2.159	-0.857	-1.003	-0.396	-0.344	-0.836	-3.238	-3.752	-2.621	-1.347	-2.093	-1.495	-2.616	0.685	1.366
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.603	-0.594	-0.453	-2.419	-2.874	-2.762	-1.9	-0.962	-2.006	-1.752	-4.096	-1.82	-3.015	0.27	-0.044	0.918	0.372	-2.787	-0.2655	-0.313	-0.326	-0.335	-0.1565	-2.796	-3.068	-1.809	-1.222	-3.533	-1.545	-3.205	0.867	-0.569
"YDR184C"	-2.325	-3.745	-2.039	-3.004	-1.647	-0.28	0.197	-2.64	-3.408	-2.671	-1.575	-0.649	-2.056	-1.547	-3.504	-2.09	-1.444	0.107	0.004	0.898	0.055	-3.644	-1.173	-1.1045	-0.582	-0.532	-0.7735	-4.266	-3.588	-2.225	-0.801	-2.068	-0.715	-3.208	1.206	0.172
"YDR361C"	-2.014	-2.862	-3.79	-3.438	-1.872	-0.904	-0.483	-3.115	-3.356	-3.263	-2.556	-1.897	-2.149	-2.256	-3.61	-1.254	-2.072	0.0655	0.226	1.269	0.516	-3.92	0.151	0.154	0.149	0.024	0.24	NaN	-2.614	-2.362	-1.056	-3.229	-2.131	-3.998	0.686	-0.161
"YDR391C"	2.3	2.866	2.56	2.203	1.608	0.507	0.19	2.222	2.543	2.198	1.067	0.706	1.706	1.418	3.005	1.725	1.119	0.293	0.089	-0.489	-0.127	2.907	-0.31	-0.309	-0.581	-0.716	0.692	2.676	3.456	3.28	1.624	3.107	1.298	3.318	0.532	-1.335
"YER126C"	-2.129	-3.132	-5.661	-2.634	-1.396	-0.645	-0.487	-3.488	-4.626	-4.459	-2.724	-2.146	-2.571	-2.383	-4.455	-1.149	-2.355	0.197	0.385	0.701	0.469	-5.253	-1.345	-1.3555	-0.3275	-0.42	-0.377	-3.26	-5.806	-2.916	-0.975	-3.166	-1.501	-3.761	0.626	-0.156
"YGL104C"	1.66	2.468	1.887	2.115	1.462	0.473	0.138	1.766	2.107	1.882	1.12	1.04	1.182	1.088	2.984	1.607	1.559	-0.112	0.422	-1.302	-0.686	2.33	0.168	0.277	0.18	0.097	0.266	0.82	1.211	1.323	0.274	0.773	0.553	1.442	-0.432	-0.743
"YGL111W"	-1.886	-2.705	-2.012	-2.506	-1.189	-0.58	-0.325	-2.165	-2.854	-2.867	-2.19	-1.283	-1.882	-1.684	-3.668	-1.62	-2.085	0.18	0.038	0.329	0.159	-2.724	-0.505	-0.48	-0.209	-0.302	-0.245	-2.854	-3.188	-2.001	-1.053	-2.456	-0.795	-3.063	0.568	-0.213
"YGL120C"	-2.058	-3.316	-3.34	-3.231	-1.542	-0.47	-0.497	-3.301	-3.954	-3.877	-1.855	-1.357	-2.25	-1.851	-4.557	-2.298	-3.171	-0.116	0.0	0.824	0.261	-3.8	-0.521	-0.724	-0.537	-0.595	-0.093	-2.799	-3.466	-2.416	-1.313	-2.286	-1.291	-3.546	1.027	-0.693
"YGR019W"	2.0	3.016	2.962	2.8	2.157	2.285	1.983	2.58	3.009	2.976	0.672	1.008	2.254	2.049	4.045	2.112	2.14	-0.031	-0.189	-1.159	-0.997	2.898	0.578	0.57	0.721	0.531	0.111	1.242	1.815	1.689	1.878	2.326	2.222	3.364	0.684	-0.603
