	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"809.DBY7286 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8217.steady state 17 dec C"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"40949.H2O2_II_35_min"
"YBL110C"	0.522	-0.49	-0.315	-0.0675	-0.561	0.721	1.088	0.85	0.787	0.81	1.019	0.382	0.386	0.062	0.869	0.443	0.179	0.591	0.3955	0.9545	0.744	1.6025	1.0595	1.2385	-0.6095	0.582	-0.172	-0.17	0.357	0.139	-0.218	-0.241	-0.251	-1.095	0.641	0.135	0.4235	0.689	0.865	0.592	-0.626	-0.492	-0.466	-0.388	-0.807	-0.978	-0.469	0.044	-0.166	0.16	0.08	-0.056	0.452	0.208	0.384
"YBL111C"	-0.274	-0.83	-0.529	0.054	-0.444	1.153	1.353	0.958	1.333	1.363	1.729	0.976	0.954	-0.266	0.856	0.647	1.094	0.9975	0.909	0.98	0.8965	1.8905	1.505	1.4865	-0.277	0.354	0.253	0.054	0.415	0.1	0.121	-0.027	-0.093	-0.963	0.699	0.6355	0.422	0.7025	0.6045	-0.045	-0.576	-0.407	-0.649	-0.238	-1.092	-0.689	-0.756	-0.015	-0.088	-0.258	-0.121	-0.071	0.22	0.096	-0.763
"YBL113C"	-0.206	-0.52	-0.495	-0.0355	-0.309	1.56	1.53	1.636	1.682	1.636	2.044	1.614	0.29	-0.117	0.126	0.159	1.039	1.0905	0.9465	0.9705	0.9345	2.1505	1.732	1.7605	-0.234	-0.275	0.149	-0.05	0.339	0.187	0.608	0.106	-0.12	-0.881	0.854	0.805	0.5635	0.844	0.667	0.159	-0.399	-0.332	-0.112	-0.377	-0.373	-0.274	-0.394	0.263	0.325	0.151	0.07	0.075	-1.314	0.094	-0.281
"YBR147W"	1.568	1.877	0.444	1.2525	0.423	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.431	2.055	2.504	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	1.521	2.89	1.545	0.428	1.234	1.598	1.816	1.462	1.549	-0.915	3.883	2.6205	2.871	3.1115	2.8695	3.421	0.42	0.602	-0.079	-0.208	0.3	0.723	0.106	4.38	4.452	3.294	4.622	2.098	2.406	2.06	0.896
"YDL149W"	0.287	-0.153	0.404	0.28	-0.16	1.908	1.85	1.873	1.827	2.204	2.038	2.522	1.04	0.957	1.468	1.141	0.883	1.332	1.22	1.795	1.823	2.075	2.275	1.854	0.31	1.116	-0.552	0.247	-0.498	-0.33	-0.408	-0.204	0.137	-0.063	1.866	1.294	1.474	2.03	2.24	2.005	-0.062	-0.19	-0.414	-0.295	-0.473	-0.283	-0.481	-0.9875	0.8265	0.752	0.704	0.026	0.0625	0.6845	-0.509
"YDL204W"	2.868	3.83	4.522	2.654	1.239	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.975	4.604	4.28	4.346	3.903	4.66	4.854	5.274	5.34	5.75	7.317	5.93	3.207	3.477	4.511	4.945	3.455	4.067	4.561	3.761	4.115	0.436	4.52	3.839	4.418	4.402	3.661	4.467	0.187	0.465	0.509	0.596	1.285	1.427	1.084	4.943	4.642	3.788	4.76	3.492	3.424	2.645	-0.786
"YEL074W"	-0.221	-0.331	0.022	0.379	-0.699	1.469	1.494	1.139	1.633	1.987	1.791	0.971	0.165	0.559	0.521	0.278	0.32	0.971	1.024	1.033	1.276	1.922	1.674	1.816	-0.35	0.387	0.323	-0.128	0.492	0.196	0.194	0.017	0.03	-0.876	0.729	0.783	0.441	0.518	0.451	0.437	-0.0835	-0.525	-0.008	-0.1875	-0.4975	-0.1845	-0.3685	-0.238	-0.007	-0.122	-0.293	0.148	0.535	0.349	-0.4345
"YEL075C"	-0.2	-0.562	-0.015	-0.165	-0.581	0.115	0.501	0.339	0.191	1.02	1.34	0.176	0.288	-0.473	0.055	0.35	-0.137	0.377	0.15	0.661	0.692	1.422	0.894	0.99	-0.741	0.621	-0.188	-0.053	0.156	-0.316	-0.394	-0.329	-0.503	-1.348	0.7025	0.032	0.138	0.737	0.753	0.95	-0.311	-0.4675	-0.481	-0.3165	-0.7395	-1.097	-0.46	-0.31	0.224	0.027	0.144	0.005	-0.137	0.102	-0.3585
"YEL076C"	-0.097	-0.234	-0.111	-0.042	-0.748	1.075	1.054	1.035	1.686	1.77	1.892	0.38	0.522	0.244	0.472	0.454	0.754	0.882	0.763	0.831	0.782	1.79	1.44	1.589	-0.415	0.752	-0.117	-0.093	0.423	-0.196	-0.498	-0.302	-0.14	-0.899	0.6335	0.517	0.237	0.38	0.302	0.055	-0.2065	-0.1775	-0.487	-0.643	-1.006	-0.569	-0.543	-0.256	0.094	0.312	-0.052	-0.171	-0.45	-0.126	-0.788
"YER189W"	-0.166	-0.418	-0.134	0.361	-0.76	0.733	1.235	0.882	1.134	1.421	2.045	0.79	0.428	0.051	0.558	0.575	0.699	0.581	0.666	0.861	0.984	1.611	1.375	1.238	-0.354	0.57	-0.018	-0.1	0.434	-0.127	-0.184	-0.09	-0.07	-0.963	0.286	0.482	0.084	0.811	0.882	0.599	-0.2755	-0.407	-0.3665	-0.479	-0.8145	-0.7355	-0.46	-0.337	-0.659	-0.091	0.255	-0.101	0.166	-0.001	-0.246
