	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"12733.Nitrogen Depletion 8 h"
"YBL056W"	-0.537	-1.5	-2.142	-4.006	-0.2685	-1.057	-1.563	-1.749	0.529	-0.05
"YBL057C"	-0.443	-1.672	-2.031	-2.661	-0.8965	-1.502	-1.552	-2.088	0.238	-0.283
"YBR011C"	-1.081	-1.747	-4.081	-5.344	-0.649	-2.3835	-3.0585	-3.4585	-0.105	0.03
"YBR095C"	0.39	-0.344	-0.417	-1.396	0.2285	-0.4215	-0.571	-0.851	0.446	0.504
"YBR121C"	-1.543	-2.714	-4.037	-5.791	-2.416	-4.1355	-4.173	-4.5985	-1.406	-2.1
"YBR129C"	0.053	0.026	-0.824	-2.509	-0.0045	-0.093	-0.352	-1.103	0.953	0.5415
"YBR143C"	-2.197	-2.537	-3.195	-4.642	-2.126	-2.698	-2.699	-3.572	-1.337	-1.875
"YCR002C"	-1.293	-1.667	-3.669	-5.182	-1.1235	-2.564	-2.9535	-2.7005	-0.227	-0.0135
"YDL135C"	-0.673	-1.211	-1.586	-4.374	-0.523	-1.246	-1.998	-1.559	0.224	0.153
"YDR174W"	-0.391	-0.446	-1.951	-3.526	-0.509	-1.209	-1.705	-1.726	-0.218	-0.429
"YDR197W"	0.726	0.467	-1.4	-1.764	0.696	-0.037	-0.177	-1.013	0.659	0.763
"YDR312W"	-0.536	-1.364	-2.612	-3.564	-1.492	-2.214	-2.451	-2.68	-0.519	-0.443
"YDR425W"	0.711	-0.097	-0.085	-1.852	1.115	0.404	0.019	-0.058	1.093	1.201
"YER031C"	-1.025	-1.638	-1.835	-4.144	-0.58	-0.886	-1.885	-1.955	0.0	0.232
"YER043C"	-2.553	-3.397	-4.78	-6.476	-3.174	-3.31	-4.857	-4.918	-1.204	-2.241
"YER168C"	-0.591	-1.34	-1.452	-1.886	-0.714	-0.801	-1.806	-2.032	0.079	-0.579
"YFL049W"	0.135	-0.337	-0.633	-1.14	0.029	-0.045	-0.423	-0.445	0.533	0.462
"YGL107C"	-0.826	-1.19	-2.708	-3.138	-0.57	-1.618	-1.576	-1.936	0.445	-0.106
"YGL115W"	-0.422	-1.058	-1.41	-3.416	-0.37	-1.21	-1.389	-1.566	0.24	0.172
"YGL120C"	-1.947	-2.282	-4.088	-5.111	-2.178	-2.866	-3.888	-4.137	-0.905	-2.335
"YGL213C"	-1.347	-1.897	-3.409	-3.301	-1.003	-1.708	-2.07	-2.079	1.369	-0.538
"YGL231C"	-0.78	-0.906	-1.893	-3.788	-0.361	-1.455	-1.7	-1.822	-0.121	-0.07
"YGL245W"	-1.579	-2.145	-4.799	-6.655	-1.589	-3.552	-4.345	-4.779	-0.704	0.362
"YGR084C"	-0.355	-0.95	-1.586	-3.069	-0.529	-1.647	-1.704	-1.762	0.196	-0.293
"YGR169C"	-0.22	-0.841	-1.6	-1.957	-0.786	-1.034	-1.052	-1.0	0.206	-0.31
"YGR185C"	-1.31	-2.168	-5.306	-6.361	-2.531	-4.576	-4.871	-5.006	-1.223	-1.116
"YGR229C"	-0.754	-0.943	-2.847	-4.256	-1.569	-2.401	-2.58	-3.391	-0.597	-0.694
"YGR261C"	-0.824	-1.464	-2.682	-3.233	-1.125	-1.657	-2.505	-2.45	-0.483	-0.772
"YHR047C"	-1.862	-2.047	-3.032	-4.423	-1.632	-1.978	-3.102	-3.056	-0.252	-0.523
"YHR073W"	0.022	-0.66	-1.889	-2.844	0.023	-0.99	-1.786	-1.676	0.229	0.178
"YHR123W"	-1.05	-1.135	-3.763	-4.132	-1.965	-2.917	-2.775	-2.647	-0.331	-0.332
"YHR193C"	-1.548	-1.99	-3.11	-4.166	-1.494	-1.778	-2.357	-2.845	-0.72	-0.879
"YIL044C"	-0.877	-1.1	-1.784	-2.248	-0.49	-1.033	-1.385	-1.612	-0.293	-0.194
"YIL078W"	-2.219	-1.911	-5.192	-6.059	-2.436	-4.41	-4.902	-4.944	-0.856	-1.855
"YJL097W"	-0.584	-2.089	-2.596	-4.683	-1.025	-1.461	-2.558	-2.276	0.172	-0.552
"YJR007W"	-2.107	-2.662	-3.21	-8.057	-1.848	-2.909	-3.009	-3.616	-1.17	-1.34
"YJR014W"	-0.747	-1.084	-2.399	-3.649	-0.911	-0.993	-1.578	-1.95	0.303	-0.373
"YJR076C"	-0.896	-1.448	-2.55	-4.614	-0.839	-1.815	-2.814	-3.117	-0.467	0.053
"YJR083C"	0.242	-0.74	-1.228	-1.036	0.48	-0.028	-0.389	-0.33	0.755	0.899
"YKL018W"	-0.688	-1.804	-2.638	-1.649	-0.865	-1.816	-2.077	-1.841	-0.103	-0.716
"YKL021C"	-0.931	-1.387	-2.503	-3.469	-1.655	-2.25	-2.126	-2.619	0.004	-0.934
"YKL135C"	-0.412	-0.845	-1.794	-3.285	0.028	-1.053	-1.318	-1.663	0.25	0.141
"YKR028W"	-1.198	-1.164	-2.477	-4.381	-0.672	-1.296	-1.963	-2.574	-0.487	-0.207
"YKR084C"	-0.631	-1.131	-2.455	-3.0	-0.362	-1.177	-2.183	-1.971	0.197	-0.277
"YLL002W"	-0.637	-0.958	-1.55	-1.746	-0.672	-1.028	-1.608	-1.385	-0.266	-0.169
"YLR060W"	-2.296	-2.849	-4.941	-5.967	-2.397	-3.118	-3.713	-4.371	-1.817	-1.534
"YLR061W"	-3.603	-3.127	-4.939	-6.591	-2.433	-3.309	-3.833	-3.91	-1.525	-2.383
"YLR062C"	-3.067	-4.077	-5.705	-6.896	-3.209	-4.299	-4.293	-5.234	-2.368	-3.446
"YLR100W"	-0.795	-1.003	-2.507	-4.853	-1.184	-1.855	-2.159	-2.128	-0.47	1.169
"YLR115W"	-0.497	-0.879	-2.383	-2.017	-0.275	-1.909	-2.318	-2.333	0.293	-0.156
"YLR153C"	-0.454	-1.497	-4.481	-5.598	-1.29	-3.578	-3.672	-3.394	-0.334	0.612
"YLR195C"	-0.942	-1.786	-3.103	-2.38	-0.97	-2.67	-2.925	-2.939	0.047	-0.424
"YLR289W"	0.069	-0.08	-2.293	-0.819	0.849	0.0	-0.511	-0.592	0.348	0.652
"YLR293C"	-2.565	-2.675	-3.488	-6.281	-1.45	-2.379	-3.03	-3.186	-1.392	-1.494
"YLR319C"	-0.159	-0.864	-1.339	-1.223	-0.297	-1.687	-1.713	-1.707	-0.142	0.202
"YLR404W"	-0.339	-0.436	-1.556	-1.959	-0.568	-0.684	-0.996	-1.185	0.094	-0.132
"YLR418C"	-0.305	-0.407	-1.172	-2.673	-0.231	-1.243	-1.238	-1.829	0.258	0.114
"YML064C"	-1.549	-1.415	-2.421	-3.73	-0.612	-1.338	-1.457	-1.948	0.057	0.129
"YML074C"	-1.538	-2.161	-2.837	-5.319	-1.207	-2.826	-3.214	-3.466	-0.829	-1.402
"YMR208W"	-0.871	-1.063	-2.542	-3.618	-0.931	-1.98	-2.454	-2.354	-0.059	-0.086
