	"42.alpha factor release sample022"	"104.alpha factor release sample024"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"1107.alpha factor release sample025"	"1249.mec1_plus_gamma_5_min"	"1250.mec1_plus_gamma_10_min"	"1673.alpha factor release sample021"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13066.Na/Na+FK 30min (2)"	"30319.usv1("	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YCL054W"	0.328	-0.018	-3.412	-3.545	-3.187	-2.942	-1.013	-2.871	-3.741	-3.668	-2.152	-1.973	-1.441	-1.8665	-1.939	-2.492	-1.974	-1.659	-1.3	-3.386	-2.092	-2.133	-2.044	-2.121	-2.124	-0.431	-0.088	-1.285	-0.263	-0.133	-1.0025	-1.061	-1.1805	-1.155	-1.884	-1.505	-1.39	-1.143	-1.226	-0.249	0.127	-4.039	-0.037	0.736	-3.522	-4.037	-2.713	-1.597	-3.835	-2.141	-2.617	-3.761	-2.107	-1.981	-2.49	-2.753	-2.009
"YCR072C"	-0.114	-0.309	-2.145	-4.048	-3.359	-3.587	-1.668	-2.626	-3.503	-2.949	-2.217	-1.563	-2.405	-1.6695	-1.81	-2.43	-1.537	-1.46	-1.045	-4.777	-2.891	-2.433	-2.593	-3.092	-2.773	-0.51	-0.038	-1.12	0.184	0.069	-1.016	-0.849	-0.6425	-0.6125	-1.792	-1.609	-1.051	-1.272	-0.6285	-0.512	0.319	-4.635	-1.256	1.186	-4.939	-4.551	-2.816	-1.529	-2.665	-1.203	-2.44	-3.703	-2.838	-2.759	-2.792	-3.033	-2.592
"YDL150W"	0.3095	0.0075	-3.196	-2.77	-2.172	-2.043	-0.684	-1.49	-2.286	-1.926	-1.38	-1.641	-1.444	-1.437	-1.207	-1.608	-1.599	-1.044	-0.877	-1.991	-1.142	-1.17	-0.982	-1.73	-1.542	-0.44	-0.1305	-0.902	-0.229	0.0785	-0.295	-0.52	-0.487	-0.361	-1.143	-1.286	-1.119	-0.932	-0.157	-0.36	0.256	-2.995	-0.071	-0.026	-2.441	-3.068	-1.939	-1.022	-1.793	-1.024	-2.945	-1.384	-2.591	-0.974	-1.386	-2.336	-1.182
"YDR087C"	-0.071	0.027	-2.034	-3.126	-4.331	-4.143	-1.747	-2.758	-3.643	-3.468	-1.209	-1.475	-1.886	-2.122	-1.63	-2.287	-2.337	-1.028	-0.921	-4.139	-2.976	-2.337	-2.758	-2.528	-2.208	-1.074	0.061	-1.992	-1.006	0.412	-0.8	-0.796	-0.933	-0.891	-1.68	-1.708	-0.446	-0.868	-0.809	-0.209	-0.197	-4.13	0.39	0.937	-2.803	-3.928	-2.942	-1.399	-2.55	-1.348	-2.16	-3.396	-3.436	-1.812	-1.73	-1.961	-1.691
"YDR165W"	-0.129	0.06	-2.444	-3.154	-3.024	-2.85	-1.053	-2.419	-2.874	-2.762	-1.364	-1.491	-1.9	-1.702	-1.089	-2.006	-1.752	-1.294	-0.968	-4.096	-2.538	-2.179	-2.69	-3.015	-2.243	-1.215	0.27	-1.395	-0.547	0.362	-0.53	-0.571	-0.649	-0.702	-2.129	-1.967	-0.889	-1.145	-0.806	-0.145	0.1	-2.787	0.2725	0.3365	-2.796	-3.068	-1.809	-1.222	-3.533	-1.545	-2.722	-3.205	-2.632	-1.941	-2.535	-2.739	-2.779
"YDR184C"	0.156	-0.295	-2.325	-3.745	-2.039	-3.004	-0.828	-2.64	-3.408	-2.671	-1.465	-1.352	-1.575	-1.501	-1.274	-2.056	-1.547	-1.242	-0.812	-3.504	-1.845	-2.067	-1.291	-1.444	-1.709	-1.057	0.107	-1.527	-0.092	0.152	-0.618	-0.514	-0.569	-0.682	-1.882	-2.075	-0.837	-1.159	-0.286	-0.477	0.211	-3.644	-0.1985	0.908	-4.266	-3.588	-2.225	-0.801	-2.068	-0.715	-1.481	-3.208	-1.663	-2.208	-1.365	-2.061	-1.479
"YDR398W"	-0.211	0.077	-4.395	-5.035	-4.725	-4.358	-1.272	-3.115	-4.082	-3.388	-1.729	-2.038	-3.183	-1.917	-2.086	-2.576	-1.783	-1.42	-0.783	-4.143	-2.42	-2.114	-2.012	-3.069	-2.517	-0.629	0.266	-1.421	-0.3	-0.051	-1.003	-1.013	-1.101	-0.936	-2.147	-1.277	-1.076	-1.234	-1.284	-0.385	-0.17	-4.269	0.846	0.962	-3.627	-4.76	-2.67	-1.184	-1.871	-0.556	-2.397	-3.061	-1.999	-2.117	-2.064	-2.867	-1.751
"YER127W"	-0.355	-0.082	-2.534	-2.809	-2.346	-2.38	-0.933	-1.952	-3.051	-2.807	-1.826	-1.02	-1.94	-1.222	-1.506	-1.778	-1.278	-1.104	-0.7	-3.292	-2.064	-1.821	-2.177	-2.835	-2.486	-0.221	0.063	-0.95	0.449	-0.13	-0.749	-0.876	-0.944	-0.855	-1.641	-2.207	-0.901	-1.037	-0.767	-0.293	-0.031	-3.328	-0.041	0.7295	-5.069	-4.459	-2.508	-1.676	-1.991	-1.029	-2.59	-3.601	-3.002	-2.336	-2.268	-2.811	-2.543
"YGR079W"	-0.165	-0.117	-3.894	-2.785	-4.644	-3.48	-1.495	-2.556	-3.142	-2.355	-1.149	-2.132	-1.664	-1.003	-1.108	-1.334	-1.024	-0.864	-0.704	-3.414	-2.981	-1.325	-1.323	-2.597	-2.126	0.676	0.193	-0.971	0.268	-0.207	-0.641	-0.169	0.152	0.232	-2.09	-1.73	-0.953	-0.598	0.198	-0.257	0.262	-3.774	0.302	0.462	-3.859	-3.401	-2.499	-1.484	-1.94	-1.17	-2.988	-2.99	-2.303	-1.218	-1.303	-2.095	-1.663
"YGR127W"	-0.298	0.052	1.8105	2.0945	1.8015	2.0255	1.0975	1.6685	2.161	2.077	1.022	0.71	0.939	1.638	0.75	1.326	1.017	1.262	0.549	2.335	1.652	1.856	0.892	1.786	1.861	-0.089	0.014	0.039	0.096	-0.13	0.203	0.618	0.684	0.607	1.618	1.312	0.502	1.094	0.722	-0.0055	0.43	2.175	0.1095	0.3505	1.948	3.264	1.572	0.708	2.493	1.631	1.709	2.788	2.319	1.675	1.699	2.214	1.955
