	"861.YPD_5_d_30C"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YBL051C"	-3.077	-1.6195	-2.2805	0.6205
"YBR082C"	-3.456	-2.379	-2.5995	-0.1725
"YBR253W"	-2.693	-0.91	-0.9645	-0.066
"YCL031C"	-4.4835	-1.04766666666667	-1.38066666666667	0.599
"YCR002C"	-5.182	-2.9535	-2.7005	0.178
"YCR043C"	-4.19	-1.8875	-1.6275	1.2795
"YCR067C"	-2.0615	-0.785333333333333	-0.852333333333333	0.239666666666667
"YDL015C"	-4.309	-1.9455	-2.2355	0.296
"YDL084W"	-4.827	-2.01	-2.373	0.974
"YDL095W"	-3.518	-0.827	-2.037	0.634
"YDL148C"	-4.257	-2.527	-2.281	0.35
"YDL157C"	-2.811	-0.332	-0.793	0.953
"YDL166C"	-2.628	-0.946	-1.072	0.041
"YDL191W"	-5.192	-1.942	-2.86	1.822
"YDR023W"	-5.745	-3.357	-3.85	1.69
"YDR037W"	-5.224	-3.368	-3.772	1.204
"YDR101C"	-4.667	-3.177	-3.516	0.961
"YDR151C"	-1.909	-1.058	-1.069	0.288
"YDR158W"	-5.115	-3.802	-4.509	2.092
"YDR189W"	-2.842	-1.904	-2.063	0.057
"YDR210W"	-4.92	-2.09	0.354	0.46
"YDR233C"	-3.48	-2.27	-2.451	0.614
"YDR365C"	-4.269	-3.039	-3.298	0.893
"YDR417C"	-5.062	-3.022	-3.606	2.333
"YDR447C"	-5.332	-2.625	-3.552	1.98
"YER105C"	-3.477	-2.363	-2.555	0.392
"YFL002C"	-4.836	-1.723	-2.131	0.765
"YFR002W"	-7.825	-2.295	-2.746	0.948
"YGL065C"	-2.778	-1.862	-2.045	0.016
"YGL067W"	-2.893	-1.617	-2.053	0.829
"YGL095C"	-3.482	-1.3	-1.69	-0.487
"YGL099W"	-5.764	-3.273	-3.42	0.647
"YGL102C"	-5.65	-1.938	-2.13	1.606
"YGL115W"	-3.416	-1.389	-1.566	0.399
"YGL234W"	-5.74	-0.919	-1.198	-0.1
"YGL238W"	-4.337	-1.937	-2.674	1.231
"YGL245W"	-6.655	-4.345	-4.779	1.309
"YGR027C"	-5.39	-1.867	-2.368	1.487
"YGR083C"	-4.599	-2.794	-3.226	1.142
"YGR085C"	-6.059	-3.54	-4.179	2.15
"YGR103W"	-5.518	-3.578	-3.882	1.312
"YGR124W"	-4.207	-3.169	-3.758	2.282
"YGR155W"	-4.396	-1.786	-2.407	1.052
"YGR175C"	-4.5	-2.628	-3.285	0.156
"YHR019C"	-5.077	-3.721	-4.387	2.274
"YHR023W"	-2.4215	-1.5635	-1.046	0.084
"YHR128W"	-6.006	-3.494	-3.516	1.902
"YHR201C"	-4.155	-1.632	-2.134	0.119
"YHR203C"	-5.944	-3.081	-3.941	2.739
"YIL096C"	-3.119	-1.637	-1.667	0.084
"YIR004W"	-1.697	-1.046	-1.035	0.168
"YJL111W"	-6.57	-1.994	-2.239	1.213
"YJL167W"	-7.538	-2.855	-2.924	0.732
"YJL177W"	-5.49	-2.278	-2.905	2.74
"YJL180C"	-3.244	-1.187	-1.462	0.231
"YJL183W"	-4.986	-2.208	-2.121	0.72
"YJR001W"	-3.551	-1.449	-1.784	0.162
"YJR032W"	-3.054	-1.609	-1.727	0.294
"YJR070C"	-7.226	-2.254	-2.322	1.038
"YJR132W"	-3.493	-1.512	-2.109	0.987
"YKL135C"	-3.285	-1.318	-1.663	0.251
