	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18425.2mM MD 040min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YAL012W"	-0.344	0.186	1.053	1.161	0.956	0.877	0.89	-2.115	-2.818	-2.451	-2.188	-2.58	1.149	-3.358	0.031	-0.923	-2.168	-0.35	0.1	0.805	NaN	-0.7875	-1.2265	-0.4805	-0.412	-0.5065	0.09	1.102	0.82	-2.946	-0.636	-0.8005	-0.7505	-1.202	0.1545	0.758	1.6065	0.387	0.8495	0.2945	-0.116	0.481	-0.2265	0.687	0.0855	0.076	1.256	0.476	-0.122	0.05	0.922	0.922	0.732	2.177	0.719	0.203	0.341	-0.636	0.108	-0.944	-1.396	-2.107	-4.237	-3.113	-3.85	-3.65	-4.384	-2.221	0.132	-0.73	-0.786	-0.736	-0.158	-1.412	-2.452	2.568	2.017	1.691	1.66	1.614	1.873	2.445	1.862	1.849	1.952	1.489	2.083	1.885
"YBR008C"	-0.115	2.647	2.156	1.935	1.267	1.698	2.065	0.179	0.149	0.319	0.535	0.539	0.234	-1.157	-0.023	-0.228	0.372	-0.117	5.381	2.432	3.764	0.5115	0.5815	0.1915	-0.098	1.1855	0.625	2.742	3.527	0.366	0.2095	0.2065	-0.2165	0.0485	4.319	4.554	3.376	3.281	3.3225	0.298	2.882	3.5545	1.694	2.9535	2.188	0.698	2.052	0.882	4.322	1.199	1.373	3.547	1.153	4.28	0.817	0.587	0.055	1.1	1.201	0.864	0.702	0.817	0.661	-0.202	-0.601	-0.62	0.63	1.165	0.665	-0.234	0.591	0.538	0.313	1.014	-0.311	5.395	5.723	4.731	4.302	1.553	3.213	3.421	3.031	1.908	2.771	2.536	2.979	3.044
"YBR029C"	-0.455	0.043	-0.228	-0.1	0.148	0.39	0.26	-1.192	-0.613	-0.807	-1.29	-1.342	-0.376	-3.773	-0.864	-0.824	-0.919	-1.273	-1.068	-0.043	-0.376	-1.0185	-0.253	-0.3475	-0.749	-0.0025	-0.6205	0.256	-0.138	-0.764	-0.5375	-0.6475	-0.653	-0.778	-0.1425	-0.242	-0.6065	-0.506	0.7205	-0.237	-0.2645	-0.158	0.737	-0.339	-0.356	-0.413	-0.628	-0.693	-0.752	-0.151	-0.373	-1.046	-0.184	-1.283	-1.061	-1.046	-1.356	-1.309	-0.46	-1.346	-1.266	-0.857	-0.715	-0.293	-0.546	-0.274	-1.396	-2.151	-1.298	-1.895	-0.871	-0.784	-1.15	-1.906	-0.767	-1.063	-0.257	-0.591	-0.485	-0.417	-0.47	-0.504	-0.402	0.631	-0.588	0.605	0.281	0.355
"YBR079C"	-2.451	-0.095	-1.126	-1.226	-1.433	-1.013	-0.748	-2.406	-1.379	-1.128	-0.936	-1.845	-1.806	-4.79	-1.533	-1.664	-1.68	-2.308	-0.778	-0.267	0.077	-2.741	-1.661	-2.5405	-1.965	-2.9905	-2.7575	0.575	-0.132	-1.519	-1.325	-1.8995	-1.632	-1.8935	-0.2575	-0.282	0.3185	0.0205	0.2985	0.017	-0.255	-0.4805	-0.2545	-0.3475	-0.627	-0.388	-1.043	-1.789	-0.521	-3.01	-1.179	-1.237	-0.622	-1.339	-3.175	-1.984	-3.148	-2.207	-2.231	-2.621	-2.216	-1.842	-2.317	-2.215	-2.556	-2.08	-1.972	-2.206	-1.424	-3.168	-1.779	-1.658	-1.33	-3.324	-2.291	-2.293	-1.541	-1.533	-1.027	-0.125	-1.815	-3.602	-2.935	-1.659	-1.917	-0.029	-0.486	-1.746
"YBR115C"	-1.307	0.249	-1.208	-1.263	-1.077	-0.746	-0.882	-1.014	-0.668	-0.305	-0.436	-0.282	-1.308	-3.22	0.057	-0.712	-0.256	-1.089	-0.149	0.373	0.422	-0.856	-0.6815	-0.961	-0.835	-0.8575	-0.635	0.023	0.147	-0.65	-0.748	-0.76	-0.392	-0.922	0.268	0.951	1.5525	-0.023	0.247	-0.163	-0.1345	0.31	1.352	0.629	0.9215	0.073	-0.33	-0.13	-0.315	-2.113	-0.466	-2.321	0.507	-0.643	-1.601	-0.525	-2.437	-2.552	-0.85	NaN	-2.221	-0.026	-1.35	-1.606	-0.868	-0.816	-0.848	-1.115	-1.029	-0.805	-1.752	-2.549	-3.04	-0.494	-1.339	-0.828	-0.937	-1.233	0.042	0.942	0.048	-0.535	-0.094	0.493	0.663	0.876	0.455	0.889
"YBR121C"	-2.004	-0.852	-0.245	-0.881	-1.117	-0.761	-0.747	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-0.276	-0.519	-0.952	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.052	-0.606	-2.249	-2.5385	-2.551	-2.637	-2.6705	-0.3465	-0.3485	-1.101	0.333	-1.3825	0.1745	-0.626	-1.64	-1.1415	-1.396	-0.8775	-0.433	-1.997	-1.198	-0.3	-2.442	-1.443	-2.303	-0.433	-1.021	-1.448	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-2.549	-2.264	-2.22	-1.806	-1.543	-2.181	-2.361	-1.588	-1.799	-1.562	-1.674	-1.587	-1.532	-1.042	-1.638	-2.356	-1.697	-1.492	-0.9	-0.064	-2.224	-1.649	-1.635	-1.352	-1.074	-0.461	-1.433
"YBR244W"	1.252	3.511	2.385	2.102	1.673	1.65	1.506	-2.29	-2.734	-2.763	-2.058	-2.021	-2.845	-4.144	-1.397	-1.853	-1.508	-1.809	3.542	3.982	3.7	-1.88	-1.8535	-1.7475	-1.5825	-2.1485	-0.636	3.109	3.524	-0.434	-0.238	0.2215	0.12	-0.052	2.604	3.633	3.698	4.542	4.238	4.098	4.065	3.721	3.38	3.649	3.763	3.376	4.123	3.701	4.006	3.514	3.992	4.513	4.436	4.735	0.7675	0.7315	0.498	0.1395	0.7505	0.095	0.1465	-1.373	-1.1345	-1.5365	-1.833	-1.5465	-1.633	0.388	2.0395	1.208	1.2475	0.409	0.7595	1.2785	-0.7435	3.729	3.462	2.959	2.618	2.069	3.058	3.168	1.823	1.201	1.54	0.933	1.937	1.489
"YCR053W"	-0.915	-0.182	-0.349	-0.735	-0.88	-0.491	-0.509	-2.562	-1.828	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-0.624	-0.319	-0.465	-2.5805	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.434	-0.268	-1.451	-1.6735	-1.907	-1.727	-1.764	-0.229	0.395	0.019	-0.008	-0.434	-0.194	-1.068	0.731	-0.926	1.628	0.001	0.065	-0.712	-0.151	-0.516	0.33	-0.676	-0.176	0.482	-0.437	-0.367	-0.892	-1.5505	-1.1685	-1.1875	-1.6075	-0.9855	-2.722	-2.601	-2.7365	-2.51	-2.2205	-2.352	-0.9285	-0.454	-1.3325	-1.2405	-1.522	-1.0855	-1.745	-1.1015	0.737	-0.68	-0.577	0.403	-0.376	1.5	-0.361	0.012	-0.187	-0.065	0.452	0.151	0.082
"YCR107W"	-0.231	2.618	1.427	1.787	2.35	2.56	2.568	0.175	0.36	0.816	1.015	0.512	0.436	-0.864	-0.436	0.098	0.244	0.068	0.756	1.236	1.319	0.859	1.604	1.5415	1.665	1.6695	1.0085	0.355	1.795	0.808	0.4755	0.91	1.002	1.1345	2.727	3.628	4.176	3.789	2.623	1.76	4.627	3.796	2.114	3.107	3.521	2.038	1.588	2.038	1.61	2.183	1.784	2.781	0.565	3.53	1.747	0.835	1.483	1.297	1.263	1.043	0.738	-0.309	0.138	-0.365	-0.114	0.097	0.652	0.511	2.098	0.17	0.712	0.192	1.01	-0.103	0.005	3.226	2.783	3.053	2.401	2.043	2.829	3.054	1.707	2.288	2.713	2.544	2.28	2.532
"YCRX21C"	0.052	2.444	1.83	2.153	2.591	2.84	2.924	0.783	1.11	0.96	1.263	0.817	0.325	-0.409	-0.054	0.262	0.55	0.135	4.916	2.216	NaN	0.8525	1.6765	2.0695	1.893	2.4675	1.4695	1.781	2.211	0.72	0.563	1.342	1.08	1.6235	1.946	3.619	4.606	2.751	4.421	2.187	5.264	4.844	3.652	4.294	4.028	1.588	3.498	2.73	1.173	2.199	3.327	3.301	2.664	4.587	2.584	1.052	1.114	0.534	0.864	1.577	0.991	0.724	0.85	0.699	0.634	0.862	0.352	1.671	1.566	0.792	1.1	0.991	1.386	0.859	0.875	3.681	3.951	3.874	3.525	2.419	3.123	3.343	3.807	3.86	4.464	4.13	2.699	2.991
