	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"
"YBL062W"	0.167	-3.646
"YBL094C"	-0.666	-3.801
"YBR057C"	2.706	-4.106
"YBR099C"	-1.437	-4.852
"YBR297W"	0.866	-8.283
"YCR094W"	4.62	-5.93
"YCRX14W"	-0.249	-5.875
"YDR092W"	0.4965	-2.609
"YDR205W"	0.9125	-2.2275
"YDR318W"	1.668	-2.454
"YDR521W"	2.073	-4.636
"YER029C"	1.049	-1.473
"YFL013C"	1.0635	-4.8615
"YFL048C"	1.6765	-1.878
"YGL027C"	1.615	-3.938
"YGL164C"	3.598	-4.411
"YGL174W"	0.398	-7.537
"YGL199C"	1.498	-4.042
"YGL204C"	0.462	-4.421
"YGL218W"	1.277	-8.042
"YGL252C"	1.541	-2.111
"YGL254W"	0.495	-3.585
"YGR012W"	2.859	-4.086
"YGR168C"	0.9705	-4.445
"YGR215W"	0.534	-4.066
"YGR239C"	2.422	-5.113
"YGR267C"	-2.072	-3.884
"YHL049C"	0.887	-2.698
"YHR006W"	0.3535	-2.621
"YHR132C"	1.481	-4.908
"YHR135C"	-0.362	-6.74
"YIL040W"	3.486	-3.014
"YIL061C"	0.24	-3.979
"YIR015W"	0.949	-4.492
"YJL081C"	1.385	-4.199
"YJL100W"	3.485	-5.123
"YJL128C"	2.315	-4.006
"YJL155C"	1.638	-5.024
"YJL173C"	3.628	-4.354
"YJL223C"	0.757	-3.945
"YJR052W"	0.771	-3.22
"YJR131W"	1.056	-3.275
"YKL058W"	-0.619	-5.67
"YKL059C"	2.273	-4.511
"YKL219W"	0.727	-4.74
"YKR020W"	3.395	-3.461
"YKR087C"	1.228	-4.952
"YLL029W"	2.794	-4.466
"YLL064C"	1.156	-3.871
"YLR011W"	2.158	-6.306
"YLR019W"	0.959	-5.931
"YLR211C"	1.552	-3.571
"YLR226W"	0.18	-3.719
"YLR227C"	-1.983	-2.822
"YLR240W"	1.97	-2.767
"YLR330W"	1.715	-3.086
"YLR350W"	2.263	-4.267
"YLR360W"	2.275	-2.862
"YLR387C"	2.09	-3.809
"YLR418C"	1.354	-1.94
"YLR451W"	1.5185	-6.777
"YML011C"	1.636	-3.178
"YML112W"	3.957	-6.963
"YMR059W"	2.808	-4.87
"YMR127C"	1.575	-2.879
"YMR322C"	0.9185	-4.235
"YNL072W"	1.229	-5.109
"YNL221C"	1.3635	-4.526
"YNL267W"	0.722	-5.75
"YNL288W"	1.132	-6.388
"YNR068C"	2.578	-2.6515
"YOL036W"	1.87	-2.839
"YOL066C"	1.447	-6.251
"YOR179C"	1.554	-3.024
"YOR202W"	2.463	-5.12
"YOR322C"	1.848	-4.074
"YOR327C"	1.757	-3.11
"YOR358W"	0.014	-5.638
"YOR390W"	2.068	-3.523
"YPL026C"	-0.029	-4.271
"YPL051W"	4.666	-3.253
"YPL270W"	2.751	-4.487
"YPR037C"	1.683	-2.524
"YPR126C"	0.754	-4.564
"YPR193C"	1.851	-9.046
