	"103.alpha factor release sample026"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8227.dtt 000 min"	"8234.dtt 240 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13066.Na/Na+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YJL138C"	0.192	-1.419	-0.601	0.6855	0.76	-0.635	1.129	0.525	-2.487	-1.169	-1.274	-1.167	-1.195	-1.358	-3.125	-5.625	-1.364	-1.273	-2.285	-1.674	-1.959	0.614	-2.086	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.091	0.344	0.058	0.19	0.136	0.505	0.975	-1.136	0.527	0.521	-1.828	0.633	0.16	0.361	0.31	0.168	0.189	0.154	0.459	0.867	0.344	-2.208	-1.737	-0.978	-1.902	-1.373	-1.584	-1.676
"YJL166W"	0.076	1.835	1.4775	2.2645	-0.5	1.485	-0.984	0.001	3.137	3.667	3.5	3.101	2.498	3.751	3.849	3.041	2.392	2.57	2.339	2.197	2.526	0.585	3.028	2.833	2.507	2.963	3.264	3.664	3.32	0.096	0.005	0.021	0.28	0.3455	0.282	0.307	1.362	-0.13	0.17	1.113	-0.484	-0.278	-0.388	-0.473	-0.415	-0.555	-0.269	-1.021	-0.382	-0.263	4.107	3.65	3.802	2.806	3.428	3.524	3.809
"YJR158W"	0.0	0.7725	0.622	0.4775	-0.419	0.943	-1.534	0.307	2.439	1.69	2.551	2.097	2.537	2.536	1.645	0.613	1.665	1.477	1.985	0.773	1.577	-0.134	1.898	1.969	2.057	2.169	1.981	2.516	1.807	0.188	-0.128	0.443	0.87	-0.1905	-0.322	-0.263	0.628	-0.444	-0.094	0.749	-0.35	-0.106	-0.184	-0.216	-0.384	-0.384	-0.124	0.523	0.059	0.474	1.157	0.616	0.482	2.171	1.454	0.358	1.562
"YKL081W"	0.377	-1.6545	-1.576	-1.8405	0.415	-0.807	2.461	0.468	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-2.074	-3.28	-3.157	-3.837	-3.37	0.582	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	0.351	0.19	-0.042	0.247	0.1445	0.424	0.898	-1.603	0.601	-0.179	-2.502	0.524	-0.363	-0.002	-0.045	0.157	-0.004	-0.112	0.671	0.801	0.208	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704
"YLL023C"	-0.137	2.068	1.571	2.334	-0.247	1.177	-0.55	0.253	3.606	2.665	2.517	2.475	1.663	2.152	1.323	-1.953	1.513	1.64	1.569	1.092	0.693	0.281	2.958	2.037	1.972	2.401	1.843	1.413	0.824	0.02	0.16	0.072	0.337	0.013	-0.021	0.235	1.317	-0.277	-0.077	1.412	-0.189	-0.657	-0.533	-0.284	0.6	0.31	0.302	-0.172	-0.485	0.234	2.0	1.656	1.537	3.532	2.303	1.613	2.147
"YLL041C"	-0.737	2.605	1.933	2.775	-1.527	1.796	-2.004	-0.673	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.506	2.48	2.342	2.74	2.712	2.855	0.18	4.827	4.436	3.693	3.746	4.25	4.703	3.334	-0.242	0.014	-0.018	0.473	0.179	0.024	-0.286	1.424	-0.122	-0.256	3.417	-0.385	-0.765	-0.119	-0.191	0.612	0.812	0.792	0.368	-1.168	0.102	3.903	4.684	4.285	3.781	4.867	4.49	4.704
"YLL045C"	0.341	-2.105	-2.319	-3.116	0.434	-0.971	2.311	0.354	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-1.489	-3.169	-3.335	-3.185	-2.744	0.265	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.209	0.243	0.223	0.18	-0.056	0.908	1.356	-1.957	0.456	0.182	-2.165	0.676	0.696	0.158	0.219	0.313	0.238	0.149	0.508	1.511	0.142	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362
"YLR017W"	-0.192	-2.271	-1.562	-2.072	0.388	-0.767	0.883	0.139	-2.358	-1.587	-1.636	-1.458	-1.606	-1.619	-2.415	-1.188	-0.857	-3.089	-1.694	-1.201	-1.288	0.208	-1.511	-1.357	-1.54	-1.891	-1.834	-2.326	-2.268	0.195	0.306	0.085	0.12	-0.22	0.278	0.56	-0.377	-0.119	0.177	-1.077	0.842	0.358	0.213	0.024	-0.582	-0.538	-0.27	-0.052	0.286	-0.009	-1.426	-1.191	-0.439	-2.332	-1.711	-1.281	-2.138
"YLR048W"	0.337	-2.382	-2.16	-2.988	0.574	-1.08	2.152	0.537	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-1.942	-3.296	-3.55	-2.771	-2.506	0.28	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.091	0.394	0.258	0.252	0.123	0.374	1.014	-1.94	0.678	0.225	-2.293	0.512	0.055	-0.216	-0.254	0.161	0.064	0.164	0.15	0.742	0.132	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-3.432
"YLR060W"	-0.019	-0.649	-0.87	-1.031	0.401	-1.157	1.279	0.52	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-1.197	-2.093	-1.988	-2.672	-2.566	0.369	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	-0.007	-0.212	-0.082	0.076	0.303	0.663	-0.882	0.376	0.285	-2.464	0.203	-0.692	-0.058	-0.301	-0.092	-0.025	-0.021	-0.151	0.875	0.239	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346
"YLR185W"	-0.138	-1.728	-1.439	-2.305	0.915	-0.889	1.932	0.368	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-1.464	-2.94	-2.559	-2.616	-2.445	0.193	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	0.197	0.406	-0.006	0.114	0.187	0.444	1.242	-2.242	-0.109	-0.065	-2.023	0.726	1.053	0.318	0.507	0.384	0.572	0.339	0.057	0.417	-0.133	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35
"YLR293C"	0.291	-1.037	-0.839	-0.72	0.768	-1.282	1.003	0.222	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-0.951	-2.107	-1.751	-2.233	-2.661	0.559	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	0.45	0.078	-0.083	0.168	0.535	0.637	-1.215	-0.145	0.475	-2.235	0.557	0.669	0.406	0.387	0.356	0.187	0.473	0.555	1.18	0.092	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	-2.582
"YLR388W"	0.151	-2.382	-1.861	-2.879	0.277	-0.744	1.261	0.521	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-1.651	-3.204	-3.058	-2.742	-2.362	0.314	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.289	0.395	0.202	-0.018	0.371	0.395	1.302	-1.953	0.337	0.091	-2.034	0.593	1.012	0.131	0.25	0.414	0.42	0.375	0.767	0.88	0.076	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864
"YLR448W"	-0.051	-2.009	-1.814	-2.821	0.55	-1.597	2.319	0.588	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-1.842	-3.425	-3.454	-3.179	-2.573	0.011	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-0.047	0.394	0.011	0.099	0.184	0.341	1.0	-2.034	0.355	0.146	-2.337	0.622	0.545	-0.043	-0.066	-0.104	-0.243	0.16	0.324	0.767	-0.053	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636
"YML026C"	NaN	-2.104	-1.803	-3.139	-0.399	-0.867	1.729	0.234	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-2.084	-3.779	-3.636	-3.131	-3.217	0.053	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	NaN	NaN	-0.067	-0.007	0.137	0.041	1.005	-2.254	0.558	0.188	-1.928	0.533	0.86	0.418	0.264	0.366	0.292	0.111	0.545	0.832	-0.823	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94	-3.307
"YML071C"	-0.111	0.715	-0.585	1.146	-0.415	-0.322	-0.568	0.033	-1.243	-0.906	-0.526	-0.313	-0.431	-0.837	-0.673	-2.843	-0.616	-0.93	-1.296	-0.734	-1.298	-0.349	-1.176	-0.554	-0.435	-0.509	-1.015	-0.928	-1.0	-0.075	0.13	-0.077	-0.143	0.163	-0.222	-0.285	-0.547	0.126	0.274	-0.169	-0.496	-0.07	-0.114	-0.131	-0.095	-0.163	0.028	-0.107	-0.105	-0.475	-0.759	-1.66	-1.734	-0.89	-0.7	-1.27	-1.126
"YMR140W"	-0.078	1.098	1.063	1.168	-0.139	0.278	0.436	0.004	1.778	1.401	1.148	1.244	1.308	1.17	1.377	-0.114	2.186	1.253	1.69	1.471	1.204	0.086	0.996	0.561	1.261	1.422	1.579	2.006	0.92	-0.015	-0.038	-0.083	-0.178	0.106	-0.195	-0.858	0.623	-0.261	-0.059	1.396	0.017	-0.517	0.062	0.018	-0.087	-0.088	-0.271	-0.139	-0.023	-0.216	0.835	0.736	0.542	1.51	0.915	0.658	0.856
"YMR202W"	-0.295	-1.159	-0.639	-0.781	0.838	-1.995	1.539	0.45	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.019	-1.983	-1.581	-1.907	-1.33	0.414	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	0.098	0.432	-0.052	-0.338	0.102	0.142	0.3	0.34	0.649	0.175	-1.541	0.585	0.437	0.26	0.306	0.464	0.559	0.576	0.161	0.299	0.1875	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11	-1.758
"YMR242C"	0.036	-2.539	-1.639	-3.309	0.8	-1.39	2.345	0.401	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.004	-3.832	-4.338	-3.636	-3.62	0.407	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.288	0.362	0.442	-0.025	0.19	0.435	0.993	-2.26	0.413	0.317	-2.4615	0.63	0.919	0.125	0.261	0.531	0.464	0.164	0.211	1.359	0.1305	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856
"YNL096C"	-0.32	-2.093	-1.957	-2.881	0.13	-1.968	2.487	0.354	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.087	-3.331	-3.045	-2.761	-3.165	0.255	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.182	0.185	-0.057	-0.048	0.169	0.375	0.9	-2.448	0.421	0.803	-2.8625	0.748	0.827	0.115	0.04	0.045	0.173	0.275	0.889	1.289	0.112	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779
"YNL119W"	-0.173	-2.262	-2.092	-2.438	0.754	-0.865	1.834	0.552	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-1.542	-3.359	-3.366	-2.99	-2.998	0.312	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.011	0.189	-0.324	-0.225	0.044	0.156	0.874	-1.613	0.234	0.107	-1.92	0.677	0.859	0.084	0.018	0.242	0.363	0.22	0.333	0.931	0.129	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406
"YNL123W"	0.024	-0.788	-0.355	-1.03	0.596	-0.874	0.525	0.235	NaN	-3.908	-2.249	-3.75	-2.231	-2.448	-4.576	-4.562	-2.558	-3.403	-2.304	-3.944	-3.836	0.108	-2.133	-1.742	-1.355	-1.381	-2.896	-2.858	1.907	-0.051	-0.01	0.205	0.141	0.25	-0.028	0.575	-0.383	-0.022	0.084	-1.2725	0.23	-0.064	-0.137	0.104	0.156	-0.055	-0.198	-0.228	0.403	0.0785	-0.984	-1.876	-0.163	-2.083	-1.838	-1.059	-1.619
"YNL162W"	-0.065	-2.384	-1.97	-3.17	0.826	-0.96	1.592	0.442	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-1.564	-2.86	-2.872	-2.421	-2.763	0.079	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	0.065	-0.276	-0.03	-0.153	0.3	0.596	1.117	-2.288	0.393	0.423	-1.852	0.404	0.931	0.268	0.288	0.185	0.254	0.239	0.684	0.694	-0.5945	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105
"YNL292W"	-0.021	-2.349	-0.744	-1.855	0.199	-0.805	0.846	-0.181	-2.115	-0.911	-1.28	-1.207	-1.479	-1.585	-3.216	-3.1	-1.683	-1.566	-1.435	-0.903	-1.526	0.077	-0.305	-0.761	-0.644	-1.06	-0.831	-1.052	-1.006	0.173	0.021	0.165	-0.057	-0.295	0.198	0.579	-0.385	0.069	0.278	-1.095	0.53	0.212	-0.029	0.092	-0.071	-0.188	-0.139	0.186	0.584	0.054	3.049	2.877	3.01	2.253	2.506	3.224	1.345
"YOL006C"	-0.021	0.023	-0.7	-0.144	0.348	0.0	-0.432	0.129	-1.2725	-0.9525	-0.9185	-0.526	-0.206	-0.501	-1.364	-2.867	-0.5385	-0.9795	-0.753	-0.428	-0.974	-0.245	-1.792	-0.957	-0.582	-0.756	-1.562	-2.301	-2.095	0.182	0.137	0.292	0.041	0.352	-0.418	-0.106	-0.428	-0.106	0.192	-0.488	-0.157	-0.011	0.022	-0.05	-0.365	-0.452	-0.46	0.072	0.304	-0.279	-2.072	-2.323	-2.188	-3.244	-1.565	-1.324	-1.239
"YOL041C"	0.0375	-2.082	-1.6425	-1.833	0.0325	-0.551	1.1995	0.2755	-2.40666666666667	-1.70166666666667	-1.50866666666667	-1.55133333333333	-0.266	-1.76533333333333	-4.055	-1.15	-0.422333333333333	-4.275	-2.486	-1.85	-0.446666666666667	-0.108	-2.7335	-1.082	-1.5005	-1.3215	-2.1075	-2.4455	-1.285	0.0	-0.114	0.054	0.0935	0.089	-0.332	0.333333333333333	-1.5195	0.022	0.42	-0.3585	0.173	0.3355	-0.148	-0.006	-0.4025	-0.4595	0.166	0.2395	0.2285	-0.0145	-1.391	-1.5565	-1.4055	-2.5355	-1.9775	-1.643	-1.444
"YOR236W"	-0.097	-0.907	-0.733	-0.4	0.415	-0.252	-0.912	0.063	-2.6285	-1.7895	-1.05	-1.0245	-0.955	-0.833	-2.4345	-3.971	-1.6685	-1.8955	-1.3805	-1.0385	-1.4145	0.29	-1.393	-1.066	-1.107	-0.62	-1.568	-2.695	-2.322	-0.062	-0.297	0.249	0.402	-0.038	0.0685	-0.062	-0.0765	0.048	0.429	-0.34	0.223	0.339	-0.027	0.002	-0.197	-0.349	-0.163	0.351	0.336	-0.025	-0.945	-1.105	-0.454	-1.948	-1.246	-0.795	-1.741
"YOR305W"	-0.537	-0.918	-0.424	-0.819	0.189	0.0	0.274	0.279	-1.7125	-0.592	-0.6585	-1.254	-0.8795	-1.4945	-1.6535	-2.672	-0.654	-0.9505	0.548	-1.1315	-0.948	-0.077	-1.185	-0.732	-0.719	-1.206	-1.227	-1.264	-1.883	-0.211	0.22	-0.192	-0.017	0.03	0.1605	-0.194	-0.202	0.091	0.089	-0.568	0.469	0.54	0.365	0.343	0.131	0.375	-0.023	-0.057	0.478	-0.05	-1.45	-0.621	-0.341	-1.634	-0.927	-0.495	-0.581
"YPL079W"	-0.182	-2.597	-2.277	-3.115	0.504	-1.022	2.125	0.105	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-1.7255	-3.085	-3.172	-3.0255	-3.112	0.148	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.085	0.055	0.031	-0.058	0.143	0.6185	0.9955	-2.1725	0.662	0.254	-1.673	0.853	0.858	0.284	0.34	0.269	0.169	0.089	0.19	0.959	-0.574	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785
"YPL081W"	-0.181	-2.158	-1.543	-2.931	0.236	-0.796	2.658	0.188	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-1.7785	-2.5355	-2.916	-2.428	-2.3315	0.181	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.068	-0.137	0.099	0.136	0.171	-0.0175	1.001	-1.5395	0.463	0.373	-1.844	0.658	0.638	0.145	0.101	0.154	0.132	0.291	0.179	0.14	-0.095	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157
"YPL135W"	0.523	1.756	1.626	0.745	-1.295	1.719	0.211	0.362	1.3985	2.441	2.5035	2.0905	1.31	1.675	3.229	2.199	1.7905	1.9355	2.225	2.1165	2.152	0.252	2.266	1.725	1.406	1.463	-0.657	3.827	3.638	0.607	0.1	-0.402	0.151	NaN	-0.5925	-0.4645	1.5105	-0.169	-0.283	1.474	0.087	0.07	0.334	0.465	0.584	0.643	0.295	0.553	0.3	0.133	1.653	2.356	2.31	0.713	2.677	2.271	1.676
"YPL142C"	-0.157	-1.932	-2.625	-2.913	0.564	-0.787	1.8475	0.3605	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.088	-2.825	-3.3035	-2.8235	-2.16	0.25	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.143	0.153	0.2	-0.016	0.304	0.587	1.161	-1.7865	0.238	0.09	-2.011	0.62	1.046	0.301	0.513	0.554	0.489	0.122	0.525	1.296	0.142	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35
"YPL160W"	0.1745	-1.5095	-1.541	-1.989	0.1645	-1.226	1.35366666666667	0.327333333333333	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-1.495	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	0.111	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	0.005	0.0515	0.0055	0.0565	0.365	0.571	-1.13233333333333	0.015	0.27	-1.8045	0.073	-0.3435	-0.174	-0.216	-0.049	-0.27	-0.2815	-0.32	0.8815	0.309	-3.477	-2.958	-2.059	-3.512	-2.719	-2.2345	-2.589
"YPL198W"	-0.001	-1.747	-2.023	-3.084	0.228	-0.931	2.2845	0.2735	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-1.632	-3.4825	-3.3185	-3.022	-2.766	0.506	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	0.119	0.136	-0.237	0.283	0.079	0.3175	1.0615	-2.012	0.477	0.342	-1.633	0.739	0.573	0.352	0.283	0.008	-0.171	0.228	-0.152	0.855	0.206	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	-3.5
"YPL273W"	-0.05	-2.2005	-1.7945	-2.3665	0.326	-1.52	1.41566666666667	0.093	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.034	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	0.217	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.302	0.151	0.0235	-0.129	0.168	0.504666666666667	0.744333333333333	-1.961	-0.034	0.055	-2.628	0.544	0.332	0.446	0.535	0.699	0.706	0.323	0.309	0.03	0.282	-1.883	-1.961	-1.127	-3.012	-2.524	-2.277	-3.204
