	"686.YP ethanol vs reference pool"	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YBL092W"	-1.263	-1.8215	1.356	0.786	-2.896	-5.158	-2.665	-3.5865	-2.153	-2.4445	-1.726	-2.74	-2.8475	1.7355	-1.647	-1.555	-2.124	-2.013	-2.171	-3.174	1.205	1.301	1.238	1.433	1.237
"YBR121C"	-1.014	-1.9015	1.631	1.17	-4.037	-5.791	-2.366	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	1.461	-1.272	-2.249	-2.549	-2.264	-1.806	-2.181	1.212	1.19	1.097	1.01	1.096
"YDR158W"	-0.482	-0.935	1.798	1.505	-3.546	-5.115	-1.965	-1.393	-0.996	-1.763	-3.109	-3.802	-4.509	2.092	-0.801	0.253	-2.154	-1.805	-1.752	-1.966	NaN	1.349	-0.236	-0.467	-0.237
"YER102W"	-1.525	-2.09	2.757	1.305	-3.64	-6.434	-3.37	-4.286	-2.613	-2.593	-2.579	-3.326	-3.859	2.71	-2.051	-2.388	-3.324	-2.758	-2.329	-2.527	1.465	1.803	1.792	2.192	1.791
"YGL076C"	-0.842	-1.633	2.346	1.617	-3.976	-5.667	-2.857	-4.142	-2.568	-2.648	-2.836	-2.79	-3.782	2.882	-1.755	-1.8735	-4.003	-3.509	-3.315	-2.894	1.232	1.139	1.352	1.414	1.351
"YGR285C"	-1.082	-1.664	1.704	1.618	-4.078	-6.1	-1.877	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	1.749	-1.4295	-2.068	-2.948	-2.607	-2.554	-2.062	0.572	0.378	0.377	0.145	0.376
"YHR068W"	-1.125	-0.95	1.075	1.347	-4.28	-6.532	-2.526	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	1.339	-1.4595	-2.29	-2.437	-2.467	-2.362	-1.861	1.591	1.339	1.137	1.288	1.136
"YHR216W"	-1.585	-1.514	0.542	1.299	-3.15	-4.943	-3.038	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	1.247	-1.95	-1.783	-2.109	-3.074	-2.823	-2.773	2.639	2.65	2.562	2.66	2.561
"YIL052C"	-0.87	-2.029	1.842	0.614	-2.895	-6.278	-2.559	-4.174	-2.271	-2.546	-2.162	-2.5	-3.158	1.879	-1.7635	-1.743	-3.32	-2.562	-2.677	-3.315	0.945	0.954	1.146	1.13	1.145
"YIL078W"	-1.288	-1.59	1.358	1.346	-5.192	-6.059	-2.5	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	1.692	-1.422	-2.348	-3.116	-1.937	-2.548	-1.453	1.068	1.282	1.034	0.869	1.033
"YJL188C"	-0.164	-1.392	1.481	0.245	-2.786	-4.633	-2.519	-3.453	-1.885	-1.929	-2.169	-2.54	-2.776	0.856	-1.308	-1.525	-2.879	-1.947	-2.447	-2.01	1.025	1.128	1.151	1.349	1.15
"YJL190C"	-1.053	-2.272	2.636	1.326	-3.585	-6.079	-3.536	-4.469	-3.105	-3.227	-2.941	-3.365	-3.524	1.955	-2.0875	-2.43	-4.772	-3.912	-4.273	-3.497	2.24	2.404	2.38	2.606	2.379
"YKL212W"	-0.313	-0.537	0.721	1.307	-3.014	-4.806	-1.651	-1.923	-1.656	-1.598	-2.516	-2.929	-3.374	1.013	-0.453	-1.089	-1.052	-1.607	-1.481	-1.839	0.866	1.102	0.927	1.076	0.926
"YKR059W"	-0.733	-1.501	1.171	1.47	-2.817	-4.998	-2.531	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	1.052	-1.384	-1.996	-2.448	-2.0	-1.849	-2.698	1.71	1.581	1.246	1.636	1.245
"YLL044W"	-1.193	-2.271	2.306	1.502	-3.79	-6.48	-3.269	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	2.272	-1.906	-2.227	-3.189	-2.774	-2.77	-2.935	1.263	1.278	1.125	1.296	1.123
"YLL045C"	-0.971	-1.975	2.311	1.742	-3.857	-6.618	-3.185	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	2.059	-1.965	-2.165	-3.449	-2.833	-3.87	-2.362	1.509	1.383	1.273	1.48	1.272
"YLR060W"	-1.157	-0.609	1.279	1.942	-4.941	-5.967	-2.672	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	1.836	-0.708	-2.464	-2.734	-2.666	-2.996	-3.346	1.072	1.281	1.012	1.0	1.011
"YLR186W"	-0.538	-0.5	0.805	1.116	-4.298	-5.516	-2.007	-2.372	-2.069	-1.671	-1.74	-2.678	-2.467	1.062	-0.824	-2.09	-3.381	-2.552	-2.896	-2.714	1.069	1.005	0.987	1.146	0.986
"YLR197W"	-1.17	-2.358	0.81	1.422	-4.736	-5.242	-3.258	-5.671	-3.067	-3.716	-4.423	-4.976	-5.033	1.362	-1.878	-2.488	-4.983	-3.17	-3.045	-2.321	1.659	1.268	0.864	1.11	0.863
"YLR314C"	-0.501	-0.739	0.929	0.017	-2.218	-5.585	-1.368	-2.781	-2.505	-2.761	-2.906	-3.447	-3.937	0.975	-0.07	-1.17	-1.633	-1.957	-1.746	-1.259	0.291	0.299	0.264	0.538	0.263
"YLR325C"	-1.043	-2.069	2.065	0.432	-2.337	-5.498	-2.76	-4.948	-2.802	-3.314	-1.609	-1.204	-2.637	2.183	-1.619	-2.253	-2.769	-2.034	-2.701	-3.594	1.737	2.125	1.954	2.063	1.953
"YLR432W"	-1.179	-1.0	0.599	1.285	-3.532	-5.65	-3.15	-2.585	-1.997	-2.641	-1.934	-2.482	-3.034	1.413	-1.779	-1.904	-3.491	-3.179	-2.927	-3.367	2.632	2.597	2.546	2.823	2.545
"YML008C"	-1.234	-1.819	2.05	2.051	-4.23	-4.829	-1.94	-3.526	-2.014	-3.366	-3.358	-5.162	-3.504	2.157	-1.144	-1.469	-3.199	-2.808	-2.487	-3.059	0.444	0.541	0.715	1.017	0.714
"YML021C"	-0.415	0.144	0.5	0.359	-3.272	-2.945	-0.898	-1.521	-1.368	-0.906	-1.533	-1.979	-1.697	0.556	-0.499	-0.007	-1.5765	-1.6455	-1.6535	-1.225	-0.56	0.359	0.4555	0.7875	0.4545
"YML073C"	-0.935	-2.111	2.428	1.279	-3.862	-6.033	-3.087	-4.919	-2.561	-2.549	-2.401	-2.624	-3.718	2.691	-1.867	-1.975	-2.783	-3.737	-3.151	-2.901	0.828	0.751	0.84	0.91	0.839
"YMR033W"	-0.608	-0.763	0.696	0.607	-3.063	-4.454	-1.514	-1.647	-1.244	-1.469	-1.745	-1.826	-1.988	0.72	-0.295	-1.013	-1.219	-1.833	-1.453	-1.188	0.232	0.497	0.428	0.427	0.427
