	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"59.alpha factor release sample013"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1109.alpha factor release sample014"	"1673.alpha factor release sample021"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40946.H2O2_II_7_min"	"40947.H2O2_II_14_min"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40958.H2O2_II_140_min"	"40959.H2O2_II_160_min"	"40960.H2O2_II_180_min"	"40961.MD_II_0_min"	"40962.MD_II_7_min"	"40964.MD_II_21_min"	"40966.MD_II_35_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"	"41003.H2O2_II_0_min"
"YBR242W"	-0.316	-0.7125	0.031	-0.0125	0.1975	-0.45	-0.224	0.184	-1.0915	-0.0875	0.1905	-0.344	-1.741	0.541	0.322	0.7275	-0.232	0.1065	-0.139	0.169	-0.554	-0.449	-0.343	-0.454	-0.101	-0.323	-0.381	-1.137	-1.4	-0.416	-1.138	-1.378	-1.202	-1.266	-1.258	-1.06	-0.677	-0.902	-0.566	-0.556	-0.764	-2.615	-0.927	-0.44	-1.911	-2.163	-1.457	-2.093	-2.727	-2.337	-2.718	-2.224	-1.175	-2.843	-1.511
"YCRX04W"	0.081	-0.51	0.562	-0.157	0.22	-0.105	-0.041	0.277	0.187	-0.203	-0.44	-1.364	-2.1	0.656	0.287	0.507	-0.053	-0.072	0.011	0.115	-0.737	-0.392	-0.148	-0.331	-0.262	-0.7	-1.096	-1.713	-1.767	-1.156	-1.725	-1.638	-2.315	-1.366	-2.145	-1.759	-1.053	-2.005	-2.344	-1.172	-2.116	-1.344	-2.771	-1.177	-2.253	-1.012	-2.023	-1.877	-2.151	-2.632	-1.516	-2.365	-1.199	-1.069	-1.468
"YDL092W"	-0.153	-0.086	-0.247	-0.129	-0.001	0.233	0.059	-0.239	-0.232	-0.121	-0.069	-0.905	-1.997	-0.22	0.019	-0.229	-0.147	0.057	0.084	0.074	-0.348	-0.18	-0.142	-0.259	0.511	-0.514	-0.522	-0.282	-0.555	0.182	-0.749	-1.073	-0.366	-0.56	-1.055	-0.603	-0.254	-1.195	-0.755	-0.241	-0.911	-0.041	-0.378	-0.643	-0.564	-1.875	-0.598	-1.0	-1.089	-0.643	-0.72	-1.181	-1.067	-1.067	-0.545
"YDL111C"	-0.2735	-0.194	-0.1985	0.0235	-0.0305	0.048	0.5265	0.101	0.094	-0.0115	0.18	-1.3295	-4.505	-0.164	-0.018	0.7155	0.31	0.223	-0.4095	0.199	-0.191	-0.2815	-0.177	-0.401	-0.0565	-0.3835	-0.4165	-0.5475	-1.2535	-0.91	-1.984	-1.1355	-0.805	-1.468	-0.5545	-0.6385	-0.685	-0.248	-0.9605	-0.2235	0.1645	-0.5655	-0.5705	-0.471	-0.296	-0.2555	-1.378	-1.7305	-1.357	-1.2475	-1.3295	-1.021	-1.0385	-1.172	-1.2835
"YDR152W"	-0.022	-0.559	-0.028	0.142	0.494	0.299	0.346	0.078	0.041	0.138	0.23	-0.108	-2.843	0.264	0.158	-0.063	0.049	0.16	-0.334	0.31	-0.74	-1.15	-0.47	-1.078	0.141	-0.86	-1.081	-0.38	-0.022	-0.699	-2.481	-1.643	-1.916	-2.412	-1.388	-1.929	-0.891	-0.861	-0.881	-0.65	-0.037	-0.308	-0.002	-0.359	-0.693	-1.62	-1.091	-1.611	-1.785	-2.746	-1.481	-1.081	-1.995	-1.943	-1.649
"YDR189W"	0.227	-0.208	0.002	0.166	-0.334	-0.14	-0.281	0.203	0.137	0.028	-0.409	-0.956	-2.842	-0.101	0.161	0.533	0.456	0.152	-0.408	0.056	-0.2545	-0.318	-0.2105	-0.1985	-0.2635	-0.551	-0.334	-1.2415	-0.698	-0.9035	-1.001	-0.8915	-0.926	-1.087	-0.8815	-0.4315	-0.1585	-0.096	-0.586	-0.116	-1.1275	-0.7425	-0.5425	-1.961	-1.0955	-1.19	-1.7685	-0.959	-1.8095	-1.331	-1.6005	-1.5185	-2.192	-1.5875	-0.7885
"YDR211W"	-0.105	-0.239	-0.146	0.107	-0.179	-0.099	-0.013	0.217	0.082	-0.136	-0.278	-1.38	-4.77	-0.003	0.411	0.526	0.529	0.109	-0.301	0.335	-0.1365	-0.8235	-0.404	-0.485	0.2605	-1.9165	-0.96	-0.309	-0.1045	-1.9775	-4.418	-1.87	-1.8185	-1.65	-2.364	-1.2315	-0.315	-1.132	-1.0155	-0.688	-0.9435	-0.9215	-0.11	-1.1895	-1.5095	-1.5375	-1.348	-1.3985	-1.462	-2.338	-2.0095	-1.387	-1.441	-1.6565	-0.7905
"YDR225W"	-0.687	-1.909	0.738	1.076	-0.256	-1.31	-1.939	0.867	-0.93	1.034	0.598	-1.946	-3.079	-0.357	-0.806	0.184	-1.363	0.55	-2.716	-0.667	-2.269	-2.758	-2.3565	-2.9065	-1.972	-3.348	-3.181	-2.833	-1.802	-1.24	-2.696	-3.601	-3.4225	-3.0715	-2.3385	-2.2635	-2.6805	-2.085	-1.9855	-1.329	-4.1335	-4.851	-0.975	-0.87	-2.092	-1.969	-2.7755	-2.784	-3.724	-2.859	-3.689	-2.335	-1.6715	-1.9635	-3.379
"YDR331W"	0.394	-0.257	0.166	0.051	-0.218	-0.231	-0.537	-0.111	-0.11	-0.029	-0.179	-1.064	-2.808	0.103	-0.137	0.279	0.285	0.113	-0.267	0.105	-0.561	-0.631	-0.593	-0.643	-0.375	-0.405	-0.901	-0.745	-1.52	-2.404	-1.934	-1.71	-1.765	-1.679	-1.828	-1.803	-1.189	-0.808	-1.457	-1.362	-1.276	-4.496	-1.659	-0.899	-2.137	-2.536	-0.683	-2.088	-3.191	-2.257	-2.598	-2.271	-1.352	-2.469	-1.129
"YDR339C"	-0.2305	-0.763	-0.0135	-0.1075	-0.296	-0.0155	-0.1625	-0.1355	-0.3065	-0.61	-0.1515	-1.235	-3.903	0.2515	0.017	-0.0445	-0.166	-0.019	-0.0595	0.1045	-0.184	-0.495	0.243	-0.402	-0.178	0.815	-0.796	-1.014	-1.393	-2.148	-1.799	-1.837	-1.709	-1.623	-1.568	-1.576	-1.531	-0.455	-0.241	-0.849	-0.972	-1.899	-0.902	-0.899	-2.954	-1.396	-2.415	-2.409	-3.172	-2.858	-2.335	-2.812	-1.954	-3.423	-1.333
