	"115.heat shock 20 min repeat"	"406.heat shock 37 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"634.Elutriation2:Sample2:Time6.5hrs"	"686.YP ethanol vs reference pool"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8195.steady state 21 dec C"	"8229.dtt 030 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"17676.Na+FK 45min (4)"	"21659..24 mM H2O2- 077 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33777.delYPL230w_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"40952.H2O2_II_56_min"	"40975.MD_II_130_min"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YHL033C"	-2.059	0.469	-1.953	-3.0445	-3.793	-1.561	-2.208	0.487	-0.792	1.093	0.385	-1.7785	-1.136	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	0.288	-3.056	-3.153	-2.318	-4.25	-2.808	-4.209	0.264	0.08	0.071	0.753	0.631	0.053	0.07	-0.122	-1.956	-3.1585	0.371	-2.353	-2.271	-1.999	-1.935	-1.58	-1.242	-0.251	0.245	-0.001	-1.385	-1.516	-1.516	-1.936	0.787	-0.059	0.608	0.03	-0.762
"YHR170W"	-4.622	0.0985	-4.14	-4.723	-3.947	-1.933	-1.877	-0.075	-0.829	0.893	0.478	-1.343	NaN	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	0.178	-2.759	-2.694	-1.429	-2.314	-2.149	-2.443	-0.027	0.037	-0.156	0.442	0.327	0.319	0.522	0.268	-1.761	-5.252	0.432	-1.963	-1.803	-1.215	-1.187	-3.576	-2.405	-1.181	-0.37	-3.601	-2.58	-1.432	-3.476	-4.036	0.06	-0.019	0.023	-0.612	-0.394
"YHR172W"	-0.963	-0.809666666666667	-0.912333333333333	-0.897333333333333	-0.429666666666667	0.216	-0.255	0.067	-0.2925	-0.074	0.2655	-0.387	-0.3705	-0.4075	-0.4355	0.066	-0.172	-0.014	-0.4895	-1.288	-1.8325	-0.196	-0.256	-0.7165	-0.6185	-0.408	-0.668	0.8245	0.45	0.0615	0.0415	-0.007	-0.0385	-0.17	-0.074	-0.00199999999999999	-0.586	-0.558666666666667	0.074	-0.549	0.012	-0.143	-0.215	-0.8815	-0.8865	-0.0075	-0.3205	-1.085	-1.4245	-0.4815	0.956	0.118	-0.197	-0.109	-0.0425	-0.3725	-0.017
"YHR173C"	-1.142	-0.5685	-0.611	-1.099	-0.968	-0.509	-0.276	-0.447	-0.181	0.329	0.449	-0.9325	-0.487	-1.834	-1.3	0.05	-0.941	-1.344	-1.09	-2.711	-3.08	-0.628	-1.044	-0.511	-1.65	-1.0	-0.628	-0.292	0.013	0.121	0.249	0.079	-0.314	-0.419	-0.139	-0.221	-3.086	-0.8415	0.518	-1.12	0.151	-0.725	-0.871	-0.692	-0.983	-0.243	-0.522	-1.461	-1.172	-0.263	-1.43	-0.472	-0.216	0.167	-0.499	0.087	0.162
"YHR196W"	-3.5265	0.121	-2.834	-3.894	-3.3595	-1.835	-1.912	0.027	-0.508	1.007	0.104	-0.7405	-0.175	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	-2.447	0.884	0.322	-2.461	-2.348	-1.41	-3.843	-2.19	-2.681	-0.029	0.126	0.024	0.24	0.419	0.452	0.714	0.443	-2.135	-3.967	0.525	-1.239	-1.719	-1.265	-1.538	-2.272	-1.793	-1.275	-0.762	-2.306	-2.006	0.696	-3.047	-2.283	0.239	-0.34	0.498	-0.401	-0.231
"YHR203C"	-2.0645	0.5205	-1.915	-2.8785	-3.5975	-1.147	-1.267	0.113	-2.628	0.884	-0.151	-1.815	-0.754	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	0.428	-3.917	-3.774	-3.049	-4.669	-2.437	-3.941	0.219	0.264	0.395	0.672	0.586	-0.113	-0.227	-0.314	-2.302	-2.809	0.508	-1.971	-2.562	-2.147	-2.022	-2.942	-1.743	-0.662	0.162	-3.717	-3.449	-2.366	-3.044	-1.792	0.354	0.108	0.739	-0.863	-0.485
"YIL018W"	-2.4325	-0.146	-2.2685	-3.509	-3.965	-1.108	-2.298	-0.16	-1.109	1.056	0.41	-1.7325	-1.096	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-0.126	-3.362	-3.505	-3.151	-3.907	-2.218	-3.914	0.301	-0.233	-0.299	0.746	0.934	0.069	-0.005	0.159	-2.495	-3.4165	0.669	-1.905	-2.878	-2.594	-2.284	-2.641	-1.895	-1.146	-0.208	-4.06	-3.676	-2.633	-2.962	-1.992	0.473	0.228	0.724	-0.398	-0.257
"YJR145C"	-2.2535	0.5215	-1.8995	-2.8575	-3.3335	-2.316	-1.182	-0.024	-1.487	0.963	0.22	-1.7845	-0.561	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	0.4	-3.551	-3.547	-3.707	-4.857	-2.396	-3.178	0.228	0.381	0.555	0.413	0.403	0.02	-0.238	-0.158	-2.312	-2.7805	0.311	-3.157	-2.291	-2.054	-2.09	-2.804	-2.063	-0.731	0.081	-4.108	-3.771	-1.961	-2.371	-2.134	0.268	0.057	0.642	-0.606	-0.444
"YLL044W"	-2.526	-0.341	-2.196	-3.582	-4.162	-2.25	-2.698	-0.011	-1.193	1.006	0.124	-1.796	-1.194	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	0.211	-3.313	-3.031	-2.156	-3.872	-2.654	-3.967	0.04	-0.086	-0.133	1.015	0.838	0.031	-0.213	-0.205	-2.227	-3.517	0.8	-2.458	-2.673	-2.545	-2.203	-2.328	-1.637	-0.719	0.452	-3.806	-2.77	-1.475	-2.632	-2.295	0.119	-0.447	0.573	-0.088	-0.894
"YLL045C"	-2.105	0.036	-2.319	-3.116	-3.722	-1.686	-2.353	0.432	-0.971	1.206	0.275	-1.721	-1.088	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	0.755	-3.169	-3.335	-2.744	-3.66	-2.604	-3.731	0.209	0.223	0.18	0.972	0.857	0.23	0.182	-0.061	-2.165	-3.545	0.937	-2.44	-2.21	-1.945	-1.727	-2.751	-1.345	-0.707	-0.164	-3.788	-3.87	-1.068	-1.421	-1.362	0.471	0.027	0.367	-0.099	-0.789
"YLR061W"	-2.212	0.687	-1.901	-3.322	-3.851	-1.71	-1.312	-0.199	-1.105	0.696	-0.216	-0.693	0.006	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	0.373	-3.239	-3.818	-3.058	-4.326	-2.433	-3.91	0.01	0.078	0.433	0.147	0.653	0.156	0.142	0.164	-2.482	-2.697	0.112	-1.463	-2.311	-2.422	-3.186	-2.529	-1.288	-1.289	0.745	-4.004	-2.793	-1.781	-2.006	-1.508	0.172	0.099	-0.141	0.322	-0.601
"YLR175W"	-3.679	0.304	-3.07	-4.552	-4.902	-1.349	-1.646	-0.501	-1.501	1.12	0.137	-1.318	-1.193	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	0.126	-3.996	-3.068	-3.152	-4.678	-2.762	-4.96	0.018	0.21	0.163	0.845	0.316	0.521	0.238	-0.142	-2.422	-4.431	0.473	-2.547	-1.86	-1.86	-2.499	-4.177	-1.884	-1.078	0.838	-4.338	-2.959	-2.668	-3.083	-2.305	0.314	-0.13	0.54	-0.107	-0.197
"YLR221C"	-2.286	-0.334	-2.172	-2.998	-2.528	-1.731	NaN	-0.531	-0.363	0.757	-0.377	-0.592	-0.845	-2.998	-2.097	-1.521	-1.444	-1.161	-1.853	-1.317	-1.577	0.384	-1.591	-0.902	-1.4	-2.27	-1.704	-1.643	0.127	0.144	-0.04	0.369	0.185	0.135	0.225	0.093	-0.881	-3.231	0.546	-2.384	-1.819	-1.055	-0.941	-3.034	-2.382	-1.054	-0.235	-3.361	-1.731	-1.595	-1.568	-2.675	-0.128	0.321	-0.518	0.551	-0.406
"YLR222C"	-4.292	-0.773	-2.648	-4.709	-3.682	-1.34	-1.105	-0.232	-0.653	1.054	0.232	-0.94	-0.501	-4.423	-1.933	-1.902	-1.176	-0.88	-1.613	-3.721	-4.745	0.459	-2.384	-2.21	-1.64	-3.785	-2.036	-3.119	-0.197	0.048	0.121	0.661	0.412	0.143	0.436	0.091	-1.055	-4.667	0.056	-2.383	-1.944	-0.63	-0.683	-1.806	-1.703	-0.959	-0.24	-1.727	-1.391	-1.268	-2.366	-2.815	0.192	-0.161	0.218	-0.759	-1.086
"YLR275W"	-1.058	-0.082	-0.354	-0.452	-0.834	-0.077	-0.239	-0.343	-0.193	0.621	0.234	0.014	0.012	-0.726	-0.987	-0.584	-0.742	-0.105	-0.643	0.3	-2.277	0.171	-0.17	0.421	0.651	-0.699	-0.228	-0.106	0.048	0.013	0.004	0.611	-0.172	0.443	0.223	0.364	-0.359	-0.784	0.129	-0.709	-0.253	0.32	0.199	-0.695	-0.698	-0.61	-0.055	-0.917	-1.084	-0.788	-0.275	0.29	0.136	0.8	0.075	0.148	0.098
"YLR458W"	-0.48	-0.585	-0.933	-0.219	-0.16	-0.087	-0.301	0.047	0.566	-0.425	0.15	0.011	0.02	0.713	0.476	1.204	0.748	1.291	1.753	1.857	-0.813	0.133	0.409	0.334	1.006	0.153	0.345	0.438	0.07	0.035	0.063	0.21	0.044	0.072	0.018	0.201	0.267	-0.655	-0.1	0.203	-0.131	0.139	-0.458	-0.792	-0.742	-0.132	-0.552	-0.885	-0.69	0.634	-0.661	1.815	-0.077	-0.015	-0.764	0.501	-0.003
"YMR119W"	0.308	-1.046	1.012	1.081	1.1	0.167	0.625	-0.254	-0.454	-0.339	0.059	0.364	0.352	0.725	-0.145	0.161	0.21	0.702	0.077	0.225	-2.146	-0.197	0.124	0.171	-0.669	0.297	0.532	-0.329	-0.095	-0.201	-0.135	-0.109	-0.02	0.01	-0.268	-0.086	0.42	1.363	-0.012	-1.968	-0.462	0.12	-0.696	1.205	0.805	-0.069	0.839	1.036	0.354	0.64	-0.52	-0.128	0.017	0.247	0.073	-0.215	-0.147
"YNL005C"	0.558	-0.014	0.519	0.673	0.496	0.013	0.068	0.224	0.711	-0.54	-0.025	0.347	0.184	1.595	1.534	0.96	0.502	0.321	0.463	-0.04	-1.145	0.325	0.945	0.42	0.115	1.364	-0.09	-0.062	-0.162	-0.22	0.093	-0.192	0.136	0.593	0.425	0.415	-0.2495	0.442	-0.057	0.511	0.389	-0.313	-0.111	0.396	0.494	0.39	-0.243	0.936	0.723	-0.19	0.934	-0.382	0.325	-0.37	0.084	-0.114	-0.281
"YNL110C"	-3.64	-0.111	-3.768	-4.56	-4.991	-2.517	NaN	-0.776	-0.485	1.189	-0.538	-1.165	-0.781	-5.108	-3.05	-2.608	-1.92	-1.698	-2.472	-1.487	-3.296	0.408	-2.565	-1.986	-1.126	-4.151	-1.741	-3.387	-0.179	-0.088	-0.14	0.855	0.0	0.147	0.37	0.286	-1.5895	-5.064	0.65	-4.105	-2.004	-0.636	-0.828	-4.907	-3.471	-1.921	0.296	-4.747	-2.546	-1.783	-2.583	-3.312	-0.451	0.845	-0.627	0.838	-0.959
"YNL114C"	-2.686	-0.12	-2.468	-3.33	-3.663	-2.077	-1.111	-0.32	-0.655	0.999	0.011	-0.691	-0.158	-5.245	-2.663	-2.941	-2.849	-1.734	-2.571	-3.791	-6.572	0.337	-2.827	-2.978	-1.205	-3.032	-1.645	-2.111	-0.056	0.383	0.019	0.481	0.436	0.012	0.01	0.146	-1.2975	-2.799	0.727	-2.874	-1.974	0.987	1.177	-2.336	-1.721	-0.947	0.366	-4.14	-2.842	-2.67	-3.975	-1.776	-0.415	0.324	-0.004	0.298	-0.404
"YNL162W"	-2.384	-0.791	-1.97	-3.17	-3.58	-1.115	-1.286	-0.339	-0.96	1.055	0.22	-1.102	-0.56	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	0.239	-2.86	-2.872	-2.763	-3.999	-2.0	-3.468	0.065	-0.03	-0.153	0.69	0.436	0.12	-0.006	0.199	-1.852	-2.998	0.884	-2.304	-2.852	-0.32	-0.732	-2.02	-1.415	-0.913	-0.312	-3.916	-3.323	-0.772	-2.624	-0.548	0.144	0.206	0.01	0.405	-0.155
"YNL174W"	-4.699	-0.68	-4.233	-5.579	-4.714	-2.616	-2.393	-0.396	-1.222	0.772	-0.272	-3.17	-0.972	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-4.079	-4.409	0.31	-2.319	-2.439	-2.135	-4.372	-2.682	-3.118	0.014	0.29	-0.031	0.471	0.048	-0.028	0.145	0.069	-2.2935	-5.426	1.141	-2.707	-1.211	-0.715	-0.567	-3.76	-2.801	-1.578	-0.257	-3.816	-2.839	-2.261	-3.361	-3.568	-0.208	-0.001	-0.565	0.323	-1.18
"YNL175C"	-4.901	-0.147	-4.11	-4.362	-3.931	-2.429	-2.447	-0.206	-0.733	0.899	-0.153	-1.66	-0.893	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	0.621	-2.575	-2.601	-1.735	-4.587	-2.804	-2.849	0.134	0.344	0.153	0.449	0.609	0.084	0.411	0.191	-2.238	-5.147	0.688	-2.87	-2.33	-0.674	-0.776	-2.388	-1.8585	-1.3855	-0.57	-2.5475	-1.882	-0.8965	-4.49	-2.676	-0.2535	-0.1905	-0.1365	-0.0445	-0.708
"YOR095C"	-4.288	0.156	-3.939	-4.34	-4.285	-2.173	-1.688	-0.288	0.329	1.246	0.422	-1.276	-1.027	-1.698	0.297	-0.288	-0.614	-1.113	-3.275	-2.7255	-4.37	0.355	-3.469	0.291	-1.471	-1.726	-1.933	-3.068	0.102	-0.103	-0.002	0.667	-1.0605	-0.652	-0.247	-0.374	-1.164	-3.778	0.831	-3.474	-2.13	-1.299	-1.043	-3.665	-3.086	-1.397	-0.387	-4.298	-0.77	-2.168	-3.211	-2.794	0.227	-0.119	0.155	-0.033	-0.615
"YOR127W"	-0.817	-0.043	-1.585	-0.662	-0.7	-0.538	-0.415	0.027	-0.363	-0.079	-0.0845	-0.124	-0.452	-1.3175	-0.329	-0.765	0.295	0.01	2.3175	-1.912	-1.3135	0.232	-0.534	0.75	1.196	-0.455	-0.378	-1.625	0.105	-0.035	-0.011	0.4895	-0.038	-0.082	-0.232	-0.12	0.118	-0.175	-0.25	-0.505	0.495	-0.182	-0.189	-0.804	-0.729	-0.572	-0.395	-0.5	-0.395	NaN	-1.327	-2.76	0.075	-0.458	-0.226	-0.34	0.146
"YOR206W"	-3.702	0.039	-3.585	-5.083	-4.513	-1.699	-1.554	-0.305	-0.623	0.951	-0.0775	-1.554	-0.863	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-6.4785	0.207	-3.1625	-1.9445	-1.9925	-3.888	-2.451	-3.694	-0.064	-0.2	0.139	0.537	0.334	0.361	0.385	0.214	-1.792	-5.066	0.358	-3.011	-2.066	-0.483	-1.644	-3.839	-2.816	-1.474	-0.302	-4.817	-2.585	-2.192	-3.274	-1.999	-0.224	-0.217	-1.053	NaN	0.358
"YOR243C"	-3.234	-0.622	-2.436	-3.633	-3.982	-1.742	-1.9	-0.124	-0.887	1.2455	0.268	-1.168	-0.522	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	0.447	-2.588	-2.1815	-2.414	-3.635	-2.179	-3.863	0.092	-0.005	0.213	0.759	0.6085	0.261	0.121	-0.021	-1.712	-4.099	-0.182	-1.855	-2.114	-1.376	-1.759	-2.845	-1.727	-1.002	1.018	-2.825	-2.065	-1.714	-2.909	-2.099	0.29	-0.298	0.117	-0.584	-0.154
"YOR293W"	-2.435	0.264	-2.205	-3.618	-3.854	-1.77	-1.995	-0.404	-1.549	0.753	-0.1285	-1.054	-0.856	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	0.391	-3.442	-3.1085	-2.64	-4.233	-2.533	-3.118	0.213	-0.036	-0.104	0.476	0.774	-0.264	-0.1	-0.033	-1.85	-3.151	0.454	-2.251	-2.655	-1.749	-2.064	-3.047	-1.776	-0.822	-0.631	-3.853	-3.23	-2.076	-2.096	-1.635	0.085	0.147	0.269	-0.406	-0.118
"YOR312C"	-2.612	0.531	-1.995	-2.723	-3.7	-1.043	-1.526	0.044	-0.553	0.9475	-0.16	-1.432	-0.583	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	0.462	-2.99	-3.177	-2.5975	-4.638	-2.511	-3.224	-0.004	0.298	0.272	0.5755	0.733	0.276	0.146	0.245	-1.883	-2.873	0.115	-2.141	-1.399	-2.063	-2.185	-3.057	-1.602	-1.109	-0.477	-4.531	-3.454	-0.114	-1.352	-1.405	-0.023	0.229	0.088	-0.454	-0.279
"YPL090C"	-2.09	0.101	-2.497	-3.529	-3.965	-1.975	-2.177	0.133	-1.0	0.9415	-0.2155	-1.691	-1.378	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	0.681	-3.398	-3.223	-3.2385	-5.307	-2.833	-4.719	-0.043	-0.045	0.066	0.491	0.804	0.005	-0.035	0.208	-2.061	-3.272	0.927	-2.36	-2.026	-2.13	-1.859	-2.536	-1.416	-0.133	-0.253	-4.101	-3.571	-1.448	-1.392	-1.205	-0.168	0.155	-0.11	-0.243	-0.294
"YPL142C"	-1.932	-0.164	-2.625	-2.913	-3.225	-1.265	-1.375	0.057	-0.787	1.009	-0.0995	-1.361	-0.722	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	0.6495	-2.825	-3.3035	-2.16	-4.155	-2.303	-2.979	0.143	0.2	-0.016	0.534	0.702	-0.193	-0.325	0.209	-2.011	-3.034	0.869	-1.706	-2.604	-2.055	-2.609	-2.333	-1.691	-0.82	-0.287	-3.677	-3.278	-1.281	-2.248	-1.618	0.191	0.213	-0.222	0.415	-0.058
"YPL226W"	-3.002	0.0155	-2.4945	-3.229	-4.183	-1.197	-1.204	-0.3205	-1.114	0.858	0.375666666666667	-0.5685	-0.8255	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	0.252333333333333	-3.37333333333333	-2.503	-2.922	-4.0095	-2.3985	-3.983	0.1885	-0.0735	0.0015	0.493666666666667	0.288333333333333	-0.397	-0.2905	-0.2985	-1.7375	-3.215	0.5835	-2.47	-2.0235	-0.475	-1.258	-3.076	-2.041	-1.164	0.121	-3.811	-3.004	-1.355	-2.1345	-3.622	0.122	-0.527	0.685	-0.979	-0.042
"YPR043W"	-1.857	-0.437	-1.888	-2.447	-2.429	-0.981	-1.364	0.176	-0.4	0.763	0.1735	-1.363	-0.722	-2.5775	-2.728	-2.4415	-1.9305	-1.707	-1.435	-1.9405	-4.426	0.3855	-2.7405	-3.037	-1.9725	-2.953	-1.831	-2.187	0.033	-0.07	0.116	0.448	0.87	0.016	-0.036	0.041	-1.909	-1.976	0.191	-1.763	-1.973	-2.109	-1.677	-1.898	-1.175	-0.79	-0.125	-3.516	-2.939	-0.588	-1.977	-1.641	0.184	0.296	-0.376	0.553	-0.665
"YPR044C"	-1.9475	-0.1235	-1.783	-2.4	-2.752	-1.07733333333333	-1.42266666666667	-0.21	-0.976	0.892333333333333	0.0893333333333333	-1.3775	-0.6655	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	0.241333333333333	-3.21966666666667	-2.78233333333333	-2.81333333333333	-3.0915	-2.14	-1.9615	0.127	-0.088	-0.0245	0.382666666666667	0.947	-0.2755	-0.3045	-0.151	-2.074	-2.5325	0.404	-1.73	-2.338	-1.617	-2.065	-1.457	-1.061	-0.346	-0.026	-2.862	-2.352	-1.086	-1.495	-1.153	0.164	0.396	-0.662	0.609	-0.571
"YPR102C"	-2.298	0.381	-2.206	-3.37	-4.232	-1.356	-1.4335	-0.223	-1.197	1.1555	0.1105	-1.491	-0.617	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	0.0895	-3.5055	-4.118	-3.277	-4.644	-2.723	-4.692	0.174	0.219	0.076	0.4635	0.697	0.226	0.154	0.31	-2.384	-3.007	0.635	-1.909	-2.262	-1.8	-1.885	-2.5	-1.582	-0.624	-0.082	-4.015	-3.517	-2.134	-3.07	-2.919	-0.003	0.253	0.005	0.272	-0.369
"YPR110C"	-3.084	0.366	-2.507	-3.52	-3.728	-1.79	-1.7985	-0.308	-1.308	0.986	0.0235	-0.986	-0.613	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	0.4215	-3.01	-3.296	-2.0215	-3.88	-2.175	-3.358	-0.038	-0.091	-0.257	0.264	0.6265	0.029	-0.052	-0.042	-2.108	-3.168	0.194	-2.787	-1.695	-0.879	-0.794	-3.436	-2.354	-1.182	0.077	-3.882	-3.113	-2.389	-2.88	-1.539	0.069	-0.268	0.738	-1.223	-0.273
