	"115.heat shock 20 min repeat"	"406.heat shock 37 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"634.Elutriation2:Sample2:Time6.5hrs"	"686.YP ethanol vs reference pool"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8195.steady state 21 dec C"	"8229.dtt 030 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"17676.Na+FK 45min (4)"	"21659..24 mM H2O2- 077 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33777.delYPL230w_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"40952.H2O2_II_56_min"	"40975.MD_II_130_min"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YDR412W"	-2.09	0.173	-1.984	-2.552	-2.649	-1.231	-1.197	-0.02	-0.401	0.885	0.156	-0.817	-0.426	-2.38	-1.406	-1.391	-0.997	-1.279	-1.15	-1.49	-3.774	0.3	-2.216	-1.595	-1.29	-2.732	-1.601	-1.977	0.225	-0.007	0.003	0.288	0.515	0.384	0.324	0.239	-1.534	-2.914	-0.252	-1.812	-0.382	-0.659	-0.777	-2.5	-2.181	-0.9	0.487	-2.305	-1.963	-0.622	-1.948	-1.28	0.399	0.137	-0.133	0.088	0.413
"YDR418W"	-1.94	1.032	-1.617	-2.789	-3.411	-0.969	-1.369	0.267	-0.817	1.134	0.224	-1.558	-0.838	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	0.246	-3.315	-3.181	-2.605	-4.449	-2.792	-4.066	0.347	0.253	-0.029	0.724	0.712	-0.095	-0.009	-0.159	-2.345	-2.74	0.67	-1.715	-2.611	-2.181	-2.168	-2.105	-1.019	0.078	0.983	-3.263	-3.057	-1.688	-1.863	-1.636	-0.299	0.286	1.374	-1.313	-0.027
"YDR447C"	-2.299	0.53	-2.149	-3.242	-3.562	-1.442	-1.659	-0.379	-0.646	0.931	0.061	-1.478	-0.83	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	0.369	-3.574	-3.565	-3.129	-4.249	-2.432	-3.552	-0.061	0.176	-0.004	0.39	0.71	0.207	0.15	0.155	-2.1165	-2.593	0.6895	-3.0695	-2.745	-0.9675	-0.9175	-3.102	-1.842	-0.319	0.668	-4.358	-3.418	-1.532	-2.86	-2.1805	-1.347	-0.236	-0.732	0.875	0.127
"YER006W"	-2.781	0.218	-2.921	-3.321	-3.148	-1.682	-1.543	-0.072	-0.585	0.627	-0.008	-1.022	-0.986	-4.011	-2.738	-2.065	-2.285	-1.487	-2.061	-2.345	-4.571	0.14	-1.934	-1.931	-1.513	-2.857	-2.01	-3.232	0.049	-0.159	0.154	0.39	0.291	0.017	0.165	0.271	-1.125	-2.714	0.4295	-2.3455	-0.9345	-0.774	-0.99	-1.117	-1.821	-0.908	0.673	-1.851	-1.301	-0.483	-1.799	-2.6585	0.075	-0.058	-0.325	-0.029	-0.879
"YER102W"	-2.227	0.769	-1.876	-2.922	-3.415	-1.386	-1.044	0.281	-1.525	1.107	0.145	-1.667	-0.736	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	0.395	-3.101	-3.625	-3.204	-4.286	-2.613	-3.859	0.501	0.299	0.289	0.683	0.65	0.127	0.069	0.222	-2.388	-2.712	0.77	-0.714	-2.373	-1.99	-2.163	-2.448	-1.282	0.598	0.839	-2.385	-2.329	-1.64	-1.374	-1.748	0.621	0.705	0.516	0.246	-0.271
"YER117W"	-1.868	0.143	-2.379	-2.386	-3.056	-0.825	-1.455	0.448	-0.475	0.782	0.405	-1.481	-0.665	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	0.676	-3.05	-3.141	-2.483	-3.768	-2.534	-2.976	0.261	0.308	0.387	0.834	0.571	0.068	0.308	0.11	-1.876	-3.314	0.5425	-1.603	-2.6395	-2.231	-2.312	-2.377	-1.067	-0.694	-0.019	-3.238	-3.345	-1.467	-1.969	-1.2875	0.147	0.114	0.66	-0.099	-0.038
"YFR031BC"	-2.494	0.722	-2.027	-3.278	-3.975	-0.982	-1.345	-0.102	-1.727	0.846	0.081	-1.592	-1.28	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-0.147	-3.328	-3.949	-3.523	-4.74	-2.521	-4.146	0.268	-0.05	-0.444	0.385	0.394	0.025	0.036	0.364	-2.438	-3.021	0.578	-2.895	-2.905	-2.238	-2.392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.077	0.269	0.585	-0.22	-0.369
"YGL031C"	-2.424	-0.083	-1.886	-3.443	-3.97	-1.51	-1.682	-0.306	-1.231	1.003	-0.172	-1.871	-0.862	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	0.201	-3.041	-2.881	-2.704	-5.191	-2.475	-3.473	0.308	0.114	-0.021	0.566	0.487	0.373	0.242	0.35	-2.655	-3.282	1.047	-1.657	-2.166	-2.0725	-2.4945	-2.401	-1.324	0.099	1.213	-2.773	-2.852	-0.377	-1.852	-1.421	0.266	0.856	0.081	0.643	-0.268
"YGL078C"	-3.709	0.265	-3.238	-4.399	-3.428	-1.967	-1.788	-0.299	-0.427	1.169	0.076	-1.172	-0.564	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	0.557	-2.914	-2.134	-1.979	-4.196	-1.879	-2.198	0.198	0.117	-0.065	0.529	0.23	-0.176	-0.033	-0.177	-1.112	-4.147	0.459	-2.624	-0.803	-0.7765	-0.753	-3.538	-2.819	-1.204	0.277	-3.576	-1.995	-0.709	-2.945	-2.919	0.013	-0.177	-0.237	-0.03	-0.54
"YGL124C"	0.251	-0.351	0.363	0.538	0.276	0.128	-0.015	0.142	0.434	0.136	0.172	0.005	0.555	1.73	1.069	1.209	1.057	0.838	1.084	-1.203	-1.714	0.256	0.495	0.472	-0.011	1.488	0.54	-0.64	-0.316	-0.036	0.22	-0.284	-0.077	0.233	0.233	0.092	0.498	0.736	-0.344	1.036	0.312	-0.0265	0.3235	0.04	0.534	-0.077	-0.348	1.125	0.804	-0.167	-0.516	-0.572	-0.342	-0.122	0.424	0.014	0.221
