	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6344.DES460 + 0.02% MMS - 5 min"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42379.CC UL 2B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YBR121C"	-2.66	-4.037	-5.791	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.03	0.134	-2.249	-2.549	-2.264	-1.948	-2.22	-1.806	-1.543	-2.181	0.254	1.218	1.084	0.348	-0.182	0.457	-0.036	0.576	0.213	0.271
"YBR191W"	-3.54	-3.167	-5.241	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.359	0.799	-1.3105	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	-2.872	1.839	0.981	1.342	0.595	0.258	0.351	-0.228	0.419	0.359	0.574
"YBR203W"	2.857	3.035	1.828	3.1385	2.7905	1.4165	3.78	4.2885	4.2585	3.3455	-0.004	-1.015	1.707	1.782	1.288	2.033	3.78	2.561	2.327	2.871	-1.057	-0.942	-0.364	-0.607	0.582	-0.232	0.076	-1.434	0.308	-0.407
"YBR212W"	2.545	3.329	3.128	2.072	1.504	2.075	1.8265	4.222	4.5675	3.4615	0.159	0.032	2.252	2.252	1.337	1.503	2.491	1.768	1.525	1.707	-0.524	0.607	0.442	0.349	0.047	0.026	0.228	0.495	-0.034	0.877
"YDL149W"	1.908	2.522	0.758	1.332	1.22	1.795	1.823	2.075	2.275	1.854	-0.109	-0.208	1.866	0.9005	-0.9875	-0.841	0.9515	0.8265	0.752	0.704	-0.6085	0.0015	-0.508	-0.104	-0.366	-0.943	-0.4885	0.385	-0.243	0.601
"YDR025W"	-3.904	-3.393	-6.697	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.236	0.308	-1.7675	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	1.644	0.463	0.433	0.142	-0.01	0.394	0.403	0.31	0.092	-0.525
"YDR146C"	-0.148	-1.841	-2.89	-1.0	-0.439	-1.414	-1.572	-1.533	-2.359	-2.317	0.013	-0.287	-1.142	-1.521	-0.5955	-0.875	-0.2225	-0.977	-0.434	-0.415	-0.2675	0.085	0.0485	0.0515	-0.1915	-0.0975	-0.0725	-0.143	-0.2975	-0.391
"YDR161W"	-4.61	-2.842	-4.816	-1.951	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	0.015	0.191	-1.526	-0.425	-1.141	-0.339	-2.335	-1.162	-1.357	-1.479	0.348	0.667	0.929	0.277	-0.331	-0.48	-0.304	-0.022	-0.415	-0.101
"YDR245W"	0.179	-1.932	-3.6715	-1.5075	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.047	0.549	-1.29866666666667	-1.844	-2.011	-1.61	-1.8525	-1.6895	-1.6385	-1.94	0.002	0.0185	0.199	-0.05	-0.163	-0.27	-0.4325	0.1165	0.3515	0.386
"YDR262W"	1.7335	3.3725	2.869	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	-0.0015	-0.176	2.2315	2.14	2.6925	2.8525	1.7955	2.334	2.1775	2.708	-0.989	0.329	0.319	-0.481	0.589	-0.129	0.637	-0.5205	-0.092	-0.7025
"YDR399W"	-4.676	-3.073	-4.784	-2.658	-0.706	-0.506	-1.041	-2.115	-2.216	-2.373	-0.062	0.08	-1.693	-0.619	-1.143	-0.639	-2.321	-2.044	-1.257	-1.178	1.251	-0.909	-0.785	0.222	0.213	-0.229	-0.14	-0.241	0.139	-0.711
"YER043C"	-3.945	-4.78	-6.476	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.078	-0.011	-1.415	-3.094	-2.542	-2.539	-2.164	-2.202	-1.71	-1.767	0.289	-1.095	-0.878	0.148	0.075	0.439	0.28	0.538	1.28	1.142
"YER131W"	-2.813	-3.664	-6.55	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.281	0.819	-2.4735	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	1.696	1.549	1.265	1.137	0.297	0.104	0.432	0.587	0.333	0.267
"YGL134W"	1.106	1.672	-0.731	1.27	0.856	1.327	1.505	1.781	1.508	0.924	-0.314	0.0	0.942	0.446	0.63	0.439	0.696	1.215	0.571	1.538	-0.265	-0.663	0.292	-0.097	-0.371	-0.255	-0.337	0.284	-0.131	0.085
"YGL147C"	-3.892	-3.921	-7.507	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.431	1.059	-2.532	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	1.8865	1.0225	0.978	0.2015	-0.013	0.218	-0.0665	0.4015	0.328	-0.63
"YGR185C"	-3.192	-5.306	-6.361	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.0675	0.695	-2.438	-3.17	-2.768	-2.136	-2.136	-2.312	-2.205	-2.277	0.678	-0.017	0.558	0.338	-0.047	0.648	-0.046	0.432	1.056	0.951
"YGR285C"	-3.959	-4.078	-6.1	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.0025	0.141	-2.068	-2.948	-2.607	-1.583	-2.323	-2.554	-1.851	-2.062	0.024	1.126	1.284	0.298	0.029	-0.06	-0.3	0.143	-0.415	-0.51
"YHL033C"	-3.758	-3.984	-6.65	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	-0.0885	0.631	-1.956	-1.38	-1.757	-1.946	-0.001	-1.385	-1.492	-1.18	1.643	1.331	1.564	0.489	0.102	0.787	-0.054	0.452	0.608	0.347
"YHR025W"	-3.632	-2.666	-5.429	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	-0.0015	0.31	-1.627	-3.915	-2.334	-1.934	-3.0	-1.597	-1.63	-2.276	0.567	-0.261	-0.005	0.467	-0.505	0.069	-0.314	0.642	0.08	0.506
"YHR179W"	-2.165	-3.188	-4.68	-1.675	-1.674	-1.236	-2.035	-3.086	-5.251	-4.091	0.12	0.675	-1.77	-1.787	-1.702	-1.109	-0.645	-1.414	-1.142	-1.757	-0.362	-0.309	-0.178	0.919	-0.612	0.792	-0.131	0.804	0.145	0.657
"YHR203C"	-3.926	-3.782	-5.944	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.204	0.586	-2.302	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-3.424	1.552	0.851	0.711	0.291	-0.032	0.354	0.136	0.314	0.739	-0.483
"YIL018W"	-4.365	-3.492	-5.749	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.074	0.934	-2.495	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-2.821	0.818	0.376	0.275	0.178	0.211	0.473	0.265	0.426	0.724	0.992
"YJL014W"	-1.884	-2.624	-3.962	-1.546	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	0.1285	0.037	-1.31	-2.007	-1.358	-1.024	-1.344	-1.416	-0.623	-0.89	0.312	0.486	0.537	0.019	-0.12	-0.087	-0.211	0.211	0.368	0.419
