	"115.heat shock 20 min repeat"	"810.DES460 (wild type) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7530.DBY msn2msn4 37C - 20 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"32250.DBY8778_heat_shock2_0min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33780.delYPL230w_stationary_phase_7hours"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YBR106W"	-1.108	-1.16	-1.0405	-2.949	-1.83	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-1.656	-0.041	-0.225	-2.021	-1.87	-1.335	-0.111	-1.521	-2.007	-1.925	0.141	-3.114	-2.779	-1.846	-1.53
"YBR121C"	-1.742	-1.252	-1.129	-2.66	-1.543	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.945	-0.592	0.156	-1.034	-1.237	-1.177	0.246	-1.084	-1.385	-1.274	-0.275	-2.549	-1.806	-2.361	-1.351
"YBR143C"	-1.726	-0.6815	-1.1	-2.729	-2.197	-2.537	-3.195	-4.642	-2.033	-2.231	-2.012	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.888	-0.608	-0.208	-1.322	-1.426	-1.074	-0.294	-0.988	-1.267	-1.238	-0.435	-2.722	-2.453	-1.462	-1.337
"YBR171W"	-0.255	0.2515	-0.087	-1.442	-0.651	-0.918	-2.189	-3.399	-0.458	-0.816	-1.477	0.216	-1.6565	-0.787	-0.857	-1.0045	-1.2865	-1.677	-1.5245	-0.13	0.532	0.226	-0.521	0.045	0.136	0.242	-0.163	-0.125	-0.126	0.658	-1.503	-1.355	-0.874	-1.032
"YBR243C"	-0.219	0.1595	-0.057	-0.508	-0.237	-0.344	-1.288	-2.794	-1.202	-1.468	-1.637	-2.291	-0.6815	-0.185	-1.0965	-1.2575	-1.1165	-1.7145	-1.8775	-0.138	-0.052	0.464	0.179	-0.065	-0.047	0.051	-0.258	-0.401	-0.135	0.687	-1.259	-1.252	-0.049	-0.166
"YCR034W"	-1.773	-0.973	-1.028	-2.623	-0.877	-1.771	-3.204	-4.331	-2.664	-2.639	-1.895	-2.489	-2.5505	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-1.345	-0.673	0.35	-0.939	-1.629	-1.271	0.215	-0.923	-1.303	-1.435	0.163	-3.552	-3.226	-2.082	-1.989
"YDL143W"	-0.722	-0.083	-0.753	-0.91	-0.807	-1.472	-1.678	-3.716	-1.469	-1.161	-1.388	-1.582	-2.075	-1.535	-1.56	-1.794	-2.612	-3.143	-2.716	-0.368	-0.06	0.081	-0.483	-0.283	-0.029	-0.217	-0.742	-0.85	-0.352	0.257	-1.709	-0.795	-0.586	-1.129
"YDR023W"	-1.126	-0.892	-0.725	-1.814	-1.347	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	-0.808	-0.154	-0.081	-1.175	-1.7	-1.724	-0.264	-1.037	-1.754	-1.928	0.516	-2.302	-1.66	-2.322	-1.96
"YDR450W"	-1.979	-1.306	-0.78	-3.254	-1.895	-1.925	-2.6	NaN	-3.208	-3.201	-2.618	-2.153	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	-1.023	-0.7	0.036	-1.487	-2.182	-1.523	-0.37	-1.045	-1.786	-1.692	0.718	-3.787	-3.453	-2.605	-2.23
"YDR518W"	-0.104	1.001	-0.224	-0.8	-0.568	-1.539	-1.576	-3.131	-0.265	-0.681	-0.915	-0.99	-0.344	-0.738	-0.984	-1.236	-1.099	-1.469	-2.116	-0.015	0.191	0.004	-0.104	-0.399	-0.868	0.129	0.237	-0.019	-0.481	0.246	-0.211	-0.737	-1.2125	-0.0945
