	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7760.Na 45min"	"8247.steady state 36 dec C: y14n095"	"8520.DES460 + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YAL025C"	-3.328	-3.541	-1.491	-2.585	-2.861	-1.16	0.582	1.022	0.971	-2.533	-3.811	-3.37	-0.347	0.3	-0.008	-0.0755	0.133	-0.996	-0.9405	-1.132	-1.168	-2.292	-0.578	-0.983	0.105	0.2715	0.069	0.0715	-2.373	0.066	NaN	-3.235	-3.005	-4.546	-3.945	-1.81	-2.816	-1.476	-2.999	-2.102	-2.964	-2.144	-1.274	-1.758	-1.847	-1.275
"YAL034C"	1.672	-0.392	0.296	1.322	1.886	1.874	-0.418	-0.933	-0.719	0.763	3.837	1.428	-5.0E-4	0.887	0.009	-0.0675	0.182	0.157	0.029	-0.1195	0.073	1.533	0.415	-0.124	-0.373	-0.292	-0.2325	-0.027	2.202	0.102	1.843	1.198	1.883	2.944	1.894	1.857	2.15	1.68	1.406	0.814	2.196	1.675	1.994	1.391	1.422	1.273
"YBL064C"	3.764	3.794	2.215	3.768	4.454	4.288	-1.882	-2.098	-2.178	3.372	3.751	-0.857	0.55	1.145	-0.4815	0.9565	0.052	1.9045	2.454	2.7245	2.9475	2.953	1.022	3.3395	1.4345	1.5485	1.229	1.3755	4.937	0.125	4.277	3.627	3.707	4.371	3.557	4.73	4.644	4.1	4.598	4.294	3.213	3.804	3.343	2.586	3.546	3.207
"YBL078C"	2.604	2.342	1.615	2.615	3.251	2.666	-1.8735	-2.248	-0.36	2.023	2.379	1.286	-0.2165	0.311	-0.118	-0.086	0.008	1.138	1.0255	0.6635	0.798	3.113	-0.179	0.941	0.7295	0.6495	0.486	0.638	3.649	-0.012	2.061	1.89	3.751	3.878	2.039	2.535	2.615	1.814	2.117	2.449	2.409	1.629	0.582	0.858	1.54	1.023
"YBR079C"	-1.418	-2.18	-0.505	-1.147	-1.984	-2.451	-0.1205	0.644	0.638	-1.433	-2.406	-4.79	-0.606	-0.267	-0.0865	-0.197	0.034	-0.2665	-0.3405	-0.4855	-0.701	-1.053	-0.733	-0.475	-0.0595	0.055	-0.1735	-0.092	-2.715	0.138	-2.083	-1.602	-1.859	-2.215	-1.588	-2.293	-1.541	-2.069	-1.533	-1.815	-3.602	-2.935	-1.917	-0.029	-0.903	-1.746
"YBR084W"	-2.64	-3.129	-1.216	-2.61	-3.49	-3.539	0.407	0.888	0.738	-2.218	-4.143	-5.362	-0.02	-0.126	-0.015	-0.2625	-0.166	-0.8135	-0.699	-0.809	-1.1245	-2.037	0.125	-0.7975	-0.294	-0.382	-0.6805	-0.666	-4.142	0.193	-4.322	-3.02	-3.783	-4.104	-2.647	-3.082	-3.886	-2.886	-2.974	-2.671	-4.042	-2.826	-2.786	-2.018	-2.88	-3.139
"YBR214W"	2.351	1.9155	1.356	1.0875	1.61	1.77	-0.922333333333333	-2.023	0.0225	1.29	0.634	-0.419	0.008	-0.4125	0.117	0.111333333333333	-0.34	0.57	0.542333333333333	0.763666666666667	1.35966666666667	2.278	0.0415	0.788333333333333	-0.249333333333333	-0.16	0.091	-0.034	1.9665	0.147	4.093	3.729	2.948	4.29	3.454	2.647	2.815	1.724	2.173	2.483	2.489	1.667	2.161	1.803	1.428	2.117
"YCL037C"	-3.343	-2.957	-1.134	-2.341	-3.618	-3.651	0.64	0.537	0.291	-2.297	-4.172	-3.932	-0.015	0.279	-0.06	-0.022	-0.128	-0.74	-0.733	-0.6355	-0.7265	-1.23	0.008	-0.7385	-0.674	-0.3455	-0.456	-0.4435	-2.787	0.295	-2.844	-1.031	-3.208	-1.746	-3.924	-5.179	-3.883	-3.259	-3.41	-2.213	-2.414	-2.976	-3.335	-1.49	-2.281	-1.224
"YCR004C"	1.669	1.229	1.149	1.351	1.572	1.736	-0.3525	-0.353	-0.411	1.777	1.142	-2.456	0.455	0.261	-0.0875	-0.4965	0.336	0.4695	0.6995	0.586	0.858	1.54	0.233	0.924	0.207	0.2245	-0.0105	0.068	2.11	0.052	1.135	0.879	1.866	1.329	0.972	1.729	1.772	1.58	1.511	2.107	1.934	1.444	1.788	1.756	1.151	0.774
"YCR087W"	-2.207	-1.898	-1.82	-1.939	-2.231	-1.945	1.104	1.123	1.188	-1.046	-0.709	-2.054	-0.561	0.138	-0.0065	-0.159	-0.1	-0.6115	-0.747	-0.44	-0.5105	-1.358	-0.205	-0.2955	0.0465	0.055	0.3275	0.2765	-2.45	-0.377	-1.787	-1.973	-1.763	-2.163	-1.184	-1.495	-1.478	-1.824	-1.811	-1.322	-2.32	-2.32	-1.689	-1.726	-1.318	-1.967
