	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"830.1.5 mM diamide (10 min)"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1254.mec1_plus_gamma_60_min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"32255.DBY8778_heat_shock2_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"42047.L1CompR 09 hr 05 min Leucine Batch vs Chemostat Comparison"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42199.L2 Comp 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YBL033C"	-0.9865	-0.128	1.0345	0.057	0.452333333333333	-0.263	0.6585	0.025	0.2655	-0.077	-1.148	0.371	0.356	0.759	0.132	-0.468	-2.858	-1.839	-3.414	-2.349	-2.237	-1.36	-3.728	-1.051	-1.402	-1.959	-2.384	-1.375	-1.095	-1.012	-1.029	-1.241	-1.03
"YBR007C"	-0.739	-0.076	-0.353	NaN	-0.0435	0.097	-0.39	-0.111	0.184	-0.26	0.498	-0.065	0.036	-0.15	0.409	0.181	-1.582	-1.699	-1.993	-2.383	-2.528	-1.597	-1.429	-1.331	-1.985	-2.139	-1.962	-1.575	-1.848	-2.199	-2.181	-2.25	-2.182
"YCR023C"	-1.146	-0.014	-0.147	-0.078	-0.293	1.122	-0.182	-0.0295	0.158	-0.128	-2.209	0.032	0.112	0.316	-0.113	-0.248	-2.606	-2.406	-2.298	-0.258	-1.945	-0.606	0.627	-1.579	-1.894	-2.096	-2.094	-1.476	-1.227	-1.247	-1.333	-1.358	-1.334
"YDR049W"	-0.71	0.143	-0.702	-0.385	-0.275	-0.538	-0.454	-0.007	-0.089	0.067	-1.629	-0.167	-0.057	-0.561	-0.352	-0.294	-2.208	-1.481	-2.99	-1.575	-1.84	-0.631	-3.064	-1.597	-1.353	-1.415	-1.807	-1.461	-0.93	-1.509	-0.976	-0.833	-0.977
"YDR235W"	-0.4945	-0.198	-0.0105	0.08	0.1865	-0.217	0.0385	-0.07	-0.309	0.265	0.199666666666667	-0.161666666666667	-0.261333333333333	-0.132	-0.4485	-0.258	-1.0615	-1.341	-2.1	-0.8895	-1.406	-0.925	-1.7405	-2.049	-0.8895	-1.9785	-0.6575	0.466	-0.976	-1.1485	-1.134	-1.0925	-1.135
"YDR242W"	-1.154	0.17	-0.196	0.198	0.00699999999999999	-0.012	-0.2675	-0.0325	-0.0205	-0.047	-0.677333333333333	0.242	0.193333333333333	0.079	-0.298	-0.081	-1.8535	-2.2485	-2.3575	-2.751	-2.878	-1.001	-1.997	-2.0615	-2.932	-2.66	-2.557	-1.018	-2.0825	-2.867	-2.633	-2.453	-2.633
"YDR244W"	-0.9955	-0.1185	-0.1165	0.093	0.388	-0.2335	-0.2125	-0.075	0.019	-0.041	-1.07766666666667	0.347666666666667	0.234	-0.0385	0.3235	0.355	-1.9225	-1.579	-2.191	-0.659	-1.76	-1.698	-2.0895	-2.765	-2.38	-2.314	-1.1685	-0.96	-1.6155	-1.746	-2.111	-1.3945	-2.112
"YDR378C"	-0.281	0.038	0.607	0.425	0.459	-0.053	0.435	0.169	-0.415	0.291	-0.547	0.124	0.021	0.678	-0.24	-0.764	-3.172	-4.225	-5.861	-3.995	-5.099	-3.438	-2.353	-2.218	-3.62	-2.017	-3.056	-1.552	-2.383	-2.694	-2.809	-3.13	-2.81
"YEL065W"	0.569	0.066	-0.823	0.74	-0.02	0.646	-0.248	-0.11	0.608	0.329	-0.52	-0.1995	-0.169	0.238	0.259	0.146	2.679	2.726	4.008	2.357	2.376	2.872	2.559	2.163	1.621	2.687	2.943	2.057	2.758	2.445	2.808	3.539	2.807
"YER176W"	-1.063	-0.132	-0.907	-0.38	-0.243	-0.081	-0.385	0.041	0.044	-0.146	-1.3835	-0.0505	-0.1455	-0.653	-0.159	-0.081	-2.98	-2.465	-1.579	-2.693	-2.739	-0.257	-2.462	-2.853	-2.384	-2.386	-2.006	-1.998	-2.253	-2.739	-2.172	-1.984	-2.173
