	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"120.w303a vs w303a fkh1 fkh2"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5357.1.5 mM diamide (5 min)"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33779.delYPL230w_stationary_phase_5hours"	"38150.03II01 batch p6"
"YAL025C"	-1.718	-3.328	-3.541	-0.542	-2.585	-2.861	-1.16	-2.008	-2.479	-0.347	-0.7	-1.433	-0.466	-0.055	-0.941	-2.2	-0.981	-0.592	-1.706	-2.292	-1.544	-0.477	-1.578	-1.95	-2.041	-2.373	0.785	0.643	-2.1125	-2.1915	-1.973	-4.491	-3.235	-1.505	-4.546	-0.566
"YAL059W"	-1.846	-0.686	-1.561	0.07	-1.766	-1.678	-1.268	-1.141	-1.506	0.015	-0.06	-0.678	-0.252	-0.106	-0.543	-1.536	-0.596	-0.462	-1.818	-1.736	-1.444	-0.134	-0.788	-1.546	-1.816	-2.744	1.28	0.81	-1.556	-1.85	-1.8985	-2.427	-3.005	-1.737	-3.04	-0.155
"YBL039C"	-4.41	-4.793	-4.124	-0.426	-4.307	-4.486	-3.781	-1.92	-2.661	0.2045	0.042	-1.184	0.069	-0.146	-0.392	-2.695	-0.489	-0.324	-1.896	-3.176	-2.334	0.268	-1.392	-2.572	-2.654	-4.956	1.015	0.786	-2.506	-3.5065	-2.6105	-2.952	-3.644	-1.329	-3.951	0.051
"YBL054W"	-3.133	-3.129	-4.283	-0.561	-2.807	-3.35	-2.6	-2.952	-1.038	-0.108	-0.6905	-1.1835	-1.201	-0.584	-1.483	-2.142	-1.752	-1.091	-1.874	-1.582	-1.814	-0.869	-1.531	-1.56	-2.236	-3.299	0.534	0.428	-2.809	-1.233	-2.272	-2.823	-2.156	-1.29	-2.298	-0.758
"YBL075C"	3.39	4.479	3.87	-0.363	4.157	5.141	5.008	1.216	1.681	0.0765	-0.0455	0.387	0.241	0.731	0.051	1.585	0.671	0.406	1.778	1.585	1.764	0.483	1.387	1.621	2.112	5.452	0.678	0.605	2.0475	3.8595	3.255	5.539	4.467	1.385	4.062	-0.877
"YBR030W"	-1.358	-1.623	-1.248	-0.307	-1.138	-1.17	-1.044	-0.792	-1.11	-0.001	-0.2925	-0.914	-0.349	-0.626	0.071	-0.118	-0.483	0.42	0.009	-0.381	0.177	-0.198	-0.42	-0.323	-0.505	-1.532	-0.296	0.084	-1.6475	-1.245	-1.65	-1.872	-1.056	-0.699	-1.913	-0.022
"YBR052C"	1.956	2.383	2.693	0.116	2.458	2.644	2.777	2.044	2.481	0.4645	0.548	1.139	0.348	0.257	0.451	1.478	0.795	0.709	1.11	1.882	1.983	0.509	0.907	1.499	1.563	2.858	0.327	1.061	2.2435	2.433	2.136	2.397	1.303	1.298	3.177	0.321
"YBR084W"	-1.885	-2.64	-3.129	-0.479	-2.61	-3.49	-3.539	-1.067	-1.743	-0.02	-0.1105	-1.489	0.082	0.21	-0.512	-1.639	-0.609	-0.464	-1.155	-2.037	-1.62	-0.071	-0.982	-1.632	-1.367	-4.142	0.455	-0.063	-1.008	-2.135	-0.91	-2.385	-3.02	-1.043	-4.104	0.346
"YBR142W"	-2.785	-3.45	-2.326	-0.249	-2.492	-2.93	-2.567	-1.415	-1.523	-0.049	-0.229	-1.2865	-0.11	-0.346	-0.455	-1.297	-0.803	-0.203	-1.263	-1.884	-1.454	0.276	-0.234	-1.071	-1.304	-2.999	-0.112	0.167	-1.739	-1.833	-1.6805	-3.167	-3.065	-1.576	-3.06	-0.277
"YBR266C"	-2.822	-3.764	-3.869	-0.998	-2.532	-1.817	-3.376	-1.95	-2.443	-0.7775	-0.8205	-1.9075	-0.5085	-0.481	-0.636	-2.141	-1.507	-0.742	-2.026	-2.578	-1.489	-0.718	-1.757	-2.513	-2.064	-4.774	0.373	0.479	-2.3125	-2.6885	-2.561	-3.626	-1.986	-1.526	-3.048	-0.97
