	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"865.Amino acid + adenine starvation 6 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"6344.DES460 + 0.02% MMS - 5 min"	"8227.dtt 000 min"	"8229.dtt 030 min"	"8233.dtt 120 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YBL024W"	-1.0245	-2.16	-2.175	-2.483	-4.671	-4.879	-0.387	-2.114	-2.409	-0.0215	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.7035	-0.062	0.506	0.433	-0.64	0.126	-2.18	-0.008	0.125	-1.978	-1.167
"YBL027W"	-0.596	-1.613	-2.0	-1.606	-2.671	-5.577	-0.133	-2.507	-2.33	0.487	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.0155	0.074	1.201	0.751	-0.71	0.31	-1.6965	0.213	0.2665	-3.012	-2.291
"YBL040C"	-0.243	-0.8	-0.948	-1.067	-1.585	-3.288	0.296	-1.261	-1.415	-0.2395	-0.5885	-0.8485	-0.773	-1.5345	-1.6035	-2.3045	0.273	0.048	-0.316	0.195	0.926	0.247	-0.5955	0.194	0.1835	-0.044	-0.023
"YBL068W"	-0.2645	-1.354	-1.322	-2.087	-3.069	-2.71	-0.377	-1.336	-1.506	0.393	-1.0465	-1.472	-1.9665	-1.375	-2.429	-2.56	-0.0925	-0.142	0.553	0.617	-0.522	0.255	-1.092	-0.041	0.088	-0.584	-0.264
"YBL077W"	-1.134	-1.571	-2.021	-1.176	-3.136	-5.081	0.085	-2.607	-2.667	0.3355	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0245	-0.095	0.663	0.419	-0.109	0.345	-1.547	0.18	0.178	-2.93	-1.678
"YBL092W"	-1.263	-2.394	-2.138	-2.929	-2.896	-5.158	-0.453	-2.665	-2.635	0.6175	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.003	0.16	0.866	1.064	-0.485	0.162	-1.555	0.048	0.001	-2.013	-3.174
"YBR011C"	-0.9625	-1.081	-0.977	-1.747	-4.081	-5.344	0.548	-0.95	-1.407	0.133	-0.2825	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.1675	0.327	0.484	0.283	0.67	0.331	-1.084	0.313	0.315	-0.923	-1.509
"YBR025C"	-1.198	-0.929	-1.226	-1.651	-1.66	-5.106	-0.184	-1.624	-1.697	0.1795	-0.8525	-0.5885	-0.66	-2.141	-2.9345	-3.783	0.215	0.053	0.779	0.452	-0.616	0.374	-1.365	0.372	0.438	-1.182	0.09
"YBR079C"	-0.7725	-1.128	-0.936	-1.845	-1.806	-4.79	-1.213	-1.68	-2.308	0.695	-2.1795	-1.661	-2.5405	-1.965	-2.9905	-2.7575	-0.461	0.034	0.098	0.549	-0.767	0.169	-1.519	-0.36	-0.169	-2.317	-1.972
"YBR106W"	-0.828	-1.83	-2.108	-1.986	-3.354	-5.052	0.406	-2.595	-2.731	0.3385	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.1085	0.166	0.758	0.903	0.513	0.634	-1.924	-0.075	-0.085	-2.846	-1.35
