	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18434.2mM MD 100min"	"21664..24 mM H2O2- 170 minutes/redo"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YAL035W"	-2.9955	-1.8465	-1.056	-1.6975	-2.7435	-2.1065	-2.5615	-3.6215	-1.3835	-1.5975	-1.6735	-2.2745	-2.203	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	-0.349	-0.0695	-0.260333333333333	-1.714	-0.34	-0.918	1.2505	0.288	-0.629	-0.706	-0.452	-0.8095	-0.495	0.269	0.241	0.197	0.393	0.323
"YAR075W"	-1.345	-2.675	-2.824	-2.835	-2.296	-2.875	-4.482	-4.212	-2.65	-3.123	-3.18	-3.671	-1.4	-2.083	-2.736	-2.115	-2.55	-2.789	0.012	-0.096	-0.355	-1.346	-0.863	-1.334	0.123	-0.918	-0.237	-0.819	0.01	-0.956	-0.477	-0.168	-0.059	0.149	0.047	-0.238
"YBL024W"	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-4.879	-2.493	-2.238	-2.114	-2.409	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.235	0.014	0.065	-2.18	-1.435	-0.905	0.423	-0.1495	-0.126	0.261	-0.274	-0.686	-0.881	0.338	0.367	0.099	0.329	0.183
"YBL039C"	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-2.736	-2.628	-2.386	-2.176	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.069	-0.146	-0.0805	-2.958	-2.022	-2.43	-0.405	-1.797	-1.368	-2.726	-1.844	-1.8785	-0.565	-0.19	-0.187	-0.319	-0.005	-0.262
"YBL092W"	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-3.0	-2.812	-2.665	-2.635	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.02	0.267	0.097	-1.555	-0.289	-1.2095	0.693	-0.8535	-0.653	-1.159	-0.3775	-0.976	-0.374	0.371	0.452	0.598	0.402	0.379
"YBR048W"	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-3.375	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.578	-0.31	0.190666666666667	-2.013	-2.01825	-1.5015	-0.54725	-1.69325	-0.9385	-2.22275	-0.8175	-1.55475	-0.411333333333333	0.345	0.563	0.426	0.345	0.396
"YBR096W"	0.096	-0.147	-0.23	-0.335	-1.618	-0.773	-2.825	-3.347	-0.736	-1.193	-1.3	-1.672	-0.9895	-1.7275	-1.5245	-1.829	-1.7925	-2.066	0.037	-0.15	-0.07	-0.446	-0.3995	0.0125	0.6265	0.1285	0.135	-0.5	0.099	-0.063	-0.195	0.003	0.046	-0.05	-0.148	0.178
"YBR106W"	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.152	0.217	0.066	-1.924	-0.7025	-0.582	-0.8045	-0.166	-0.8775	-0.2985	-1.032	-0.4305	-1.266	0.448	0.02	0.246	0.357	0.114
"YBR121C"	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.121	0.012	-0.1215	-2.249	-0.3485	-1.101	0.333	-1.3825	-0.626	-1.64	-1.1415	-0.8775	-0.281	0.3	0.247	0.277	0.258	0.329
"YBR142W"	-2.447	-1.562	-1.629	-1.515	-1.8	-0.992	-2.133	-4.241	-1.893	-1.12	-0.958	-1.016	-1.878	-2.0035	-2.148	-2.2985	-2.5785	-2.8165	-0.11	-0.346	0.0815	-0.86	-0.82	-1.55	-0.397	-1.158	-0.145	-1.551	-1.61	-1.217	-0.657	0.02	-0.05	-0.143	-0.02	-0.12
