	"297.Kb vs. Ctrl"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"979.wt_plus_gamma_30_min"	"980.wt_plus_gamma_45_min"	"981.wt_plus_gamma_60_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"
"YBL039C"	0.4905	-1.2325	1.424	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-2.736	-2.628	-2.386	-2.176	-0.696	-0.4185	-0.0105	-0.2155	-0.2905	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.417	0.674	0.5485	0.6955	0.2025	-0.1255	-0.72	-2.958	-1.514	-1.676	-1.585	-3.951
"YBL092W"	-0.252	-1.263	0.97	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-3.0	-2.812	-2.665	-2.635	-0.868	-0.5445	-0.364	-0.158	-0.1415	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.5285	-0.148	-0.1795	0.189	0.1625	0.38	0.16	-1.555	-2.337	-1.064	-1.747	-2.599
"YBR121C"	0.109	-1.014	0.701	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-0.7395	-0.6155	-0.96	-0.4755	-0.486	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.596	-0.3085	-0.5445	-0.067	0.034	-0.271	0.03	-2.249	-1.524	-1.875	-2.086	-2.22
"YDR161W"	-0.04	-0.893	1.259	-4.61	-2.37	-2.197	-2.192	-1.24	-2.356	-2.842	-4.816	-1.842	-2.024	-0.877	-1.278	-0.173	-0.176	0.1	-0.067	-0.003	-1.951	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	-0.045	0.417	0.208	0.322	0.092	-0.135	0.015	-1.526	-1.357	-1.488	-0.989	-2.335
"YDR178W"	-0.548	1.659	-0.957	4.036	4.991	4.84	4.165	3.532	3.684	2.808	0.149	2.667	2.86	2.289	-1.676	0.064	0.293	0.143	0.537	0.39	3.646	3.21	3.039	2.416	1.376	2.78	1.896	0.201	-0.144	0.078	-0.043	0.086	0.254	0.074	2.6955	1.417	1.706	1.447	3.685
"YDR341C"	0.005	-0.658	0.703	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.587	-2.171	-2.134	-2.218	-0.778	-0.281	-0.356	-0.298	-0.497	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	-0.215	0.303	-0.174	0.032	-0.15	-0.086	0.023	-1.562	-1.796	-1.324	-1.577	-2.142
"YER0561C"	-0.21	-1.069	1.066	-3.641	-3.229	-3.765	-2.805	-2.118	-2.571	-2.974	-4.828	-3.09	-2.762	-2.713	-2.71	-0.675	-0.386	-0.538	-0.37	-0.31	-4.549	-2.208	-2.275	-2.538	-2.398	-2.784	-3.617	-0.6	-0.368	-0.328	-0.068	-0.109	0.155	0.25	NaN	NaN	NaN	NaN	NaN
"YFR031BC"	-0.385	-1.727	1.306	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-3.328	-3.949	-3.594	-3.523	-0.887	-0.877	-0.901	-0.147	-0.057	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	-0.593	-0.901	-0.582	-0.495	-0.162	-0.472	0.492	-2.438	NaN	NaN	NaN	NaN
"YGL202W"	-0.215	-0.833	0.573	-0.928	-0.343	-0.79	-0.668	-1.935	-1.435	-3.334	-4.405	-1.664	-1.938	-2.233	-1.883	0.349	0.505	0.574	0.231	0.228	-1.756	-0.475	-1.963	-2.379	-2.119	-2.237	-2.614	-0.083	0.105	0.148	0.27	0.075	-0.034	-0.072	-2.572	-1.369	-1.115	-2.075	-0.445
"YGR125W"	0.139	0.351	-0.404	1.053	0.665	1.333	0.989	1.945	1.085	-0.765	-1.464	0.746	0.415	-0.002	2.022	0.055	0.082	-0.149	-0.043	-0.166	0.823	0.314	0.482	0.547	-0.53	-1.142	-0.989	-0.021	-0.126	-0.207	-0.053	-0.089	-0.287	-0.0975	0.4105	0.254	0.455	-0.694	0.96
