	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"33779.delYPL230w_stationary_phase_5hours"
"YBL028C"	-2.979	-4.375	-2.151	-2.877	-3.969	-3.261	-2.271	-2.02	-4.609	-2.637	-1.041	-0.913	-0.962	-0.687	-1.82	-0.0835	0.121	0.1295	-0.1155	-4.011	0.22	-0.497	-0.204	0.406	-0.013	-2.185	-2.617	-2.329	-2.745	-1.449	-1.652	-3.064	-3.505	-3.4845	-3.231	-2.529
"YBL039C"	-4.793	-4.124	-2.316	-4.307	-4.486	-3.781	-2.661	-2.891	-3.74	-3.306	-0.496	-0.933	-1.386	-2.231	-1.789	-0.289	-0.12	-0.014	-0.2685	-4.956	0.628	0.254	0.207	-0.107	0.182	-1.592	-3.247	-2.223	-3.061	-0.873	-1.305	-2.734	-2.506	-3.5065	-2.6105	-3.951
"YBL064C"	3.764	3.794	2.215	3.768	4.454	4.288	3.578	3.372	3.751	2.277	0.952	0.719	1.372	1.122	1.83	1.4345	1.5485	1.229	1.3755	4.937	0.629	0.759	0.339	0.582	0.689	2.568	2.786	2.504	2.729	2.645	2.685	3.415	3.397	3.35	3.4025	4.371
"YBR053C"	2.944	2.786	2.173	2.642	3.221	3.327	1.621	1.865	2.807	1.393	0.564	0.436	0.509	0.976	1.048	0.5845	0.633	0.409	0.518	4.137	0.004	-0.344	-0.083	0.022	0.054	1.77	2.517	1.899	2.416	0.858	1.369	2.475	2.489	1.4295	1.923	3.16
"YBR056W"	2.937	2.9	1.627	2.582	3.141	3.008	1.974	2.192	3.069	1.46	0.249	0.037	0.59	0.715	1.564	0.8935	0.866	0.7425	0.196	3.273	0.125	-0.075	0.486	0.127	-0.335	2.393	3.048	2.481	2.567	1.282	1.848	3.06	2.669	1.804	2.4735	2.66
"YBR142W"	-3.45	-2.326	-1.313	-2.492	-2.93	-2.567	-1.523	-1.681	-2.447	-1.661	-0.85	-0.863	-0.957	-1.122	-1.341	0.1295	0.2395	0.1595	-0.009	-2.999	-0.115	-0.694	-0.736	-0.498	-0.412	-1.819	-1.953	-1.806	-2.186	-1.288	-2.207	-2.638	-1.739	-1.833	-1.6805	-3.06
"YCR055C"	-4.1	-3.895	-1.25	-3.121	-3.998	-3.454	-2.922	-2.786	-6.518	-3.38	-0.62	-0.043	-1.331	-1.534	-1.614	-0.2185	-0.0775	-0.132	-0.1935	-4.055	-0.273	-0.266	-0.166	-0.037	-0.231	-2.286	-2.63	-2.18	-1.914	-1.231	-1.166	-1.844	-2.0705	-2.7325	-1.755	NaN
"YCR057C"	-3.139	-3.435	-1.092	-2.848	-2.984	-2.951	-2.54	-2.527	-5.726	-3.064	-0.09	0.177	-1.229	-1.412	-1.445	-0.243	-0.0455	-0.127	-0.144	-3.831	-0.509	-0.679	-0.204	0.334	-0.114	-2.054	-2.099	-1.993	-2.62	-1.835	-1.272	-2.242	-2.339	-2.298	-2.713	-2.95133333333333
"YDL148C"	-4.262	-3.284	-1.419	-2.868	-3.476	-2.829	-2.829	-3.097	-3.372	-2.115	0.243	-0.499	-0.69	-1.344	-1.681	0.503	0.599	0.741	0.598	-3.488	-0.034	0.004	-0.323	-0.328	-0.163	-1.877	-3.078	-2.438	-3.104	-1.178	-1.401	-2.349	-1.782	-2.04	-1.79	0.058
"YDL153C"	-4.549	-4.333	-1.678	-3.047	-4.369	-3.668	-2.992	-2.998	-3.698	-2.125	-0.802	-0.974	-0.759	-1.921	-1.829	0.234	0.432	0.491	0.268	-4.079	0.107	-0.35	-0.557	-0.328	-0.337	-1.897	-2.489	-1.935	-2.546	-0.921	-1.542	-2.772	-2.448	-2.566	-1.112	-5.47
