	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL003W"	-3.392	2.942
"YAL035W"	-3.6215	0.203
"YAL036C"	-3.743	-1.41
"YAR015W"	-5.339	-0.305
"YBL040C"	-3.288	2.041
"YBL052C"	-2.3545	-0.3415
"YBL092W"	-5.158	0.484
"YBR002C"	-2.452	0.629
"YBR010W"	-4.119	0.09
"YBR025C"	-5.106	-4.555
"YBR028C"	-3.596	-0.185
"YBR031W"	-6.063	3.875
"YBR048W"	-5.0065	-0.114333333333333
"YBR075W"	-3.53	0.774
"YBR079C"	-4.79	-2.627
"YBR122C"	-2.735	1.416
"YBR139W"	-1.409	-0.763
"YBR146W"	-1.192	1.184
"YBR189W"	-4.702	1.819
"YBR196C"	-4.589	2.986
"YBR220C"	-1.924	2.086
"YBR266C"	-4.633	5.011
"YCL031C"	-4.4835	0.2885
"YCL036W"	-3.764	0.851
"YCL059C"	-5.277	2.273
"YCR002C"	-5.182	2.551
"YCR059C"	-2.776	0.374
"YCR087W"	-2.054	-1.373
"YCR094W"	-2.607	4.62
"YCRX02C"	-2.485	0.882
"YDL003W"	-2.692	0.476
"YDL022W"	-3.649	6.132
"YDL045C"	-1.964	0.038
"YDL061C"	-4.279	-0.567
"YDL119C"	-4.12	1.4625
"YDL136W"	-3.398	1.249
"YDL142C"	-2.566	0.949
"YDL159W"	-0.981	1.241
"YDL191W"	-5.192	0.7195
"YDL229W"	-2.035	0.561
"YDL248W"	-2.55033333333333	1.292
"YDR012W"	-5.83	-1.111
"YDR023W"	-5.745	3.446
"YDR025W"	-6.697	0.604
"YDR064W"	-5.03	0.556
"YDR075W"	-2.87	0.117
"YDR101C"	-4.667	0.846
"YDR138W"	-3.15	1.023
"YDR159W"	-3.542	NaN
"YDR161W"	-4.816	1.74
"YDR172W"	-3.408	0.9745
"YDR190C"	-4.144	2.132
"YDR262W"	2.869	1.676
"YDR351W"	-2.664	-0.416
"YDR445C"	-2.873	1.157
"YDR454C"	-4.275	1.93
"YDR472W"	-3.325	1.617
"YDR492W"	-2.336	0.903
"YDR510W"	-2.892	0.519
"YDR517W"	-1.842	1.375
"YDR539W"	-4.1	1.4125
"YEL002C"	-4.407	1.4625
"YEL057C"	-1.42	0.392
"YEL058W"	-3.692	0.429
"YER006W"	-4.571	1.126
"YER062C"	-4.272	2.084
"YER074W"	-3.854	-0.808
"YER117W"	-5.642	0.475
"YER122C"	-4.276	2.7185
"YER131W"	-6.55	1.2385
"YER154W"	-2.976	1.225
"YFL004W"	-3.639	1.0545
"YFL026W"	-4.221	0.908
"YFL028C"	-3.995	1.3785
"YFR013W"	-3.723	-0.2185
"YFR031BC"	-7.029	-1.201
"YGL021W"	-5.572	1.83
"YGL027C"	-4.731	1.615
"YGL040C"	-3.214	1.371
"YGL049C"	-4.12	1.858
"YGL103W"	-5.266	1.07266666666667
"YGL123W"	-5.982	0.659
"YGL147C"	-7.507	0.936
"YGL195W"	-3.33	1.8235
"YGL220W"	-1.649	0.295
"YGL231C"	-3.788	1.803
"YGL244W"	-2.696	0.82
"YGL253W"	-4.666	1.441
"YGR037C"	-4.976	NaN
"YGR095C"	-3.157	-1.28
"YGR162W"	-3.2845	1.13466666666667
"YGR176W"	-3.665	0.553
"YGR229C"	-4.256	0.764
"YGR259C"	-3.883	-0.076
"YGR295C"	-3.162	0.14
"YHL034C"	-3.26	1.784
"YHR005C"	-4.17	1.883
"YHR036W"	-3.559	1.569
"YHR068W"	-6.532	2.683
"YHR072W"	-3.144	1.747
"YHR123W"	-4.132	1.782
"YHR127W"	-2.837	0.564
"YHR142W"	-2.576	0.878
"YIL030C"	-2.67	0.454
"YIL109C"	-4.504	1.848
"YJL014W"	-3.962	-0.081
"YJL062W"	-5.464	-0.071
"YJL146W"	-2.526	0.516
"YJL176C"	-3.318	1.052
"YJL177W"	-5.49	1.692
"YJL183W"	-4.986	1.335
"YJL213W"	-2.2965	0.778
"YJR048W"	-2.792	1.042
"YJR070C"	-7.226	0.073
"YJR076C"	-4.614	1.167
"YJR123W"	-9.147	-0.776
"YJR131W"	-2.067	1.056
"YJR144W"	-3.102	0.682
"YJR145C"	-6.528	0.249
"YKL078W"	-8.494	-0.435
"YKL080W"	-5.94	5.981
"YKL081W"	-5.155	1.37
"YKL082C"	-2.45	2.188
"YKL113C"	-2.644	3.729
"YKL152C"	-4.943	0.935
"YKL190W"	-3.414	1.935
"YKL214C"	-3.441	0.614
"YKR013W"	-2.894	0.559
"YKR088C"	-2.175	0.875
"YLL002W"	-1.746	2.814
"YLL004W"	-3.568	0.615
"YLR051C"	-2.766	0.203
"YLR129W"	-4.914	2.154
"YLR153C"	-5.598	2.225
"YLR180W"	-5.707	1.09
"YLR316C"	-2.229	1.056
"YLR340W"	-6.819	-0.04
"YLR359W"	-5.36	1.218
"YLR372W"	-4.512	-2.661
"YLR380W"	-3.986	0.72
"YML074C"	-5.319	0.793
"YML115C"	-3.577	1.671
"YMR033W"	-4.454	-0.113
"YMR046C"	-1.652	1.144
"YMR121C"	-4.199	-0.111
"YMR131C"	-6.665	0.878
"YMR146C"	-4.642	-0.177
"YMR166C"	-3.442	1.561
"YMR217W"	-5.29	0.3165
"YMR237W"	-4.233	2.0155
"YMR241W"	-3.349	-1.057
"YMR255W"	1.478	0.08
"YMR260C"	-5.138	-0.0305
"YNL002C"	-3.468	1.1345
"YNL040W"	-4.812	2.2355
"YNL058C"	-2.758	1.4775
"YNL061W"	-4.27	1.348
"YNL062C"	-6.263	1.615
"YNL084C"	-3.396	1.399
"YNL100W"	-1.57	2.4835
"YNL135C"	-3.543	-0.745
"YNL313C"	-5.714	2.198
"YNL318C"	-1.019	1.334
"YNR011C"	-3.395	0.045
"YOL039W"	-7.971	-1.542
"YOL040C"	-6.413	4.667
"YOL052C"	-4.998	-0.403
"YOL137W"	-5.584	-0.248
"YOR109W"	-3.566	1.602
"YOR154W"	-3.1905	NaN
"YOR207C"	-9.516	2.32
"YOR272W"	-4.712	-1.121
"YOR332W"	-3.5655	-0.808
"YPL045W"	-1.55366666666667	0.797
"YPL079W"	-6.4765	1.717
"YPL084W"	-4.6735	1.774
"YPL086C"	-5.552	NaN
"YPL195W"	-4.488	0.51
"YPL197C"	-2.972	1.7
"YPL220W"	-6.1465	-0.727
"YPL241C"	-3.6825	2.079
"YPL245W"	-3.717	NaN
"YPR035W"	-4.028	0.28
"YPR044C"	-4.76433333333333	-0.348
"YPR108W"	-4.645	0.94
"YPR110C"	-6.318	2.592
"YPR131C"	-4.176	1.772
"YPR181C"	-3.9085	-1.303
