	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"801.Heat Shock 030inutes"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1673.alpha factor release sample021"	"2064.Hypo-osmotic shock - 5 min"	"2554.Hypo-osmotic shock -15 minutes"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"7542.DES459 (mec1) - log phase (MMS time "	"7547.33C no sorbitol 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"21631..24 mM H2O2- 190 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38154.03II01 batch p10"
"YBR154C"	-0.959	-0.854	0.13	-0.965	-1.591	-2.015	1.0835	0.3355	0.794	0.711	-0.517	-0.924	-0.606	-2.081	-2.051	-1.448	-4.423	-1.255	-1.586	-1.317	-2.738	0.098	0.048	0.475	0.104	0.245	-0.517	-0.855	-0.245	0.622	-1.565	-1.162	-1.332	-1.693	-1.527	-0.831	-1.802	-1.337	-0.793	-1.861	-2.065	-2.27	-2.433	-1.602	-1.162	-0.043	-0.578	-1.156
"YBR271W"	-2.197	-1.614	0.1665	-1.585	-2.214	-1.543	0.936	-0.364	1.131	0.992	-0.087	-1.192	-0.759	-2.206	-1.391	-1.229	-2.981	-1.793	-2.156	-2.035	-1.502	0.194	-0.223	0.692	0.375	0.364	0.457	0.162	-0.377	0.755	-0.392	-0.427	-0.779	-0.81	-2.281	-0.398	-1.954	-2.022	-1.029	-1.281	-1.073	-1.739	-1.353	-0.739	-1.226	-0.213	-0.439	-1.312
"YCL059C"	-4.242	-2.249	-0.033	-3.611	-4.218	-3.675	0.974	-0.078	0.955	0.848	-2.662	-2.397	-1.424	-4.786	-2.115	-1.94	-5.277	-2.731	-2.27	-1.67	-3.4015	0.561	-0.193	0.682	-0.326	-0.066	-0.139	-0.372	-0.54	0.57	-2.524	-2.535	-2.387	-3.161	-4.664	-0.075	-2.908	-2.614	-1.156	-3.887	-2.479	-4.436	-2.396	-1.791	-1.456	-0.276	-0.753	-1.701
"YDL082W"	-1.806	-1.479	-0.094	-2.339	-3.052	-2.521	0.763	0.704	1.092	0.863	-0.018	-1.115	-0.813	-3.223	-2.484	-2.853	-5.816	-2.246	-2.537	-3.01	-2.915	0.116	0.321	0.264	-0.18	0.077	-0.015	0.062	-0.188	0.044	-1.685	-1.238	-1.349	-1.263	-3.338	0.139	-2.511	-1.38	-0.627	-4.398	-3.698	-4.518	-3.314	-3.014	-3.155	0.327	0.478	-1.687
"YDL191W"	-1.918	-1.434	-0.326	-1.445	-2.102	-2.434	0.553	0.369	0.722	0.713	-1.308	-1.117	-0.869	-1.985	-2.367	-2.75	-5.192	-1.704	-2.911	-2.813	-3.616	-0.009	0.185	0.115	-0.087	-0.04	-0.767	-0.298	0.592	0.07	-1.646	-1.405	-1.627	-1.818	-1.898	0.2625	-2.167	-1.176	-0.723	-3.35	-2.399	-3.234	-2.557	-1.83	-2.46	-0.115	-0.305	-1.593
"YDR025W"	-2.141	-1.495	-0.264	-2.0	-3.031	-3.248	0.692	0.06	1.014	0.806	-0.98	-1.268	-0.964	-3.904	-3.548	-3.252	-6.697	-2.477	-3.357	-3.356	-4.504	0.648	0.188	0.377	-0.228	-0.217	-0.464	-0.557	0.169	-0.166	-1.767	-0.948	-1.45	-1.463	-3.042	-0.0015	-2.278	-1.04	-0.426	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	0.458	0.3	-1.535
"YDR083W"	-3.602	-1.574	-0.239	-2.743	-3.018	-3.242	0.97	0.355	1.266	0.774	-1.232	-1.874	-1.206	-3.47	-2.724	-1.65	-2.922	-2.497	-2.697	-1.847	-2.436	0.115	-0.191	0.581	-0.154	0.04	0.235	-0.049	0.765	0.614	-1.78	-1.336	-2.098	-2.258	-3.386	-0.522	-3.178	-2.503	-1.717	-1.488	-1.18	-2.713	-1.403	-1.129	-1.362	0.273	-0.314	-1.836
"YDR087C"	-4.143	-1.477	-0.121	-2.758	-3.643	-3.468	0.873	0.507	1.227	0.989	-1.366	-1.028	-0.921	-4.139	-2.976	-2.337	-4.944	-2.758	-2.528	-2.208	-1.886	0.412	-0.279	0.549	-0.085	0.006	-0.009	-0.497	0.321	0.577	-1.68	-1.547	-1.708	-2.134	-4.13	0.042	-3.928	-2.942	-1.399	-2.338	-2.16	-3.396	-3.436	-2.083	-2.155	-0.278	-0.856	-1.691
"YDR091C"	-2.435	-0.656	-0.095	-2.061	-2.869	-2.781	0.962	0.644	0.996	1.038	-0.763	-1.327	-0.911	-3.288	-2.045	-1.789	-4.4	-2.163	-2.925	-2.268	-2.971	0.264	-0.434	0.11	-0.265	-0.605	0.407	0.083	0.665	-0.627	-2.074	-1.731	-1.652	-1.604	-2.972	-0.401	-2.978	-1.412	-0.987	-3.117	-2.299	-2.953	-2.242	-1.817	-1.095	-0.165	-0.737	-1.31
"YDR120C"	-2.84	-1.943	0.142	-2.699	-2.817	-2.359	1.226	-0.749	1.101	1.033	-1.036	-1.583	-1.298	-2.742	-1.641	-1.333	-3.115	-2.604	-2.891	-1.781	-2.023	0.318	-0.1	0.664	-0.009	0.084	0.63	0.223	0.297	0.302	-2.465	-1.515	-1.415	-1.734	-2.159	-0.984	-3.752	-2.621	-1.347	-1.254	-0.98	-2.616	-1.963	-1.33	-0.196	-0.162	-0.448	-0.932
