	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7536.25C -- 30 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"
"YAR074C"	-1.052	-1.736	-1.798	-1.499	-2.464	-2.546	-0.589	-1.614	-0.7445	0.34	-1.011	-1.997	-2.524	-2.968	-1.987	-2.027	-0.1135	0.086	-0.071	-1.127	-0.459	-0.161	-0.762	-0.212	-0.718	-1.575	1.083	0.8	0.985	0.06	-0.295	-0.039	-3.445	-1.422	-1.309	-2.068	-2.165	-2.493	-1.653	0.643	0.599
"YBL024W"	-2.122	-2.184	-2.218	-1.562	-2.598	-2.9	-1.945	-1.6915	-1.2715	-0.412	-1.546	-3.938	-2.484	-4.879	-1.549	-2.493	-1.447	-0.252333333333333	-0.106	-0.677	-0.547	0.065	-0.842	-0.665	-1.184	-1.781	1.659	1.093	0.887	-0.27	-0.323	-0.306	-2.821	-1.559	-2.946	-1.978	-2.148	-1.714	-0.922	0.263	0.007
"YBR084W"	-2.64	-2.965	-3.129	-2.61	-3.49	-3.539	-1.516	-2.0275	-1.741	-0.25	-1.743	-4.143	-3.145	-5.362	-1.888	-2.317	-1.416	0.0255	-0.1895	-0.784	-0.171	-0.015	-0.94	-0.076	-1.83	-1.163	1.285	1.087	0.399	-0.541	-0.793	-0.051	-4.142	-4.322	-3.705	-2.757	-4.104	-3.283	-2.324	0.43	-0.078
"YBR149W"	2.19	NaN	2.036	2.344	2.444	2.594	0.48	1.575	0.6425	0.288	1.977	2.663	1.785	-1.177	1.571	0.885	1.5845	0.043	0.478	0.539	0.41	0.013	0.591	0.05	0.528	1.344	-0.485	0.194	-0.476	0.747	0.932	-0.233	2.786	2.639	2.402	1.706	2.342	1.999	2.005	0.607	0.318
"YBR230C"	3.52	3.472	3.132	3.122	3.534	3.545	1.337	1.9365	0.8585	-0.238	2.736	3.909	4.829	0.46	1.695	2.09	1.283	-0.057	-0.1235	0.382	0.301	0.119	0.555	-0.067	0.67	1.08	-0.976	-0.309	-0.063	-0.324	-0.128	0.006	3.751	2.284	3.455	4.448	4.138	4.11	4.81	-0.887	1.043
"YBR247C"	-4.052	0.598	-3.103	-2.541	-3.015	-3.19	-3.127	-1.4775	-0.8745	0.294	-2.334	-3.42	-2.12	-3.969	-2.429	-3.12	-1.695	-0.0105	0.256	-0.387	-0.832	0.076	-1.283	-0.619	-1.063	-1.423	1.142	0.432	0.361	-0.017	0.102	-0.413	-2.961	-2.974	-2.285	-2.153	-1.576	-2.15	-1.289	-0.251	-0.134
"YCL053C"	-2.892	-2.257	-2.571	-2.61	-3.477	-3.061	-2.015	-1.365	-1.326	0.107	-2.08	-4.013	-2.459	-4.22	-2.871	-2.694	-1.221	0.039	-0.144	-0.689	-0.37	-0.1325	-0.57	-0.808	-0.863	-1.06	1.571	0.937	0.334	-0.35	-0.444	-0.067	-3.2	-1.143	-1.334	-1.782	-1.866	-1.397	-1.134	-0.187	-0.36
"YCL059C"	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	-1.901	-2.7855	-2.181	0.143	-2.587	-4.786	-2.115	-5.277	-2.731	-2.27	-1.301	0.019	-0.072	-1.384	-1.204	0.0035	-1.445	-0.02	-1.082	-1.794	1.063	1.102	0.758	0.193	0.082	-0.442	-4.664	-2.908	-3.887	-2.479	-4.436	-2.396	-1.791	-0.064	-0.332
"YCR055C"	-4.1	NaN	-3.895	-3.121	-3.998	-3.454	-3.998	-1.724	-0.77	-0.075	-2.922	-6.518	-3.193	-6.433	-3.38	-3.796	-1.874	0.2	-0.009	-0.62	-0.043	0.0415	-1.331	-0.907	-1.852	-1.534	1.479	1.924	0.367	-0.408	-0.166	0.005	-4.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YCR057C"	-3.139	NaN	-3.435	-2.848	-2.984	-2.951	-3.208	-1.6635	-0.692	-0.059	-2.54	-5.726	-3.143	-5.109	-3.064	-2.464	-1.78	0.055	0.057	-0.09	0.177	0.0055	-1.229	-1.062	-1.863	-1.412	1.013	0.029	0.116	-0.491	-0.167	0.042	-3.831	-2.66966666666667	-1.49366666666667	-1.74666666666667	-2.95133333333333	-2.48433333333333	-1.72466666666667	-0.305333333333333	-0.0503333333333333
