	"861.YPD_5_d_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YAL066W"	-2.123	-0.5785
"YBL027W"	-5.577	2.086
"YBL072C"	-6.241	2.746
"YBR113W"	-1.72	0.338
"YBR248C"	-4.638	0.9585
"YBR288C"	-3.524	0.2405
"YCR043C"	-4.19	1.2795
"YDL074C"	-2.169	0.702
"YDL191W"	-5.192	1.822
"YDL219W"	-2.848	0.729
"YDR013W"	-2.447	0.308
"YDR127W"	-2.328	0.633
"YDR381W"	-2.721	0.127
"YDR382W"	-5.686	2.311
"YDR418W"	-5.866	2.482
"YEL017W"	-3.749	0.584
"YEL036C"	-2.442	0.06
"YEL043W"	-2.206	0.542
"YEL054C"	-7.056	2.322
"YER016W"	-9.725	1.255
"YER0561C"	-4.828	1.871
"YER102W"	-6.434	2.71
"YER131W"	-6.55	2.33
"YER168C"	-1.886	0.823
"YFR031BC"	-7.029	2.869
"YGL001C"	-4.137	0.747
"YGL068W"	-3.944	0.398
"YGL076C"	-5.667	2.882
"YGL103W"	-5.266	1.398
"YGL105W"	-6.011	0.729
"YGL123W"	-5.982	2.365
"YGL135W"	-5.687	2.2
"YGL147C"	-7.507	2.757
"YGL173C"	-2.2335	0.238
"YGL189C"	-5.824	-2.517
"YGL245W"	-6.655	1.309
"YGL253W"	-4.666	1.829
"YGR027C"	-5.39	1.487
"YGR118W"	-5.471	1.925
"YGR165W"	-2.32	0.585
"YGR229C"	-4.256	0.013
"YGR285C"	-6.1	1.749
"YHL033C"	-6.65	2.175
"YHR067W"	-1.985	-0.483
"YHR128W"	-6.006	1.902
"YHR203C"	-5.944	2.739
"YIL052C"	-6.278	1.879
"YIL148W"	-3.41	0.9
"YJL073W"	-3.2645	-0.9505
"YJL127C"	-2.2565	0.039
"YJL177W"	-5.49	2.74
"YJR072C"	-3.523	0.97
"YJR118C"	-2.497	0.528
"YJR123W"	-9.147	2.581
"YJR139C"	-4.462	0.452
"YJR145C"	-6.528	2.789
"YKL006W"	-5.113	1.986
"YLL044W"	-6.48	2.272
"YLL045C"	-6.618	2.059
"YLR026C"	-2.357	0.556
"YLR029C"	-6.877	2.331
"YLR043C"	-4.337	0.105
"YLR150W"	-6.397	2.268
"YLR167W"	-4.496	1.495
"YLR185W"	-5.928	1.929
"YLR214W"	-3.131	0.983
"YLR264W"	-5.152	1.55
"YLR325C"	-5.498	2.183
"YLR333C"	-5.863	1.926
"YLR339C"	-6.865	3.313
"YLR340W"	-6.819	3.263
"YLR367W"	-6.716	2.016
"YLR388W"	-5.506	1.216
"YML026C"	-5.271	1.943
"YML028W"	-5.853	-1.565
"YML063W"	-13.273	2.524
"YML073C"	-6.033	2.691
"YML097C"	-2.8105	0.294
"YMR012W"	-1.5605	0.6565
"YMR142C"	-6.693	2.283
"YMR230W"	-4.541	1.604
"YMR242C"	-6.226	2.029
"YNL069C"	-4.824	2.414
"YNL096C"	-6.106	2.416
"YNL178W"	-6.62	2.094
"YNL221C"	-3.396	0.631
"YNL233W"	-3.551	0.684
"YOL039W"	-7.971	2.614
"YOL040C"	-6.413	2.681
"YOL103W"	-0.4705	0.858
"YOL121C"	-1.754	2.141
"YOL127W"	-2.676	1.758
"YOR232W"	-2.046	0.728
"YOR276W"	-4.3595	0.983
"YOR299W"	-4.623	0.522
"YOR323C"	-6.434	1.739
"YPL028W"	-5.5385	0.748
"YPL142C"	-5.604	1.267
"YPL198W"	-6.879	2.698
"YPL220W"	-6.1465	2.259
"YPL243W"	-5.276	0.633
"YPR036W"	-5.024	0.926
"YPR044C"	-4.76433333333333	1.8575
"YPR102C"	-6.451	2.333
"YPR132W"	-5.805	2.058
"YPR136C"	-4.78933333333333	0.995
"YPR137W"	-3.783	0.875
"YPR173C"	-3.6935	0.232
