	"584.17 deg growth"	"809.DBY7286 37degree heat - 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"896.Amino acid + adenine starvation 2 h"	"982.wt_plus_gamma_90_min"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1249.mec1_plus_gamma_5_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"1258.DBYyap1 + 37degree heat (repeat)"	"3020.WT vs lpz8 null cells in high Cu"	"5358.1M sorbitol - 5 min"	"8217.steady state 17 dec C"	"12732.Nitrogen Depletion 4 h"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12742.Nitrogen Depletion 2 h"	"21666..24 mM H2O2- 055 minutes"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42390.CC LS 1B Leucine-Sulfate Chemostat Comparison"	"42391.CC LS 1A Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YAR009C"	-1.617	0.1515	0.134333333333333	0.846	0.872	-1.329	1.414	0.9605	1.014	0.0163333333333333	0.834333333333333	0.409	0.375333333333333	0.326666666666667	0.324333333333333	0.347	-0.0523333333333333	0.304	0.519	-0.249	0.00933333333333333	-1.5865	0.796	-1.999	-2.368	0.847333333333333	0.756	1.917	2.567	1.529	2.197	2.101	1.949	1.494	1.513	1.166	-1.409	2.689	-2.61	1.679	3.302	-3.059	3.459	-2.702	1.933	1.857	1.841	2.247	2.256	1.016	1.027	0.665	1.018	0.664
"YAR010C"	-1.254	0.442	0.408	0.784	2.123	-1.585	1.267	0.89	1.105	-0.338	0.644	0.6695	0.541	0.1915	-0.079	0.2415	-0.58	-0.196	0.4155	0.283	0.0725	-2.398	0.893	-1.7345	-2.467	1.0465	0.725	1.474	1.792	1.394	2.102	1.237	1.094	0.949	1.019	1.229	-1.364	2.684	-2.155	1.664	3.002	-2.946	1.906	-4.182	2.445	2.271	2.311	2.546	2.665	1.176	1.28	0.806	0.811	0.805
"YBL005W"	-1.241	0.462	0.801	1.583	2.389	-1.461	1.686	0.986	1.492	0.231	1.345	1.156	0.894	0.627	0.3305	0.451	-0.0035	-0.395	0.7745	0.867	0.3895	-2.467	1.888	-1.743	-2.9075	1.962	0.521	2.346	2.384	2.256	1.913	1.82	2.126	0.97	1.16	1.602	-1.132	2.598	-2.689	1.801	3.632	-2.835	3.36	-3.423	2.455	2.502	2.416	2.598	2.685	1.437	1.342	0.813	0.9	0.812
"YER138C"	-1.5025	0.4905	0.7455	1.099	1.9235	-1.7495	1.783	0.6335	1.441	0.038	1.1295	1.07	0.8025	0.62	0.2415	0.4225	-0.1115	-0.3525	0.776	0.3965	0.0915	-2.5285	1.5865	-2.2145	-3.071	1.664	0.783666666666667	1.811	2.126	2.0785	1.974	1.947	1.9495	1.077	1.4125	1.5295	-1.229	2.471	-2.383	1.774	3.017	-2.7055	2.678	-2.2835	1.9145	2.047	2.1075	2.2175	2.175	0.9735	0.981	0.7645	1.0515	0.7635
"YER160C"	-1.675	0.4665	0.656	1.0155	1.8485	-1.239	1.4445	0.5935	1.4345	-0.2445	1.074	1.0925	0.7435	0.5205	0.1085	0.263	0.0035	-0.3175	0.696	0.3725	0.0645	-2.3065	1.5485	-2.3605	-3.301	1.559	0.943	2.0805	2.6645	2.0825	2.2585	1.8355	2.245	1.4015	1.639	1.355	-1.3305	2.6175	-2.293	1.8635	3.422	-2.519	2.0765	-2.204	1.9545	1.9625	2.0495	2.339	2.2935	1.2835	1.1005	0.7635	1.086	0.7625
"YJR026W"	-1.572	0.567	0.725	1.171	1.939	-1.254	1.198	0.907	1.345	0.243	1.123	1.082	0.783	0.602	0.145	0.361	-0.269	-0.435	0.725	0.574	0.312	-2.59	1.762	-1.643	-3.313	1.843	0.925	1.835	2.689	2.072	2.315	1.787	2.448	1.115	1.269	1.411	-1.292	2.913	-2.597	1.806	3.458	-3.141	2.467	-3.924	2.654	2.408	2.547	2.71	2.745	1.369	1.383	0.733	0.989	0.732
"YJR027W"	-1.531	0.4625	0.683	1.337	1.993	-1.853	1.192	0.89	1.29	0.081	1.116	1.333	0.721	0.728	0.242	0.495	-0.136	-0.48	0.92	0.468	0.233	-2.087	1.554	-2.084	-3.052	1.49	0.833	1.2435	2.0805	1.683	1.705	1.8275	1.4885	1.37	1.4455	1.221	-1.232	2.6255	-2.0365	1.8705	3.2145	-2.5955	2.444	-3.3695	2.153	2.1105	2.151	2.298	2.405	1.152	1.1105	0.846	1.2315	0.845
"YJR028W"	-1.552	0.555	0.739	1.142	1.859	-1.583	1.4	0.802	1.171	0.269	1.155	1.093	0.836	0.683	0.166	0.289	-0.317	-0.449	0.78	0.574	0.259	-2.766	1.886	-1.775	-3.275	1.6	0.523	1.544	2.265	1.065	2.235	2.28	2.504	1.073	1.429	1.272	-1.42	2.918	-2.567	1.876	3.233	-3.194	3.039	-4.36	2.456	2.274	2.375	2.764	2.997	1.364	1.395	0.803	1.134	0.802
"YJR029W"	-1.543	0.503	0.659	1.1395	1.707	-1.273	1.5395	0.8745	1.6445	0.187	1.0645	1.206	0.6405	0.5445	0.214	0.531	-0.0525	-0.3635	0.811	0.3485	0.2725	-2.086	1.222	-2.542	-3.138	1.425	0.7355	1.306	1.273	1.6835	1.5015	1.466	1.768	1.28	1.255	1.3865	-1.1995	1.9645	-1.8935	1.75	2.1885	-2.205	1.7135	-2.273	1.6265	1.7715	1.752	1.975	2.021	1.2325	0.891	0.778	0.9335	0.777
"YML039W"	-1.548	0.496	0.661	1.17	1.705	-0.926	1.17	0.604	1.661	0.448	1.043	1.063	0.923	0.782	0.517	0.798	0.032	-0.216	0.874	0.414	0.335	-2.379	1.17	-2.822	-3.426	1.679	0.877	2.095	1.307	1.459	1.917	2.14	2.768	0.978	1.223	1.771	-0.756	2.394	-1.422	1.854	2.942	-1.805	1.983	-2.261	1.63	2.003	2.177	2.128	2.184	1.037	0.952	0.792	1.165	0.791
"YML040W"	-1.359	0.55	0.653	1.55	2.065	-1.604	1.422	1.18	1.11	0.365	1.369	1.195	0.921	0.781	0.406	0.571	0.146	-0.246	0.704	0.703	0.31	-2.337	1.431	-2.114	-3.395	1.957	0.776	1.948	1.612	1.657	1.784	1.85	2.17	1.388	1.447	1.486	-1.409	3.049	-2.695	1.888	3.503	-2.954	3.004	-1.693	2.381	2.324	2.219	2.639	2.688	1.458	1.236	0.737	0.832	0.736
"YML045W"	-1.443	0.453	0.685	1.556	2.12	-1.218	1.511	1.074	1.266	0.284	1.314	1.206	0.956	0.813	0.471	0.598	0.115	-0.206	0.8	0.718	0.342	-2.365	1.609	-1.922	-3.324	1.966	0.78	1.7425	2.064	2.2395	2.1185	1.5515	1.8105	1.32	1.5065	1.6395	-1.2525	3.0035	-2.1785	2.001	3.4595	-2.6955	2.795	-2.9335	2.186	2.2555	2.3865	2.5135	2.606	1.386	1.212	0.8835	1.167	0.8825
"YMR045C"	-1.65	0.629	0.543	1.191	1.891	-1.757	1.611	0.924	1.398	0.301	0.986	0.849	0.668	0.381	-0.01	0.394	-0.379	-0.453	0.771	0.463	0.079	-2.354	1.391	-2.381	-3.367	1.38	0.818	1.629	2.147	2.201	1.45	1.807	2.076	1.344	1.399	1.497	-1.39	2.513	-1.832	1.88	2.815	-2.336	2.031	-2.124	1.698	1.923	2.052	2.141	2.32	1.23	1.05	0.955	1.266	0.954
"YMR046C"	-1.543	0.62	0.775	1.561	2.085	-1.652	1.693	0.995	1.268	0.416	1.276	1.208	0.872	0.775	0.534	0.463	0.094	-0.271	0.775	0.663	0.354	-2.285	1.46	-1.865	-3.172	1.999	-1.066	1.284	1.678	1.777	1.768	1.718	2.057	1.434	1.613	1.359	-1.404	2.834	-2.714	2.006	3.878	-2.915	3.639	-4.181	2.823	2.19	2.316	2.519	2.793	1.426	1.298	0.719	0.887	0.718
