	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7539.25C -- 90 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"
"YAL007C"	-0.528	-0.1985	-0.1095	-1.318	-0.812	-0.897	-1.492	-1.638	-3.056	-3.632	-1.826	-1.304	-1.513	-1.2265	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	-0.002	0.275	0.18	-0.216	0.111	-0.225	0.868	0.311	-1.587	-0.088
"YAR002W"	-0.537	-0.213	-0.4295	-0.802	-0.425	-0.672	-1.058	-0.771	-1.515	-2.289	-0.884	-1.164	-1.3745	-1.1705	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	0.549	0.331	0.454	-0.103	0.058	-0.26	0.256	0.372	-0.798	0.278
"YBL040C"	-0.243	-0.2175	0.383	-0.244	-0.501	-0.8	-0.948	-1.067	-1.585	-3.288	-1.261	-1.415	-0.1315	-0.5885	-0.8485	-0.773	-1.5345	-1.6035	-2.3045	-0.068	-0.252	0.044	-0.1065	0.048	0.368	0.366	0.42	-0.5955	0.4335
"YBR011C"	-0.9625	0.169	-0.0355	-1.18	-0.822	-1.081	-0.977	-1.747	-4.081	-5.344	-0.95	-1.407	-1.005	-0.2825	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.258	0.247	0.326	0.327	0.327	-0.43	0.288	0.062	-1.084	-0.237
"YBR073W"	-0.4415	-0.088	-0.6645	-0.702	-0.148	-0.804	-0.847	-0.579	-2.163	-2.523	-0.836	-1.469	-1.9865	-0.9335	-0.6035	-0.6915	-1.6215	-2.5665	-2.3205	0.024	0.434	0.301	-0.1005	0.109	0.135	0.023	-0.063	-0.895	-0.474
"YBR082C"	-0.915	0.469	1.194	-0.688	-0.336	-0.767	-1.412	-1.155	-2.746	-3.456	-0.797	0.564	-0.811	-0.897	-1.1805	-0.7415	-1.767	-2.379	-2.5995	0.191	0.343	0.322	0.091	0.247	0.0	-0.73	0.101	-2.2115	-0.019
"YBR088C"	-0.499	-0.2675	-1.6675	-1.545	-1.519	-1.064	-1.712	-2.177	-4.084	-4.124	-1.744	-1.332	-2.613	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	-0.406	0.534	0.3	-0.9375	0.079	-0.335	1.145	-0.157	-1.412	-0.536
"YBR106W"	-0.828	-0.326	-0.472	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-2.595	-2.731	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.432	0.256	0.209	-0.225	0.166	-0.197	0.762	0.484	-1.924	-0.356
"YBR114W"	0.342	0.5345	0.975	0.385	0.38	0.836	1.109	1.857	1.715	1.477	1.162	1.214	0.7875	0.307	1.595	2.008	2.654	3.11	2.299	0.128	-0.124	-0.019	0.305	-0.144	0.043	-0.582	0.087	0.219	-0.387
"YBR121C"	-1.014	-0.1795	-1.9015	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.271	0.324	0.381	-0.2815	0.03	0.328	0.893	0.38	-2.249	0.385
"YBR164C"	-0.359	0.183	-0.4045	-0.731	-0.462	-1.134	-1.248	-1.637	-2.78	-3.277	-1.258	-1.624	-1.4165	-0.848	-1.114	-1.4825	-1.3225	-2.355	-1.882	-0.002	-0.042	-0.105	0.442	0.049	0.166	0.27	0.167	-1.384	0.082
"YBR171W"	-0.389	0.1685	-0.076	-1.08	-0.315	-0.651	-0.876	-0.918	-2.189	-3.399	-1.477	0.216	-1.6565	-0.787	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.264	0.27	0.117	-0.1005	-0.036	0.067	0.578	0.133	-0.909	0.316
"YCL045C"	-1.00466666666667	-0.162	-0.67	-0.979	-0.769	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.516	-1.986	-1.31333333333333	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.136	0.0785	0.0655	-0.051	0.0425	-0.061	0.1375	-0.171	-0.7035	0.057
"YCL050C"	-0.7435	0.413	0.889	-1.457	-1.483	-0.96	-1.353	-1.277	-2.331	-2.647	-1.271	-1.353	-1.2675	-1.0365	-0.9575	-0.665	-1.845	-2.758	-2.172	0.228	0.7	0.68	0.138	0.197	0.313	0.375	0.036	-1.099	0.412
"YCL063W"	-1.0475	0.033	-0.39	-0.922	-0.509	-0.724	-2.094	-1.781	-3.315	-3.197	-0.231	-0.514	-0.6985	-0.721	-0.4875	-1.6085	-0.936	-1.6555	-1.118	-0.529	-0.067	-0.241	-0.0935	0.052	0.008	0.004	-0.12	-0.519	-0.656
"YCR002C"	-0.894	0.1445	-0.332	-0.687	-0.686	-1.293	-1.572	-1.667	-3.669	-5.182	-0.658	-1.575	-1.074	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.202	-0.022	0.084	0.3885	0.097	-0.176	0.513	-0.177	-1.48	0.413
"YCR053W"	-1.076	-0.382	-0.963	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-4.283	-1.41	-1.635	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.508	0.651	0.623	-0.437	0.175	0.243	0.64	0.054	-1.451	-0.022
"YDL103C"	0.0	0.129	-0.752	-0.179	-0.276	-0.262	-0.747	-0.703	-2.99	-2.758	-0.689	-1.001	-0.402	0.052	-1.0	-0.538	-1.404	-2.3	-0.654	0.072	0.329	0.217	-0.065	0.055	0.086	0.15	0.006	-0.286	-0.278
"YDL143W"	-0.846	0.079	-0.412	-1.342	-1.394	-0.807	-0.989	-1.472	-1.678	-3.716	-1.388	-1.582	-2.075	-1.535	-1.56	-1.794	-2.612	-3.143	-2.716	0.452	0.519	0.395	-0.216	0.283	-0.3	0.509	0.139	-1.646	-0.028
"YDL225W"	-0.07	0.008	-0.179	-0.501	-0.156	-0.435	-0.872	-1.155	-2.271	-3.558	-0.621	-0.882	-1.031	-0.537	-0.981	-1.021	-0.994	-1.953	-1.522	0.023	-0.015	-0.111	-0.22	0.122	0.003	0.114	-0.089	-0.459	-0.298
"YDR002W"	-0.537	-0.323	-0.646	-1.318	-0.892	-1.054	-1.992	-1.109	-2.756	-4.542	-1.99	-1.796	-2.073	-1.447	-1.309	-0.91	-1.672	-2.746	-2.987	0.269	0.376	0.43	0.157	-0.207	0.454	0.377	0.344	-1.802	0.786
"YDR023W"	1.176	-0.041	-1.423	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.813	-1.696	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.207	0.428	0.481	0.026	0.024	0.445	0.934	0.219	-2.091	-0.465
