	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"853.YPD_4_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"38152.03II01 batch p8"	"38154.03II01 batch p10"
"YAR002W"	-0.537	-0.102	-0.381	-0.402	-0.175	-0.802	-0.425	-0.672	-1.058	-0.771	-1.515	-2.289	-0.658	-0.884	-1.164	-1.1705	-1.1825	-1.2165	-1.493	-1.9265	-1.5805	0.046	-0.798	-0.5845	0.06	-0.668	-0.871	-0.034	0.122
"YBL090W"	0.48	0.828	0.893	0.703	0.711	0.946	1.085	0.043	0.023	0.497	-0.045	-2.24	0.741	0.49	-0.09	0.178	0.2235	0.339	-0.044	-0.4205	-0.3785	1.424	-0.132	0.262	0.502	0.677	0.925	0.898	1.246
"YBR121C"	-1.014	-0.245	-0.881	-1.117	-0.087	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-1.95	-2.366	-2.465	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.999	-2.249	-2.1	-2.5385	-2.551	-2.637	-0.301	-0.366
"YBR143C"	-1.0625	-0.423	-1.063	-1.267	-0.412	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-2.231	-2.012	-2.112	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-1.003	-1.699	-1.875	-1.91	-1.8905	-1.8585	-0.363	-0.979
"YBR164C"	-0.359	0.46	0.272	-0.122	0.166	-0.731	-0.462	-1.134	-1.248	-1.637	-2.78	-3.277	-0.631	-1.258	-1.624	-0.848	-1.114	-1.4825	-1.3225	-2.355	-1.882	0.479	-1.384	-0.0575	-0.348	-0.5945	-0.843	0.542	0.1
"YCL045C"	-1.00466666666667	-0.26	-0.4025	-0.3605	-0.1075	-0.979	-0.769	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.4795	-1.516	-1.986	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.31	-0.7035	-1.17133333333333	-1.706	-1.77266666666667	-1.794	-0.131	-0.251
"YCR002C"	-0.894	0.296	0.188	-0.061	-0.255	-0.687	-0.686	-1.293	-1.572	-1.667	-3.669	-5.182	-0.404	-0.658	-1.575	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.65	-1.48	-0.0135	-1.204	-1.4345	-1.225	0.792	0.838
"YCR034W"	-0.4645	-0.301	-0.921	-1.041	0.306	-1.309	-1.032	-0.877	-1.912	-1.771	-3.204	-4.331	-2.639	-1.895	-2.489	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.856	-1.8	-1.937	-2.646	-2.198	-2.761	-1.077	-1.094
"YDL029W"	0.0	0.633	0.912	0.641	0.172	0.001	0.263	-0.438	-0.58	-0.623	-2.789	-4.215	-0.05	-0.903	-0.975	0.026	-0.481	-0.548	-1.095	-1.471	-0.205	0.641	-0.5335	0.017	-0.691	-0.903	-0.917	0.614	0.535
"YDL225W"	-0.07	-0.152	-0.018	-0.212	-0.177	-0.501	-0.156	-0.435	-0.872	-1.155	-2.271	-3.558	-0.11	-0.621	-0.882	-0.537	-0.981	-1.021	-0.994	-1.953	-1.522	0.246	-0.459	-0.673	-0.875	-1.059	-0.925	-0.195	0.51
