	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"991.constant 0.32 mM H2O2 (120 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"8230.dtt 060 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34365.batch 02X25 6"	"40957.H2O2_II_120_min"	"42194.L2 Comp 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YCL059C"	-3.484	-4.242	-3.611	-4.218	-3.675	-1.313	-2.7855	-2.181	-2.587	-2.904	-4.786	-2.115	-1.94	-1.722	-5.277	-2.27	-2.155	-1.964	-0.817	-0.806	-0.344	-0.424	-3.4015	-1.887	-1.4885	-1.846	-3.0265	-2.4555	-1.374	-0.057	-0.934	-1.186	-1.537	-4.664	-2.169	-2.235	-2.48	-1.8365	-0.653	-0.258	0.374	0.033	0.171	0.067	-0.6	-0.094	0.034	-2.026	-2.908	-1.156	-4.103	-3.887	-4.436	-2.396	-1.747	0.239	-1.169
"YDL201W"	-2.68	-2.05	-1.932	-2.515	-1.652	-2.05	-1.009	-0.578	-1.494	-1.274	-3.282	-2.32	-1.899	-1.819	-4.94	-2.29	-0.972	-1.0	-0.804	-1.542	-0.345	-0.342	-2.178	-1.317	-1.176	-1.363	-1.218	-1.732	-0.801	-0.314	-0.421	-0.826	-1.478	-2.398	-1.643	-1.649	-1.551	-1.876	-0.412	-0.994	-0.884	-0.176	-0.071	-0.635	-1.134	-0.132	0.025	-3.323	-2.621	-0.412	-2.04	-2.098	-2.492	-1.838	-0.828	-0.051	-0.956
"YDR453C"	2.983	2.134	2.48	2.935	3.233	1.93	2.937	3.044	2.971	3.387	3.764	2.191	2.337	2.627	-0.916	2.667	4.461	5.027	5.052	3.935	2.299	2.745	2.725	1.594	1.225	1.671	0.286	-0.388	1.052	4.221	0.16	0.626	1.833	3.011	1.984	2.06	1.752	1.351	6.264	6.963	5.594	5.114	3.257	5.168	6.257	4.357	3.571	0.115	1.095	1.292	1.938	4.144	5.043	3.557	3.821	4.502	2.871
"YER006W"	-2.652	-2.781	-2.921	-3.321	-3.148	-1.902	-2.479	-1.261	-2.459	-2.831	-4.011	-2.738	-2.065	-2.285	-4.571	-1.934	-2.689	-2.138	-0.823	-1.284	-0.472	-0.209	-2.857	-1.622	-2.01	-1.682	-2.03	-3.232	-1.216	0.217	-0.673	-0.971	-1.155	-2.714	-1.9835	-1.912	-1.917	-1.688	-0.2865	-0.722	-0.5025	-0.2855	-0.1595	-0.263	-0.9345	0.067	-0.083	-1.903	-1.117	-0.908	-1.886	-0.701	-1.851	-1.301	-1.201	-0.276	-1.529
"YGL111W"	-2.705	-2.506	-2.165	-2.854	-2.867	-1.202	-1.46	-1.243	-1.882	-1.684	-3.668	-1.845	-1.719	-1.627	-2.826	-2.085	-2.114	-1.579	-0.445	-1.098	-0.065	-0.022	-2.617	-1.672	-1.665	-1.401	-1.95	-2.363	-0.597	0.003	-0.316	-0.833	-1.04	-2.724	-1.595	-1.182	-1.733	-0.936	-0.345	-1.074	-0.881	-0.199	-0.232	-0.868	-0.872	-0.336	-0.342	-2.854	-3.188	-1.053	-2.456	-2.663	-3.063	-1.924	-1.072	-0.51	0.578
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-1.438	-2.061	-1.298	-1.835	-1.517	-4.447	-2.7	-2.234	-2.041	-4.328	-2.878	-1.253	-0.82	-0.596	-0.239	-0.393	-0.389	-2.118	-1.549	-1.989	-1.536	-2.413	-2.243	-1.299	-0.175	-0.439	-1.262	-1.589	-4.594	-1.682	-1.8045	-1.537	-1.606	-0.2265	-0.966	-0.4265	-0.382	-0.1975	-0.837	-1.1	0.061	-0.8325	-2.047	-2.795	-0.279	-2.966	-2.403	-3.836	-3.389	-1.103	-0.9665	-0.73
"YHR088W"	-5.1145	-4.6805	-3.058	-3.613	-2.3075	-1.08	-2.349	-1.197	-3.19	-2.738	-5.002	-1.704	-1.955	-1.768	-3.112	-1.499	-1.983	-1.801	-0.045	-1.202	-0.055	0.116	-1.713	-1.295	-0.722	-1.206	-1.914	-1.532	-0.968	0.119	-1.026	-1.159	-1.131	-3.3645	-2.284	-2.489	-2.425	-3.581	-0.385	-0.313	-0.324	0.161	0.373	-0.306	-0.038	-0.14	0.136	-2.592	-2.779	-0.701	-1.48	-2.04	-2.768	-2.043	-0.964	-0.297	-0.697
"YIL127C"	-2.724	-3.181	-1.7815	-2.8895	-2.6295	-1.5605	-1.677	-1.155	-2.219	-2.121	-3.825	-3.066	-2.308	-2.16	-4.521	-3.072	-1.2655	-1.07	-0.3545	-0.7	-0.119	-0.4015	-2.484	-1.39	-1.039	-1.481	-1.52	-1.247	-0.563	0.248	-1.043	-1.15	-1.608	-2.6085	-2.289	-2.493	-2.198	-2.063	-0.779	-0.636	-1.087	0.034	-0.158	-0.668	-0.645	-0.573	0.069	-3.424	-2.784	-1.009	-1.765	-2.676	-3.693	-1.968	-1.234	-0.34	-1.487
"YKL082C"	-2.8345	-2.5635	-2.396	-3.0765	-3.3375	-1.5835	-1.603	-1.442	-2.707	-2.9	-3.87	-2.249	-1.774	-2.137	-2.45	-1.61	-2.857	-2.09	-0.852	-1.927	-0.588	-0.323	-3.391	-2.03	-1.237	-1.838	-1.55	-1.551	-1.797	-0.095	-0.88	-1.248	-1.762	-2.7635	-2.358	-2.445	-2.225	-1.477	-1.085	-0.723	-0.297	-0.499	-0.276	-1.408	-1.556	0.119	-0.77	-1.582	-2.438	-1.116	-2.074	-1.733	-3.215	-1.561	-0.715	-0.435	-2.224
"YLL008W"	-4.973	-4.981	-3.751	-4.808	-4.019	-1.904	-2.387	-1.409	-3.718	-3.309	-5.659	-3.509	-3.627	-2.64	-6.113	-2.364	-2.974	-2.335	-0.582	-2.038	0.137	-0.073	-3.473	-2.41	-2.154	-2.612	-2.487	-2.92	-1.75	-0.128	-0.899	-1.692	-1.714	-4.642	-2.679	-3.343	-3.401	-2.672	-1.543	-1.113	-0.841	-0.882	NaN	0.197	-1.767	-0.616	-0.542	-2.884	-4.08	-1.681	-2.378	-1.915	-3.042	-2.072	-1.789	-0.181	-1.101
