	"81.cdc15 090 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1300.DBY7286 Low-Pi vs. High-Pi"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6824.Sporulation t0"	"7762.Na+FK 15min"	"11466.yO1 test hyb"	"11827.Pomona College Bio164: WT/dna2-1"	"12734.Nitrogen Depletion 12 h"	"12737.Nitrogen Depletion 2 d"	"12739.Nitrogen Depletion 30 min."	"14761.Ca 30min (1)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"15635.Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YBL024W"	NaN	-3.938	-2.484	-2.16	-2.175	-2.483	-4.671	-4.879	-2.114	-2.409	0.1425	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.23	0.065	0.126	-0.426	-0.438	-0.062	-0.113	0.091	0.41	-2.18	-0.837	-1.534	-1.726	-1.3265	-0.813	-1.141	-0.385	-1.697	-0.205	-0.624	0.363	-2.946	-1.978	-1.714	-0.147	-1.601	-1.311	-1.333
"YBR025C"	NaN	-1.923	-1.884	-0.929	-1.226	-1.651	-1.66	-5.106	-1.624	-1.697	0.447	-2.6785	-0.8525	-0.5885	-0.66	-2.141	-2.9345	-3.783	0.007	-0.1385	-0.087	-0.151	-0.638	0.053	0.054	0.346	0.348	-1.365	0.02	-1.2565	-0.652	-1.0085	-0.576	-0.633	0.156	-0.455	0.277	0.024	0.0795	-1.265	-1.182	-1.088	0.129	-0.875	-0.802	-0.897
"YBR048W"	1.113	-3.385	-2.4795	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-3.295	-3.375	0.315666666666667	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.467	0.190666666666667	0.224666666666667	0.5735	-0.2045	0.278	0.415	-0.076	-0.054	-2.013	-0.269666666666667	-2.61066666666667	-2.09966666666667	-1.14866666666667	-0.530333333333333	-0.318666666666667	0.0436666666666667	-1.12566666666667	-0.0493333333333333	-1.34375	-1.153	-4.043	-3.545	-3.69	0.631	-2.386	-1.783	-2.207
"YBR121C"	1.0	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-2.366	-2.465	0.2285	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.166	-0.1215	-0.015	0.054	-0.43	0.03	0.052	0.328	0.246	-2.249	-0.324	-2.5385	-2.637	-1.068	-0.281	-0.87	-0.54	-0.653	0.17	-0.099	0.046	-2.549	-2.264	-1.806	-0.015	-1.351	-0.366	-1.042
"YBR157C"	0.025	-0.574	-0.709	-0.683	-0.263	-0.094	-1.091	-5.88	-0.894	NaN	-0.1365	1.2575	2.4645	3.1805	2.2105	3.091	3.578	2.4985	1.046	0.0575	0.3	0.16	0.243	0.278	-0.567	0.101	-0.368	3.803	1.026	1.889	2.315	0.104	-1.069	-1.17	-0.768	-0.616	0.418	-0.3015	-0.695	0.931	0.627	0.191	0.179	NaN	0.26	0.258
"YCL070/73C"	0.0393333333333333	1.1505	0.5365	0.8895	1.376	1.05	0.7215	-1.1355	0.194	0.412	-0.3	0.936666666666667	1.004	1.22633333333333	1.66866666666667	3.02666666666667	2.822	1.935	-0.422	-0.085	0.117333333333333	0.215	0.0375	0.0215	0.1065	-0.119	-0.0475	0.5285	-0.401	0.743333333333333	0.683333333333333	0.242333333333333	0.401	0.677	-0.0365	0.2825	0.167	0.120666666666667	-0.555333333333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YDL149W"	NaN	1.908	1.85	1.827	2.204	2.038	2.522	0.758	1.141	0.883	-0.188	1.332	1.22	1.795	1.823	2.075	2.275	1.854	0.492	-0.122	-0.012	0.009	0.225	-0.109	-0.114	-0.234	0.163	1.866	-0.301	1.474	2.24	1.119	-0.123	-0.045	0.55	0.201	-0.173	0.614	-0.133	0.9005	-0.9875	0.8265	0.0685	0.6845	0.0585	0.24
"YDR025W"	-0.6965	-3.904	-3.548	-2.573	-2.592	-2.705	-3.393	-6.697	-3.471	-3.326	0.191	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.446	-0.035	0.038	0.337	-0.254	0.236	0.341	0.144	-0.481	-1.7675	0.5165	-2.193	-1.974	-1.529	-0.788	-0.5535	0.0265	-1.0405	0.1185	-0.866	-0.412	-4.772	-3.127	-3.552	0.624	-2.366	-1.535	-1.814
"YDR256C"	-0.496	1.294	3.623	4.651	4.296	3.092	7.008	4.029	2.52	2.094	-0.049	1.464	3.018	2.336	2.135	4.776	6.245	5.494	0.036	0.177	0.297	0.308	-0.39	-0.344	0.434	0.114	-0.042	3.183	1.419	1.445	0.383	-0.59	-0.794	-0.588	-0.313	-0.1	-0.535	-0.61	-0.758	2.519	2.138	2.981	0.147	3.682	0.985	2.9
"YDR262W"	0.1815	1.7335	1.8585	2.06	2.6665	3.1335	3.3725	2.869	1.6855	1.6875	0.3545	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	0.276	0.1505	0.2325	-0.237	-0.532	-0.0015	-0.275	-0.0205	-0.0135	2.2315	0.1815	2.226	2.6455	0.4825	0.329	0.135	0.274	0.202	0.2175	1.111	0.2775	2.14	2.6925	2.334	0.294	2.2825	1.3615	1.1155
