	"39.alpha factor release sample027"	"56.Elutriation2:Sample2:Time3.5hrs"	"93.cdc15 180 min"	"108.heat shock 15 min"	"406.heat shock 37 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"651.alpha factor release sample019"	"680.YP glucose vs reference pool"	"685.YP sucrose vs reference pool"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"972.1 mM Menadione (10 min)redo"	"981.wt_plus_gamma_60_min"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1105.alpha factor release sample023"	"1170.pho85 delete vs. wild type"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"6681.trr - 0.1 mM H2O2 - 30 min"	"12744.heat shock 17 to 37, 20 minutes"	"13063.wt/crz1 Ca 30min (1)"	"13496.G0 mRNP vs. Poly"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34351.wt_hypo_osmotic_shock_60min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38153.03II01 batch p9"	"40976.MD_II_140_min"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YBL027W"	0.1045	0.819	-1.3	-2.395	-0.241	-2.978	-3.487	-0.091	0.287	0.057	-1.427	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-1.199	-2.494	-2.654	-2.507	-2.33	0.56	-0.5235	0.138	-3.9845	-1.9755	-2.4005	-2.0465	-0.0165	0.091	-1.048	-2.107	0.159	0.22	0.422	-0.039	-3.078	0.4285	0.591	-0.9	0.366	-3.528	-3.012	-2.469	0.402	-3.351	-3.139	-2.319	-2.291	0.288	-1.499	-0.875	-1.176	-1.316	0.946	1.46
"YDR178W"	-0.345	0.685	0.942	2.489	0.47	2.655	3.122	-0.073	-2.392	-1.074	0.415	4.036	4.991	4.84	4.165	3.532	3.684	2.808	2.618	2.667	2.86	2.289	-1.676	-0.153	0.143	0.385	3.646	3.21	3.039	2.416	-0.348	0.439	2.948	3.054	-0.311	-0.088	0.165	0.594	2.656	0.0435	1.81	3.174	0.566	4.18	4.862	4.365	0.454	3.685	4.946	4.481	3.474	0.322	-1.926	3.1	1.1055	0.589	-1.138	0.024
"YDR450W"	0.573	0.606	0.97	-1.91	-0.025	-2.844	-3.077	-0.344	0.881	0.803	-0.78	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	-1.924	-3.208	-3.201	-2.618	-2.153	0.402	-0.745	0.046	-4.313	-2.118	-2.576	-2.784	0.526	-0.395	-1.375	-1.596	0.408	0.229	0.141	-0.277	-3.008	0.224	-0.082	-1.079	0.225	-3.787	-3.762	-2.344	-0.047	-3.594	-3.453	-2.352	-2.575	0.064	-1.515	-1.037	-1.874	1.499	-0.751	1.353
"YGL030W"	0.037	0.194	0.304	-1.664	0.235	-2.592	-0.272	-0.047	-0.065	0.465	-0.941	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-1.677	-2.388	-2.751	-2.6	-2.361	-0.188	-0.862	0.045	-3.284	-2.059	-2.592	-2.534	-0.286	-0.554	-1.363	-1.683	-0.093	-0.268	0.133	-0.497	-2.603	0.271	-0.862	-0.687	1.131	-3.939	-2.871	-2.529	0.564	-3.575	-2.76	-2.198	-3.156	0.373	-2.507	-0.877	-1.241	-0.08	-0.259	0.305
"YGL076C"	0.27	0.289	-1.196	-1.995	0.541	-2.744	-3.119	0.077	0.657	0.357	-0.891	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-1.913	-3.32	-2.996	-2.857	-1.957	0.241	-0.794	-0.041	-4.142	-2.037	-2.568	-2.648	-0.02	-0.594	-1.65	-2.376	0.076	-0.018	0.068	-0.408	-2.656	0.308	1.221	-1.632	0.956	-4.003	-3.509	-2.778	-0.34	-3.347	-3.315	-2.544	-2.894	0.551	-1.82	-1.149	-0.0545	-0.389	1.022	0.489
"YGL187C"	-0.109	0.073	0.402	0.789	-0.546	0.441	0.37	-0.651	-1.874	-0.234	-0.318	2.889	4.099	3.745	3.063	2.506	3.064	2.333	1.625	1.581	2.086	1.817	1.923	NaN	-0.056	NaN	3.543	2.934	2.386	2.576	0.178	-0.265	2.187	2.576	-0.016	0.286	0.103	-0.321	-0.425	0.929	0.722	0.291	0.097	2.983	4.027	3.507	0.8	2.366	3.618	3.196	2.998	-0.286	-1.835	1.396	-0.915	-0.032	0.397	-0.439
"YGR287C"	-0.16	-0.015	-0.541	2.1315	-0.081	1.8005	1.5385	0.1	-0.051	-0.333	0.655	2.299	2.178	3.006	2.677	2.094	1.787	1.316	1.49	1.844	2.099	1.828	1.23	-0.108	-0.068	0.126	1.444	1.464	1.122	1.189	-0.066	0.158	0.423	0.238	-0.131	-0.155	-0.11	0.336	2.505	0.207	0.442	1.309	0.332	0.862	1.151	0.37	0.144	2.242	1.687	0.992	1.743	0.181	0.438	2.047	0.863	0.564	-0.991	-0.429
"YGR288W"	-0.195	-0.392	-0.453	1.7185	0.112	1.3335	1.458	-0.013	-0.107	0.16	0.268	1.98	1.222	1.625	0.821	1.338	1.647	-0.27	1.295	1.135	0.651	1.388	0.734	0.299	-0.16	0.106	1.456	0.963	1.163	1.412	0.009	-0.118	1.115	1.111	-0.038	0.214	0.07	-0.127	2.182	-0.428	-0.439	0.722	0.313	1.474	1.335	1.427	0.239	1.93	1.944	1.369	1.186	-0.046	0.798	-0.095	0.084	1.205	-1.344	-0.357
"YGR290W"	-0.273	-0.415	-0.351	1.52	-0.074	0.8915	0.9865	0.168	-0.788	-0.193	-0.449	4.054	2.3	2.169	1.229	1.599	2.897	3.437	2.332	1.65	1.231	1.667	1.444	-0.422	-0.196	0.072	1.852	1.153	1.348	1.015	0.068	-0.279	0.835	1.045	-0.041	-0.26	-0.503	0.282	1.8045	-0.271	-0.364	-0.303	0.074	2.483	2.467	1.036	0.267	3.293	2.545	0.873	1.39	-0.717	0.588	-1.279	-0.057	0.474	-0.224	-0.367
"YHR051W"	0.009	0.169	0.064	1.3665	-0.3765	1.313	1.449	-0.39	-1.306	-0.384	0.086	2.562	3.688	3.419	2.769	2.012	2.399	2.191	1.784	1.64	1.91	1.879	1.817	0.345	-0.367	0.151	3.332	2.68	2.112	1.853	0.197	-0.097	2.302	2.934	-0.072	-0.007	0.324	0.321	1.196	0.704	0.402	1.747	1.091	3.028	3.999	3.435	0.332	2.435	3.973	4.032	2.958	0.019	-1.502	1.907	2.266	-0.436	-0.814	-0.159
