	"58.Elutriation2:Sample2:Time5.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40957.H2O2_II_120_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YAR015W"	0.2105	0.218	0.1965	-1.7295	-1.4975	-1.306	-1.779	-5.339	-0.109666666666667	-0.164	-0.2615	0.389666666666667	-0.057	-1.38266666666667	0.093	0.646	-0.0446666666666667	0.047	0.141	0.903	0.504	0.51	-0.834	0.332	0.732666666666667	-0.416	0.259	0.121	0.154	-0.072	-0.364	-1.218	-1.259	-1.475	-1.859	-1.9	-1.595	-1.533	-1.213	-1.157	-0.991	-1.798	-2.693	-3.005	-2.021	-2.13	-3.068	-1.297	-1.497	-1.611	-2.197
"YBL002W"	0.6235	0.456	-0.7085	-1.978	-2.008	-1.256	-2.176	-3.979	0.166	-0.976	-1.1675	-1.4185	0.572	-0.133	0.413	0.323	-0.076	0.201	-0.821	-0.7215	-0.9855	-1.104	-1.14	0.542	-1.4215	-1.67	0.129	0.221	0.845	0.526	0.079	-2.948	-2.472	-1.038	-3.399	-2.363	-3.564	-2.771	-1.971	-1.705	-1.551	-0.954	-2.098	-3.676	-3.701	-2.95	-2.567	-2.172	-1.313	-0.275	-1.897
"YBL024W"	-0.367	1.103	-0.1675	-3.938	-2.484	-2.483	-4.671	-4.879	0.1425	-2.147	-3.5465	-3.993	-0.252333333333333	-0.106	0.412	0.111	0.065	-0.062	-0.7865	-0.633	-0.7535	-0.7785	-1.781	0.126	-0.976	-2.18	-0.008	0.125	-0.226	-0.205	-0.205	-1.951	-1.795	-1.959	NaN	-3.035	-2.505	-2.409	-1.682	-1.93	-1.367	-0.832	-2.246	-3.046	-2.613	-2.847	-2.266	-2.199	-2.319	-2.617	-0.376
"YBL036C"	-0.0915	0.337	0.178	-0.922	-0.82	-0.828	-0.869	-2.848	0.1155	-0.4485	-1.091	-1.0785	0.1375	0.041	-0.154	0.242	0.045	0.098	-0.0995	-0.018	-0.221	-0.175	0.316	0.119	-0.1115	-0.433	0.16	0.326	0.244	-0.04	0.272	-0.972	-0.427	-0.813	-0.758	-0.601	-0.648	-1.11	-0.54	-0.758	-0.227	-1.762	-0.219	-0.938	-1.31	-1.018	-2.316	-1.74	0.552	-1.253	-0.999
"YBL068W"	-0.2065	0.957	-0.2475	-2.464	-1.272	-2.087	-3.069	-2.71	0.1775	-1.472	-2.429	-2.56	-0.081	0.169	0.371	0.219	0.106	-0.142	-0.5925	-0.4885	-0.3435	-0.4215	-1.231	0.255	-0.261	-1.092	-0.041	0.088	-0.379	-0.46	0.202	-1.467	-1.17	-1.643	-3.363	-2.2	-2.272	-2.392	-1.353	-1.497	-0.925	-0.277	-1.871	-1.616	-2.312	-2.735	-1.33	-1.424	-0.812	-1.239	-1.306
"YBR034C"	-0.1095	1.57	-0.382	-3.091	-2.072	-2.349	-1.758	-3.523	0.246	-1.9885	-2.963	-1.668	0.054	0.229	0.033	0.354	0.0885	-0.272	-1.1355	-0.9695	-0.493	-0.862	-1.857	0.488	-0.7145	-2.008	-0.166	-0.13	0.042	0.315	-0.229	-3.343	-3.505	-2.39	-3.237	-2.481	-2.253	-1.841	-1.822	-0.994	-1.352	-0.978	-2.323	-1.821	-1.808	-1.641	-1.118	-2.096	-1.494	-1.958	-2.288
"YBR069C"	0.104	0.874	-0.386	-0.816	1.169	-2.139	-2.723	-4.447	0.0025	-1.266	-2.0695	-2.07	0.0965	-0.2475	0.386	0.063	-0.05	0.076	-0.5435	-0.5875	-0.476	-0.2795	-1.771	0.262	-0.127	-0.736	0.426	0.461	0.759	0.353	-0.045	-2.295	-2.632	-2.971	-8.266	-3.923	-3.739	-3.321	-3.06	-2.431	-1.753	-1.988	-4.214	-3.399	-3.57	-3.372	-2.922	-2.575	-2.678	-1.807	-2.77
"YBR084W"	-0.2485	0.888	-0.3055	-4.143	-3.145	-4.006	-4.365	-5.362	-0.02	-1.9025	-2.75	-2.725	0.0255	-0.1895	0.347	0.606	-0.015	-0.166	-0.8135	-0.699	-0.809	-1.1245	-1.163	0.04	-0.7975	-2.65	0.223	0.198	-0.485	-0.347	-0.489	-1.329	-1.648	-2.238	-2.647	-3.082	-3.886	-2.886	-2.974	-2.356	-1.857	-1.346	-2.671	-4.042	-2.826	-2.843	-2.786	-2.018	-2.601	-2.88	-3.139
"YBR238C"	0.0985	1.07	-0.022	-2.763	-3.023	-1.945	-2.138	-2.585	0.173	-2.81	-3.32	-3.008	0.1835	0.4805	0.219	0.302	-0.0555	0.062	-0.781	-0.792	-0.64	-0.467	-1.873	-0.207	-0.1635	-0.915	0.066	-0.088	-0.095	0.434	-0.318	-2.208	-2.362	-2.622	-4.725	-3.055	-2.629	-2.084	-1.737	-0.374	-1.332	-2.915	-2.77	-3.23	-2.91	-2.028	-2.671	-2.596	-5.573	-2.085	-3.046
"YCL037C"	0.113	0.537	-0.076	-4.172	-2.907	-2.769	-2.555	-3.932	-0.015	-2.8585	-2.4225	-2.617	-0.135	-0.081	-0.005	0.196	-0.06	-0.128	-0.74	-0.733	-0.6355	-0.7265	-1.24	0.069	-0.7385	-2.864	0.311	0.058	-0.257	-0.418	-0.871	-2.755	-2.744	-2.921	-3.924	-5.179	-3.883	-3.259	-3.41	-2.77	-2.064	-3.338	-2.213	-2.414	-2.976	-3.098	-3.335	-1.49	-3.839	-2.281	-1.224
