	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL104C"	-1.278	-2.401	3.225
"YBR012C"	-0.88	-1.711	2.827
"YBR081C"	-1.00666666666667	-2.905	0.955
"YBR110W"	-2.152	-2.551	2.386
"YBR166C"	-2.2345	-3.0285	2.1015
"YBR252W"	-1.919	-3.909	2.441
"YCL020W"	-0.563	-1.76	1.479
"YCL022C"	0.0	-2.833	0.792
"YCL059C"	-2.558	-5.277	2.273
"YCR002C"	-3.669	-5.182	2.551
"YCR027C"	-0.679	-2.304	2.3695
"YDL097C"	-0.676	-2.36	1.087
"YDL112W"	-0.792	-1.26	2.039
"YDL119C"	-1.814	-4.12	1.4625
"YDL164C"	-2.07	-2.932	2.65
"YDL188C"	0.053	-2.042	0.627
"YDR020C"	-0.85	-0.933	2.476
"YDR053W"	-0.703	-1.86	1.902
"YDR099W"	-0.322	-3.679	0.946
"YDR128W"	-0.3215	-1.9175	0.6595
"YDR172W"	-1.895	-3.408	0.9745
"YDR174W"	-1.951	-3.526	2.307
"YDR424C"	-1.248	-2.155	0.9785
"YDR472W"	-1.574	-3.325	1.617
"YDR489W"	-1.325	-2.293	2.241
"YDR502C"	-2.705	-5.303	4.051
"YEL002C"	-2.448	-4.407	1.4625
"YER008C"	-0.583	-1.541	2.2775
"YER036C"	-2.411	-4.997	1.571
"YER123W"	-1.31	-3.53	1.5195
"YER136W"	-0.466	-3.262	0.8485
"YER155C"	-0.4425	-2.0845	1.43533333333333
"YER168C"	-1.452	-1.886	0.9775
"YFR006W"	-0.642	-2.477	1.5995
"YFR027W"	-1.18	-2.457	3.329
"YFR028C"	-2.027	-4.271	1.292
"YGL009C"	-0.938	-2.81	1.952
"YGL021W"	-2.714	-5.572	1.83
"YGL035C"	-0.424	-1.569	1.45
"YGL043W"	-1.766	-1.829	2.74
"YGL048C"	-0.197	-0.929	0.792
"YGL241W"	-2.02	-4.045	1.548
"YGR012W"	-1.64	-3.209	2.859
"YGR017W"	-0.5215	-2.382	2.0805
"YGR090W"	-0.463	-2.139	3.39
"YGR180C"	-1.179	-5.017	4.152
"YGR193C"	-1.097	-3.466	2.103
"YGR266W"	-1.917	-4.267	3.194
"YGR284C"	-0.959	-3.1545	2.9
"YHL023C"	-0.781	-3.097	3.9435
"YHR117W"	-0.923	-2.879	2.3
"YHR119W"	-0.394	-2.884	3.116
"YHR129C"	-1.396	-2.678	3.233
"YHR178W"	-0.955	-1.805	3.156
"YIL014W"	-0.401	-2.126	2.571
"YIL062C"	-1.634	-3.897	1.216
"YIL151C"	0.234	-1.82	0.937
"YIL162W"	-0.902	-1.691	3.299
"YJL060W"	-1.3385	-4.0845	1.613
"YJL075C"	-2.151	-3.941	0.614
"YJL127C"	-1.1415	-2.2565	2.481
"YJL159W"	-1.57	-4.456	1.804
"YJR093C"	-0.386	-1.719	2.863
"YKL007W"	-1.105	-2.95	1.209
"YKL073W"	-2.672	-3.282	1.942
"YKL080W"	-4.229	-5.94	5.981
"YKL154W"	-2.701	-3.89	2.992
"YLL018C"	-2.2175	-5.451	2.07
"YLR042C"	-1.336	-1.288	1.001
"YLR132C"	-0.936	-2.372	0.787
"YLR133W"	-1.718	-1.936	1.598
"YLR166C"	-1.298	-1.802	1.989
"YLR331C"	-0.346	-1.908	1.129
"YLR401C"	-1.263	-3.133	2.403
"YML021W"	-1.877	-3.917	1.018
"YML061C"	-1.109	-1.81	NaN
"YML119W"	0.497	-1.678	5.267
"YMR049C"	-4.225	-9.471	3.621
"YMR167W"	-1.035	-1.832	3.128
"YMR226C"	-0.582	-2.394	0.4195
"YMR265C"	-0.769	-2.208	2.511
"YMR273C"	0.643	-1.869	2.372
"YMR298W"	-1.407	-3.399	4.1185
"YNL045W"	-1.687	-2.893	1.78
"YNL062C"	-3.07	-6.263	1.615
"YNL084C"	-1.945	-3.396	1.399
"YNL109W"	-1.843	-2.711	2.2805
"YNL120C"	-0.779	-4.984	7.172
"YNL129W"	-2.312	-3.084	2.181
"YNL154C"	-1.871	-3.909	1.5795
"YNL207W"	0.576	-1.385	0.578
"YNL309W"	-1.202	-2.197	1.66
"YNL310C"	-0.351	-2.534	2.164
"YNL320W"	-2.678	-4.0	4.934
"YNR033W"	0.5855	-1.2185	1.702
"YNR035C"	-0.9935	-2.4005	0.708
"YOL004W"	-1.23866666666667	-2.945	1.0935
"YOR116C"	-0.479	-2.715	2.2035
"YOR159C"	-2.0595	-4.8345	4.019
"YOR301W"	-0.2875	-2.9805	4.336
"YOR334W"	-0.944666666666667	-2.50366666666667	2.042
"YPL242C"	-1.39933333333333	-1.2935	0.8725
"YPR079W"	-0.2695	-1.714	1.282
"YPR105C"	-1.602	-2.389	1.989
"YPR148C"	-1.599	-3.536	0.914
"YPR168W"	-0.840333333333333	-1.21433333333333	1.3875
