	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YBR001C"	2.204	2.369	2.534	1.722	2.084	1.983	2.046	-1.102	-1.642	-1.0	1.408	1.72	1.855	2.619	-0.254	1.543	0.465	0.924	1.596	0.0605	-0.1035	0.0165	0.085	0.8005	0.9	0.8265	1.069	1.089	2.65	1.436	1.8145	1.3475	2.3235	1.791	1.159	1.112	3.111	0.503	0.215	0.459	0.641	0.413	0.551	-0.017	-0.472	0.43	-0.071	0.277	0.131	0.431	0.174
"YBR026C"	1.631	2.326	2.554	1.708	2.178	2.688	2.577	-0.8265	-0.818	-1.003	1.139	1.461	1.573	2.537	-1.474	1.873	0.0685	0.4395	1.643	0.1585	0.2895	-0.073	-0.1325	0.696	0.982	0.866	1.1915	0.8215	2.948	1.633	0.9855	1.0355	1.585	1.969	2.05	2.418	2.689	2.409	-1.702	-0.758	2.84	3.377	3.223	-0.943	0.676	1.29	-0.369	-0.554	-0.152	-0.318	-0.286
"YBR034C"	-3.771	-3.193	-2.964	-2.277	-2.426	-3.138	-3.33	1.5795	1.57	1.307	-1.136	-1.78	-1.388	-3.091	-3.523	-1.874	-1.4935	-0.821	-1.96	0.246	-0.004	0.0885	-0.135	-1.1355	-0.9695	-0.493	-0.862	-0.7145	-3.638	-1.548	-1.537	-2.498	-1.36	-3.01	-2.626	-2.306	-2.298	-2.113	0.663	0.093	-1.055	-1.193	-1.41	0.061	-0.082	0.39	-0.356	-0.062	-0.161	-0.312	-0.343
"YBR126C"	3.914	3.891	3.477	1.876	3.311	3.665	3.498	-1.822	-1.94	-2.113	2.29	2.817	2.755	3.073	0.012	1.836	1.423	0.468	2.883	0.175	-0.03	-0.126	-0.0995	1.4215	1.382	1.731	1.751	1.979	3.472	3.741	4.1745	3.8665	4.5685	3.735	2.959	3.694	3.501	3.553	-0.594	-0.324	2.913	3.042	3.333	-0.061	0.038	0.388	0.108	-0.125	0.033	-0.128	-0.117
"YBR139W"	2.369	2.977	2.63	2.067	2.849	2.957	3.234	-1.384	-1.675	-1.78	1.338	1.611	1.625	3.123	-1.409	1.636	1.6265	1.34	2.285	0.5935	0.634	-0.155	0.27	0.9055	0.8695	0.888	0.766	1.1285	3.322	0.119	2.184	1.42	2.814	2.237	1.973	2.398	3.026	1.619	-1.458	-1.993	2.137	2.169	2.848	-0.492	0.473	1.109	0.781	0.266	0.721	0.795	0.646
"YCL037C"	-2.949	-3.343	-2.957	-1.134	-2.341	-3.618	-3.651	0.64	0.537	0.291	-1.807	-2.332	-2.297	-4.172	-3.932	-2.218	-1.474	-0.983	-1.386	-0.015	-0.5045	-0.06	-0.022	-0.74	-0.733	-0.6355	-0.7265	-0.7385	-2.787	-1.675	-1.5135	-1.3525	-1.4985	-2.844	-1.031	-3.208	-1.746	-0.905	-0.041	0.213	-1.487	-2.609	-1.682	0.812	-0.344	-0.242	-0.017	-0.356	0.099	0.301	0.055
"YCL040W"	4.831	5.519	5.154	3.7	5.018	5.207	5.214	-2.88	-2.918	-3.13	3.313	3.815	4.084	4.499	1.954	3.471	3.213	2.876	4.179	-0.0315	0.206	0.043	0.2235	1.5945	2.2195	2.266	1.9725	2.1845	4.979	4.813	5.5255	4.8075	5.678	4.858	4.531	4.662	4.137	2.459	-1.016	-0.949	3.932	3.684	3.569	-0.773	0.435	1.372	1.339	1.191	0.87	1.169	1.095
"YCL053C"	-2.18	-2.892	-2.571	-1.523	-2.61	-3.477	-3.061	0.711	0.839	0.821	-1.718	-2.08	-1.822	-4.013	-4.22	-2.694	-1.221	-0.683	-1.393	-0.3645	-0.457	-0.1325	-0.095	-0.8525	-0.825	-0.99	-0.9825	-1.0555	-3.2	-2.695	-3.042	-2.025	-1.951	-1.143	-1.625	-2.365	-1.866	-1.047	0.153	0.447	-1.966	-1.884	-1.709	-0.008	-0.115	-0.472	-0.738	-0.434	-0.412	-0.437	0.243
"YCL059C"	-1.314	-3.484	-4.242	-2.249	-3.611	-4.218	-3.675	0.974	0.955	0.848	-1.116	-2.587	-2.904	-4.786	-5.277	-2.27	-1.301	-0.974	-1.964	-0.183	-0.4365	0.0035	-0.153	-1.1615	-1.1365	-1.092	-0.967	-0.9875	-4.664	-2.48	-1.8365	-2.7715	-3.1135	-2.908	-2.614	-4.103	-4.436	-1.808	0.187	0.418	-1.962	-2.286	-1.701	-0.047	-0.039	-0.192	-0.436	-0.146	-0.242	-0.296	0.145
"YCLX02C"	-3.711	-4.024	-3.119	-1.437	-2.69	-3.872	-3.655	0.831	0.896	0.951	-2.364	-2.8	-2.263	-4.118	-2.85	-2.734	-0.951	-0.556	-1.312	-0.4635	-0.756	0.0195	-0.2975	-1.1785	-1.193	-1.1615	-1.318	-1.3175	-4.225	-2.752	-2.5195	-2.286	-2.3655	-2.679	-2.039	-2.894	-3.541	-1.832	0.269	-0.033	-2.008	-1.5	-2.08	-0.107	-0.414	-1.098	-0.791	-0.432	-0.486	-0.432	0.15
"YCR034W"	-1.688	-1.707	-1.773	-0.835	-1.028	-1.49	-1.925	1.0075	1.011	0.917	-0.301	-0.921	-1.041	-2.623	-4.331	-2.664	-0.817	-0.715	-1.282	0.4235	0.597	0.2975	0.1785	-0.6055	-0.5465	-0.3985	-0.7355	-0.7105	-1.551	-1.181	-1.589	-1.6025	-0.594	-1.625	-1.077	-2.322	-3.478	-1.722	-0.713	-0.341	-1.077	-1.458	-1.094	-0.423	0.427	0.559	-0.065	0.179	-0.026	-0.035	-0.456
"YCR057C"	-2.11	-3.139	-3.435	-1.092	-2.848	-2.984	-2.951	0.732	0.76	0.832	-2.421	-2.54	-2.527	-5.726	-5.109	-2.464	-1.78	-0.772	-1.456	-0.035	-0.253	0.0055	-0.1685	-0.9595	-0.8905	-0.919	-1.4045	-1.0645	-3.831	-2.242	-2.339	-2.298	-2.713	-2.66966666666667	-1.48266666666667	-2.12666666666667	-2.95133333333333	-1.11033333333333	0.437333333333333	0.514666666666667	-1.317	-1.38366666666667	-1.56466666666667	-0.08	-0.468	-1.026	-0.416	-0.686	-0.625	-0.561	-0.348
"YCR072C"	-2.145	-4.048	-3.587	-1.931	-2.626	-3.503	-2.949	0.991	1.028	0.756	-1.81	-2.43	-1.537	-4.777	-4.875	-3.092	-1.745	-0.51	-1.115	-0.232	-0.245	-0.0405	0.0085	-1.016	-0.849	-0.6425	-0.6125	-0.6285	-4.635	-1.731	-1.7755	-0.7535	-0.7795	-4.551	-2.816	-2.665	-3.703	-2.759	0.525	-0.159	-2.792	-3.033	-2.592	-0.056	-0.126	-0.108	-1.114	-1.212	-1.054	-0.973	-0.719
"YCR082W"	0.461	0.375	-0.392	0.438	0.537	0.468	0.307	-0.385	0.127	0.227	0.822	1.02	1.003	0.131	-1.016	0.154	0.237	0.64	1.827	-0.07	-0.2305	0.0445	-0.068	0.5035	0.614	0.1885	0.245	0.257	0.358	-1.03	0.4725	0.031	0.275	1.339	0.922	1.356	1.438	0.526	-0.146	0.402	1.122	1.071	0.537	-0.461	0.57	-0.385	0.05	0.345	0.148	0.119	-0.069
"YDL109C"	1.346	-0.238	-3.0	NaN	-1.585	2.731	0.0	0.0	NaN	-0.592	-0.363	-0.678	-0.143	-0.218	-1.371	-0.363	-0.245	0.264	-0.203	-0.351	-0.366	0.489	-1.0	NaN	-1.071	-0.524	-1.585	-0.199	1.014	-0.909	-0.116	-0.428	-0.774	0.303	0.256	-0.401	0.913	-0.655	0.26	-0.162	-1.123	-1.074	-0.402	0.327	0.117	0.647	-0.002	0.063	-0.054	-0.142	-0.022
"YDL167C"	-2.404	-2.982	-3.3	-0.985	-1.628	-2.786	-2.868	0.613	0.687	0.748	-1.707	-2.256	-2.074	-4.321	-4.001	-3.298	-1.365	-0.548	-1.156	-0.096	-0.175	0.105	-0.122	-0.617	-0.386	-0.587	-0.63	-0.69	-2.283	-1.896	-1.189	-1.184	-0.686	-2.303	NaN	-2.882	-3.364	-2.799	0.672	-0.507	-2.456	NaN	-1.712	-0.099	-0.671	NaN	0.246	-0.662	-0.406	0.786	-0.343
"YDR087C"	-2.034	-3.126	-4.143	-1.477	-2.758	-3.643	-3.468	0.873	1.227	0.989	-1.63	-2.287	-2.337	-4.139	-4.944	-2.528	-1.891	-1.074	-0.878	-0.12	-0.519	0.311	0.146	-0.8	-0.796	-0.933	-0.891	-0.809	-4.13	-2.177	-2.326	-1.631	-1.654	-3.928	-2.942	-2.55	-3.396	-1.812	0.355	-0.306	-1.73	-1.961	-1.691	-0.717	0.244	-0.371	-1.003	-0.402	-0.581	-0.942	-0.088
"YDR101C"	-3.098	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	1.358	1.377	1.43	-1.787	-2.603	-2.204	-4.306	-4.667	-3.385	-2.021	-1.541	-0.957	0.188	-0.008	0.107	0.093	-1.295	-1.139	-1.223	-1.21	-1.528	-3.253	-2.283	-2.391	-2.526	-2.423	-3.244	-2.428	-3.315	-3.048	-1.941	0.371	0.107	-1.833	-2.501	-2.303	-0.199	0.199	0.019	-0.458	-0.629	-0.69	-0.726	-0.741
