	"59.alpha factor release sample013"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"585.21 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1249.mec1_plus_gamma_5_min"	"4872.1M sorbitol - 60 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38154.03II01 batch p10"	"40950.H2O2_II_42_min"
"YCL053C"	0.072	-1.569	-2.18	-2.892	-2.257	-2.571	-1.523	-2.61	-3.477	-3.061	-1.016	-2.052	0.663	-0.823	-1.497	-2.015	-1.06	-1.365	-1.326	-1.0015	-2.08	-4.013	-4.22	-2.694	-1.782	-1.345	-1.221	-0.683	-1.393	0.306	-1.052	-0.1325	-0.8525	-1.104	0.353	-0.57	-1.515	-1.829	-1.193	-1.584	-1.503	-0.35	0.0145	0.1195	0.0265	-0.903	-0.8165	-1.977	-1.3105	-3.2	-1.991	-1.031	-1.966	-1.709	NaN
"YCR058C"	-0.163	-1.071	-1.645	-1.728	-1.528	-1.32	-1.627	-2.4	-2.724	-2.439	-0.65	-1.225	0.369	-0.848	-1.348	-1.428	-0.413	-1.0575	0.166	-0.119	-1.782	-1.314	-1.364	-1.067	-1.112	-0.364	-0.524	-0.524	0.535	0.551	-0.845	-0.015	-0.6995	-0.329	-0.074	-0.273	-0.795	-1.072	-1.068	-1.208	-0.838	-0.144	-0.172	-0.1505	0.0245	-0.414	-0.1995	-0.075	-0.282	-3.662	NaN	NaN	NaN	NaN	-4.178
"YDL031W"	0.003	-0.714	-2.218	-2.88	-2.123	-2.3335	-1.2555	-2.1535	-2.805	-2.451	-0.9015	-1.615	0.307	-1.114	-1.5165	-1.2305	-1.012	-1.7765	-1.1785	-0.82	-1.7075	-2.5295	-3.3365	-2.234	-1.5645	-1.2865	-0.7395	-0.223	0.015	0.584	-0.845	0.1475	-0.4925	-0.9815	0.4635	-0.226	-1.914	-1.3565	-1.355	-0.546	-1.206	-0.344	-0.072	0.1155	-0.023	-0.955	-0.824	-1.525	-0.799	-2.6385	-2.448	0.015	-1.517	-1.356	NaN
"YDR101C"	0.278	-1.876	-3.098	-3.513	-3.593	-3.404	-1.887	-3.0	-3.74	-3.659	-0.784	-1.614	0.648	-1.43	-2.122	-2.724	-1.384	-2.357	-1.309	-1.455	-2.603	-4.306	-4.667	-3.385	-2.743	-1.752	-2.021	-1.541	-0.957	0.961	-2.293	0.107	-1.295	-1.252	0.557	-1.446	-1.936	-2.352	-1.867	-2.477	-2.261	-0.484	-0.079	0.113	-0.231	-2.013	-1.483	-2.077	-1.859	-3.253	-2.688	-0.515	-1.833	-2.303	-5.251
"YDR120C"	-0.277	-1.135	-2.644	-3.186	-2.704	-2.84	-1.943	-2.699	-2.817	-2.359	-1.013	-1.304	0.176	-1.297	-2.258	-2.104	-1.399	-2.163	-1.537	-1.221	-2.287	-2.742	-3.115	-2.891	-1.781	-1.643	-1.947	-1.175	-2.425	1.158	-1.649	0.056	-1.021	-1.396	0.732	-1.299	-2.003	-2.465	-1.515	-1.415	-1.734	-0.398	-0.023	0.114	-0.179	-1.427	-0.587	-2.305	-1.899	-2.159	-3.238	-0.373	-1.253	-0.932	NaN
"YDR324C"	0.061	-1.662	-3.084	-3.512	-3.118	-2.824	-1.838	-2.336	-3.184	-3.012	-1.45	-1.707	0.371	-1.315	-2.096	-3.403	-0.741	-1.851	-0.909	-1.252	-1.933	-3.361	-4.131	-2.212	-1.921	-1.118	-1.56	-1.137	-1.492	1.199	-1.134	-0.173	-1.127	-0.751	0.565	-0.545	-0.963	-3.039	-1.914	-1.945	-2.099	-0.138	-0.081	0.092	-0.402	0.429	-1.626	-2.242	-1.371	-3.609	-0.844	-0.2745	-1.697	-1.4765	-2.041
"YDR398W"	0.134	-2.112	-4.395	-5.035	-4.725	-4.358	NaN	-3.115	-4.082	-3.388	-1.208	-1.729	0.554	-1.152	-2.038	-3.183	-0.799	-1.917	-0.73	-0.754	-2.576	-4.143	NaN	-3.069	-2.517	-1.62	-1.384	-0.629	-1.585	0.262	-1.421	0.385	-1.003	-0.805	0.491	-1.37	-1.557	-2.147	-1.57	-1.277	-2.006	-0.315	0.138	0.191	-0.022	-1.998	-0.733	-1.825	-1.347	-4.269	-3.627	0.304	-2.064	-1.751	-3.701
"YDR412W"	-0.414	-1.273	-2.971	-2.735	-2.222	-2.09	-1.963	-1.984	-2.552	-2.649	-0.295	-1.231	0.733	-0.924	-1.422	-1.199	-0.817	-1.674	-1.348	-0.621	-1.5	-2.38	-3.774	-2.216	-1.595	-1.135	-0.795	-0.524	-1.771	0.581	-1.226	-0.007	-0.68	-1.033	0.642	-0.925	-1.422	-1.139	-0.694	-0.762	-1.264	0.025	0.384	0.254	0.239	-1.534	-0.843	-0.877	-0.836	-2.914	-2.903	0.493	-1.242	-1.328	-4.183
"YGL171W"	0.23	-1.743	-3.422	-4.302	3.479	-4.243	-1.503	-2.091	-3.818	-3.208	-1.604	-2.276	0.32	-1.77	-2.421	-3.574	-1.398	-2.42	-1.431	-1.289	-3.432	-5.822	-4.649	-2.759	-2.384	-1.713	-2.126	-1.168	-2.339	0.986	-1.88	0.01	-1.056	-1.31	0.327	-2.198	-2.106	-3.247	-2.573	-2.897	-2.938	-0.034	0.058	0.362	0.276	-1.315	-1.389	-1.585	-2.355	-3.658	-3.124	0.223	-1.819	-1.616	-2.656
"YGR128C"	0.314	-1.545	-2.88	-2.985	-2.926	-3.042	-1.3415	-2.4315	-3.197	-2.749	-0.54	-1.392	-0.063	-1.5245	-1.9845	-2.704	-0.901	-1.641	-1.342	-1.016	-2.282	-3.032	-4.271	-2.816	-2.202	-1.622	-1.872	-1.003	-1.143	1.162	-1.371	0.096	-0.65	-0.961	0.3585	-0.832	-1.796	-2.422	-1.522	-1.874	-1.85	-0.194	0.155	0.21	0.147	-1.9935	-0.718	-2.227	-1.455	-2.534	-2.591	0.782	-1.668	-2.046	-4.806
