	"861.YPD_5_d_30C"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YAL041W"	-2.524	-0.231	-0.963	-1.3775	-1.451
"YBR048W"	-5.0065	-2.738	-2.849	-3.15166666666667	-3.929
"YBR082C"	-3.456	-0.7415	-1.767	-2.379	-2.5995
"YBR095C"	-1.396	0.1125	-0.4215	-0.571	-0.851
"YBR096W"	-3.347	-1.5245	-1.829	-1.7925	-2.066
"YBR171W"	-3.399	-1.0045	-1.2865	-1.677	-1.5245
"YBR234C"	-3.956	-0.0585	-0.974	-1.2525	-1.682
"YCL050C"	-2.647	-0.665	-1.845	-2.758	-2.172
"YCL057W"	-3.12	-0.1325	-1.0735	-1.5655	-1.6815
"YCR012W"	-3.015	0.1995	-2.19	-3.213	-4.0085
"YCR013C"	-5.566	0.635	-1.827	-2.591	-3.6275
"YCR092C"	-1.956	0.393	-0.6155	-0.7075	-0.8745
"YCR095C"	-1.906	-0.1015	-0.433	-0.7025	-1.116
"YDL015C"	-4.309	-0.6435	-1.2485	-1.9455	-2.2355
"YDL126C"	-2.624	0.381	-0.679	-1.421	-2.099
"YDL137W"	-1.713	-0.372	-0.238	-0.242	-0.987
"YDL147W"	-1.453	-0.15	-0.048	-0.538	-0.742
"YDL185W"	-4.417	-0.701	-1.557	-2.084	-3.0
"YDR002W"	-4.542	-0.91	-1.672	-2.746	-2.987
"YDR023W"	-5.745	-2.313	-3.056	-3.357	-3.85
"YDR050C"	-5.94	-0.284	-2.206	-2.643	-3.307
"YDR158W"	-5.115	-1.763	-3.109	-3.802	-4.509
"YDR174W"	-3.526	-0.313	-1.209	-1.705	-1.726
"YDR284C"	-1.912	0.425	-0.716	-0.73	-1.084
"YDR394W"	-2.306	0.172	-0.27	-0.944	-1.089
"YDR427W"	-4.214	-0.74	-1.642	-1.996	-2.388
"YER086W"	-5.173	-1.837	-2.624	-2.882	-3.77
"YFL039C"	-3.733	-0.492	-1.583	-2.201	-2.764
"YFR031BC"	-7.029	-2.912	-3.164	-3.863	-4.146
"YGL027C"	-4.731	-0.674	-2.105	-2.719	-3.083
"YGL095C"	-3.482	0.066	-0.881	-1.3	-1.69
"YGR001C"	-3.271	-0.942	-1.426	-1.682	-2.24
"YGR085C"	-6.059	-2.77	-3.306	-3.54	-4.179
"YGR135W"	-4.32	-0.551	-1.689	-1.765	-1.935
"YGR185C"	-6.361	-2.944	-4.576	-4.871	-5.006
"YGR189C"	-4.894	-0.919	-2.106	-2.635	-2.874
"YGR229C"	-4.256	-1.658	-2.401	-2.58	-3.391
"YHR005C"	-4.17	-0.985	-2.115	-2.592	-2.519
"YHR018C"	-2.976	0.072	-0.693	-1.012	-1.75
"YHR098C"	-3.065	-1.218	-1.917	-1.925	-2.553
"YHR190W"	-3.849	-0.186	-1.054	-1.59	-1.725
"YIL018W"	-5.749	-2.606	-2.661	-3.27	-3.914
"YIL096C"	-3.119	-0.882	-1.288	-1.637	-1.667
"YJL001W"	-4.027	0.023	-1.137	-1.689	-1.304
"YJL034W"	-3.805	-0.554	-2.417	-3.286	-3.187
"YJL092W"	-1.202	-0.017	-0.37	-0.558	-0.732
"YJL167W"	-7.538	-0.897	-2.066	-2.855	-2.924
"YJL188C"	-4.633	-1.929	-2.169	-2.54	-2.776
"YJL190C"	-6.079	-3.227	-2.941	-3.365	-3.524
"YJR045C"	-1.9	0.676	-0.297	-0.61	-1.53
"YJR076C"	-4.614	-0.776	-1.815	-2.814	-3.117
"YJR118C"	-2.497	-0.53	-0.882	-1.108	-1.366
"YKL068W"	-3.325	-0.482	-1.121	-1.563	-1.621
"YKL122C"	-4.576	-1.282	-2.178	-2.544	-2.706
"YKL126W"	-2.583	-0.412	-0.921	-1.361	-1.517
"YKL145W"	-3.898	0.168	-0.904	-1.615	-1.832
"YKL152C"	-4.943	-0.245	-1.713	-1.83	-2.83
"YKL153W"	-5.051	-0.755	-1.986	-2.039	-2.818
"YKL154W"	-3.89	-1.447	-1.765	-2.132	-2.222
"YKL179C"	-3.305	-0.514	-0.951	-1.676	-1.88
"YKL212W"	-4.806	-1.598	-2.516	-2.929	-3.374
"YKR001C"	-5.109	-0.751	-2.374	-2.626	-3.069
"YKR023W"	-2.31	0.181	-0.546	-1.239	-1.348
"YLL024C"	-5.009	-0.85	-2.804	-3.024	-3.122
"YLR061W"	-6.591	-2.88	-3.309	-3.833	-3.91
"YLR064W"	-3.247	-0.068	-0.821	-1.41	-2.424
"YLR076C"	-4.142	-1.453	-1.198	-1.871	-1.996
"YLR095C"	-2.686	-0.542	-1.06	-0.772	-1.295
"YLR101C"	-3.161	-1.203	-1.911	-2.069	-2.518
"YLR216C"	-3.052	1.288	-0.9	-1.27	-1.601
"YLR217W"	-2.846	0.73	-1.034	-1.543	-2.494
"YLR249W"	-6.742	-3.778	-3.883	-4.549	-4.992
"YLR355C"	-6.009	-1.519	-1.878	-1.989	-3.088
"YML036W"	-1.252	-0.132	-0.343	-0.456	-0.757
"YML074C"	-5.319	-1.673	-2.826	-3.214	-3.466
"YML085C"	-4.526	-1.564	-1.907	-2.298	-2.55
"YML130C"	-1.421	0.158	-0.673	-1.297	-1.2445
"YMR049C"	-9.471	-2.279	-3.3	-3.396	-4.217
"YMR083W"	-1.26	0.057	-0.308	-0.457	-0.724
"YMR186W"	-4.873	0.064	-2.302	-3.197	-3.507
"YMR202W"	-5.431	-1.208	-2.263	-2.876	-2.931
"YMR231W"	-3.029	0.097	-1.443	-1.795	-2.243
"YMR314W"	-2.497	-0.101	-0.505	-1.0	-1.137
"YNL010W"	-4.52	-1.936	-2.483	-2.738	-3.396
"YNL026W"	-4.57	-0.769	-1.742	-1.531	-1.966
"YNL064C"	-3.31	-0.561	-1.535	-2.661	-2.805
"YNL084C"	-3.396	-0.673	-1.386	-1.735	-1.919
"YNL096C"	-6.106	-3.041	-3.644	-4.096	-4.68
"YNL138W"	-2.283	-0.621	-1.313	-2.568	-1.315
"YNL178W"	-6.62	-2.981	-2.958	-3.483	-3.871
"YNL189W"	-4.06	-1.294	-2.058	-2.641	-3.084
"YNL272C"	-2.783	-0.464	-0.957	-1.339	-1.856
"YOL070C"	-2.0685	-0.69	-0.88	-1.326	-1.318
"YOR007C"	-3.123	1.027	-1.016	-2.096	-2.568
"YOR117W"	-4.538	-0.688	-0.901	-2.138	-1.922
"YOR157C"	-4.5095	-0.073	-1.14	-2.012	-1.966
"YOR209C"	-6.004	-1.227	-1.897	-2.681	-2.954
"YOR259C"	-2.73	0.416	-0.354	-0.762	-0.804
"YOR260W"	-4.639	-1.624	-2.257	-2.577	-3.081
"YOR261C"	-2.19	-0.305	0.147	-1.025	-1.129
"YOR280C"	-4.249	-0.29	-1.197	-1.828	-1.95
"YOR362C"	-3.362	-0.371	-0.571	-1.782	-0.82
"YPL079W"	-6.4765	-3.087	-3.015	-3.498	-4.547
"YPL094C"	-5.3055	-1.061	-2.024	-2.284	-2.741
"YPL106C"	-4.546	-0.572	-3.281	-3.825	-4.33
"YPL118W"	-3.472	-0.282	-1.32	-1.696	-1.807
"YPL239W"	-3.907	-0.554	-1.503	-2.384	-2.259
"YPL240C"	-3.749	0.614	-1.788	-2.471	-2.867
"YPR029C"	-4.2395	-0.605	-1.909	-1.836	-2.242
"YPR033C"	-7.94	-2.55	-3.951	-4.382	-4.54
"YPR102C"	-6.451	-3.232	-3.352	-3.749	-4.692
"YPR108W"	-4.645	-1.136	-2.383	-3.07	-2.669
"YPR118W"	-5.524	-2.077	-2.882	-3.334	-3.538
"YPR148C"	-3.536	0.335	-0.987	-1.426	-2.035
