	"797.Heat Shock 000 minutes (series 3)"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1686.YP raffinose vs reference pool"	"4872.1M sorbitol - 60 min"	"9832.cdc15 080 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"33779.delYPL230w_stationary_phase_5hours"
"YBL024W"	1.069	-1.1915	-3.938	-2.484	-2.376	-2.16	-2.483	-4.671	-4.879	-2.493	-2.238	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.412	0.2445	0.065	0.864	-1.534	-1.6095	-1.726	-0.008	0.125	-0.337	-0.38	-0.126	-0.226	-0.234	0.487	0.172	-2.148
"YBL039C"	1.128	-2.1165	-3.74	-3.092	-3.457	-2.373	-3.004	-4.323	-7.004	-2.736	-2.628	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.192	-0.4	-0.0805	0.32	-2.6045	-3.1395	-3.443	0.262	0.375	-0.181	-0.673	-0.595	-0.596	0.254	1.015	0.786	-3.951
"YBL068W"	0.764	-0.4535	-2.464	-1.272	-0.712	-1.354	-2.087	-3.069	-2.71	-1.955	-1.468	-1.537	-1.0465	-1.472	-1.9665	-1.375	-2.429	-2.56	0.371	0.432	0.106	0.634	-1.4885	-1.245	-1.3185	-0.041	0.088	-0.659	-0.655	-0.246	-0.379	-0.34	0.36	0.0	-1.477
"YBL077W"	0.396	-1.0285	-3.41	-2.161	-1.694	-1.571	-1.176	-3.136	-5.081	-2.763	-2.285	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.031	0.359	0.0635	-0.236	-2.488	-2.2065	-2.3345	0.18	0.178	0.364	0.21	0.085	0.045	-0.028	0.198	0.423	-2.854
"YBR088C"	0.743	-1.2345	-4.244	-1.545	-1.519	-1.064	-2.177	-4.084	-4.124	-1.282	-1.484	-2.613	-1.1155	-1.0105	-1.809	-2.4385	-3.272	-2.4585	0.49	-0.607	0.259	-1.187	-1.66	-1.323	-1.222	0.417	0.439	0.564	0.848	0.395	0.245	0.233	1.753	1.462	-2.591
"YBR089W"	0.562	-1.2615	-2.938	-1.454	-0.488	-0.175	-0.532	-3.547	-2.47	-2.078	-1.621	-2.9465	-1.089	-1.348	-1.751	-2.8165	-3.093	-1.8535	0.106	0.483	0.2595	-0.887	-1.7985	-1.1085	-1.174	0.356	0.327	0.452	0.584	0.205	0.102	-0.33	1.453	1.442	-1.855
"YBR143C"	0.849	-1.084	-2.729	-2.378	-2.339	-2.197	-2.537	-3.195	-4.642	-2.033	-2.231	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.291	0.1835	0.029	0.744	-1.91	-1.8905	-1.8585	0.193	-0.03	0.291	0.183	0.111	-0.003	0.714	0.312	0.318	-2.223
"YCL045C"	0.1595	-0.48	-1.369	-0.979	-0.769	-0.949	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.31333333333333	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.325	0.364666666666667	0.0683333333333333	0.487	-1.706	-1.77266666666667	-1.794	0.1105	0.074	0.0705	-0.0195	-0.012	-0.172	0.0055	-0.2495	-0.3045	-1.372
"YCR053W"	0.291	-0.6315	-2.562	-1.828	-2.374	-1.952	-1.033	-3.556	-4.283	-1.206	-2.391	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.394	0.148	-0.025	-0.089	-1.6735	-1.907	-1.727	0.123	-0.013	-0.28	-0.06	0.073	-0.07	0.001	0.378	0.167	-2.7365
"YDL082W"	0.863	-1.564	-3.223	-2.484	-2.853	-1.739	-1.723	-3.326	-5.816	-2.537	-3.01	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.258	0.013	0.063	0.269	-2.121	-0.983	-1.38	0.368	0.307	0.3345	0.352	0.345	0.191	0.712	0.7505	0.783	-4.518
"YDR275W"	0.248	0.1025	1.553	2.2955	2.594	2.161	3.1575	3.166	0.442	-0.131	0.947	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	-0.5695	-0.1405	-0.0385	0.31875	1.796	2.3905	2.416	0.0365	0.182	0.1255	0.335	0.0475	0.248	-0.3435	0.5525	0.7335	1.091
"YDR287W"	-0.138	0.714	1.181	1.262	1.273	0.975	0.877	1.063	0.976	1.229	1.469	0.846	0.403	0.796	0.756	1.09	1.298	0.767	-0.032	-0.222	0.01	0.1435	0.257	0.241	0.633	-0.082	-0.119	0.104	0.179	0.149	0.212	0.081	-0.146	0.098	2.471
"YDR385W"	0.864	-2.028	-2.252	-1.858	-1.887	-1.775	-1.985	-3.158	-5.463	-2.682	-2.3	-2.538	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.187	0.376	-0.147	1.002	-2.077	-1.398	-1.463	-0.018	-0.111	-0.11	0.055	-0.428	-0.02	0.2	-0.179	-0.382	-1.626
"YER043C"	0.879	-0.795	-3.945	-1.445	-1.979	-2.553	-3.397	-4.78	-6.476	-2.364	-1.977	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.603	0.05	-0.103	0.6205	-2.015	-2.503	-2.487	-0.222	0.0	-0.281	-0.118	-0.218	0.139	0.179	0.226	-0.045	-2.164
"YER049W"	0.655	-0.68	-2.916	-2.05	-2.231	-1.562	-1.746	-3.769	-4.541	-2.359	-2.226	-3.216	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	0.189	-0.462	0.019	-0.2015	-1.172	-1.33	-1.731	0.051	0.308	-0.227	-0.073	-0.256	0.191	0.013	0.429	-0.155	0.012
"YER102W"	1.107	-2.081	-3.932	-3.965	-3.177	-2.924	-2.578	-3.64	-6.434	-3.101	-3.625	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	NaN	0.085	0.299	0.696	-2.133	-1.446	-1.328	0.399	0.529	0.342	0.507	0.118	0.049	0.034	0.77	0.604	-2.385
"YER118C"	0.472	-0.492	-2.119	-1.275	-0.813	-0.898	-1.822	-2.598	-3.457	-1.55	-1.195	-1.7	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	0.417	0.205	0.143	0.719	-1.062	-1.075	-0.815	0.06	0.094	-0.1315	-0.1405	-0.017	-0.0035	-0.3255	-0.001	0.026	-2.915
"YFR031BC"	0.846	-2.441	-4.567	-3.823	-3.84	-2.931	-2.801	-4.702	-7.029	-3.328	-3.949	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	0.333	0.943	-0.05	0.159	-2.329	-1.89	-1.842	0.501	0.098	0.697	0.539	0.379	0.165	0.432	0.578	0.703	NaN
"YGL008C"	0.265	-0.494	-2.727	-1.377	-1.16	-0.661	-2.092	-4.675	-3.936	-2.24	-1.603	-3.268	-0.784	-1.748	-2.348	-4.203	-4.969	-4.679	0.273	0.18	0.025	1.013	-1.503	-2.154	-3.01	-0.145	0.075	-0.298	-0.462	-0.582	-0.755	0.261	1.211	1.118	-2.554
"YGL016W"	0.141	-1.105	-1.929	-0.664	-0.675	-0.604	-1.127	-3.034	-4.265	-1.563	-1.245	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.173	0.015	0.106	0.183	-1.867	-1.969	-2.353	-0.2	-0.22	-0.105	0.067	-0.098	-0.214	-0.539	-0.058	-0.07	-1.333
"YGL076C"	1.006	-1.867	-3.969	-3.136	-2.73	-2.564	-2.401	-3.976	-5.667	-3.32	-2.996	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.147	0.705	-0.016	-0.699	-2.237	-1.523	-1.742	0.3355	0.3835	0.2475	0.1805	0.308	0.216	0.33	0.624	0.7725	-3.347
"YGL095C"	0.271	0.647	1.133	0.936	0.821	0.278	0.453	0.244	-3.482	0.486	0.871	0.752	0.503	0.446	0.066	-0.881	-1.3	-1.69	0.091	0.288	-0.009	-0.569	0.484	0.144	0.152	-0.034	-0.073	0.141	0.092	0.005	0.183	0.274	-0.349	-0.129	1.392
"YGL169W"	0.564	-0.797	-3.307	-1.775	-1.137	-1.378	-0.953	-1.674	-4.274	-2.332	-2.065	-0.93	-0.769	-0.531	-0.326	-0.38	-0.89	-1.304	0.094	0.242	0.107	0.193	-0.669	-0.087	0.179	0.099	0.276	-0.37	-0.316	-0.023	-0.124	-0.208	0.241	0.228	-1.832
"YGR085C"	1.122	-1.247	-3.713	-3.301	-2.511	-2.202	-2.146	-3.406	-6.059	-3.071	-3.255	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.313	0.656	0.278	0.637	-2.078	-1.442	-1.73	0.237	0.236	0.32	0.366	0.139	0.035	-0.19	0.232	0.791	-3.45
"YGR143W"	-0.26	0.061	2.387	1.687	1.872	2.09	2.711	1.669	-1.293	0.592	1.023	2.305	1.95	2.483	2.641	2.479	2.556	1.09	0.136	0.277	0.036	-0.254	1.615	1.567	1.0	-0.227	-0.2505	0.3845	0.1345	-0.1685	-0.0585	-0.033	0.613	0.2265	2.308
"YGR185C"	0.336	-0.439	-3.192	-1.697	-1.695	-1.31	-2.168	-5.306	-6.361	-1.442	-1.736	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.424	-0.138	0.181	0.04	-2.21	-2.316	-2.459	-0.002	-0.011	0.147	0.142	-0.091	-0.09	0.108	0.347	0.042	-2.136
"YGR285C"	0.578	-0.775	-3.959	-2.444	-2.267	-1.794	-1.67	-4.078	-6.1	-1.648	-1.332	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.052	0.523	0.15	-0.297	-2.035	-2.466	-2.483	0.541	0.392	0.399	0.158	0.121	-0.019	-0.17	0.172	0.135	-2.323
"YHL033C"	1.093	-1.92	-3.758	-2.864	-2.635	-1.944	-2.205	-3.984	-6.65	-3.056	-3.153	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.414	0.262	0.08	0.37	-1.93	-1.111	-1.445	0.154	0.246	-0.078	-0.038	0.261	0.139	-0.339	0.371	0.49	-0.001
"YHR064C"	0.557	-0.994	-4.543	-2.196	-1.596	-1.668	-1.712	-3.329	-5.238	-3.074	-2.229	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	0.42	0.448	-0.069	0.149	-2.303	-1.252	-2.419	0.195	0.172	-0.103	0.016	-0.232	-0.2	-0.176	0.239	-0.131	-2.415
"YHR068W"	0.818	-0.906	-3.316	-2.566	-2.252	-2.251	-2.166	-4.28	-6.532	-2.873	-2.52	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.18	-0.637	0.241	0.382	-2.522	-2.438	-2.761	0.084	0.06	0.181	0.18	0.276	0.128	-0.232	0.449	0.225	-2.406
"YHR133C"	0.511	-0.498	-1.498	-1.357	-0.653	-1.163	-1.561	-1.885	-3.501	-1.51	-1.708	-1.49	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	0.038	0.443	-0.043	-0.002	-1.643	-1.371	0.126	-0.179	-0.077	-0.048	0.081	0.167	0.11	0.282	-0.16	-0.039	-1.475
"YIL018W"	1.056	-2.153	-4.365	-3.03	-2.782	-2.724	-2.78	-3.492	-5.749	-3.362	-3.505	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.361	-0.223	-0.233	0.287	-1.845	-1.798	-1.414	0.22	0.186	0.293	0.186	0.288	0.203	0.657	0.669	0.695	-4.06
"YIL078W"	0.648	-1.543	-2.907	-2.075	-2.018	-2.219	-1.911	-5.192	-6.059	-2.282	-2.288	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.172	0.573	0.141	-0.2635	-2.573	-2.57	-2.6	0.305	0.336	-0.128	-0.149	-0.401	-0.293	-0.125	-0.211	-0.256	-1.996
"YJR041C"	0.773	-1.256	-3.864	-2.277	-1.489	-1.335	-1.402	-3.322	-4.286	-1.873	-1.595	-2.769	-1.624	-1.752	-1.853	-2.965	-2.872	-2.952	0.019	-0.161	-0.142	0.261	-1.67	-1.385	-1.535	-0.303	-0.251	-0.358	-0.561	-0.128	-0.457	-1.179	-0.265	-0.398	-3.443
"YKL014C"	0.3755	-0.53	-0.782	-0.6875	-1.049	-0.6795	-0.147	-2.13	-2.7895	-1.0925	-0.8005	-2.185	-1.51	-1.767	-1.4065	-1.294	-2.075	-1.805	0.081	-0.0455	-0.156	0.229	-1.22	-1.477	-1.4825	-0.1575	-0.029	-0.1965	-0.2035	-0.3235	-0.1675	-0.0445	-0.0625	0.1885	-2.495
"YKL056C"	1.069	-1.59	-3.205	-2.603	-3.118	-2.355	-1.771	-3.426	-5.119	-1.914	-2.359	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.163	0.36	0.072	0.834	-1.76	-1.251	-1.522	0.932	0.736	0.502	0.469	0.07	0.057	0.145	0.554	0.867	-2.472
"YLL044W"	1.006	-2.041	-4.871	-3.525	-3.158	-2.869	-2.963	-3.79	-6.48	-3.313	-3.031	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.327	0.445	-0.086	0.001	-1.93	-1.508	-1.37	0.284	0.343	0.184	0.194	0.177	0.218	0.408	0.8	0.44	-3.806
"YLL045C"	1.206	-1.94	-3.851	-3.176	-2.506	-2.189	-2.221	-3.857	-6.618	-3.169	-3.335	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.243	-0.034	0.223	0.391	-1.749	-0.995	-1.237	0.158	0.219	0.313	0.238	0.168	0.149	0.077	0.937	0.57	-3.788
"YLR060W"	0.566	-0.551	-3.165	-2.617	-2.047	-2.296	-2.849	-4.941	-5.967	-2.093	-1.988	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.007	0.375	-0.212	-0.406	-1.72	-1.77	-1.452	-0.058	-0.301	-0.092	-0.025	-0.091	-0.021	-0.424	-0.763	-0.472	-2.64
"YLR062C"	1.07	-1.641	-4.53	-4.418	-3.352	-3.067	-4.077	-5.705	-6.896	-3.6	-3.985	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.245	0.106	0.023	-0.642	-2.666	-1.934	-2.16	0.105	0.185	0.484	0.38	0.365	0.14	-0.132	0.611	0.956	-4.54
"YLR083C"	0.758	-1.582	-3.703	-2.067	-1.922	-1.598	-2.216	-3.767	-5.137	-2.718	-2.103	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	0.278	0.456	0.145	0.94	-2.339	-2.644	-3.016	-0.101	-0.063	-0.182	-0.049	-0.405	-0.317	-0.158	0.098	0.017	-3.492
"YLR084C"	0.059	NaN	-1.276	-0.878	-0.441	-1.246	-1.153	-3.113	-3.637	-0.801	-0.488	-0.678	NaN	-1.138	-1.616	NaN	0.71	3.907	0.085	NaN	NaN	0.404	0.434	NaN	-0.526	0.058	0.08	0.006	-0.08	-0.196	-0.049	0.007	0.093	0.126	-2.067
"YLR196W"	1.059	-1.289	-5.083	-3.01	-3.156	-2.049	-2.276	-4.437	-5.836	-2.858	-2.859	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.333	-0.406	0.24	-0.115	-1.727	-2.058	-2.19	-0.422	-0.316	-0.928	-1.033	-0.68	-0.418	-0.673	-0.12	0.298	-3.658
"YLR222C"	1.054	-1.186	-4.423	-1.933	-1.902	-1.176	-1.613	-3.721	-4.745	-2.384	-2.21	-3.785	-1.613	-2.036	-2.29	-3.081	-2.929	-3.119	0.277	-0.019	0.048	0.003	-1.93	-1.794	-1.979	-0.228	-0.257	-0.89	-0.987	-0.612	-0.362	-0.626	0.056	-0.182	-1.727
"YLR246W"	-0.461	-0.07	1.539	1.682	1.763	1.901	2.836	2.503	1.083	0.834	0.655	1.861	1.556	1.704	2.228	2.212	2.565	2.24	-0.091	0.134	0.396	0.641	1.455	2.156	1.839	0.17	0.032	0.4	0.309	0.065	0.156	-0.221	-0.328	-0.123	1.127
"YLR339C"	0.586	-2.041	-3.243	-2.951	-2.69	-2.664	-3.76	-4.988	-6.865	-2.453	-3.194	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.375	0.369	-0.052	0.637	-1.944	-1.986	-1.859	0.372	0.4	0.33	0.217	0.221	0.428	-0.144	0.6	0.783	-3.409
"YLR340W"	0.822	-2.226	-2.59	-2.224	-2.566	-1.969	-2.876	-4.11	-6.819	-2.128	-2.646	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.266	0.203	0.285	0.473	-2.564	-2.074	-2.033	0.326	0.357	0.312	0.227	0.25	0.23	0.149	0.523	0.899	-3.405
